
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
205.073,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
133.383,,Spot,1,Image 1,1,PRE;targeted,1000000016,16,
120.465,,Spot,1,Image 1,1,PRE;targeted,1000000034,34,
109.465,,Spot,1,Image 1,1,DP;targeted,1000000060,60,
108.56,,Spot,1,Image 1,1,PRE;targeted,1000000064,64,
114.693,,Spot,1,Image 1,1,PRE;targeted,1000000083,83,
151.663,,Spot,1,Image 1,1,PRE;targeted,1000000088,88,
126.071,,Spot,1,Image 1,2,Apoptosis;PRE;targeted,1000000000,89,
104.75,,Spot,1,Image 1,2,PRE;targeted,1000000016,90,
125.288,,Spot,1,Image 1,2,PRE;targeted,1000000034,91,
102.853,,Spot,1,Image 1,2,DP;targeted,1000000060,92,
131.02,,Spot,1,Image 1,2,PRE;targeted,1000000064,93,
90.6569,,Spot,1,Image 1,2,PRE;targeted,1000000083,94,
163.605,,Spot,1,Image 1,2,PRE;targeted,1000000088,95,
93.3966,,Spot,1,Image 1,3,PRE;targeted,1000000016,97,
119.714,,Spot,1,Image 1,3,Apoptosis;PRE;targeted,1000000034,98,
125.06,,Spot,1,Image 1,3,DP;targeted,1000000060,99,
132.03,,Spot,1,Image 1,3,PRE;targeted,1000000064,100,
91.404,,Spot,1,Image 1,3,PRE;targeted,1000000083,101,
162.582,,Spot,1,Image 1,3,PRE;targeted,1000000088,102,
88.9167,,Spot,1,Image 1,4,PRE;targeted,1000000016,104,
127.689,,Spot,1,Image 1,4,Apoptosis;DP;targeted,1000000060,106,
106.238,,Spot,1,Image 1,4,PRE;targeted,1000000064,107,
147.412,,Spot,1,Image 1,4,PRE;targeted,1000000083,108,
105.861,,Spot,1,Image 1,4,PRE;targeted,1000000088,109,
103.882,,Spot,1,Image 1,5,Apoptosis;PRE;targeted,1000000016,111,
97.6471,,Spot,1,Image 1,5,PRE;targeted,1000000064,113,
75.1274,,Spot,1,Image 1,5,Apoptosis;PRE;targeted,1000000083,114,
99.7822,,Spot,1,Image 1,5,PRE;targeted,1000000088,115,
99.6373,,Spot,1,Image 1,6,PRE;targeted,1000000064,119,
112.05,,Spot,1,Image 1,6,PRE;targeted,1000000088,120,
91.8586,,Spot,1,Image 1,7,PRE;targeted,1000000064,124,
117.159,,Spot,1,Image 1,7,PRE;targeted,1000000088,125,
123.094,,Spot,1,Image 1,8,PRE;targeted,1000000088,129,
131.671,,Spot,1,Image 1,9,PRE;targeted,1000000088,133,
124.036,,Spot,1,Image 1,10,PRE;targeted,1000000088,137,
113.74,,Spot,1,Image 1,11,PRE;targeted,1000000088,141,
110.786,,Spot,1,Image 1,12,PRE;targeted,1000000088,145,
101.605,,Spot,1,Image 1,13,PRE;targeted,1000000088,149,
86.0964,,Spot,1,Image 1,14,PRE;targeted,1000000088,153,
73.4321,,Spot,1,Image 1,15,Apoptosis;PRE;targeted,1000000088,157,
68.5024,,Spot,1,Image 1,1,PRE;targeted,1000000173,173,
71.9571,,Spot,1,Image 1,2,PRE;targeted,1000000173,174,
76.3033,,Spot,1,Image 1,3,PRE;targeted,1000000173,175,
65.9665,,Spot,1,Image 1,4,PRE;targeted,1000000173,176,
55.8098,,Spot,1,Image 1,5,PRE;targeted,1000000173,177,
61.2986,,Spot,1,Image 1,6,PRE;targeted,1000000173,178,
56.1722,,Spot,1,Image 1,7,PRE;targeted,1000000173,179,
55.0583,,Spot,1,Image 1,8,PRE;targeted,1000000173,180,
52.5094,,Spot,1,Image 1,9,PRE;targeted,1000000173,181,
53.1209,,Spot,1,Image 1,10,PRE;targeted,1000000173,182,
53.4007,,Spot,1,Image 1,11,PRE;targeted,1000000173,183,
51.3798,,Spot,1,Image 1,12,PRE;targeted,1000000173,184,
47.0278,,Spot,1,Image 1,13,PRE;off;targeted,1000000173,185,
