
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
43.96,,Spot,2,Image 1,1,EPI;targeted,1000000000,0,
300.528,,Spot,2,Image 1,1,EPI,1000000001,1,
41,,Spot,2,Image 1,1,EPI;targeted,1000000002,2,
414.9,,Spot,2,Image 1,1,EPI,1000000003,3,
68.48,,Spot,2,Image 1,1,EPI;targeted,1000000004,4,
337.152,,Spot,2,Image 1,1,EPI,1000000005,5,
272.016,,Spot,2,Image 1,1,EPI,1000000006,6,
216.24,,Spot,2,Image 1,2,EPI,1000000001,7,
56.063,,Spot,2,Image 1,2,EPI;targeted,1000000004,18,
477.748,,Spot,2,Image 1,2,EPI,1000000003,28,
43.996,,Spot,2,Image 1,2,EPI;targeted,1000000002,71,
49.48,,Spot,2,Image 1,2,EPI;targeted,1000000000,88,
245.956,,Spot,2,Image 1,2,EPI,1000000006,104,
374.832,,Spot,2,Image 1,2,EPI,1000000005,154,
258.944,,Spot,2,Image 1,3,EPI,1000000001,155,
52.97,,Spot,2,Image 1,3,EPI;targeted,1000000004,156,
360.504,,Spot,2,Image 1,3,EPI,1000000003,157,
43.08,,Spot,2,Image 1,3,EPI;targeted,1000000002,158,
54.072,,Spot,2,Image 1,3,EPI;targeted,1000000000,159,
195.527,,Spot,2,Image 1,3,EPI,1000000006,160,
310.188,,Spot,2,Image 1,3,EPI,1000000005,161,
245.104,,Spot,2,Image 1,4,EPI,1000000001,162,
52,,Spot,2,Image 1,4,EPI;targeted,1000000004,163,
284,,Spot,2,Image 1,4,EPI,1000000003,164,
41.904,,Spot,2,Image 1,4,EPI;targeted,1000000002,165,
61.92,,Spot,2,Image 1,4,EPI;targeted,1000000000,166,
213.396,,Spot,2,Image 1,4,EPI,1000000006,167,
333.928,,Spot,2,Image 1,4,EPI,1000000005,168,
233.132,,Spot,2,Image 1,5,EPI,1000000001,169,
53.888,,Spot,2,Image 1,5,EPI;targeted,1000000004,170,
327.984,,Spot,2,Image 1,5,EPI,1000000003,171,
45.496,,Spot,2,Image 1,5,EPI;targeted,1000000002,172,
80.967,,Spot,2,Image 1,5,EPI;targeted,1000000000,173,
189.664,,Spot,2,Image 1,5,EPI,1000000006,174,
353.128,,Spot,2,Image 1,5,EPI,1000000005,175,
210.496,,Spot,2,Image 1,6,EPI,1000000001,176,
53.93,,Spot,2,Image 1,6,EPI;targeted,1000000004,177,
409.584,,Spot,2,Image 1,6,EPI,1000000003,178,
49.532,,Spot,2,Image 1,6,EPI;targeted,1000000002,179,
73.1,,Spot,2,Image 1,6,EPI;targeted,1000000000,180,
205.956,,Spot,2,Image 1,6,EPI,1000000006,181,
328.52,,Spot,2,Image 1,6,EPI,1000000005,182,
205.064,,Spot,2,Image 1,7,EPI,1000000001,183,
52.976,,Spot,2,Image 1,7,EPI;targeted,1000000004,184,
412.988,,Spot,2,Image 1,7,EPI,1000000003,185,
48.044,,Spot,2,Image 1,7,EPI;targeted,1000000002,186,
109.993,,Spot,2,Image 1,7,EPI;targeted,1000000000,187,
154.858,,Spot,2,Image 1,7,EPI,1000000006,188,
272.056,,Spot,2,Image 1,7,EPI,1000000005,189,
209.092,,Spot,2,Image 1,8,EPI,1000000001,190,
58.002,,Spot,2,Image 1,8,EPI;targeted,1000000004,191,
350.952,,Spot,2,Image 1,8,EPI,1000000003,192,
49.96,,Spot,2,Image 1,8,EPI;targeted,1000000002,193,
68.968,,Spot,2,Image 1,8,EPI;targeted,1000000000,194,
153.508,,Spot,2,Image 1,8,EPI,1000000006,195,
232.552,,Spot,2,Image 1,8,EPI,1000000005,196,
178.075,,Spot,2,Image 1,9,EPI,1000000001,197,
40.992,,Spot,2,Image 1,9,EPI;targeted,1000000004,198,
335.2,,Spot,2,Image 1,9,EPI,1000000003,199,
63.96,,Spot,2,Image 1,9,EPI;targeted,1000000002,200,
74.068,,Spot,2,Image 1,9,EPI;targeted,1000000000,201,
155.576,,Spot,2,Image 1,9,EPI,1000000006,202,
239.76,,Spot,2,Image 1,9,EPI,1000000005,203,
165.8,,Spot,2,Image 1,10,EPI,1000000001,204,
47.02,,Spot,2,Image 1,10,EPI;targeted,1000000004,205,
328.16,,Spot,2,Image 1,10,EPI,1000000003,206,
67.5,,Spot,2,Image 1,10,EPI;targeted,1000000002,207,
96.536,,Spot,2,Image 1,10,EPI;targeted,1000000000,208,
170.92,,Spot,2,Image 1,10,EPI,1000000006,209,
236.064,,Spot,2,Image 1,10,EPI,1000000005,210,
152.04,,Spot,2,Image 1,11,EPI,1000000001,211,
43.064,,Spot,2,Image 1,11,Apoptosis;EPI;targeted,1000000004,212,
280.875,,Spot,2,Image 1,11,EPI,1000000003,213,
59.08,,Spot,2,Image 1,11,EPI;targeted,1000000002,214,
65.994,,Spot,2,Image 1,11,EPI;targeted,1000000000,215,
185.924,,Spot,2,Image 1,11,EPI,1000000006,216,
233.024,,Spot,2,Image 1,11,EPI,1000000005,217,
259.088,,Spot,2,Image 1,12,EPI,1000000003,218,
84,,Spot,2,Image 1,12,EPI;targeted,1000000002,219,
85.054,,Spot,2,Image 1,12,EPI;targeted,1000000000,220,
203.56,,Spot,2,Image 1,12,EPI,1000000006,221,
161.172,,Spot,2,Image 1,12,EPI,1000000001,222,
405.736,,Spot,2,Image 1,12,EPI,1000000005,223,
254.524,,Spot,2,Image 1,13,EPI,1000000003,224,
56.034,,Spot,2,Image 1,13,EPI;targeted,1000000002,225,
132.908,,Spot,2,Image 1,13,EPI;targeted,1000000000,226,
151.52,,Spot,2,Image 1,13,EPI,1000000006,227,
129.013,,Spot,2,Image 1,13,EPI,1000000001,228,
309.924,,Spot,2,Image 1,13,EPI,1000000005,229,
276.856,,Spot,2,Image 1,14,EPI,1000000003,230,
53.972,,Spot,2,Image 1,14,Apoptosis;EPI;targeted,1000000002,231,
93.976,,Spot,2,Image 1,14,EPI;targeted,1000000000,232,
167.156,,Spot,2,Image 1,14,EPI,1000000006,233,
279.42,,Spot,2,Image 1,14,EPI,1000000005,234,
230.552,,Spot,2,Image 1,15,EPI,1000000003,235,
96.104,,Spot,2,Image 1,15,EPI;targeted,1000000000,237,
163.12,,Spot,2,Image 1,15,EPI,1000000006,238,
254.2,,Spot,2,Image 1,15,EPI,1000000005,239,
192,,Spot,2,Image 1,16,EPI,1000000003,240,
87.048,,Spot,2,Image 1,16,EPI;targeted,1000000000,242,
137.552,,Spot,2,Image 1,16,EPI,1000000006,243,
198.006,,Spot,2,Image 1,16,EPI,1000000005,244,
194.32,,Spot,2,Image 1,17,EPI,1000000003,245,
83.056,,Spot,2,Image 1,17,Apoptosis;EPI;targeted,1000000000,247,
122.472,,Spot,2,Image 1,17,EPI,1000000006,248,
157.024,,Spot,2,Image 1,17,EPI,1000000005,249,
222,,Spot,2,Image 1,18,EPI,1000000003,250,
112.1,,Spot,2,Image 1,18,EPI,1000000006,252,
132.94,,Spot,2,Image 1,18,EPI,1000000005,253,
196.064,,Spot,2,Image 1,19,EPI,1000000003,254,
115.978,,Spot,2,Image 1,19,EPI,1000000006,255,
137.6,,Spot,2,Image 1,19,EPI,1000000005,256,
170.536,,Spot,2,Image 1,20,EPI,1000000003,257,
106.929,,Spot,2,Image 1,20,EPI,1000000006,258,
125.528,,Spot,2,Image 1,20,EPI,1000000005,259,
155.937,,Spot,2,Image 1,21,EPI,1000000003,260,
119.04,,Spot,2,Image 1,21,EPI,1000000006,261,
118,,Spot,2,Image 1,21,EPI,1000000005,262,
124.08,,Spot,2,Image 1,22,EPI,1000000003,263,
128.48,,Spot,2,Image 1,22,EPI,1000000006,264,
109.536,,Spot,2,Image 1,22,EPI,1000000005,265,
102.54,,Spot,2,Image 1,23,EPI,1000000003,266,
116.062,,Spot,2,Image 1,23,EPI,1000000006,267,
108.464,,Spot,2,Image 1,23,EPI,1000000005,268,
90.884,,Spot,2,Image 1,24,EPI,1000000003,269,
118.024,,Spot,2,Image 1,24,EPI,1000000006,270,
106.062,,Spot,2,Image 1,24,EPI,1000000005,271,
82.064,,Spot,2,Image 1,25,EPI,1000000003,272,
116.08,,Spot,2,Image 1,25,EPI,1000000006,273,
95.992,,Spot,2,Image 1,25,EPI,1000000005,274,
97.976,,Spot,2,Image 1,26,EPI,1000000003,275,
108.616,,Spot,2,Image 1,26,EPI,1000000006,276,
173.14,,Spot,2,Image 1,26,EPI,1000000005,277,
98.498,,Spot,2,Image 1,27,EPI,1000000003,278,
139.12,,Spot,2,Image 1,27,EPI,1000000006,279,
183.12,,Spot,2,Image 1,27,EPI,1000000005,280,
106.078,,Spot,2,Image 1,28,EPI,1000000003,281,
122.424,,Spot,2,Image 1,28,EPI,1000000006,282,
209.004,,Spot,2,Image 1,28,EPI,1000000005,283,
109.978,,Spot,2,Image 1,29,EPI,1000000003,284,
116.1,,Spot,2,Image 1,29,EPI,1000000006,285,
199.01,,Spot,2,Image 1,29,EPI,1000000005,286,
124.91,,Spot,2,Image 1,30,EPI,1000000003,287,
97.932,,Spot,2,Image 1,30,EPI,1000000006,288,
210.16,,Spot,2,Image 1,30,EPI,1000000005,289,
100.04,,Spot,2,Image 1,31,EPI,1000000003,290,
104.016,,Spot,2,Image 1,31,EPI,1000000006,291,
190.892,,Spot,2,Image 1,31,EPI,1000000005,292,
88.96,,Spot,2,Image 1,32,EPI,1000000003,293,
101.92,,Spot,2,Image 1,32,EPI,1000000006,294,
176.6,,Spot,2,Image 1,32,EPI,1000000005,295,
82.12,,Spot,2,Image 1,33,EPI,1000000003,296,
95.984,,Spot,2,Image 1,33,EPI,1000000006,297,
158.096,,Spot,2,Image 1,33,EPI,1000000005,298,
75.56,,Spot,2,Image 1,34,EPI,1000000003,299,
95.956,,Spot,2,Image 1,34,EPI,1000000006,300,
158.098,,Spot,2,Image 1,34,EPI,1000000005,301,
81.096,,Spot,2,Image 1,35,EPI,1000000003,302,
90.979,,Spot,2,Image 1,35,EPI,1000000006,303,
137.536,,Spot,2,Image 1,35,EPI,1000000005,304,
83.46,,Spot,2,Image 1,36,EPI,1000000003,305,
123.616,,Spot,2,Image 1,36,EPI,1000000006,306,
190.077,,Spot,2,Image 1,36,EPI,1000000005,307,
94.88,,Spot,2,Image 1,37,EPI,1000000003,308,
148.13,,Spot,2,Image 1,37,EPI,1000000006,309,
211.076,,Spot,2,Image 1,37,EPI,1000000005,310,
85.064,,Spot,2,Image 1,38,EPI,1000000003,311,
131.625,,Spot,2,Image 1,38,EPI,1000000006,312,
195.989,,Spot,2,Image 1,38,EPI,1000000005,313,
93.93,,Spot,2,Image 1,39,EPI,1000000003,314,
102.472,,Spot,2,Image 1,39,EPI,1000000006,315,
156.032,,Spot,2,Image 1,39,EPI,1000000005,316,
84.032,,Spot,2,Image 1,40,EPI,1000000003,317,
97.956,,Spot,2,Image 1,40,EPI,1000000006,318,
181.056,,Spot,2,Image 1,40,EPI,1000000005,319,
91.52,,Spot,2,Image 1,41,EPI,1000000003,320,
80.096,,Spot,2,Image 1,41,EPI,1000000006,321,
163.474,,Spot,2,Image 1,41,EPI,1000000005,322,
90.944,,Spot,2,Image 1,42,EPI,1000000003,323,
82.472,,Spot,2,Image 1,42,EPI,1000000006,324,
145.952,,Spot,2,Image 1,42,EPI,1000000005,325,
89.946,,Spot,2,Image 1,43,EPI,1000000003,326,
86.076,,Spot,2,Image 1,43,EPI,1000000006,327,
