
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
227,,Spot,2,Image 1,1,PRE,1000000000,0,
82,,Spot,2,Image 1,1,PRE,1000000001,1,
120,,Spot,2,Image 1,1,PRE,1000000002,2,
207,,Spot,2,Image 1,1,PRE,1000000003,3,
277,,Spot,2,Image 1,1,PRE,1000000004,4,
103,,Spot,2,Image 1,1,PRE,1000000005,5,
182,,Spot,2,Image 1,2,PRE,1000000000,6,
154,,Spot,2,Image 1,2,PRE,1000000001,100,
115,,Spot,2,Image 1,2,PRE,1000000002,183,
93,,Spot,2,Image 1,2,PRE,1000000005,272,
225,,Spot,2,Image 1,2,PRE,1000000003,370,
251,,Spot,2,Image 1,2,PRE,1000000004,411,
254,,Spot,2,Image 1,3,PRE,1000000000,412,
145,,Spot,2,Image 1,3,PRE,1000000001,413,
132,,Spot,2,Image 1,3,PRE,1000000002,414,
100,,Spot,2,Image 1,3,PRE,1000000005,415,
143,,Spot,2,Image 1,3,PRE,1000000003,416,
190,,Spot,2,Image 1,3,PRE,1000000004,417,
129,,Spot,2,Image 1,4,PRE,1000000000,418,
148,,Spot,2,Image 1,4,PRE,1000000001,419,
137,,Spot,2,Image 1,4,PRE,1000000002,420,
32,,Spot,2,Image 1,4,PRE,1000000005,421,
240,,Spot,2,Image 1,4,PRE,1000000003,422,
266,,Spot,2,Image 1,4,PRE,1000000004,423,
86,,Spot,2,Image 1,5,PRE,1000000000,424,
108,,Spot,2,Image 1,5,PRE,1000000001,425,
60,,Spot,2,Image 1,5,PRE,1000000002,426,
125,,Spot,2,Image 1,5,PRE,1000000005,427,
210,,Spot,2,Image 1,5,PRE,1000000003,428,
171,,Spot,2,Image 1,5,PRE,1000000004,429,
84,,Spot,2,Image 1,6,PRE,1000000000,430,
194,,Spot,2,Image 1,6,PRE,1000000001,431,
107,,Spot,2,Image 1,6,PRE,1000000002,432,
69,,Spot,2,Image 1,6,PRE,1000000005,433,
202,,Spot,2,Image 1,6,PRE,1000000003,434,
192,,Spot,2,Image 1,6,PRE,1000000004,435,
70,,Spot,2,Image 1,7,PRE,1000000000,436,
171,,Spot,2,Image 1,7,PRE,1000000001,437,
119,,Spot,2,Image 1,7,PRE,1000000002,438,
80,,Spot,2,Image 1,7,PRE,1000000005,439,
209,,Spot,2,Image 1,7,PRE,1000000003,440,
139,,Spot,2,Image 1,7,PRE,1000000004,441,
72,,Spot,2,Image 1,8,PRE,1000000000,442,
129,,Spot,2,Image 1,8,PRE,1000000001,443,
101,,Spot,2,Image 1,8,PRE,1000000002,444,
43,,Spot,2,Image 1,8,PRE,1000000005,445,
144,,Spot,2,Image 1,8,PRE,1000000003,446,
142,,Spot,2,Image 1,8,PRE,1000000004,447,
67,,Spot,2,Image 1,9,PRE,1000000000,448,
105,,Spot,2,Image 1,9,PRE,1000000001,449,
83,,Spot,2,Image 1,9,PRE,1000000002,450,
71,,Spot,2,Image 1,9,PRE,1000000005,451,
78,,Spot,2,Image 1,9,PRE,1000000003,452,
147,,Spot,2,Image 1,9,PRE,1000000004,453,
81,,Spot,2,Image 1,10,PRE,1000000000,454,
105,,Spot,2,Image 1,10,PRE,1000000001,455,
77,,Spot,2,Image 1,10,PRE,1000000002,456,
81,,Spot,2,Image 1,10,PRE,1000000005,457,
115,,Spot,2,Image 1,10,PRE,1000000003,458,
115,,Spot,2,Image 1,10,PRE,1000000004,459,
117,,Spot,2,Image 1,11,PRE,1000000000,460,
100,,Spot,2,Image 1,11,PRE,1000000001,461,
55,,Spot,2,Image 1,11,PRE,1000000002,462,
51,,Spot,2,Image 1,11,PRE,1000000005,463,
61,,Spot,2,Image 1,11,PRE,1000000003,464,
129,,Spot,2,Image 1,11,PRE,1000000004,465,
175,,Spot,2,Image 1,12,PRE,1000000000,466,
64,,Spot,2,Image 1,12,PRE,1000000001,467,
99,,Spot,2,Image 1,12,PRE,1000000002,468,
42,,Spot,2,Image 1,12,PRE,1000000005,469,
134,,Spot,2,Image 1,12,PRE,1000000003,470,
196,,Spot,2,Image 1,12,PRE,1000000004,471,
114,,Spot,2,Image 1,13,PRE,1000000000,472,
137,,Spot,2,Image 1,13,PRE,1000000001,473,
95,,Spot,2,Image 1,13,PRE,1000000002,474,
59,,Spot,2,Image 1,13,PRE,1000000005,475,
123,,Spot,2,Image 1,13,PRE,1000000003,476,
163,,Spot,2,Image 1,13,PRE,1000000004,477,
71,,Spot,2,Image 1,14,PRE,1000000000,478,
99,,Spot,2,Image 1,14,PRE,1000000001,479,
95,,Spot,2,Image 1,14,PRE,1000000002,480,
37,,Spot,2,Image 1,14,PRE,1000000005,481,
149,,Spot,2,Image 1,14,PRE,1000000003,482,
182,,Spot,2,Image 1,14,PRE,1000000004,483,
48,,Spot,2,Image 1,15,PRE,1000000000,484,
119,,Spot,2,Image 1,15,PRE,1000000001,485,
76,,Spot,2,Image 1,15,PRE,1000000002,486,
47,,Spot,2,Image 1,15,PRE,1000000005,487,
108,,Spot,2,Image 1,15,PRE,1000000003,488,
146,,Spot,2,Image 1,15,PRE,1000000004,489,
60,,Spot,2,Image 1,16,PRE,1000000000,490,
51,,Spot,2,Image 1,16,PRE,1000000001,491,
62,,Spot,2,Image 1,16,PRE,1000000002,492,
48,,Spot,2,Image 1,16,PRE,1000000005,493,
105,,Spot,2,Image 1,16,PRE,1000000003,494,
108,,Spot,2,Image 1,16,PRE,1000000004,495,
54,,Spot,2,Image 1,17,PRE,1000000000,496,
47,,Spot,2,Image 1,17,PRE,1000000001,497,
76,,Spot,2,Image 1,17,PRE,1000000002,498,
47,,Spot,2,Image 1,17,PRE,1000000005,499,
36,,Spot,2,Image 1,17,PRE,1000000003,500,
97,,Spot,2,Image 1,17,PRE,1000000004,501,
100,,Spot,2,Image 1,18,PRE,1000000000,502,
64,,Spot,2,Image 1,18,PRE,1000000001,503,
44,,Spot,2,Image 1,18,PRE,1000000002,504,
41,,Spot,2,Image 1,18,PRE,1000000005,505,
82,,Spot,2,Image 1,18,PRE,1000000003,506,
