
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
526,,Spot,2,Image 1,1,PRE,1000000000,0,
530,,Spot,2,Image 1,1,PRE,1000000001,1,
353,,Spot,2,Image 1,1,PRE,1000000002,2,
332,,Spot,2,Image 1,1,PRE,1000000003,3,
611,,Spot,2,Image 1,1,PRE,1000000004,4,
816,,Spot,2,Image 1,1,PRE,1000000005,5,
542,,Spot,2,Image 1,1,PRE,1000000006,6,
541,,Spot,2,Image 1,1,PRE,1000000007,7,
521,,Spot,2,Image 1,1,PRE,1000000008,8,
777,,Spot,2,Image 1,1,PRE,1000000009,9,
531,,Spot,2,Image 1,1,PRE,1000000010,10,
377,,Spot,2,Image 1,1,PRE,1000000011,11,
443,,Spot,2,Image 1,1,PRE,1000000012,12,
588,,Spot,2,Image 1,2,PRE,1000000001,14,
686,,Spot,2,Image 1,2,PRE,1000000002,77,
464,,Spot,2,Image 1,2,PRE,1000000003,137,
647,,Spot,2,Image 1,2,PRE,1000000004,190,
456,,Spot,2,Image 1,2,PRE,1000000010,231,
507,,Spot,2,Image 1,2,PRE,1000000006,286,
580,,Spot,2,Image 1,2,PRE,1000000007,383,
645,,Spot,2,Image 1,2,PRE,1000000009,446,
477,,Spot,2,Image 1,2,Mito;PRE,1000000000,572,
454,,Spot,2,Image 1,2,PRE,1000000008,631,
339,,Spot,2,Image 1,2,PRE,1000000011,689,
429,,Spot,2,Image 1,2,PRE,1000000012,710,
659,,Spot,2,Image 1,3,PRE,1000000001,711,
681,,Spot,2,Image 1,3,PRE,1000000002,712,
458,,Spot,2,Image 1,3,PRE,1000000003,713,
533,,Spot,2,Image 1,3,PRE,1000000004,714,
285,,Spot,2,Image 1,3,Mito;PRE,1000000010,715,
534,,Spot,2,Image 1,3,PRE,1000000006,716,
491,,Spot,2,Image 1,3,PRE,1000000007,718,
652,,Spot,2,Image 1,3,PRE,1000000009,719,
403,,Spot,2,Image 1,3,PRE;d1,1000000000,720,
553,,Spot,2,Image 1,3,PRE;d2,1000000000,721,
408,,Spot,2,Image 1,3,PRE,1000000008,722,
347,,Spot,2,Image 1,3,PRE,1000000011,723,
375,,Spot,2,Image 1,3,PRE,1000000012,724,
541,,Spot,2,Image 1,4,PRE,1000000001,725,
609,,Spot,2,Image 1,4,PRE,1000000002,726,
476,,Spot,2,Image 1,4,PRE,1000000003,727,
511,,Spot,2,Image 1,4,PRE,1000000004,728,
262,,Spot,2,Image 1,4,PRE;d1,1000000010,729,
504,,Spot,2,Image 1,4,PRE,1000000006,730,
