
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
58.1471,,Spot,1,Image 1,1,DP,1000000001,1,
75.799,,Spot,1,Image 1,1,DP,1000000002,2,
34.1242,,Spot,1,Image 1,1,DP,1000000004,4,
30.4565,,Spot,1,Image 1,1,DP,1000000005,5,
32.1977,,Spot,1,Image 1,1,DP,1000000006,6,
26.9264,,Spot,1,Image 1,1,DP,1000000007,7,
38.0826,,Spot,1,Image 1,1,DP,1000000067,67,
37.1562,,Spot,1,Image 1,2,DP,1000000004,68,
82.8942,,Spot,1,Image 1,2,DP,1000000002,69,
38.9839,,Spot,1,Image 1,2,DP,1000000067,70,
32.8517,,Spot,1,Image 1,2,DP,1000000005,131,
55.4566,,Spot,1,Image 1,2,DP,1000000001,159,
30.3008,,Spot,1,Image 1,2,DP,1000000007,195,
29.8083,,Spot,1,Image 1,2,DP,1000000006,258,
37.6482,,Spot,1,Image 1,3,DP,1000000004,259,
74.5675,,Spot,1,Image 1,3,DP,1000000002,260,
44.412,,Spot,1,Image 1,3,DP,1000000067,261,
29.7735,,Spot,1,Image 1,3,DP,1000000005,262,
49.6232,,Spot,1,Image 1,3,DP,1000000001,263,
31.9241,,Spot,1,Image 1,3,DP,1000000007,264,
30.5726,,Spot,1,Image 1,3,DP,1000000006,265,
39.9299,,Spot,1,Image 1,4,DP,1000000004,266,
82.4474,,Spot,1,Image 1,4,DP,1000000002,267,
39.874,,Spot,1,Image 1,4,DP,1000000067,268,
33.2681,,Spot,1,Image 1,4,DP,1000000005,269,
53.9439,,Spot,1,Image 1,4,DP,1000000001,270,
30.9223,,Spot,1,Image 1,4,DP,1000000007,271,
31.6403,,Spot,1,Image 1,4,DP,1000000006,272,
39.4028,,Spot,1,Image 1,5,DP,1000000004,273,
89.1299,,Spot,1,Image 1,5,DP,1000000002,274,
36.3599,,Spot,1,Image 1,5,DP,1000000067,275,
33.6202,,Spot,1,Image 1,5,DP,1000000005,276,
59.1041,,Spot,1,Image 1,5,DP,1000000001,277,
31.4755,,Spot,1,Image 1,5,DP,1000000007,278,
30.7957,,Spot,1,Image 1,5,DP,1000000006,279,
