
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
736,,Spot,3,Image 1,1,EPI,1000000000,0,
858,,Spot,3,Image 1,1,EPI,1000000001,1,
1299,,Spot,3,Image 1,1,EPI,1000000002,2,
673,,Spot,3,Image 1,2,EPI,1000000001,25,
823,,Spot,3,Image 1,2,EPI,1000000000,46,
826,,Spot,3,Image 1,3,EPI,1000000001,107,
787,,Spot,3,Image 1,3,EPI,1000000000,108,
823,,Spot,3,Image 1,4,EPI,1000000001,110,
815,,Spot,3,Image 1,4,EPI,1000000000,111,
973,,Spot,3,Image 1,5,EPI,1000000001,113,
885,,Spot,3,Image 1,5,EPI,1000000000,114,
1131,,Spot,3,Image 1,6,EPI,1000000001,116,
810,,Spot,3,Image 1,6,EPI,1000000000,117,
758,,Spot,3,Image 1,7,EPI,1000000001,119,
646,,Spot,3,Image 1,7,EPI,1000000000,120,
799,,Spot,3,Image 1,8,EPI,1000000001,122,
1083,,Spot,3,Image 1,8,EPI,1000000000,123,
947,,Spot,3,Image 1,9,EPI,1000000001,125,
730,,Spot,3,Image 1,9,EPI,1000000000,126,
573,,Spot,3,Image 1,10,EPI,1000000001,128,
712,,Spot,3,Image 1,10,EPI,1000000000,129,
663,,Spot,3,Image 1,11,EPI,1000000001,131,
597,,Spot,3,Image 1,11,EPI,1000000000,132,
689,,Spot,3,Image 1,12,EPI,1000000001,134,
786,,Spot,3,Image 1,12,EPI,1000000000,135,
782,,Spot,3,Image 1,13,EPI,1000000001,137,
959,,Spot,3,Image 1,13,EPI,1000000000,138,
671,,Spot,3,Image 1,14,EPI,1000000001,140,
753,,Spot,3,Image 1,14,EPI,1000000000,141,
833,,Spot,3,Image 1,15,EPI,1000000001,143,
825,,Spot,3,Image 1,15,EPI,1000000000,144,
683,,Spot,3,Image 1,16,EPI,1000000001,146,
693,,Spot,3,Image 1,16,EPI,1000000000,147,
737,,Spot,3,Image 1,17,EPI,1000000001,149,
729,,Spot,3,Image 1,17,EPI,1000000000,150,
725,,Spot,3,Image 1,18,EPI,1000000001,152,
791,,Spot,3,Image 1,18,EPI,1000000000,153,
718,,Spot,3,Image 1,19,EPI,1000000001,155,
687,,Spot,3,Image 1,19,EPI,1000000000,156,
1064,,Spot,3,Image 1,20,EPI,1000000001,158,
933,,Spot,3,Image 1,20,EPI,1000000000,159,
827,,Spot,3,Image 1,21,EPI,1000000001,161,
1041,,Spot,3,Image 1,21,EPI,1000000000,162,
911,,Spot,3,Image 1,22,EPI,1000000001,164,
1044,,Spot,3,Image 1,22,EPI,1000000000,165,
823,,Spot,3,Image 1,23,EPI,1000000000,167,
985,,Spot,3,Image 1,24,EPI,1000000000,169,
893,,Spot,3,Image 1,25,EPI,1000000000,171,
