
Time Index
 ==================== 
Time Index,Unit,Category,Time,NS-labs,TrackID,ID,
1,,Spot,1,PRE,1000000000,0,
1,,Spot,1,PRE,1000000001,1,
1,,Spot,1,PRE,1000000002,2,
1,,Spot,1,PRE,1000000003,3,
1,,Spot,1,PRE,1000000004,4,
1,,Spot,1,PRE,1000000005,5,
1,,Spot,1,PRE,1000000006,6,
1,,Spot,1,PRE,1000000007,7,
1,,Spot,1,PRE,1000000008,8,
1,,Spot,1,PRE,1000000009,9,
1,,Spot,1,PRE,1000000010,10,
2,,Spot,2,PRE,1000000002,11,
2,,Spot,2,PRE,1000000006,75,
2,,Spot,2,PRE,1000000005,220,
2,,Spot,2,PRE,1000000001,222,
2,,Spot,2,PRE,1000000000,310,
2,,Spot,2,PRE,1000000003,405,
2,,Spot,2,PRE,1000000009,492,
2,,Spot,2,PRE,1000000010,596,
2,,Spot,2,PRE,1000000004,635,
2,,Spot,2,PRE,1000000008,693,
2,,Spot,2,PRE,1000000007,774,
3,,Spot,3,PRE,1000000002,775,
3,,Spot,3,PRE,1000000006,776,
3,,Spot,3,Apoptosis;PRE,1000000005,777,
3,,Spot,3,PRE,1000000001,778,
3,,Spot,3,PRE,1000000000,779,
3,,Spot,3,PRE,1000000003,780,
3,,Spot,3,PRE,1000000009,781,
3,,Spot,3,PRE,1000000010,782,
3,,Spot,3,PRE,1000000004,783,
3,,Spot,3,PRE,1000000008,784,
3,,Spot,3,PRE,1000000007,785,
4,,Spot,4,PRE,1000000002,786,
4,,Spot,4,PRE,1000000006,787,
4,,Spot,4,PRE,1000000001,788,
4,,Spot,4,PRE,1000000000,789,
4,,Spot,4,PRE,1000000003,790,
4,,Spot,4,PRE,1000000009,791,
4,,Spot,4,PRE,1000000010,792,
4,,Spot,4,PRE,1000000004,793,
4,,Spot,4,PRE,1000000008,794,
4,,Spot,4,PRE,1000000007,795,
5,,Spot,5,PRE,1000000002,796,
5,,Spot,5,PRE,1000000006,797,
5,,Spot,5,PRE,1000000001,798,
5,,Spot,5,PRE,1000000000,799,
5,,Spot,5,PRE,1000000003,800,
5,,Spot,5,PRE,1000000009,801,
5,,Spot,5,PRE,1000000010,802,
5,,Spot,5,PRE,1000000004,803,
5,,Spot,5,PRE,1000000008,804,
5,,Spot,5,PRE,1000000007,805,
6,,Spot,6,PRE,1000000002,806,
6,,Spot,6,PRE,1000000006,807,
6,,Spot,6,PRE,1000000001,808,
6,,Spot,6,PRE,1000000000,809,
6,,Spot,6,PRE,1000000003,810,
6,,Spot,6,PRE,1000000009,811,
6,,Spot,6,PRE,1000000010,812,
6,,Spot,6,PRE,1000000004,813,
6,,Spot,6,PRE,1000000008,814,
6,,Spot,6,PRE,1000000007,815,
7,,Spot,7,PRE,1000000002,816,
7,,Spot,7,PRE,1000000006,817,
7,,Spot,7,PRE,1000000001,818,
7,,Spot,7,PRE,1000000000,819,
7,,Spot,7,PRE,1000000003,820,
7,,Spot,7,PRE,1000000009,821,
7,,Spot,7,PRE,1000000010,822,
7,,Spot,7,PRE,1000000004,823,
7,,Spot,7,PRE,1000000008,824,
7,,Spot,7,PRE,1000000007,825,
8,,Spot,8,PRE,1000000002,826,
8,,Spot,8,PRE,1000000006,827,
8,,Spot,8,PRE,1000000001,828,
8,,Spot,8,PRE,1000000000,829,
8,,Spot,8,PRE,1000000003,830,
8,,Spot,8,PRE,1000000009,831,
8,,Spot,8,PRE,1000000010,832,
8,,Spot,8,PRE,1000000004,833,
8,,Spot,8,PRE,1000000008,834,
8,,Spot,8,PRE,1000000007,835,
9,,Spot,9,PRE,1000000002,836,
9,,Spot,9,PRE,1000000006,837,
9,,Spot,9,PRE,1000000001,838,
9,,Spot,9,PRE,1000000000,839,
9,,Spot,9,PRE,1000000003,840,
9,,Spot,9,PRE,1000000009,841,
9,,Spot,9,PRE,1000000010,842,
9,,Spot,9,PRE,1000000004,843,
9,,Spot,9,PRE,1000000008,844,
9,,Spot,9,PRE,1000000007,845,
10,,Spot,10,PRE,1000000002,846,
10,,Spot,10,PRE,1000000006,847,
10,,Spot,10,PRE,1000000001,848,
10,,Spot,10,PRE,1000000000,849,
10,,Spot,10,PRE,1000000003,850,
10,,Spot,10,PRE,1000000009,851,
10,,Spot,10,PRE,1000000010,852,
10,,Spot,10,PRE,1000000004,853,
