
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
69,,Spot,2,Image 1,1,PRE,1000000000,0,
59,,Spot,2,Image 1,1,PRE,1000000119,119,
76,,Spot,2,Image 1,1,PRE,1000000189,189,
90,,Spot,2,Image 1,1,PRE,1000000315,315,
80,,Spot,2,Image 1,1,Mito;PRE,1000000381,381,
74,,Spot,2,Image 1,1,DP,1000000960,960,
61,,Spot,2,Image 1,1,DP,1000001052,1052,
75,,Spot,2,Image 1,1,DP,1000001111,1111,
73,,Spot,2,Image 1,1,DP,1000001176,1176,
77,,Spot,2,Image 1,1,DP,1000001246,1246,
71,,Spot,2,Image 1,1,DP,1000001329,1329,
73,,Spot,2,Image 1,1,DP,1000001418,1418,
59,,Spot,2,Image 1,1,DP,1000001428,1428,
65,,Spot,2,Image 1,2,PRE,1000000000,1429,
55,,Spot,2,Image 1,2,PRE,1000000119,1430,
77,,Spot,2,Image 1,2,PRE,1000000189,1431,
47,,Spot,2,Image 1,2,PRE,1000000315,1432,
64,,Spot,2,Image 1,2,PRE;d1,1000000381,1433,
77,,Spot,2,Image 1,2,PRE;d2,1000000381,1434,
86,,Spot,2,Image 1,2,DP,1000000960,1435,
84,,Spot,2,Image 1,2,DP,1000001052,1436,
64,,Spot,2,Image 1,2,DP,1000001111,1437,
73,,Spot,2,Image 1,2,DP,1000001418,1438,
78,,Spot,2,Image 1,2,DP,1000001246,1439,
59,,Spot,2,Image 1,2,DP,1000001329,1440,
61,,Spot,2,Image 1,2,DP,1000001176,1441,
70,,Spot,2,Image 1,2,DP,1000001428,1442,
54,,Spot,2,Image 1,3,PRE,1000000000,1443,
71,,Spot,2,Image 1,3,PRE,1000000119,1444,
67,,Spot,2,Image 1,3,PRE,1000000189,1445,
58,,Spot,2,Image 1,3,PRE,1000000315,1446,
61,,Spot,2,Image 1,3,PRE;d1,1000000381,1447,
84,,Spot,2,Image 1,3,PRE;d2,1000000381,1448,
97,,Spot,2,Image 1,3,DP,1000000960,1449,
74,,Spot,2,Image 1,3,DP,1000001052,1450,
69,,Spot,2,Image 1,3,DP,1000001111,1451,
69,,Spot,2,Image 1,3,DP,1000001418,1452,
84,,Spot,2,Image 1,3,DP,1000001246,1453,
