
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
13,,Spot,2,Image 1,1,PRE,1000000002,2,
14,,Spot,2,Image 1,1,PRE,1000000003,3,
16,,Spot,2,Image 1,1,PRE,1000000004,4,
15,,Spot,2,Image 1,1,PRE,1000000005,5,
12,,Spot,2,Image 1,1,PRE,1000000006,6,
16,,Spot,2,Image 1,1,PRE,1000000007,7,
16,,Spot,2,Image 1,1,PRE,1000000008,8,
13,,Spot,2,Image 1,1,PRE,1000000009,9,
17,,Spot,2,Image 1,1,PRE,1000000010,10,
15,,Spot,2,Image 1,1,PRE,1000000011,11,
15,,Spot,2,Image 1,1,PRE,1000000013,13,
18,,Spot,2,Image 1,1,PRE,1000000015,15,
14,,Spot,2,Image 1,1,PRE,1000000016,16,
13,,Spot,2,Image 1,1,PRE,1000000071,71,
16,,Spot,2,Image 1,1,PRE,1000001913,1913,
13,,Spot,2,Image 1,1,PRE,1000001914,1914,
13,,Spot,2,Image 1,1,PRE,1000001915,1915,
13,,Spot,2,Image 1,1,PRE,1000001916,1916,
13,,Spot,2,Image 1,1,PRE,1000001917,1917,
15,,Spot,2,Image 1,1,PRE,1000001918,1918,
12,,Spot,2,Image 1,1,PRE,1000001919,1919,
12,,Spot,2,Image 1,2,PRE,1000000071,1921,
10,,Spot,2,Image 1,2,PRE,1000000002,1922,
16,,Spot,2,Image 1,2,PRE,1000000003,1923,
12,,Spot,2,Image 1,2,PRE,1000000004,1924,
17,,Spot,2,Image 1,2,PRE,1000000005,1925,
17,,Spot,2,Image 1,2,PRE,1000000006,1926,
12,,Spot,2,Image 1,2,PRE,1000000007,1927,
14,,Spot,2,Image 1,2,PRE,1000000008,1928,
13,,Spot,2,Image 1,2,PRE,1000000009,1929,
14,,Spot,2,Image 1,2,PRE,1000000010,1930,
12,,Spot,2,Image 1,2,PRE,1000000011,1931,
13,,Spot,2,Image 1,2,PRE,1000000013,1932,
13,,Spot,2,Image 1,2,PRE,1000000015,1933,
12,,Spot,2,Image 1,2,PRE,1000000016,1934,
13,,Spot,2,Image 1,2,PRE,1000001918,1935,
9,,Spot,2,Image 1,2,PRE,1000001919,1936,
21,,Spot,2,Image 1,2,PRE,1000001913,1938,
11,,Spot,2,Image 1,2,PRE,1000001914,1969,
12,,Spot,2,Image 1,2,PRE,1000001915,1996,
14,,Spot,2,Image 1,2,PRE,1000001917,2010,
15,,Spot,2,Image 1,2,PRE,1000001916,2038,
16,,Spot,2,Image 1,3,PRE,1000000071,2040,
14,,Spot,2,Image 1,3,PRE,1000000002,2041,
11,,Spot,2,Image 1,3,PRE,1000000003,2042,
17,,Spot,2,Image 1,3,PRE,1000000004,2043,
12,,Spot,2,Image 1,3,PRE,1000000005,2044,
9,,Spot,2,Image 1,3,PRE,1000000006,2045,
17,,Spot,2,Image 1,3,PRE,1000000007,2046,
16,,Spot,2,Image 1,3,PRE,1000000008,2047,
14,,Spot,2,Image 1,3,PRE,1000000009,2048,
11,,Spot,2,Image 1,3,PRE,1000000010,2049,
14,,Spot,2,Image 1,3,PRE,1000000011,2050,
12,,Spot,2,Image 1,3,PRE,1000000013,2051,
8,,Spot,2,Image 1,3,PRE,1000000015,2052,
11,,Spot,2,Image 1,3,PRE,1000000016,2053,
15,,Spot,2,Image 1,3,PRE;off,1000001918,2054,
16,,Spot,2,Image 1,3,PRE,1000001919,2055,
9,,Spot,2,Image 1,3,PRE,1000001913,2056,
14,,Spot,2,Image 1,3,PRE,1000001914,2057,
16,,Spot,2,Image 1,3,PRE,1000001915,2058,
12,,Spot,2,Image 1,3,PRE,1000001917,2059,
12,,Spot,2,Image 1,3,PRE,1000001916,2060,
14,,Spot,2,Image 1,4,PRE,1000000071,2062,
16,,Spot,2,Image 1,4,PRE,1000000002,2063,
16,,Spot,2,Image 1,4,PRE,1000000003,2064,
16,,Spot,2,Image 1,4,PRE,1000000004,2065,
11,,Spot,2,Image 1,4,PRE,1000000005,2066,
8,,Spot,2,Image 1,4,PRE,1000000006,2067,
12,,Spot,2,Image 1,4,PRE,1000000007,2068,
16,,Spot,2,Image 1,4,PRE,1000000008,2069,
10,,Spot,2,Image 1,4,PRE,1000000009,2070,
14,,Spot,2,Image 1,4,PRE,1000000010,2071,
15,,Spot,2,Image 1,4,PRE,1000000011,2072,
17,,Spot,2,Image 1,4,PRE,1000000013,2073,
10,,Spot,2,Image 1,4,PRE,1000000015,2074,
12,,Spot,2,Image 1,4,PRE,1000000016,2075,
15,,Spot,2,Image 1,4,PRE,1000001919,2076,
14,,Spot,2,Image 1,4,PRE,1000001913,2077,
16,,Spot,2,Image 1,4,PRE,1000001914,2078,
16,,Spot,2,Image 1,4,PRE,1000001915,2079,
10,,Spot,2,Image 1,4,PRE,1000001917,2080,
16,,Spot,2,Image 1,4,PRE,1000001916,2081,
12,,Spot,2,Image 1,5,PRE,1000000071,2083,
17,,Spot,2,Image 1,5,PRE,1000000002,2084,
12,,Spot,2,Image 1,5,PRE,1000000003,2085,
15,,Spot,2,Image 1,5,PRE,1000000004,2086,
15,,Spot,2,Image 1,5,PRE,1000000005,2087,
12,,Spot,2,Image 1,5,PRE,1000000006,2088,
16,,Spot,2,Image 1,5,PRE,1000000007,2089,
