
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
39.4885,,Spot,1,Image 1,1,PRE,1000000000,0,
52.0029,,Spot,1,Image 1,1,PRE,1000000001,1,
43.7845,,Spot,1,Image 1,1,PRE,1000000002,2,
37.1229,,Spot,1,Image 1,1,PRE,1000000004,4,
31.5457,,Spot,1,Image 1,1,PRE,1000000006,6,
35.094,,Spot,1,Image 1,1,PRE,1000000007,7,
32.407,,Spot,1,Image 1,1,PRE,1000000008,8,
31.4801,,Spot,1,Image 1,1,PRE,1000000009,9,
38.9942,,Spot,1,Image 1,1,PRE,1000000010,10,
30.5199,,Spot,1,Image 1,1,PRE,1000000012,12,
23.216,,Spot,1,Image 1,1,DP,1000000013,13,
28.1455,,Spot,1,Image 1,1,DP,1000000014,14,
27.2073,,Spot,1,Image 1,1,EPI,1000000015,15,
21.1,,Spot,1,Image 1,1,DP,1000000016,16,
21.347,,Spot,1,Image 1,1,DP,1000000017,17,
23.2796,,Spot,1,Image 1,1,DP,1000000018,18,
24.3791,,Spot,1,Image 1,1,DP,1000000806,806,
20.043,,Spot,1,Image 1,2,DP,1000000016,807,
22.7219,,Spot,1,Image 1,2,DP,1000000017,808,
23.6514,,Spot,1,Image 1,2,DP,1000000018,809,
30.6594,,Spot,1,Image 1,2,EPI,1000000015,810,
28.8025,,Spot,1,Image 1,2,DP,1000000014,811,
27.4273,,Spot,1,Image 1,2,DP,1000000013,812,
32.9466,,Spot,1,Image 1,2,PRE,1000000012,813,
33.4214,,Spot,1,Image 1,2,PRE,1000000008,814,
30.145,,Spot,1,Image 1,2,PRE,1000000009,815,
45.0157,,Spot,1,Image 1,2,PRE,1000000010,816,
41.2493,,Spot,1,Image 1,2,PRE,1000000000,817,
39.7335,,Spot,1,Image 1,2,PRE,1000000007,818,
42.4816,,Spot,1,Image 1,2,PRE,1000000004,819,
33.8105,,Spot,1,Image 1,2,PRE,1000000006,820,
24.1561,,Spot,1,Image 1,2,DP,1000000806,821,
56.9437,,Spot,1,Image 1,2,PRE,1000000001,827,
45.5143,,Spot,1,Image 1,2,PRE,1000000002,899,
20.517,,Spot,1,Image 1,3,DP,1000000016,900,
22.1246,,Spot,1,Image 1,3,DP,1000000017,901,
24.8913,,Spot,1,Image 1,3,DP,1000000018,902,
33.5229,,Spot,1,Image 1,3,EPI,1000000015,903,
27.7267,,Spot,1,Image 1,3,DP,1000000014,904,
25.4472,,Spot,1,Image 1,3,DP,1000000013,905,
34.3642,,Spot,1,Image 1,3,PRE,1000000012,906,
32.2453,,Spot,1,Image 1,3,PRE,1000000008,907,
32.7865,,Spot,1,Image 1,3,PRE,1000000009,908,
48.1063,,Spot,1,Image 1,3,PRE,1000000010,909,
39.854,,Spot,1,Image 1,3,PRE,1000000000,910,
39.7834,,Spot,1,Image 1,3,PRE,1000000007,911,
45.7238,,Spot,1,Image 1,3,PRE,1000000004,912,
37.1696,,Spot,1,Image 1,3,PRE,1000000006,913,
24.1203,,Spot,1,Image 1,3,DP,1000000806,914,
57.8171,,Spot,1,Image 1,3,PRE,1000000001,915,
47.704,,Spot,1,Image 1,3,PRE,1000000002,916,
20.6949,,Spot,1,Image 1,4,DP,1000000016,917,
21.4342,,Spot,1,Image 1,4,DP,1000000017,918,
24.8333,,Spot,1,Image 1,4,DP,1000000018,919,
30.4984,,Spot,1,Image 1,4,EPI,1000000015,920,
27.8498,,Spot,1,Image 1,4,DP,1000000014,921,
25.9331,,Spot,1,Image 1,4,DP,1000000013,922,
33.4337,,Spot,1,Image 1,4,PRE,1000000012,923,
29.3015,,Spot,1,Image 1,4,PRE,1000000008,924,
32.0443,,Spot,1,Image 1,4,PRE,1000000009,925,
43.0056,,Spot,1,Image 1,4,PRE,1000000010,926,
42.774,,Spot,1,Image 1,4,PRE,1000000000,927,
33.9104,,Spot,1,Image 1,4,PRE,1000000007,928,
43.858,,Spot,1,Image 1,4,Apoptosis;PRE,1000000004,929,
36.0339,,Spot,1,Image 1,4,PRE,1000000006,930,
25.3147,,Spot,1,Image 1,4,DP,1000000806,931,
58.9194,,Spot,1,Image 1,4,PRE,1000000001,932,
55.3548,,Spot,1,Image 1,4,PRE,1000000002,933,
19.7669,,Spot,1,Image 1,5,DP,1000000016,934,
21.8738,,Spot,1,Image 1,5,DP,1000000017,935,
25.1608,,Spot,1,Image 1,5,DP,1000000018,936,
31.257,,Spot,1,Image 1,5,EPI,1000000015,937,
26.4579,,Spot,1,Image 1,5,DP,1000000014,938,
26.1226,,Spot,1,Image 1,5,DP,1000000013,939,
35.9626,,Spot,1,Image 1,5,PRE,1000000012,940,
31.5313,,Spot,1,Image 1,5,PRE,1000000008,941,
33.1094,,Spot,1,Image 1,5,PRE,1000000009,942,
37.9969,,Spot,1,Image 1,5,PRE,1000000010,943,
43.0031,,Spot,1,Image 1,5,PRE,1000000000,944,
36.7902,,Spot,1,Image 1,5,PRE,1000000007,945,
31.0472,,Spot,1,Image 1,5,PRE,1000000006,946,
24.3574,,Spot,1,Image 1,5,DP,1000000806,947,
53.3855,,Spot,1,Image 1,5,PRE,1000000001,948,
51.2928,,Spot,1,Image 1,5,PRE,1000000002,949,
22.397,,Spot,1,Image 1,6,DP,1000000016,950,
21.8428,,Spot,1,Image 1,6,DP,1000000017,951,
24.587,,Spot,1,Image 1,6,DP,1000000018,952,
29.8152,,Spot,1,Image 1,6,EPI,1000000015,953,
28.0831,,Spot,1,Image 1,6,DP,1000000014,954,
26.0472,,Spot,1,Image 1,6,DP,1000000013,955,
37.815,,Spot,1,Image 1,6,PRE,1000000012,956,
32.5683,,Spot,1,Image 1,6,PRE,1000000008,957,
37.4594,,Spot,1,Image 1,6,PRE,1000000009,958,
45.0246,,Spot,1,Image 1,6,PRE,1000000010,959,
46.0557,,Spot,1,Image 1,6,PRE,1000000000,960,
35.1044,,Spot,1,Image 1,6,PRE,1000000007,961,
37.2308,,Spot,1,Image 1,6,PRE,1000000006,962,
23.72,,Spot,1,Image 1,6,DP,1000000806,963,
49.0358,,Spot,1,Image 1,6,PRE,1000000001,964,
46.2642,,Spot,1,Image 1,6,PRE,1000000002,965,
22.4174,,Spot,1,Image 1,7,DP,1000000016,966,
22.1398,,Spot,1,Image 1,7,DP,1000000017,967,
24.3544,,Spot,1,Image 1,7,DP,1000000018,968,
31.0148,,Spot,1,Image 1,7,EPI,1000000015,969,
26.597,,Spot,1,Image 1,7,DP,1000000014,970,
25.8826,,Spot,1,Image 1,7,DP,1000000013,971,
37.8911,,Spot,1,Image 1,7,PRE,1000000012,972,
31.0424,,Spot,1,Image 1,7,PRE,1000000008,973,
32.5,,Spot,1,Image 1,7,PRE,1000000009,974,
41.4465,,Spot,1,Image 1,7,PRE,1000000010,975,
39.82,,Spot,1,Image 1,7,PRE,1000000000,976,
33.5136,,Spot,1,Image 1,7,PRE,1000000007,977,
33.6502,,Spot,1,Image 1,7,PRE,1000000006,978,
25.3041,,Spot,1,Image 1,7,DP,1000000806,979,
49.9446,,Spot,1,Image 1,7,PRE,1000000001,980,
46.8113,,Spot,1,Image 1,7,PRE,1000000002,981,
23.2076,,Spot,1,Image 1,8,DP,1000000016,982,
21.5914,,Spot,1,Image 1,8,DP,1000000017,983,
23.1556,,Spot,1,Image 1,8,DP,1000000018,984,
29.7219,,Spot,1,Image 1,8,EPI,1000000015,985,
26.6869,,Spot,1,Image 1,8,DP,1000000014,986,
26.5094,,Spot,1,Image 1,8,DP,1000000013,987,
42.742,,Spot,1,Image 1,8,PRE,1000000012,988,
32.8253,,Spot,1,Image 1,8,PRE,1000000008,989,
32.0466,,Spot,1,Image 1,8,PRE,1000000009,990,
42.5194,,Spot,1,Image 1,8,PRE,1000000010,991,
38.8911,,Spot,1,Image 1,8,PRE,1000000000,992,
33.9735,,Spot,1,Image 1,8,PRE,1000000007,993,
32.3655,,Spot,1,Image 1,8,PRE,1000000006,994,
25.1401,,Spot,1,Image 1,8,DP,1000000806,995,
48.7663,,Spot,1,Image 1,8,PRE,1000000001,996,
38.4915,,Spot,1,Image 1,8,Mito;PRE,1000000002,997,
22.9906,,Spot,1,Image 1,9,DP,1000000016,998,
21.5392,,Spot,1,Image 1,9,DP,1000000017,999,
23.9034,,Spot,1,Image 1,9,DP,1000000018,1000,
32.2493,,Spot,1,Image 1,9,EPI,1000000015,1001,
25.7287,,Spot,1,Image 1,9,DP,1000000014,1002,
26.1214,,Spot,1,Image 1,9,DP,1000000013,1003,
40.04,,Spot,1,Image 1,9,PRE,1000000012,1004,
30.4121,,Spot,1,Image 1,9,PRE,1000000008,1005,
33.4698,,Spot,1,Image 1,9,PRE,1000000009,1006,
41.3013,,Spot,1,Image 1,9,PRE,1000000010,1007,
40.0289,,Spot,1,Image 1,9,PRE,1000000000,1008,
31.0261,,Spot,1,Image 1,9,PRE,1000000007,1009,
32.4395,,Spot,1,Image 1,9,PRE,1000000006,1010,
