
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
82,,Spot,2,Image 1,1,DP,1000000000,0,
57,,Spot,2,Image 1,1,DP,1000000001,1,
108,,Spot,2,Image 1,1,DP,1000000002,2,
107,,Spot,2,Image 1,1,DP,1000000003,3,
116,,Spot,2,Image 1,1,DP,1000000004,4,
115,,Spot,2,Image 1,1,DP,1000001009,1009,
107,,Spot,2,Image 1,2,DP,1000000000,1010,
78,,Spot,2,Image 1,2,DP,1000000001,1011,
89,,Spot,2,Image 1,2,DP,1000000002,1012,
124,,Spot,2,Image 1,2,DP,1000000004,1013,
83,,Spot,2,Image 1,2,DP,1000000003,1014,
137,,Spot,2,Image 1,2,DP,1000001009,1015,
84,,Spot,2,Image 1,3,DP,1000000000,1016,
86,,Spot,2,Image 1,3,DP,1000000001,1017,
69,,Spot,2,Image 1,3,DP,1000000002,1018,
91,,Spot,2,Image 1,3,DP,1000000004,1019,
97,,Spot,2,Image 1,3,DP,1000000003,1020,
137,,Spot,2,Image 1,3,DP,1000001009,1021,
83,,Spot,2,Image 1,4,DP,1000000000,1022,
115,,Spot,2,Image 1,4,DP,1000000001,1023,
87,,Spot,2,Image 1,4,DP,1000000002,1024,
120,,Spot,2,Image 1,4,DP,1000000004,1025,
85,,Spot,2,Image 1,4,DP,1000000003,1026,
97,,Spot,2,Image 1,4,DP,1000001009,1027,
101,,Spot,2,Image 1,5,DP,1000000000,1028,
106,,Spot,2,Image 1,5,DP,1000000001,1029,
68,,Spot,2,Image 1,5,DP,1000000002,1030,
102,,Spot,2,Image 1,5,DP,1000000004,1031,
86,,Spot,2,Image 1,5,DP,1000000003,1032,
81,,Spot,2,Image 1,5,DP,1000001009,1033,
102,,Spot,2,Image 1,6,DP,1000000000,1034,
65,,Spot,2,Image 1,6,DP,1000000001,1035,
88,,Spot,2,Image 1,6,DP,1000000002,1036,
112,,Spot,2,Image 1,6,DP,1000000004,1037,
107,,Spot,2,Image 1,6,DP,1000000003,1038,
80,,Spot,2,Image 1,6,DP,1000001009,1039,
110,,Spot,2,Image 1,7,DP,1000000000,1040,
90,,Spot,2,Image 1,7,DP,1000000001,1041,
77,,Spot,2,Image 1,7,DP,1000000002,1042,
122,,Spot,2,Image 1,7,DP,1000000004,1043,
99,,Spot,2,Image 1,7,DP,1000000003,1044,
96,,Spot,2,Image 1,7,DP,1000001009,1045,
71,,Spot,2,Image 1,8,DP,1000000000,1046,
128,,Spot,2,Image 1,8,DP,1000000001,1047,
82,,Spot,2,Image 1,8,DP,1000000002,1048,
88,,Spot,2,Image 1,8,DP,1000000004,1049,
98,,Spot,2,Image 1,8,DP,1000000003,1050,
105,,Spot,2,Image 1,8,DP,1000001009,1051,
66,,Spot,2,Image 1,9,DP,1000000000,1052,
84,,Spot,2,Image 1,9,DP,1000000001,1053,
70,,Spot,2,Image 1,9,DP,1000000002,1054,
120,,Spot,2,Image 1,9,DP,1000000004,1055,
105,,Spot,2,Image 1,9,DP,1000000003,1056,
75,,Spot,2,Image 1,9,DP,1000001009,1057,
77,,Spot,2,Image 1,10,DP,1000000000,1058,
54,,Spot,2,Image 1,10,DP,1000000001,1059,
68,,Spot,2,Image 1,10,DP,1000000002,1060,
97,,Spot,2,Image 1,10,DP,1000000004,1061,
85,,Spot,2,Image 1,10,DP,1000000003,1062,
102,,Spot,2,Image 1,10,DP,1000001009,1063,
75,,Spot,2,Image 1,11,DP,1000000000,1064,
51,,Spot,2,Image 1,11,DP,1000000001,1065,
50,,Spot,2,Image 1,11,DP,1000000002,1066,
104,,Spot,2,Image 1,11,DP,1000000004,1067,
119,,Spot,2,Image 1,11,DP,1000000003,1068,
88,,Spot,2,Image 1,11,DP,1000001009,1069,
63,,Spot,2,Image 1,12,DP,1000000000,1070,
53,,Spot,2,Image 1,12,DP,1000000001,1071,
65,,Spot,2,Image 1,12,DP,1000000002,1072,
94,,Spot,2,Image 1,12,DP,1000000004,1073,
124,,Spot,2,Image 1,12,DP,1000000003,1074,
100,,Spot,2,Image 1,12,DP,1000001009,1075,
70,,Spot,2,Image 1,13,DP,1000000000,1076,
72,,Spot,2,Image 1,13,DP,1000000001,1077,
65,,Spot,2,Image 1,13,DP,1000000002,1078,
82,,Spot,2,Image 1,13,DP,1000000004,1079,
149,,Spot,2,Image 1,13,DP,1000000003,1080,
105,,Spot,2,Image 1,13,DP,1000001009,1081,
72,,Spot,2,Image 1,14,DP,1000000000,1082,
61,,Spot,2,Image 1,14,DP,1000000001,1083,
95,,Spot,2,Image 1,14,DP,1000000002,1084,
116,,Spot,2,Image 1,14,DP,1000000004,1085,
117,,Spot,2,Image 1,14,DP,1000000003,1086,
112,,Spot,2,Image 1,14,DP,1000001009,1087,
75,,Spot,2,Image 1,15,DP,1000000000,1088,
83,,Spot,2,Image 1,15,DP,1000000002,1090,
109,,Spot,2,Image 1,15,DP;Mito,1000000004,1091,
102,,Spot,2,Image 1,15,DP,1000000003,1092,
91,,Spot,2,Image 1,15,DP,1000001009,1093,
59,,Spot,2,Image 1,15,DP,1000000001,1517,
115,,Spot,2,Image 1,16,DP,1000000000,1518,
107,,Spot,2,Image 1,16,DP,1000000002,1519,
99,,Spot,2,Image 1,16,DP;d1,1000000004,1520,
104,,Spot,2,Image 1,16,DP;d2,1000000004,1521,
95,,Spot,2,Image 1,16,DP,1000000003,1522,
87,,Spot,2,Image 1,16,DP,1000001009,1523,
65,,Spot,2,Image 1,16,DP,1000000001,1524,
103,,Spot,2,Image 1,17,DP,1000000000,1525,
85,,Spot,2,Image 1,17,DP,1000000002,1526,
65,,Spot,2,Image 1,17,DP;d1,1000000004,1527,
92,,Spot,2,Image 1,17,DP;d2,1000000004,1528,
129,,Spot,2,Image 1,17,DP,1000000003,1529,
84,,Spot,2,Image 1,17,DP,1000001009,1530,
61,,Spot,2,Image 1,17,DP,1000000001,1531,
83,,Spot,2,Image 1,18,DP,1000000000,1532,
97,,Spot,2,Image 1,18,DP,1000000002,1533,
95,,Spot,2,Image 1,18,DP;d1,1000000004,1534,
96,,Spot,2,Image 1,18,DP;d2,1000000004,1535,
132,,Spot,2,Image 1,18,DP,1000000003,1536,
83,,Spot,2,Image 1,18,DP,1000001009,1537,
56,,Spot,2,Image 1,18,DP,1000000001,1538,
82,,Spot,2,Image 1,19,DP,1000000000,1539,
80,,Spot,2,Image 1,19,DP,1000000002,1540,
103,,Spot,2,Image 1,19,DP;d1,1000000004,1541,
98,,Spot,2,Image 1,19,DP;d2,1000000004,1542,
144,,Spot,2,Image 1,19,DP,1000000003,1543,
103,,Spot,2,Image 1,19,DP,1000001009,1544,
65,,Spot,2,Image 1,19,DP,1000000001,1545,
129,,Spot,2,Image 1,20,DP,1000000000,1546,
66,,Spot,2,Image 1,20,DP,1000000001,1547,
116,,Spot,2,Image 1,20,DP,1000000002,1548,
95,,Spot,2,Image 1,20,DP;d1,1000000004,1549,
100,,Spot,2,Image 1,20,DP;d2,1000000004,1550,
121,,Spot,2,Image 1,20,DP,1000000003,1551,
101,,Spot,2,Image 1,20,DP,1000001009,1552,
83,,Spot,2,Image 1,21,DP,1000000000,1553,
60,,Spot,2,Image 1,21,DP,1000000001,1554,
85,,Spot,2,Image 1,21,DP,1000000002,1555,
115,,Spot,2,Image 1,21,DP;d1,1000000004,1556,
89,,Spot,2,Image 1,21,DP;d2,1000000004,1557,
105,,Spot,2,Image 1,21,DP,1000000003,1558,
102,,Spot,2,Image 1,21,DP,1000001009,1559,
76,,Spot,2,Image 1,22,DP,1000000000,1560,
66,,Spot,2,Image 1,22,DP,1000000001,1561,
91,,Spot,2,Image 1,22,DP,1000000002,1562,
133,,Spot,2,Image 1,22,DP;d1,1000000004,1563,
85,,Spot,2,Image 1,22,DP;d2,1000000004,1564,
142,,Spot,2,Image 1,22,DP,1000000003,1565,
104,,Spot,2,Image 1,22,DP,1000001009,1566,
71,,Spot,2,Image 1,23,DP,1000000000,1567,
70,,Spot,2,Image 1,23,DP,1000000001,1568,
94,,Spot,2,Image 1,23,DP,1000000002,1569,
128,,Spot,2,Image 1,23,DP;d1,1000000004,1570,
91,,Spot,2,Image 1,23,DP;d2,1000000004,1571,
143,,Spot,2,Image 1,23,DP,1000000003,1572,
94,,Spot,2,Image 1,23,DP,1000001009,1573,
83,,Spot,2,Image 1,24,DP,1000000000,1574,
66,,Spot,2,Image 1,24,DP,1000000001,1575,
89,,Spot,2,Image 1,24,DP,1000000002,1576,
123,,Spot,2,Image 1,24,DP;d1,1000000004,1577,
86,,Spot,2,Image 1,24,DP;d2,1000000004,1578,
128,,Spot,2,Image 1,24,DP,1000000003,1579,
110,,Spot,2,Image 1,24,DP,1000001009,1580,
101,,Spot,2,Image 1,25,DP,1000000000,1581,
83,,Spot,2,Image 1,25,DP,1000000001,1582,
99,,Spot,2,Image 1,25,DP,1000000002,1583,
138,,Spot,2,Image 1,25,DP;d1,1000000004,1584,
90,,Spot,2,Image 1,25,DP;d2,1000000004,1585,
125,,Spot,2,Image 1,25,DP,1000000003,1586,
117,,Spot,2,Image 1,25,DP,1000001009,1587,
86,,Spot,2,Image 1,26,DP,1000000000,1588,
55,,Spot,2,Image 1,26,DP,1000000001,1589,
99,,Spot,2,Image 1,26,DP,1000000002,1590,
118,,Spot,2,Image 1,26,DP;d1,1000000004,1591,
94,,Spot,2,Image 1,26,DP;d2,1000000004,1592,
101,,Spot,2,Image 1,26,DP,1000000003,1593,
123,,Spot,2,Image 1,26,DP,1000001009,1594,
78,,Spot,2,Image 1,27,DP,1000000000,1595,
96,,Spot,2,Image 1,27,DP,1000000001,1596,
105,,Spot,2,Image 1,27,DP,1000000002,1597,
131,,Spot,2,Image 1,27,DP;d1,1000000004,1598,
91,,Spot,2,Image 1,27,DP;d2,1000000004,1599,
148,,Spot,2,Image 1,27,DP,1000000003,1600,
121,,Spot,2,Image 1,27,DP,1000001009,1601,
88,,Spot,2,Image 1,28,DP,1000000000,1602,
89,,Spot,2,Image 1,28,DP,1000000001,1603,
82,,Spot,2,Image 1,28,DP,1000000002,1604,
111,,Spot,2,Image 1,28,DP;d1,1000000004,1605,
109,,Spot,2,Image 1,28,DP;d2,1000000004,1606,
107,,Spot,2,Image 1,28,DP,1000000003,1607,
122,,Spot,2,Image 1,28,DP,1000001009,1608,
105,,Spot,2,Image 1,29,DP,1000000000,1609,
95,,Spot,2,Image 1,29,DP,1000000001,1610,
64,,Spot,2,Image 1,29,Apoptosis;DP,1000000002,1611,
123,,Spot,2,Image 1,29,DP;d1,1000000004,1612,
117,,Spot,2,Image 1,29,DP;d2,1000000004,1613,
149,,Spot,2,Image 1,29,DP,1000000003,1614,
101,,Spot,2,Image 1,29,DP,1000001009,1615,
101,,Spot,2,Image 1,30,DP,1000000000,1616,
96,,Spot,2,Image 1,30,DP,1000000001,1617,
122,,Spot,2,Image 1,30,DP;d1,1000000004,1618,
95,,Spot,2,Image 1,30,DP;d2,1000000004,1619,
137,,Spot,2,Image 1,30,DP,1000000003,1620,
133,,Spot,2,Image 1,30,DP,1000001009,1621,
119,,Spot,2,Image 1,31,DP,1000000000,1622,
107,,Spot,2,Image 1,31,DP,1000000001,1623,
114,,Spot,2,Image 1,31,DP;d1,1000000004,1624,
99,,Spot,2,Image 1,31,DP;d2,1000000004,1625,
132,,Spot,2,Image 1,31,DP;Mito,1000000003,1626,
132,,Spot,2,Image 1,31,DP,1000001009,1627,
101,,Spot,2,Image 1,32,DP,1000000000,1628,
96,,Spot,2,Image 1,32,DP,1000000001,1629,
131,,Spot,2,Image 1,32,DP;d1,1000000004,1630,
101,,Spot,2,Image 1,32,DP;d2,1000000004,1631,
150,,Spot,2,Image 1,32,DP;d1,1000000003,1632,
106,,Spot,2,Image 1,32,DP;d2,1000000003,1633,
86,,Spot,2,Image 1,32,DP,1000001009,1634,
102,,Spot,2,Image 1,33,DP,1000000000,1635,
74,,Spot,2,Image 1,33,DP,1000000001,1636,
123,,Spot,2,Image 1,33,DP;d1,1000000004,1637,
77,,Spot,2,Image 1,33,DP;d2,1000000004,1638,
95,,Spot,2,Image 1,33,DP;d1,1000000003,1639,
144,,Spot,2,Image 1,33,DP;d2,1000000003,1640,
119,,Spot,2,Image 1,33,DP,1000001009,1641,
115,,Spot,2,Image 1,34,DP,1000000000,1642,
76,,Spot,2,Image 1,34,DP,1000000001,1643,
124,,Spot,2,Image 1,34,DP;d1,1000000004,1644,
95,,Spot,2,Image 1,34,DP;d2,1000000004,1645,
109,,Spot,2,Image 1,34,DP;d1,1000000003,1646,
104,,Spot,2,Image 1,34,DP;d2,1000000003,1647,
102,,Spot,2,Image 1,34,DP,1000001009,1648,
141,,Spot,2,Image 1,35,DP,1000000000,1649,
71,,Spot,2,Image 1,35,DP,1000000001,1650,
128,,Spot,2,Image 1,35,DP;d1,1000000004,1651,
83,,Spot,2,Image 1,35,DP;d2,1000000004,1652,
116,,Spot,2,Image 1,35,DP;d1,1000000003,1653,
87,,Spot,2,Image 1,35,DP;d2,1000000003,1654,
105,,Spot,2,Image 1,35,DP,1000001009,1655,
72,,Spot,2,Image 1,36,DP,1000000000,1656,
84,,Spot,2,Image 1,36,DP,1000000001,1657,
111,,Spot,2,Image 1,36,DP;d1,1000000004,1658,
97,,Spot,2,Image 1,36,DP;d2,1000000004,1659,
137,,Spot,2,Image 1,36,DP;d1,1000000003,1660,
105,,Spot,2,Image 1,36,DP;d2,1000000003,1661,
136,,Spot,2,Image 1,36,DP;Mito,1000001009,1662,
115,,Spot,2,Image 1,37,DP,1000000000,1663,
73,,Spot,2,Image 1,37,DP,1000000001,1664,
111,,Spot,2,Image 1,37,DP;d1,1000000004,1665,
107,,Spot,2,Image 1,37,DP;d2,1000000004,1666,
81,,Spot,2,Image 1,37,DP;d1,1000000003,1667,
130,,Spot,2,Image 1,37,DP;d2,1000000003,1668,
100,,Spot,2,Image 1,37,DP;d1,1000001009,1669,
169,,Spot,2,Image 1,37,DP;d2,1000001009,1670,
67,,Spot,2,Image 1,38,DP,1000000000,1671,
106,,Spot,2,Image 1,38,DP,1000000001,1672,
100,,Spot,2,Image 1,38,DP;d1,1000000004,1673,
115,,Spot,2,Image 1,38,DP;d2,1000000004,1674,
85,,Spot,2,Image 1,38,DP;d1,1000000003,1675,
126,,Spot,2,Image 1,38,DP;d2,1000001009,1676,
135,,Spot,2,Image 1,38,DP;d1,1000001009,1677,
93,,Spot,2,Image 1,38,DP;d2,1000000003,1678,
107,,Spot,2,Image 1,39,DP,1000000000,1679,
143,,Spot,2,Image 1,39,DP,1000000001,1680,
83,,Spot,2,Image 1,39,DP;d1,1000000004,1681,
76,,Spot,2,Image 1,39,DP;d2,1000000004,1682,
101,,Spot,2,Image 1,39,DP;d1,1000000003,1683,
98,,Spot,2,Image 1,39,DP;d2,1000001009,1684,
121,,Spot,2,Image 1,39,DP;d1,1000001009,1685,
85,,Spot,2,Image 1,39,DP;d2,1000000003,1686,
122,,Spot,2,Image 1,40,DP,1000000000,1687,
118,,Spot,2,Image 1,40,DP,1000000001,1688,
113,,Spot,2,Image 1,40,DP;d1,1000000004,1689,
153,,Spot,2,Image 1,40,DP;d2,1000000004,1690,
146,,Spot,2,Image 1,40,DP;d1,1000000003,1691,
89,,Spot,2,Image 1,40,DP;d2,1000001009,1692,
122,,Spot,2,Image 1,40,DP;d1,1000001009,1693,
110,,Spot,2,Image 1,40,DP;d2,1000000003,1694,
87,,Spot,2,Image 1,41,DP,1000000000,1695,
111,,Spot,2,Image 1,41,DP,1000000001,1696,
102,,Spot,2,Image 1,41,DP;d1,1000000004,1697,
145,,Spot,2,Image 1,41,DP;d2,1000000004,1698,
101,,Spot,2,Image 1,41,DP;d1,1000000003,1699,
88,,Spot,2,Image 1,41,DP;d2,1000001009,1700,
132,,Spot,2,Image 1,41,DP;d1,1000001009,1701,
82,,Spot,2,Image 1,41,DP;d2,1000000003,1702,
82,,Spot,2,Image 1,42,DP,1000000000,1703,
105,,Spot,2,Image 1,42,DP,1000000001,1704,
109,,Spot,2,Image 1,42,DP;d1,1000000004,1705,
156,,Spot,2,Image 1,42,DP;d2,1000000004,1706,
104,,Spot,2,Image 1,42,DP;d1,1000000003,1707,
