
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
287.08,,Spot,2,Image 1,1,DP,1000000000,0,
230.056,,Spot,2,Image 1,1,DP,1000000001,1,
244.6,,Spot,2,Image 1,1,DP,1000000002,2,
216.152,,Spot,2,Image 1,1,DP,1000000003,3,
209.072,,Spot,2,Image 1,1,DP,1000000004,4,
199.96,,Spot,2,Image 1,1,DP,1000000005,5,
283.72,,Spot,2,Image 1,2,DP,1000000000,6,
222.1,,Spot,2,Image 1,2,DP,1000000002,8,
234,,Spot,2,Image 1,2,DP,1000000001,88,
242.016,,Spot,2,Image 1,2,DP,1000000003,125,
207.96,,Spot,2,Image 1,2,DP,1000000004,132,
192.048,,Spot,2,Image 1,2,DP,1000000005,138,
179.008,,Spot,2,Image 1,3,Apoptosis;DP,1000000000,139,
234.056,,Spot,2,Image 1,3,DP,1000000002,140,
227.04,,Spot,2,Image 1,3,DP,1000000001,141,
193.05,,Spot,2,Image 1,3,DP,1000000003,142,
199,,Spot,2,Image 1,3,DP,1000000004,143,
209.048,,Spot,2,Image 1,3,DP,1000000005,144,
243.136,,Spot,2,Image 1,4,DP,1000000002,145,
219.936,,Spot,2,Image 1,4,DP,1000000001,146,
205.088,,Spot,2,Image 1,4,DP,1000000003,147,
193.912,,Spot,2,Image 1,4,DP,1000000004,148,
200.096,,Spot,2,Image 1,4,DP,1000000005,149,
218.02,,Spot,2,Image 1,5,DP,1000000002,150,
218.048,,Spot,2,Image 1,5,DP,1000000001,151,
212.992,,Spot,2,Image 1,5,DP,1000000003,152,
185.072,,Spot,2,Image 1,5,DP,1000000004,153,
219.036,,Spot,2,Image 1,5,DP,1000000005,154,
229.1,,Spot,2,Image 1,6,DP,1000000002,155,
206.088,,Spot,2,Image 1,6,DP,1000000001,156,
217.208,,Spot,2,Image 1,6,DP,1000000003,157,
182.92,,Spot,2,Image 1,6,DP,1000000004,158,
227.912,,Spot,2,Image 1,6,DP,1000000005,159,
244.08,,Spot,2,Image 1,7,DP,1000000002,160,
216.036,,Spot,2,Image 1,7,DP,1000000001,161,
231.024,,Spot,2,Image 1,7,DP,1000000003,162,
189.88,,Spot,2,Image 1,7,DP,1000000004,163,
234.992,,Spot,2,Image 1,7,DP,1000000005,164,
248.976,,Spot,2,Image 1,8,DP,1000000002,165,
224.968,,Spot,2,Image 1,8,DP,1000000001,166,
282,,Spot,2,Image 1,8,DP,1000000003,167,
196.04,,Spot,2,Image 1,8,DP,1000000005,168,
205.04,,Spot,2,Image 1,9,DP,1000000002,169,
188.968,,Spot,2,Image 1,9,DP,1000000001,170,
205.04,,Spot,2,Image 1,9,DP,1000000005,171,
195.048,,Spot,2,Image 1,10,DP,1000000002,172,
216.968,,Spot,2,Image 1,10,DP,1000000001,173,
