
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
330,,Spot,2,Image 1,1,PRE,1000000000,0,
329,,Spot,2,Image 1,1,PRE,1000000001,1,
340,,Spot,2,Image 1,1,PRE,1000000002,2,
549,,Spot,2,Image 1,1,PRE,1000000003,3,
365,,Spot,2,Image 1,1,PRE,1000000004,4,
376,,Spot,2,Image 1,1,PRE,1000000005,5,
370,,Spot,2,Image 1,1,PRE,1000000006,6,
368,,Spot,2,Image 1,2,PRE,1000000001,7,
361,,Spot,2,Image 1,2,PRE,1000000002,71,
396,,Spot,2,Image 1,2,Apoptosis;PRE,1000000006,292,
402,,Spot,2,Image 1,2,PRE,1000000005,293,
357,,Spot,2,Image 1,2,PRE,1000000004,371,
319,,Spot,2,Image 1,2,PRE,1000000003,487,
356,,Spot,2,Image 1,3,PRE,1000000001,488,
374,,Spot,2,Image 1,3,PRE,1000000002,489,
385,,Spot,2,Image 1,3,PRE,1000000005,491,
345,,Spot,2,Image 1,3,PRE,1000000004,492,
269,,Spot,2,Image 1,3,PRE,1000000003,493,
330,,Spot,2,Image 1,4,PRE,1000000001,494,
357,,Spot,2,Image 1,4,PRE,1000000002,495,
388,,Spot,2,Image 1,4,PRE,1000000000,496,
448,,Spot,2,Image 1,4,PRE,1000000005,497,
369,,Spot,2,Image 1,4,PRE,1000000004,498,
288,,Spot,2,Image 1,4,PRE,1000000003,499,
341,,Spot,2,Image 1,5,PRE,1000000001,500,
327,,Spot,2,Image 1,5,PRE,1000000002,501,
368,,Spot,2,Image 1,5,PRE,1000000005,503,
387,,Spot,2,Image 1,5,PRE,1000000004,504,
247,,Spot,2,Image 1,5,PRE,1000000003,505,
298,,Spot,2,Image 1,6,PRE,1000000001,506,
351,,Spot,2,Image 1,6,PRE,1000000002,507,
354,,Spot,2,Image 1,6,PRE,1000000005,509,
338,,Spot,2,Image 1,6,PRE,1000000004,510,
305,,Spot,2,Image 1,6,PRE,1000000003,511,
344,,Spot,2,Image 1,7,PRE,1000000001,512,
308,,Spot,2,Image 1,7,PRE,1000000002,513,
369,,Spot,2,Image 1,7,PRE,1000000005,515,
310,,Spot,2,Image 1,7,PRE,1000000004,516,
302,,Spot,2,Image 1,7,PRE,1000000003,517,
311,,Spot,2,Image 1,8,PRE,1000000001,518,
322,,Spot,2,Image 1,8,PRE,1000000002,519,
331,,Spot,2,Image 1,8,PRE,1000000000,520,
397,,Spot,2,Image 1,8,PRE,1000000005,521,
382,,Spot,2,Image 1,8,Mito;PRE,1000000004,522,
312,,Spot,2,Image 1,8,PRE,1000000003,523,
349,,Spot,2,Image 1,9,PRE,1000000001,524,
311,,Spot,2,Image 1,9,PRE,1000000002,525,
316,,Spot,2,Image 1,9,PRE,1000000000,526,
367,,Spot,2,Image 1,9,PRE,1000000005,527,
294,,Spot,2,Image 1,9,PRE;d1,1000000004,528,
326,,Spot,2,Image 1,9,PRE;d2,1000000004,529,
305,,Spot,2,Image 1,9,PRE,1000000003,530,
384,,Spot,2,Image 1,10,PRE,1000000001,531,
380,,Spot,2,Image 1,10,PRE,1000000002,532,
326,,Spot,2,Image 1,10,PRE,1000000000,533,
345,,Spot,2,Image 1,10,PRE,1000000005,534,
338,,Spot,2,Image 1,10,PRE;d1,1000000004,535,
409,,Spot,2,Image 1,10,PRE;d2,1000000004,536,
