
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
224.856,,Spot,2,Image 1,1,PRE;targeted,1000000000,0,
217.024,,Spot,2,Image 1,1,Apoptosis;PRE;targeted,,1,
212.952,,Spot,2,Image 1,1,PRE;targeted,1000000003,3,
187.036,,Spot,2,Image 1,1,PRE;targeted,1000000026,26,
169.024,,Spot,2,Image 1,2,PRE;targeted,1000000000,27,
196.16,,Spot,2,Image 1,2,PRE;targeted,1000000003,28,
198.2,,Spot,2,Image 1,2,PRE;targeted,1000000026,29,
199.976,,Spot,2,Image 1,3,PRE;targeted,1000000000,30,
214.912,,Spot,2,Image 1,3,PRE;targeted,1000000003,31,
194.152,,Spot,2,Image 1,3,PRE;targeted,1000000026,32,
210.096,,Spot,2,Image 1,4,Apoptosis;PRE;targeted,1000000000,33,
226.936,,Spot,2,Image 1,4,PRE;targeted,1000000003,34,
176.04,,Spot,2,Image 1,4,PRE;targeted,1000000026,35,
199.952,,Spot,2,Image 1,5,PRE;targeted,1000000003,36,
193.01,,Spot,2,Image 1,5,PRE;targeted,1000000026,37,
191.144,,Spot,2,Image 1,6,PRE;targeted,1000000003,38,
190.962,,Spot,2,Image 1,6,PRE;targeted,1000000026,39,
195.104,,Spot,2,Image 1,7,PRE;targeted,1000000003,40,
186.08,,Spot,2,Image 1,7,PRE;targeted,1000000026,41,
197.04,,Spot,2,Image 1,8,PRE;targeted,1000000003,42,
222.936,,Spot,2,Image 1,8,PRE;targeted,1000000026,43,
212.12,,Spot,2,Image 1,9,PRE;targeted,1000000003,44,
213,,Spot,2,Image 1,9,PRE;targeted,1000000026,45,
173.936,,Spot,2,Image 1,10,PRE;targeted,1000000003,46,
213.976,,Spot,2,Image 1,10,PRE;targeted,1000000026,47,
198,,Spot,2,Image 1,11,PRE;targeted,1000000003,48,
186.6,,Spot,2,Image 1,11,PRE;targeted,1000000026,49,
247.088,,Spot,2,Image 1,12,PRE;targeted,1000000003,50,
174.136,,Spot,2,Image 1,12,PRE;targeted,1000000026,51,
224.032,,Spot,2,Image 1,13,PRE;targeted,1000000003,52,
205,,Spot,2,Image 1,13,PRE;targeted,1000000026,53,
220.096,,Spot,2,Image 1,14,PRE;targeted,1000000003,54,
202.008,,Spot,2,Image 1,14,PRE;targeted,1000000026,55,
214.968,,Spot,2,Image 1,15,PRE;targeted,1000000003,56,
207,,Spot,2,Image 1,15,PRE;targeted,1000000026,57,
205.04,,Spot,2,Image 1,16,PRE;targeted,1000000003,58,
198.916,,Spot,2,Image 1,16,PRE;targeted,1000000026,59,
189.64,,Spot,2,Image 1,17,PRE;targeted,1000000003,60,
188,,Spot,2,Image 1,17,PRE;targeted,1000000026,61,
158.936,,Spot,2,Image 1,18,PRE;targeted,1000000003,62,
205,,Spot,2,Image 1,18,Apoptosis;PRE;targeted,1000000026,63,
185.08,,Spot,2,Image 1,19,PRE;targeted,1000000003,64,
233.904,,Spot,2,Image 1,20,Apoptosis;PRE;targeted,1000000003,65,
