
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
12,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
10,,Spot,1,Image 1,1,Apoptosis;PRE;targeted,,1,
9,,Spot,1,Image 1,1,PRE;targeted,1000000003,3,
11,,Spot,1,Image 1,1,PRE;targeted,1000000026,26,
15,,Spot,1,Image 1,2,PRE;targeted,1000000000,27,
11,,Spot,1,Image 1,2,PRE;targeted,1000000003,28,
9,,Spot,1,Image 1,2,PRE;targeted,1000000026,29,
9,,Spot,1,Image 1,3,PRE;targeted,1000000000,30,
11,,Spot,1,Image 1,3,PRE;targeted,1000000003,31,
5,,Spot,1,Image 1,3,PRE;targeted,1000000026,32,
12,,Spot,1,Image 1,4,Apoptosis;PRE;targeted,1000000000,33,
11,,Spot,1,Image 1,4,PRE;targeted,1000000003,34,
8,,Spot,1,Image 1,4,PRE;targeted,1000000026,35,
6,,Spot,1,Image 1,5,PRE;targeted,1000000003,36,
6,,Spot,1,Image 1,5,PRE;targeted,1000000026,37,
9,,Spot,1,Image 1,6,PRE;targeted,1000000003,38,
12,,Spot,1,Image 1,6,PRE;targeted,1000000026,39,
10,,Spot,1,Image 1,7,PRE;targeted,1000000003,40,
8,,Spot,1,Image 1,7,PRE;targeted,1000000026,41,
9,,Spot,1,Image 1,8,PRE;targeted,1000000003,42,
9,,Spot,1,Image 1,8,PRE;targeted,1000000026,43,
7,,Spot,1,Image 1,9,PRE;targeted,1000000003,44,
10,,Spot,1,Image 1,9,PRE;targeted,1000000026,45,
12,,Spot,1,Image 1,10,PRE;targeted,1000000003,46,
12,,Spot,1,Image 1,10,PRE;targeted,1000000026,47,
10,,Spot,1,Image 1,11,PRE;targeted,1000000003,48,
10,,Spot,1,Image 1,11,PRE;targeted,1000000026,49,
8,,Spot,1,Image 1,12,PRE;targeted,1000000003,50,
12,,Spot,1,Image 1,12,PRE;targeted,1000000026,51,
10,,Spot,1,Image 1,13,PRE;targeted,1000000003,52,
13,,Spot,1,Image 1,13,PRE;targeted,1000000026,53,
12,,Spot,1,Image 1,14,PRE;targeted,1000000003,54,
9,,Spot,1,Image 1,14,PRE;targeted,1000000026,55,
10,,Spot,1,Image 1,15,PRE;targeted,1000000003,56,
11,,Spot,1,Image 1,15,PRE;targeted,1000000026,57,
7,,Spot,1,Image 1,16,PRE;targeted,1000000003,58,
12,,Spot,1,Image 1,16,PRE;targeted,1000000026,59,
12,,Spot,1,Image 1,17,PRE;targeted,1000000003,60,
12,,Spot,1,Image 1,17,PRE;targeted,1000000026,61,
12,,Spot,1,Image 1,18,PRE;targeted,1000000003,62,
10,,Spot,1,Image 1,18,Apoptosis;PRE;targeted,1000000026,63,
15,,Spot,1,Image 1,19,PRE;targeted,1000000003,64,
12,,Spot,1,Image 1,20,Apoptosis;PRE;targeted,1000000003,65,
