
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
133.261,,Spot,1,Image 1,1,PRE,1000000007,7,
108.631,,Spot,1,Image 1,1,PRE,1000001054,1054,
129.271,,Spot,1,Image 1,1,PRE,1000001055,1055,
150.536,,Spot,1,Image 1,1,PRE,1000001056,1056,
81.7618,,Spot,1,Image 1,1,PRE,1000001057,1057,
86.3666,,Spot,1,Image 1,1,PRE,1000001058,1058,
87.5668,,Spot,1,Image 1,1,PRE,1000001060,1060,
80.2729,,Spot,1,Image 1,1,PRE,1000001061,1061,
131.475,,Spot,1,Image 1,1,PRE,1000001062,1062,
100.47,,Spot,1,Image 1,1,PRE,1000001063,1063,
148.935,,Spot,1,Image 1,1,PRE,1000001627,1627,
93.8798,,Spot,1,Image 1,2,Apoptosis;PRE,1000000007,1628,
87.8421,,Spot,1,Image 1,2,PRE,1000001054,1629,
148.756,,Spot,1,Image 1,2,PRE,1000001056,1630,
127.802,,Spot,1,Image 1,2,PRE,1000001055,1631,
131.493,,Spot,1,Image 1,2,Apoptosis;PRE,1000001062,1632,
98.9951,,Spot,1,Image 1,2,PRE,1000001063,1633,
79.0543,,Spot,1,Image 1,2,PRE,1000001058,1634,
61.2282,,Spot,1,Image 1,2,PRE,1000001057,1635,
78.4438,,Spot,1,Image 1,2,PRE,1000001061,1636,
74.2242,,Spot,1,Image 1,2,PRE,1000001060,1637,
134.298,,Spot,1,Image 1,2,PRE,1000001627,1638,
90.2323,,Spot,1,Image 1,3,PRE,1000001054,1639,
113.053,,Spot,1,Image 1,3,PRE,1000001055,1640,
150.621,,Spot,1,Image 1,3,PRE,1000001056,1641,
78.4163,,Spot,1,Image 1,3,PRE,1000001058,1642,
64.6852,,Spot,1,Image 1,3,PRE,1000001060,1643,
71.8285,,Spot,1,Image 1,3,PRE,1000001057,1644,
90.8813,,Spot,1,Image 1,3,PRE,1000001061,1645,
136.364,,Spot,1,Image 1,3,PRE,1000001627,1646,
97.7197,,Spot,1,Image 1,3,PRE,1000001063,1851,
93.7831,,Spot,1,Image 1,4,PRE,1000001054,1852,
116.785,,Spot,1,Image 1,4,PRE,1000001055,1853,
153.076,,Spot,1,Image 1,4,PRE,1000001056,1854,
85.8645,,Spot,1,Image 1,4,PRE,1000001058,1855,
66.3759,,Spot,1,Image 1,4,PRE,1000001060,1856,
75.8581,,Spot,1,Image 1,4,PRE,1000001057,1857,
87.3106,,Spot,1,Image 1,4,PRE,1000001061,1858,
137.238,,Spot,1,Image 1,4,PRE,1000001627,1859,
85.3427,,Spot,1,Image 1,4,PRE,1000001063,1860,
81.7449,,Spot,1,Image 1,5,PRE,1000001054,1861,
95.7402,,Spot,1,Image 1,5,PRE,1000001055,1862,
141.068,,Spot,1,Image 1,5,PRE,1000001056,1863,
86.6626,,Spot,1,Image 1,5,PRE,1000001058,1864,
66.6504,,Spot,1,Image 1,5,PRE,1000001060,1865,
77.8512,,Spot,1,Image 1,5,PRE,1000001057,1866,
84.5436,,Spot,1,Image 1,5,PRE,1000001061,1867,
140.19,,Spot,1,Image 1,5,PRE,1000001627,1868,
84.9515,,Spot,1,Image 1,5,PRE,1000001063,1869,
90.9672,,Spot,1,Image 1,6,PRE,1000001054,1870,
115.696,,Spot,1,Image 1,6,PRE,1000001055,1871,
141.492,,Spot,1,Image 1,6,PRE,1000001056,1872,
83.6589,,Spot,1,Image 1,6,PRE,1000001058,1873,
69.453,,Spot,1,Image 1,6,PRE,1000001060,1874,
69.265,,Spot,1,Image 1,6,PRE,1000001057,1875,
81.346,,Spot,1,Image 1,6,PRE,1000001061,1876,
134.51,,Spot,1,Image 1,6,PRE,1000001627,1877,
83.4189,,Spot,1,Image 1,6,PRE,1000001063,1878,
84.9232,,Spot,1,Image 1,7,PRE,1000001054,1879,
121.11,,Spot,1,Image 1,7,PRE,1000001055,1880,
137.201,,Spot,1,Image 1,7,PRE,1000001056,1881,
70.6341,,Spot,1,Image 1,7,PRE,1000001058,1882,
71.9955,,Spot,1,Image 1,7,PRE,1000001060,1883,
89.497,,Spot,1,Image 1,7,PRE,1000001057,1884,
81.3017,,Spot,1,Image 1,7,PRE,1000001061,1885,
134.82,,Spot,1,Image 1,7,PRE,1000001627,1886,
93.0654,,Spot,1,Image 1,7,PRE,1000001063,1887,
103.992,,Spot,1,Image 1,8,PRE,1000001054,1888,
127.882,,Spot,1,Image 1,8,PRE,1000001055,1889,
137.295,,Spot,1,Image 1,8,PRE,1000001056,1890,
82.6186,,Spot,1,Image 1,8,PRE,1000001058,1891,
71.8462,,Spot,1,Image 1,8,PRE,1000001060,1892,
89.8733,,Spot,1,Image 1,8,PRE,1000001057,1893,
77.1924,,Spot,1,Image 1,8,PRE,1000001061,1894,
143.65,,Spot,1,Image 1,8,PRE,1000001627,1895,
88.8544,,Spot,1,Image 1,8,PRE,1000001063,1896,
102.363,,Spot,1,Image 1,9,PRE,1000001054,1897,
133.03,,Spot,1,Image 1,9,PRE,1000001055,1898,
139.648,,Spot,1,Image 1,9,PRE,1000001056,1899,
77.1785,,Spot,1,Image 1,9,PRE,1000001058,1900,
68.5474,,Spot,1,Image 1,9,PRE,1000001060,1901,
89.3527,,Spot,1,Image 1,9,PRE,1000001057,1902,
80.8344,,Spot,1,Image 1,9,PRE,1000001061,1903,
143.574,,Spot,1,Image 1,9,PRE,1000001627,1904,
96.883,,Spot,1,Image 1,9,PRE,1000001063,1905,
107.403,,Spot,1,Image 1,10,PRE,1000001054,1906,
134.384,,Spot,1,Image 1,10,PRE,1000001055,1907,
140.6,,Spot,1,Image 1,10,PRE,1000001056,1908,
83.3042,,Spot,1,Image 1,10,PRE,1000001058,1909,
70.3192,,Spot,1,Image 1,10,PRE,1000001060,1910,
97.5825,,Spot,1,Image 1,10,PRE,1000001057,1911,
82.851,,Spot,1,Image 1,10,PRE,1000001061,1912,
143.689,,Spot,1,Image 1,10,PRE,1000001627,1913,
96.334,,Spot,1,Image 1,10,PRE,1000001063,1914,
115.004,,Spot,1,Image 1,11,PRE,1000001054,1915,
147.891,,Spot,1,Image 1,11,PRE,1000001055,1916,
142.131,,Spot,1,Image 1,11,PRE,1000001056,1917,
90.4996,,Spot,1,Image 1,11,PRE,1000001058,1918,
71.6634,,Spot,1,Image 1,11,PRE,1000001060,1919,
95.084,,Spot,1,Image 1,11,PRE,1000001057,1920,
88.3429,,Spot,1,Image 1,11,PRE,1000001061,1921,
148.45,,Spot,1,Image 1,11,PRE,1000001627,1922,
98.4881,,Spot,1,Image 1,11,PRE,1000001063,1923,
