
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
754.877,,Spot,3,Image 1,1,PRE;d1,1000000000,0,
635.398,,Spot,3,Image 1,1,PRE,1000000055,55,
740.213,,Spot,3,Image 1,1,PRE,1000000135,135,
733.973,,Spot,3,Image 1,1,DP,1000000180,180,
670.835,,Spot,3,Image 1,1,DP,1000000260,260,
706.467,,Spot,3,Image 1,1,PRE,1000000386,386,
694.239,,Spot,3,Image 1,1,DP,1000000478,478,
823.143,,Spot,3,Image 1,1,DP,1000001040,1040,
740.943,,Spot,3,Image 1,1,DP,1000001042,1042,
736.113,,Spot,3,Image 1,1,DP,1000001044,1044,
569.634,,Spot,3,Image 1,1,DP,1000001045,1045,
734.024,,Spot,3,Image 1,1,DP,1000001047,1047,
667.329,,Spot,3,Image 1,1,DP,1000001048,1048,
684.274,,Spot,3,Image 1,1,DP,1000001494,1494,
691.959,,Spot,3,Image 1,2,PRE,1000000000,1495,
612.533,,Spot,3,Image 1,2,PRE,1000000055,1496,
705.898,,Spot,3,Image 1,2,PRE,1000000135,1497,
731.333,,Spot,3,Image 1,2,DP,1000000180,1498,
668.026,,Spot,3,Image 1,2,DP,1000000260,1499,
738.573,,Spot,3,Image 1,2,PRE,1000000386,1500,
679.361,,Spot,3,Image 1,2,DP,1000000478,1501,
678.234,,Spot,3,Image 1,2,DP;Mito,1000001048,1502,
696.252,,Spot,3,Image 1,2,DP,1000001042,1503,
762.389,,Spot,3,Image 1,2,DP,1000001040,1504,
759.282,,Spot,3,Image 1,2,DP,1000001044,1505,
772.168,,Spot,3,Image 1,2,DP,1000001047,1506,
686.365,,Spot,3,Image 1,2,DP,1000001494,1507,
562.503,,Spot,3,Image 1,2,DP,1000001045,1592,
774.895,,Spot,3,Image 1,3,PRE,1000000000,1593,
639.779,,Spot,3,Image 1,3,PRE,1000000055,1594,
726.747,,Spot,3,Image 1,3,PRE,1000000135,1595,
724.29,,Spot,3,Image 1,3,DP,1000000180,1596,
689.353,,Spot,3,Image 1,3,DP,1000000260,1597,
720.324,,Spot,3,Image 1,3,PRE,1000000386,1598,
727.281,,Spot,3,Image 1,3,DP,1000000478,1599,
741.932,,Spot,3,Image 1,3,DP;d1,1000001048,1600,
644.179,,Spot,3,Image 1,3,DP;d2,1000001048,1601,
741.24,,Spot,3,Image 1,3,DP,1000001042,1602,
884.713,,Spot,3,Image 1,3,DP,1000001040,1603,
769.398,,Spot,3,Image 1,3,DP,1000001044,1604,
693.916,,Spot,3,Image 1,3,DP;Mito,1000001047,1605,
742.965,,Spot,3,Image 1,3,DP,1000001494,1606,
603.278,,Spot,3,Image 1,3,DP,1000001045,1607,
710.692,,Spot,3,Image 1,4,PRE,1000000000,1608,
614.503,,Spot,3,Image 1,4,PRE,1000000055,1609,
781.989,,Spot,3,Image 1,4,PRE,1000000135,1610,
669.339,,Spot,3,Image 1,4,DP,1000000180,1611,
740.82,,Spot,3,Image 1,4,DP,1000000260,1612,
779.374,,Spot,3,Image 1,4,PRE,1000000386,1613,
698.878,,Spot,3,Image 1,4,DP,1000000478,1614,
736.465,,Spot,3,Image 1,4,DP;d1,1000001048,1615,
656.849,,Spot,3,Image 1,4,DP;d2,1000001048,1616,
785.806,,Spot,3,Image 1,4,DP,1000001042,1617,
878.178,,Spot,3,Image 1,4,DP,1000001040,1618,
773.597,,Spot,3,Image 1,4,DP,1000001044,1619,
774.245,,Spot,3,Image 1,4,DP;d1,1000001047,1620,
813.007,,Spot,3,Image 1,4,DP;d2,1000001047,1621,
786.331,,Spot,3,Image 1,4,DP,1000001494,1622,
578.619,,Spot,3,Image 1,4,DP,1000001045,1623,
683.906,,Spot,3,Image 1,5,PRE,1000000000,1624,
649.086,,Spot,3,Image 1,5,PRE,1000000055,1625,
699.367,,Spot,3,Image 1,5,PRE,1000000135,1626,
709.727,,Spot,3,Image 1,5,DP,1000000180,1627,
697.49,,Spot,3,Image 1,5,DP,1000000260,1628,
730.641,,Spot,3,Image 1,5,PRE,1000000386,1629,
710.869,,Spot,3,Image 1,5,DP,1000000478,1630,
638.863,,Spot,3,Image 1,5,DP;d1,1000001048,1631,
