
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
706.585,,Spot,2,Image 1,1,PRE,1000000016,16,
545.311,,Spot,2,Image 1,1,PRE,1000000096,96,
367.49,,Spot,2,Image 1,1,PRE,1000000237,237,
432.418,,Spot,2,Image 1,1,PRE,1000000301,301,
405.765,,Spot,2,Image 1,1,PRE,1000000677,677,
328.75,,Spot,2,Image 1,1,DP,1000000704,704,
511.754,,Spot,2,Image 1,1,PRE,1000001185,1185,
166.51,,Spot,2,Image 1,1,DP,1000001186,1186,
215.982,,Spot,2,Image 1,1,PRE,1000001187,1187,
743.826,,Spot,2,Image 1,2,PRE,1000000016,1188,
518.993,,Spot,2,Image 1,2,PRE,1000000096,1189,
396.432,,Spot,2,Image 1,2,PRE,1000000237,1190,
416.013,,Spot,2,Image 1,2,PRE,1000000301,1191,
382.51,,Spot,2,Image 1,2,PRE,1000000677,1192,
336.056,,Spot,2,Image 1,2,DP,1000000704,1193,
163.76,,Spot,2,Image 1,2,DP,1000001186,1194,
215.347,,Spot,2,Image 1,2,PRE,1000001187,1264,
544.061,,Spot,2,Image 1,2,PRE,1000001185,1300,
668.881,,Spot,2,Image 1,3,PRE,1000000016,1301,
488.455,,Spot,2,Image 1,3,PRE,1000000096,1302,
375.327,,Spot,2,Image 1,3,PRE,1000000237,1303,
397.74,,Spot,2,Image 1,3,PRE,1000000301,1304,
412.611,,Spot,2,Image 1,3,PRE,1000000677,1305,
384.729,,Spot,2,Image 1,3,DP,1000000704,1306,
180.375,,Spot,2,Image 1,3,DP,1000001186,1307,
211.25,,Spot,2,Image 1,3,PRE,1000001187,1308,
629.922,,Spot,2,Image 1,3,PRE,1000001185,1309,
696.049,,Spot,2,Image 1,4,PRE,1000000016,1310,
533.433,,Spot,2,Image 1,4,PRE,1000000096,1311,
381.917,,Spot,2,Image 1,4,PRE,1000000237,1312,
317.989,,Spot,2,Image 1,4,PRE,1000000301,1313,
359.702,,Spot,2,Image 1,4,PRE,1000000677,1314,
330.65,,Spot,2,Image 1,4,DP,1000000704,1315,
201.574,,Spot,2,Image 1,4,DP,1000001186,1316,
187.749,,Spot,2,Image 1,4,PRE,1000001187,1317,
612.349,,Spot,2,Image 1,4,PRE,1000001185,1318,
712.766,,Spot,2,Image 1,5,PRE,1000000016,1319,
475.544,,Spot,2,Image 1,5,PRE,1000000096,1320,
373.113,,Spot,2,Image 1,5,PRE,1000000237,1321,
311.977,,Spot,2,Image 1,5,PRE,1000000301,1322,
453.746,,Spot,2,Image 1,5,PRE,1000000677,1323,
366.598,,Spot,2,Image 1,5,DP,1000000704,1324,
226.725,,Spot,2,Image 1,5,DP,1000001186,1325,
208.142,,Spot,2,Image 1,5,PRE,1000001187,1326,
510.623,,Spot,2,Image 1,5,PRE,1000001185,1327,
680.122,,Spot,2,Image 1,6,PRE,1000000016,1328,
488.635,,Spot,2,Image 1,6,PRE,1000000096,1329,
348.765,,Spot,2,Image 1,6,PRE,1000000237,1330,
