
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
797.992,,Spot,3,Image 1,1,PRE,1000000000,0,
711.48,,Spot,3,Image 1,1,DP,1000000116,116,
825.14,,Spot,3,Image 1,1,DP,1000000245,245,
749.224,,Spot,3,Image 1,1,DP,1000000269,269,
621.964,,Spot,3,Image 1,1,DP,1000000325,325,
720.083,,Spot,3,Image 1,1,DP,1000000433,433,
645.29,,Spot,3,Image 1,1,DP,1000000591,591,
783.44,,Spot,3,Image 1,2,PRE,1000000000,592,
710.752,,Spot,3,Image 1,2,DP,1000000116,593,
804.16,,Spot,3,Image 1,2,DP,1000000245,594,
741.808,,Spot,3,Image 1,2,DP,1000000269,595,
655.952,,Spot,3,Image 1,2,DP,1000000325,596,
719.176,,Spot,3,Image 1,2,DP,1000000433,597,
711.584,,Spot,3,Image 1,2,DP,1000000591,598,
787.368,,Spot,3,Image 1,3,PRE,1000000000,599,
701.872,,Spot,3,Image 1,3,DP,1000000116,600,
791,,Spot,3,Image 1,3,DP,1000000245,601,
717.656,,Spot,3,Image 1,3,DP,1000000269,602,
641.16,,Spot,3,Image 1,3,DP,1000000325,603,
672.016,,Spot,3,Image 1,3,DP,1000000433,604,
692.52,,Spot,3,Image 1,3,DP,1000000591,605,
785.064,,Spot,3,Image 1,4,PRE,1000000000,606,
718.904,,Spot,3,Image 1,4,DP,1000000116,607,
775.08,,Spot,3,Image 1,4,DP,1000000245,608,
674.872,,Spot,3,Image 1,4,DP,1000000269,609,
660.202,,Spot,3,Image 1,4,DP,1000000325,610,
639.152,,Spot,3,Image 1,4,DP,1000000433,611,
673.44,,Spot,3,Image 1,4,DP,1000000591,612,
789.88,,Spot,3,Image 1,5,PRE,1000000000,613,
699.064,,Spot,3,Image 1,5,DP,1000000116,614,
746.96,,Spot,3,Image 1,5,DP,1000000245,615,
635.4,,Spot,3,Image 1,5,DP,1000000269,616,
694.96,,Spot,3,Image 1,5,DP,1000000325,617,
602.576,,Spot,3,Image 1,5,DP,1000000433,618,
659.16,,Spot,3,Image 1,5,DP,1000000591,619,
795.84,,Spot,3,Image 1,6,PRE,1000000000,620,
695.88,,Spot,3,Image 1,6,DP,1000000116,621,
694.976,,Spot,3,Image 1,6,DP,1000000245,622,
591.32,,Spot,3,Image 1,6,DP,1000000269,623,
731.208,,Spot,3,Image 1,6,DP,1000000325,624,
592.908,,Spot,3,Image 1,6,DP,1000000433,625,
684.48,,Spot,3,Image 1,6,DP,1000000591,626,
807.776,,Spot,3,Image 1,7,PRE,1000000000,627,
698.96,,Spot,3,Image 1,7,DP,1000000116,628,
676.824,,Spot,3,Image 1,7,DP,1000000245,629,
712.548,,Spot,3,Image 1,7,DP,1000000269,630,
756.832,,Spot,3,Image 1,7,DP,1000000325,631,
588.792,,Spot,3,Image 1,7,DP,1000000433,632,
737.344,,Spot,3,Image 1,7,DP,1000000591,633,
788.96,,Spot,3,Image 1,8,PRE,1000000000,634,
780.176,,Spot,3,Image 1,8,DP,1000000116,635,
616.936,,Spot,3,Image 1,8,DP,1000000245,636,
701.36,,Spot,3,Image 1,8,DP,1000000269,637,
801.904,,Spot,3,Image 1,8,DP,1000000325,638,
610.864,,Spot,3,Image 1,8,DP,1000000433,639,
734.92,,Spot,3,Image 1,8,DP,1000000591,640,
779.768,,Spot,3,Image 1,9,PRE,1000000000,641,
759.624,,Spot,3,Image 1,9,DP,1000000116,642,
784.016,,Spot,3,Image 1,9,DP,1000000591,643,
674.716,,Spot,3,Image 1,9,DP,1000000245,644,
686.912,,Spot,3,Image 1,9,DP,1000000269,645,
795.12,,Spot,3,Image 1,9,DP,1000000325,646,
615.076,,Spot,3,Image 1,9,DP,1000000433,647,
779.872,,Spot,3,Image 1,10,PRE,1000000000,648,
795.072,,Spot,3,Image 1,10,DP,1000000116,649,
804.856,,Spot,3,Image 1,10,DP,1000000591,650,
670.888,,Spot,3,Image 1,10,DP,1000000245,651,
714.864,,Spot,3,Image 1,10,DP,1000000269,652,
807.792,,Spot,3,Image 1,10,DP,1000000325,653,
598.904,,Spot,3,Image 1,10,DP,1000000433,654,
818.604,,Spot,3,Image 1,11,PRE,1000000000,655,
786.96,,Spot,3,Image 1,11,DP,1000000116,656,
780.876,,Spot,3,Image 1,11,DP,1000000591,657,
661.504,,Spot,3,Image 1,11,DP,1000000245,658,
688.112,,Spot,3,Image 1,11,DP,1000000269,659,
834.044,,Spot,3,Image 1,11,DP,1000000325,660,
642.904,,Spot,3,Image 1,11,DP,1000000433,661,
827.128,,Spot,3,Image 1,12,PRE,1000000000,662,
754.072,,Spot,3,Image 1,12,DP,1000000116,663,
741.72,,Spot,3,Image 1,12,DP,1000000591,664,
702.824,,Spot,3,Image 1,12,DP,1000000245,665,
639.988,,Spot,3,Image 1,12,DP,1000000269,666,
819.3,,Spot,3,Image 1,12,DP,1000000325,667,
661.944,,Spot,3,Image 1,12,DP,1000000433,668,
786.672,,Spot,3,Image 1,13,PRE,1000000000,669,
796.808,,Spot,3,Image 1,13,DP,1000000116,670,
717.264,,Spot,3,Image 1,13,DP,1000000591,671,
758.04,,Spot,3,Image 1,13,DP,1000000245,672,
755.54,,Spot,3,Image 1,13,DP,1000000269,673,
621.12,,Spot,3,Image 1,13,DP,1000000325,674,
683.096,,Spot,3,Image 1,13,DP,1000000433,675,
773.12,,Spot,3,Image 1,14,PRE,1000000000,676,
779.996,,Spot,3,Image 1,14,DP,1000000116,677,
742.496,,Spot,3,Image 1,14,DP,1000000591,678,
811.776,,Spot,3,Image 1,14,DP,1000000245,679,
735.748,,Spot,3,Image 1,14,DP,1000000269,680,
710.064,,Spot,3,Image 1,14,DP,1000000325,681,
671.704,,Spot,3,Image 1,14,DP,1000000433,682,
762.912,,Spot,3,Image 1,15,PRE,1000000000,683,
766.4,,Spot,3,Image 1,15,DP,1000000116,684,
776.472,,Spot,3,Image 1,15,DP,1000000591,685,
727.944,,Spot,3,Image 1,15,DP,1000000245,686,
769.64,,Spot,3,Image 1,15,DP,1000000269,687,
745.984,,Spot,3,Image 1,15,DP,1000000325,688,
749.844,,Spot,3,Image 1,15,DP,1000000433,689,
813.48,,Spot,3,Image 1,16,PRE,1000000000,690,
779.664,,Spot,3,Image 1,16,DP,1000000116,691,
779.896,,Spot,3,Image 1,16,DP,1000000591,692,
758.6,,Spot,3,Image 1,16,DP,1000000245,693,
706.9,,Spot,3,Image 1,16,DP,1000000269,694,
749.06,,Spot,3,Image 1,16,DP,1000000325,695,
709.152,,Spot,3,Image 1,16,DP,1000000433,696,
804.944,,Spot,3,Image 1,17,PRE,1000000000,697,
762.376,,Spot,3,Image 1,17,DP,1000000116,698,
766.72,,Spot,3,Image 1,17,DP,1000000591,699,
772.968,,Spot,3,Image 1,17,DP,1000000245,700,
685.304,,Spot,3,Image 1,17,DP,1000000269,701,
738.05,,Spot,3,Image 1,17,DP,1000000325,702,
694.96,,Spot,3,Image 1,17,DP,1000000433,703,
767.84,,Spot,3,Image 1,18,PRE,1000000000,704,
790.032,,Spot,3,Image 1,18,DP,1000000116,705,
757.32,,Spot,3,Image 1,18,DP,1000000591,706,
749.36,,Spot,3,Image 1,18,DP,1000000245,707,
748.176,,Spot,3,Image 1,18,DP,1000000269,708,
773.92,,Spot,3,Image 1,18,DP,1000000325,709,
692.864,,Spot,3,Image 1,18,DP,1000000433,710,
713.072,,Spot,3,Image 1,19,PRE,1000000000,711,
776.968,,Spot,3,Image 1,19,DP,1000000116,712,
711.064,,Spot,3,Image 1,19,DP,1000000591,713,
863.968,,Spot,3,Image 1,19,DP,1000000245,714,
701.376,,Spot,3,Image 1,19,DP,1000000269,715,
722.704,,Spot,3,Image 1,19,DP,1000000325,716,
728.008,,Spot,3,Image 1,19,DP;Mito,1000000433,717,
736.744,,Spot,3,Image 1,20,PRE,1000000000,718,
755.08,,Spot,3,Image 1,20,DP,1000000116,719,
720.96,,Spot,3,Image 1,20,DP,1000000591,720,
824.8,,Spot,3,Image 1,20,DP,1000000245,721,
696.52,,Spot,3,Image 1,20,DP,1000000269,722,
685.96,,Spot,3,Image 1,20,DP,1000000325,723,
693.82,,Spot,3,Image 1,20,DP;d1,1000000433,724,
745.88,,Spot,3,Image 1,20,DP;d2,1000000433,725,
742.08,,Spot,3,Image 1,21,PRE,1000000000,726,
760.776,,Spot,3,Image 1,21,DP,1000000116,727,
726.24,,Spot,3,Image 1,21,DP,1000000591,728,
765.204,,Spot,3,Image 1,21,DP,1000000245,729,
657.16,,Spot,3,Image 1,21,DP,1000000269,730,
695.936,,Spot,3,Image 1,21,DP,1000000325,731,
667.136,,Spot,3,Image 1,21,DP;d1,1000000433,732,
755.16,,Spot,3,Image 1,21,DP;d2,1000000433,733,
765.128,,Spot,3,Image 1,22,PRE,1000000000,734,
795.56,,Spot,3,Image 1,22,DP,1000000116,735,
711.256,,Spot,3,Image 1,22,DP,1000000591,736,
725.888,,Spot,3,Image 1,22,DP,1000000245,737,
755.6,,Spot,3,Image 1,22,DP,1000000269,738,
693.356,,Spot,3,Image 1,22,DP,1000000325,739,
710.624,,Spot,3,Image 1,22,DP;d1,1000000433,740,
