
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
481.176,,Spot,1,Image 1,1,PRE,1000000001,1,
387.288,,Spot,1,Image 1,1,PRE,1000000022,22,
341.28,,Spot,1,Image 1,1,PRE,1000000039,39,
367.95,,Spot,1,Image 1,1,PRE,1000000048,48,
356.68,,Spot,1,Image 1,1,PRE,1000000067,67,
417.84,,Spot,1,Image 1,1,PRE,1000000189,189,
239.096,,Spot,1,Image 1,1,PRE,1000000299,299,
279.88,,Spot,1,Image 1,1,PRE,1000000350,350,
295.58,,Spot,1,Image 1,1,PRE,1000000460,460,
335.504,,Spot,1,Image 1,1,PRE,1000000461,461,
294,,Spot,1,Image 1,1,PRE,1000000462,462,
355.69,,Spot,1,Image 1,1,PRE,1000001037,1037,
434.8,,Spot,1,Image 1,2,PRE,1000000001,1038,
401.424,,Spot,1,Image 1,2,PRE,1000000022,1039,
196.392,,Spot,1,Image 1,2,PRE,1000000039,1040,
384.48,,Spot,1,Image 1,2,PRE,1000000048,1041,
362.006,,Spot,1,Image 1,2,PRE,1000000067,1042,
330.592,,Spot,1,Image 1,2,PRE,1000000189,1043,
223.732,,Spot,1,Image 1,2,PRE,1000000299,1044,
272.76,,Spot,1,Image 1,2,PRE,1000000350,1045,
271.142,,Spot,1,Image 1,2,PRE,1000000462,1046,
343.352,,Spot,1,Image 1,2,PRE,1000000461,1047,
357.888,,Spot,1,Image 1,2,PRE,1000000460,1048,
299.744,,Spot,1,Image 1,2,PRE,1000001037,1049,
382.072,,Spot,1,Image 1,3,PRE,1000000001,1050,
376.998,,Spot,1,Image 1,3,PRE,1000000022,1051,
273.056,,Spot,1,Image 1,3,PRE,1000000039,1052,
368.088,,Spot,1,Image 1,3,PRE,1000000048,1053,
367.22,,Spot,1,Image 1,3,PRE,1000000067,1054,
391.634,,Spot,1,Image 1,3,PRE,1000000189,1055,
208.378,,Spot,1,Image 1,3,PRE,1000000299,1056,
257.682,,Spot,1,Image 1,3,PRE,1000000350,1057,
346.722,,Spot,1,Image 1,3,PRE,1000000462,1058,
310.512,,Spot,1,Image 1,3,PRE,1000000461,1059,
292.338,,Spot,1,Image 1,3,PRE,1000000460,1060,
302.796,,Spot,1,Image 1,3,PRE,1000001037,1061,
415.48,,Spot,1,Image 1,4,PRE,1000000001,1062,
389.222,,Spot,1,Image 1,4,PRE,1000000022,1063,
248.148,,Spot,1,Image 1,4,PRE,1000000039,1064,
353.456,,Spot,1,Image 1,4,PRE,1000000048,1065,
373.808,,Spot,1,Image 1,4,PRE,1000000067,1066,
423.304,,Spot,1,Image 1,4,PRE,1000000189,1067,
218.284,,Spot,1,Image 1,4,PRE,1000000299,1068,
206.88,,Spot,1,Image 1,4,PRE,1000000350,1069,
362.02,,Spot,1,Image 1,4,PRE,1000000462,1070,
322.402,,Spot,1,Image 1,4,PRE,1000000461,1071,
417.8,,Spot,1,Image 1,4,PRE,1000000460,1072,
273.732,,Spot,1,Image 1,4,PRE,1000001037,1073,
411.392,,Spot,1,Image 1,5,PRE,1000000001,1074,
415.36,,Spot,1,Image 1,5,PRE,1000000022,1075,
251.162,,Spot,1,Image 1,5,PRE,1000000039,1076,
424.416,,Spot,1,Image 1,5,PRE,1000000048,1077,
362.38,,Spot,1,Image 1,5,PRE,1000000067,1078,
464.848,,Spot,1,Image 1,5,PRE,1000000189,1079,
240.344,,Spot,1,Image 1,5,PRE,1000000299,1080,
226.542,,Spot,1,Image 1,5,PRE,1000000350,1081,
400.686,,Spot,1,Image 1,5,Apoptosis;PRE,1000000462,1082,
336.404,,Spot,1,Image 1,5,PRE,1000000461,1083,
408,,Spot,1,Image 1,5,PRE,1000000460,1084,
293.052,,Spot,1,Image 1,5,PRE,1000001037,1085,
431.984,,Spot,1,Image 1,6,PRE,1000000001,1086,
564.58,,Spot,1,Image 1,6,PRE,1000000022,1087,
332.756,,Spot,1,Image 1,6,PRE,1000000039,1088,
492.104,,Spot,1,Image 1,6,PRE,1000000048,1089,
400.368,,Spot,1,Image 1,6,PRE,1000000067,1090,
473.12,,Spot,1,Image 1,6,PRE,1000000189,1091,
314.504,,Spot,1,Image 1,6,PRE,1000000299,1092,
218.704,,Spot,1,Image 1,6,PRE,1000000350,1093,
302.88,,Spot,1,Image 1,6,PRE,1000000461,1094,
445.984,,Spot,1,Image 1,6,PRE,1000000460,1095,
296.584,,Spot,1,Image 1,6,PRE,1000001037,1096,
381.56,,Spot,1,Image 1,7,PRE,1000000001,1097,
517.572,,Spot,1,Image 1,7,PRE,1000000022,1098,
411.624,,Spot,1,Image 1,7,PRE,1000000039,1099,
484.7,,Spot,1,Image 1,7,PRE,1000000048,1100,
391.08,,Spot,1,Image 1,7,PRE,1000000067,1101,
468.88,,Spot,1,Image 1,7,PRE,1000000189,1102,
355.96,,Spot,1,Image 1,7,PRE,1000000299,1103,
236.072,,Spot,1,Image 1,7,PRE,1000000350,1104,
279.6,,Spot,1,Image 1,7,PRE,1000000461,1105,
471.36,,Spot,1,Image 1,7,PRE,1000000460,1106,
334.624,,Spot,1,Image 1,7,PRE,1000001037,1107,
348.167,,Spot,1,Image 1,8,PRE,1000000001,1108,
491.478,,Spot,1,Image 1,8,PRE,1000000022,1109,
436.792,,Spot,1,Image 1,8,PRE,1000000039,1110,
465.472,,Spot,1,Image 1,8,PRE,1000000048,1111,
343.176,,Spot,1,Image 1,8,PRE,1000000067,1112,
437.496,,Spot,1,Image 1,8,PRE,1000000189,1113,
367.536,,Spot,1,Image 1,8,PRE,1000000299,1114,
217.144,,Spot,1,Image 1,8,PRE,1000000350,1115,
337.072,,Spot,1,Image 1,8,PRE,1000000461,1116,
471.96,,Spot,1,Image 1,8,PRE,1000000460,1117,
233.114,,Spot,1,Image 1,8,Apoptosis;PRE,1000001037,1118,
348.548,,Spot,1,Image 1,9,PRE,1000000001,1119,
516.14,,Spot,1,Image 1,9,PRE,1000000022,1120,
453.352,,Spot,1,Image 1,9,Apoptosis;PRE,1000000039,1121,
374.028,,Spot,1,Image 1,9,PRE,1000000048,1122,
400.808,,Spot,1,Image 1,9,PRE,1000000067,1123,
377.44,,Spot,1,Image 1,9,PRE,1000000189,1124,
376.18,,Spot,1,Image 1,9,PRE,1000000299,1125,
234.568,,Spot,1,Image 1,9,PRE,1000000350,1126,
325.952,,Spot,1,Image 1,9,PRE,1000000461,1127,
479.48,,Spot,1,Image 1,9,PRE,1000000460,1128,
329.78,,Spot,1,Image 1,10,PRE,1000000001,1129,
493.59,,Spot,1,Image 1,10,PRE,1000000022,1130,
400.252,,Spot,1,Image 1,10,PRE,1000000048,1131,
476.412,,Spot,1,Image 1,10,PRE,1000000067,1132,
366.992,,Spot,1,Image 1,10,PRE,1000000189,1133,
368.354,,Spot,1,Image 1,10,PRE,1000000299,1134,
258.712,,Spot,1,Image 1,10,PRE,1000000350,1135,
344.48,,Spot,1,Image 1,10,PRE,1000000461,1136,
486.277,,Spot,1,Image 1,10,PRE,1000000460,1137,
368.896,,Spot,1,Image 1,11,PRE,1000000001,1138,
544.736,,Spot,1,Image 1,11,PRE,1000000022,1139,
290.08,,Spot,1,Image 1,11,PRE,1000000048,1140,
594.71,,Spot,1,Image 1,11,PRE,1000000067,1141,
410.072,,Spot,1,Image 1,11,PRE,1000000189,1142,
346.784,,Spot,1,Image 1,11,PRE,1000000299,1143,
256.632,,Spot,1,Image 1,11,PRE,1000000350,1144,
390.664,,Spot,1,Image 1,11,PRE,1000000461,1145,
572.2,,Spot,1,Image 1,11,PRE,1000000460,1146,
353.92,,Spot,1,Image 1,12,PRE,1000000001,1147,
604.28,,Spot,1,Image 1,12,PRE,1000000022,1148,
326.78,,Spot,1,Image 1,12,PRE,1000000048,1149,
548.264,,Spot,1,Image 1,12,PRE,1000000067,1150,
467.206,,Spot,1,Image 1,12,PRE,1000000189,1151,
289.192,,Spot,1,Image 1,12,PRE,1000000299,1152,
269.464,,Spot,1,Image 1,12,PRE,1000000350,1153,
355.718,,Spot,1,Image 1,12,PRE,1000000461,1154,
517,,Spot,1,Image 1,12,PRE,1000000460,1155,
333.32,,Spot,1,Image 1,13,PRE,1000000001,1156,
574.504,,Spot,1,Image 1,13,PRE,1000000022,1157,
363.552,,Spot,1,Image 1,13,PRE,1000000048,1158,
557.6,,Spot,1,Image 1,13,PRE,1000000067,1159,
575.092,,Spot,1,Image 1,13,PRE,1000000189,1160,
249.74,,Spot,1,Image 1,13,PRE,1000000299,1161,
296.44,,Spot,1,Image 1,13,PRE,1000000350,1162,
368.44,,Spot,1,Image 1,13,PRE,1000000461,1163,
562.73,,Spot,1,Image 1,13,PRE,1000000460,1164,
396.88,,Spot,1,Image 1,14,PRE,1000000001,1165,
536.688,,Spot,1,Image 1,14,PRE,1000000022,1166,
332.72,,Spot,1,Image 1,14,PRE,1000000048,1167,
530.428,,Spot,1,Image 1,14,PRE,1000000067,1168,
620.048,,Spot,1,Image 1,14,PRE,1000000189,1169,
265.4,,Spot,1,Image 1,14,PRE,1000000299,1170,
288.654,,Spot,1,Image 1,14,PRE,1000000350,1171,
395.379,,Spot,1,Image 1,14,PRE,1000000461,1172,
539.184,,Spot,1,Image 1,14,PRE,1000000460,1173,
359.56,,Spot,1,Image 1,15,PRE,1000000001,1174,
449.75,,Spot,1,Image 1,15,PRE,1000000022,1175,
