
Time Index
 ==================== 
Time Index,Unit,Category,Time,NS-labs,TrackID,ID,
1,,Spot,1,PRE,1000000000,0,
1,,Spot,1,PRE,1000000001,1,
1,,Spot,1,PRE,1000000002,2,
1,,Spot,1,PRE,1000000003,3,
1,,Spot,1,PRE,1000000004,4,
1,,Spot,1,PRE,1000000005,5,
1,,Spot,1,DP,1000000690,690,
1,,Spot,1,PRE,1000000691,691,
2,,Spot,2,PRE,1000000000,692,
2,,Spot,2,PRE,1000000001,693,
2,,Spot,2,PRE,1000000002,694,
2,,Spot,2,PRE,1000000003,695,
2,,Spot,2,PRE,1000000004,696,
2,,Spot,2,PRE,1000000005,697,
2,,Spot,2,PRE,1000000691,698,
2,,Spot,2,DP,1000000690,797,
3,,Spot,3,PRE,1000000000,798,
3,,Spot,3,PRE,1000000001,799,
3,,Spot,3,PRE,1000000002,800,
3,,Spot,3,PRE,1000000003,801,
3,,Spot,3,PRE,1000000004,802,
3,,Spot,3,PRE,1000000005,803,
3,,Spot,3,PRE,1000000691,804,
3,,Spot,3,DP,1000000690,805,
4,,Spot,4,PRE,1000000000,806,
4,,Spot,4,PRE,1000000001,807,
4,,Spot,4,PRE,1000000002,808,
4,,Spot,4,PRE,1000000003,809,
4,,Spot,4,PRE,1000000004,810,
4,,Spot,4,PRE,1000000005,811,
4,,Spot,4,PRE,1000000691,812,
4,,Spot,4,DP,1000000690,813,
5,,Spot,5,PRE,1000000000,814,
5,,Spot,5,PRE,1000000001,815,
5,,Spot,5,PRE,1000000002,816,
5,,Spot,5,PRE,1000000003,817,
5,,Spot,5,PRE,1000000004,818,
5,,Spot,5,PRE,1000000005,819,
5,,Spot,5,PRE,1000000691,820,
5,,Spot,5,DP,1000000690,821,
6,,Spot,6,PRE,1000000000,822,
6,,Spot,6,PRE,1000000001,823,
6,,Spot,6,PRE,1000000002,824,
6,,Spot,6,PRE,1000000003,825,
6,,Spot,6,PRE,1000000004,826,
6,,Spot,6,Mito;PRE,1000000005,827,
6,,Spot,6,PRE,1000000691,828,
6,,Spot,6,DP,1000000690,829,
7,,Spot,7,PRE,1000000000,830,
7,,Spot,7,PRE,1000000001,831,
7,,Spot,7,PRE,1000000002,832,
7,,Spot,7,PRE,1000000003,833,
7,,Spot,7,PRE,1000000004,834,
7,,Spot,7,PRE;d1,1000000005,835,
7,,Spot,7,PRE;d2,1000000005,836,
7,,Spot,7,PRE,1000000691,837,
7,,Spot,7,DP,1000000690,838,
8,,Spot,8,PRE,1000000000,839,
8,,Spot,8,PRE,1000000001,840,
8,,Spot,8,Mito;PRE,1000000002,841,
8,,Spot,8,PRE,1000000003,842,
8,,Spot,8,PRE,1000000004,843,
8,,Spot,8,PRE;d1,1000000005,844,
8,,Spot,8,PRE;d2,1000000005,845,
8,,Spot,8,PRE,1000000691,846,
8,,Spot,8,DP,1000000690,847,
9,,Spot,9,PRE,1000000000,848,
9,,Spot,9,PRE,1000000001,849,
9,,Spot,9,PRE;d1,1000000002,850,
9,,Spot,9,PRE;d2,1000000002,851,
9,,Spot,9,PRE,1000000003,852,
9,,Spot,9,PRE,1000000004,853,
9,,Spot,9,PRE;d1,1000000005,854,
9,,Spot,9,PRE;d2,1000000005,855,
9,,Spot,9,PRE,1000000691,856,
9,,Spot,9,DP,1000000690,857,
10,,Spot,10,PRE,1000000000,858,
10,,Spot,10,PRE,1000000001,859,
10,,Spot,10,PRE;d1,1000000002,860,
10,,Spot,10,PRE;d2,1000000002,861,
10,,Spot,10,PRE,1000000003,862,
10,,Spot,10,PRE,1000000004,863,
10,,Spot,10,PRE;d1,1000000005,864,
10,,Spot,10,PRE;d2,1000000005,865,
10,,Spot,10,PRE,1000000691,866,
10,,Spot,10,DP,1000000690,867,
11,,Spot,11,PRE;d1,1000000000,868,
11,,Spot,11,PRE;d2,1000000000,869,
11,,Spot,11,PRE,1000000001,870,
11,,Spot,11,PRE;d1,1000000002,871,
11,,Spot,11,PRE;d2,1000000002,872,
11,,Spot,11,PRE,1000000003,873,
11,,Spot,11,PRE,1000000004,874,
11,,Spot,11,PRE;d1,1000000005,875,
11,,Spot,11,PRE;d2,1000000005,876,
11,,Spot,11,PRE,1000000691,877,
11,,Spot,11,DP,1000000690,878,
12,,Spot,12,PRE;d1,1000000000,879,
