Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
021919Abl_EO7,1,I,31684,358.15,292.35,5.4024,19.079,6.04E+05,192.37,6.10E+06,368.18,1.17E+07,
021919Abl_EO7,2,I,16489,262.75,279.62,5.117,19.24,3.17E+05,251.57,4.15E+06,381.62,6.29E+06,
021919Abl_EO7,3,I,10729,223.48,306.42,4.81,19.741,2.12E+05,340.53,3.65E+06,361.54,3.88E+06,
021919Abl_EO7,4,I,14762,266.23,216.15,5.4052,19.026,2.81E+05,199.04,2.94E+06,367.57,5.43E+06,
021919Abl_EO7,5,I,16872,138.34,274.12,5.5327,19.128,3.23E+05,161.63,2.73E+06,438.97,7.41E+06,
021919Abl_EO7,6,I,10520,179.62,310.88,6.3183,19.146,2.01E+05,228.39,2.40E+06,343.3,3.61E+06,
021919Abl_EO7,7,I,16386,127.37,204.89,7.0986,19.572,3.21E+05,268.82,4.40E+06,347.83,5.70E+06,
021919Abl_EO7,8,I,16633,204.11,215.55,8.4928,19.438,3.23E+05,282.82,4.70E+06,352.22,5.86E+06,
021919Abl_EO7,9,I,14487,279.74,359.05,6.9977,18.708,2.71E+05,145.74,2.11E+06,349.09,5.06E+06,
021919Abl_EO7,10,I,16543,412.64,228.11,8.1353,18.937,3.13E+05,147.66,2.44E+06,358.82,5.94E+06,
021919Abl_EO7,11,I,19875,106.03,328.53,9.0165,19.021,3.78E+05,146.58,2.91E+06,411.78,8.18E+06,
021919Abl_EO7,12,I,12784,279.7,163.47,9.5128,19.008,2.43E+05,167.68,2.14E+06,332.47,4.25E+06,
021919Abl_EO7,13,I,15290,346.62,166.03,8.6577,19.137,2.93E+05,167.69,2.56E+06,382.65,5.85E+06,
021919Abl_EO7,14,I,13757,216.48,356.51,9.3821,19.129,2.63E+05,169.87,2.34E+06,384.6,5.29E+06,
021919Abl_EO7,15,I,10651,90.456,242.94,11.541,19.11,2.04E+05,200.01,2.13E+06,392.35,4.18E+06,
021919Abl_EO7,16,I,17998,165.32,252.59,14.313,19.551,3.52E+05,212.27,3.82E+06,339.25,6.11E+06,
021919Abl_EO7,17,I,14497,133.92,307.05,15.075,19.24,2.79E+05,212.81,3.09E+06,427.44,6.20E+06,
021919Abl_EO7,18,I,13150,49.932,288.43,16.509,19.618,2.58E+05,178.4,2.35E+06,395.22,5.20E+06,
021919Abl_EO7,19,I,10917,424.86,337.67,16.223,19.448,2.12E+05,236.19,2.58E+06,418.15,4.56E+06,
021919Abl_EO7,20,I,13090,355.74,388.28,16.225,19.295,2.53E+05,183.12,2.40E+06,392.78,5.14E+06,
021919Abl_EO7,21,I,9849,404.3,160.33,17.347,19.685,1.94E+05,270.09,2.66E+06,387.96,3.82E+06,
021919Abl_EO7,22,I,11291,450.78,225.34,17.82,19.469,2.20E+05,256.98,2.90E+06,368.51,4.16E+06,
021919Abl_EO7,23,I,9063,457.62,289.54,17.422,19.86,1.80E+05,302.89,2.75E+06,383.63,3.48E+06,
021919Abl_EO7,24,I,10074,169.48,346.16,17.943,19.132,1.93E+05,185.74,1.87E+06,382.68,3.86E+06,
021919Abl_EO7,25,I,14557,195.05,184.03,19.123,18.988,2.76E+05,207.28,3.02E+06,361.24,5.26E+06,
021919Abl_EO7,26,I,9114,147.93,198.65,18.02,19.366,1.77E+05,203.18,1.85E+06,457.82,4.17E+06,
021919Abl_EO7,27,I,12236,107.65,266.49,19.523,19.791,2.42E+05,386.43,4.73E+06,336.63,4.12E+06,
