Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
031919Abl_ET5,1,I,20786,335.32,189.48,4.4002,19.03,3.96E+05,143.85,2.99E+06,351.65,7.31E+06,
031919Abl_ET5,2,I,14187,365.36,274.12,4.5149,19.232,2.73E+05,164.59,2.34E+06,415.24,5.89E+06,
031919Abl_ET5,3,I,19062,208.3,283.8,4.7017,19.35,3.69E+05,200.72,3.83E+06,354.82,6.76E+06,
031919Abl_ET5,4,I,13618,90.327,310.28,4.5062,19.322,2.63E+05,151.16,2.06E+06,388.85,5.30E+06,
031919Abl_ET5,5,I,16258,46.904,223.09,7.3944,19.155,3.11E+05,164.92,2.68E+06,431.78,7.02E+06,
031919Abl_ET5,6,I,19599,110.45,237.85,7.1026,18.967,3.72E+05,141.33,2.77E+06,409.46,8.03E+06,
031919Abl_ET5,7,I,24493,132.51,295.76,8.1488,19.426,4.76E+05,170.47,4.18E+06,384.82,9.43E+06,
031919Abl_ET5,8,I,10847,230.13,355.32,7.2382,19.51,2.12E+05,247.6,2.69E+06,388.61,4.22E+06,
031919Abl_ET5,10,I,20821,174.83,185.14,8.6209,19.038,3.96E+05,138.19,2.88E+06,378.7,7.88E+06,
031919Abl_ET5,11,I,24647,308.31,378.89,9.4425,19.241,4.74E+05,201,4.95E+06,393.65,9.70E+06,
031919Abl_ET5,12,I,12363,76.399,217.51,14.481,19.204,2.37E+05,171.53,2.12E+06,369.43,4.57E+06,
031919Abl_ET5,13,I,11296,136.36,367.43,12.579,19.502,2.20E+05,237.18,2.68E+06,422.13,4.77E+06,
031919Abl_ET5,14,I,11130,115.06,162.47,15.295,19.172,2.13E+05,151.42,1.69E+06,466.35,5.19E+06,
031919Abl_ET5,15,I,8770,21.49,274.89,15.384,19.498,1.71E+05,258.34,2.27E+06,429.27,3.76E+06,
031919Abl_ET5,16,I,16154,420.82,306.56,12.879,19.203,3.10E+05,153.17,2.47E+06,389.08,6.29E+06,
031919Abl_ET5,17,I,12969,317.07,101.3,14.514,19.041,2.47E+05,130.7,1.70E+06,383.77,4.98E+06,
031919Abl_ET5,18,I,14234,57.453,278.76,17.189,19.427,2.77E+05,196.01,2.79E+06,407.9,5.81E+06,
