Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
080117Abl_BA5,20,I,16430,211.12,221.59,11.851,53.445,8.78E+05,219.83,3.61E+06,DP
080117Abl_BA5,21,I,14075,157.74,259.57,10.197,55.073,7.75E+05,226.78,3.19E+06,DP
080117Abl_BA5,29,I,13212,218.49,186.59,22.063,38.678,5.11E+05,214.59,2.84E+06,DP
080117Abl_BA5,30,I,15239,182.89,235.11,20.95,93.969,1.43E+06,207.56,3.16E+06,PRE
080117Abl_BA5,31,I,14783,221.09,284.09,20.981,87.847,1.30E+06,215.29,3.18E+06,PRE
080117Abl_BA5,34,I,11156,148.74,286.07,23.047,37.011,4.13E+05,216.36,2.41E+06,DP
080117Abl_BA5,39,I,18327,233.39,251.73,31.831,47.589,8.72E+05,206.93,3.79E+06,DP
080117Abl_BA5,40,I,11674,145.12,248.68,32.756,68.953,8.05E+05,229.64,2.68E+06,PRE
080117Abl_BA5,41,I,14675,258.35,311.45,32.223,46.635,6.84E+05,198.04,2.91E+06,DP
080117Abl_BA5,42,I,2785,126.25,202.04,30.821,42.599,1.19E+05,195.98,5.46E+05,DP
080117Abl_BA5,44,I,17591,201.55,191.52,33.754,56.617,9.96E+05,209.32,3.68E+06,PRE
080117Abl_BA5,48,I,16039,202.43,320.65,39.711,36.511,5.86E+05,208.6,3.35E+06,DP
080117Abl_BA5,49,I,4281,287.9,285.24,41.494,23.289,99699,181.54,7.77E+05,EPI
080117Abl_BA5,50,I,8904,170.09,275.26,42.117,26.378,2.35E+05,199.94,1.78E+06,EPI
080117Abl_BA5,51,I,5039,172.11,173.32,43.59,28.538,1.44E+05,191.16,9.63E+05,EPI
080117Abl_BA5,52,I,17857,240.57,250.56,44.334,33.816,6.04E+05,197.68,3.53E+06,DP
