Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
080117Abl_BB3,6,I,15730,124.71,234.31,7.3938,65.876,1.04E+06,228.12,3.59E+06,DP
080117Abl_BB3,7,I,3815,158.42,278.94,7.4343,48.085,1.83E+05,223.28,8.52E+05,EPI
080117Abl_BB3,11,I,15633,194.04,176.28,13.528,147.3,2.30E+06,233.92,3.66E+06,PRE
080117Abl_BB3,12,I,15206,190.51,240.82,14.01,118.3,1.80E+06,214.84,3.27E+06,PRE
080117Abl_BB3,13,I,16146,78.034,255.38,13.355,122.65,1.98E+06,216.34,3.49E+06,PRE
080117Abl_BB3,14,I,15956,186.91,306.17,14.657,90.544,1.44E+06,208.27,3.32E+06,PRE
080117Abl_BB3,15,I,11319,122.23,342.46,14.474,40.478,4.58E+05,218.4,2.47E+06,EPI
080117Abl_BB3,19,I,12795,104.9,201.78,17.68,60.06,7.68E+05,210.58,2.69E+06,DP
080117Abl_BB3,20,I,5829,141.26,244.49,17.23,61.034,3.56E+05,245.31,1.43E+06,DP
080117Abl_BB3,21,I,10040,92.438,302.2,19.047,61.544,6.18E+05,208.39,2.09E+06,DP
080117Abl_BB3,29,I,5904,62.62,191.72,24.976,29.783,1.76E+05,213.1,1.26E+06,EPI
080117Abl_BB3,30,I,12000,41.546,253.35,25.43,53.927,6.47E+05,200.12,2.40E+06,DP
080117Abl_BB3,31,I,20328,92.734,268.73,26.489,77.481,1.58E+06,219.09,4.45E+06,PRE
080117Abl_BB3,38,I,16623,148.87,292.07,32.607,45.596,7.58E+05,206.41,3.43E+06,DP
080117Abl_BB3,40,I,16443,93.711,172.85,35.873,36.901,6.07E+05,192.04,3.16E+06,EPI
080117Abl_BB3,41,I,6870,95.605,330.08,37.095,24.695,1.70E+05,205.64,1.41E+06,EPI
080117Abl_BB3,47,I,10470,77.702,274.88,41.919,24.343,2.55E+05,215.05,2.25E+06,EPI
