Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
102218Abl_DX1,1,I,19582,357.02,143.83,4.7749,19.295,3.78E+05,220.35,4.31E+06,371.5,7.27E+06,TE
102218Abl_DX1,2,I,12974,261.76,247.91,4.1711,21.383,2.77E+05,340.31,4.42E+06,366.71,4.76E+06,TE
102218Abl_DX1,3,I,14945,153.55,181.14,5.1746,19.979,2.99E+05,233.45,3.49E+06,464.67,6.94E+06,TE
102218Abl_DX1,4,I,30241,465.65,257.58,6.1493,18.951,5.73E+05,227.97,6.89E+06,368.91,1.12E+07,TE
102218Abl_DX1,5,I,18276,248.15,321.86,5.4439,20.151,3.68E+05,308.57,5.64E+06,357.73,6.54E+06,TE
102218Abl_DX1,6,I,16063,210.68,259.67,7.5719,39.685,6.37E+05,247.33,3.97E+06,327.91,5.27E+06,PRE
102218Abl_DX1,7,I,17668,164.31,222.29,9.5421,35.794,6.32E+05,284.28,5.02E+06,388.94,6.87E+06,PRE
102218Abl_DX1,8,I,21439,115.34,271.36,11.247,42.237,9.06E+05,238.94,5.12E+06,415.01,8.90E+06,PRE
102218Abl_DX1,9,I,15008,235.13,130.34,12.096,20.532,3.08E+05,296.23,4.45E+06,346.12,5.19E+06,TE
102218Abl_DX1,10,I,24958,119.6,340.47,14.437,20.608,5.14E+05,252.79,6.31E+06,405.74,1.01E+07,TE
102218Abl_DX1,11,I,21607,218.79,345.79,12.853,33.24,7.18E+05,227.75,4.92E+06,355.9,7.69E+06,PRE
102218Abl_DX1,12,I,17973,205.28,179.73,14.092,37.716,6.78E+05,213.07,3.83E+06,332.3,5.97E+06,PRE
102218Abl_DX1,13,I,14901,387.76,378.25,15.733,20.504,3.06E+05,263.38,3.92E+06,360.98,5.38E+06,TE
102218Abl_DX1,14,I,13269,191.94,296.72,17.063,49.63,6.59E+05,325.23,4.32E+06,348.3,4.62E+06,PRE
102218Abl_DX1,15,I,15272,142.54,153.1,16.362,35.722,5.46E+05,336.87,5.14E+06,402.39,6.15E+06,PRE
102218Abl_DX1,16,I,15868,378.84,52.24,18.884,20.582,3.27E+05,338.5,5.37E+06,402.43,6.39E+06,TE
102218Abl_DX1,17,I,15841,58.932,224.56,21.718,20.725,3.28E+05,277.84,4.40E+06,421.68,6.68E+06,TE
102218Abl_DX1,18,I,15664,269.1,388.49,19.79,20.066,3.14E+05,281.24,4.41E+06,379.09,5.94E+06,TE
102218Abl_DX1,19,I,16070,131.15,205.67,23.374,54.973,8.83E+05,228.95,3.68E+06,385.34,6.19E+06,PRE
102218Abl_DX1,20,I,16420,186.78,236.41,21.671,21.58,3.54E+05,255.9,4.20E+06,286.79,4.71E+06,EPI
102218Abl_DX1,21,I,11894,496.13,100.78,24.246,19.454,2.31E+05,324.55,3.86E+06,322.64,3.84E+06,TE
102218Abl_DX1,22,I,13179,193.78,357.56,25.217,42.496,5.60E+05,234.32,3.09E+06,296.8,3.91E+06,PRE
102218Abl_DX1,23,I,12432,122.58,110.86,26.871,19.785,2.46E+05,369.82,4.60E+06,373.75,4.65E+06,TE
102218Abl_DX1,24,I,13551,104.56,264.62,24.625,44.854,6.08E+05,273.28,3.70E+06,381.64,5.17E+06,PRE
102218Abl_DX1,25,I,13975,190.27,172.74,26.264,35.494,4.96E+05,194.64,2.72E+06,360.29,5.04E+06,PRE
102218Abl_DX1,26,I,16686,148.22,320.04,27.892,40.349,6.73E+05,249.14,4.16E+06,372.76,6.22E+06,PRE
102218Abl_DX1,27,I,14996,90.645,169.07,28.772,22.46,3.37E+05,272.67,4.09E+06,392.07,5.88E+06,EPI
102218Abl_DX1,28,I,17394,158.53,251.69,29.619,21.123,3.67E+05,218.03,3.79E+06,337.79,5.88E+06,EPI
102218Abl_DX1,29,I,5388,505.79,347.77,28.455,19.731,1.06E+05,239.17,1.29E+06,352.02,1.90E+06,TE
102218Abl_DX1,30,I,12742,107.94,353.19,27.581,43.578,5.55E+05,250.24,3.19E+06,371.64,4.74E+06,PRE
102218Abl_DX1,31,I,19300,161.31,396.89,33.066,20.423,3.94E+05,229.5,4.43E+06,449.83,8.68E+06,TE
102218Abl_DX1,32,I,15275,385.73,429.83,33.366,19.421,2.97E+05,208.32,3.18E+06,484.42,7.40E+06,TE
102218Abl_DX1,33,I,15755,171.66,122.5,33.859,39.669,6.25E+05,184.51,2.91E+06,386.4,6.09E+06,PRE
