Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
072518Abl_DS3,2,I,18197,224.54,298.67,4.667,18.289,3.33E+05,40.804,7.43E+05,330.59,6.02E+06,TE
072518Abl_DS3,4,I,17696,410.39,314.71,4.3606,14.941,2.64E+05,52.587,9.31E+05,335.73,5.94E+06,TE
072518Abl_DS3,5,I,21222,334.88,370.93,5.0923,14.529,3.08E+05,38.146,8.10E+05,349.45,7.42E+06,TE
072518Abl_DS3,6,I,18091,187.4,189.55,5.4634,16.045,2.90E+05,99.386,1.80E+06,345.94,6.26E+06,TE
072518Abl_DS3,6.2,I,18091,229,201,10,98.4,,31.015,,347.612,,PRE
072518Abl_DS3,7,I,16116,363.63,164.81,5.5814,14.824,2.39E+05,39.923,6.43E+05,347.96,5.61E+06,TE
072518Abl_DS3,9,I,20395,165.14,256.32,7.1544,22.004,4.49E+05,43.385,8.85E+05,337.71,6.89E+06,TE
072518Abl_DS3,10,I,47520,479.39,223.44,8.4491,14.734,7.00E+05,33.15,1.58E+06,343.03,1.63E+07,TE
072518Abl_DS3,11,I,21220,227.36,365.09,7.8708,34.855,7.40E+05,36.004,7.64E+05,335.69,7.12E+06,PRE
072518Abl_DS3,12,I,34703,263.48,417.17,8.5751,14.939,5.18E+05,36.658,1.27E+06,370.58,1.29E+07,TE
072518Abl_DS3,13,I,12272,203.09,285.4,12.381,41.489,5.09E+05,38.447,4.72E+05,332.61,4.08E+06,PRE
072518Abl_DS3,14,I,33714,266.53,104.6,10.909,14.793,4.99E+05,32.85,1.11E+06,336.93,1.14E+07,TE
072518Abl_DS3,15,I,22650,214.14,142.73,13.88,18.648,4.22E+05,61.605,1.40E+06,361.95,8.20E+06,TE
072518Abl_DS3,16,I,23196,111.17,202.49,16.702,20.583,4.77E+05,35.963,8.34E+05,340.27,7.89E+06,EPI
072518Abl_DS3,17,I,25270,110.37,254.44,12.059,19.313,4.88E+05,40.024,1.01E+06,339.5,8.58E+06,EPI
072518Abl_DS3,19,I,15650,198.91,316.38,17.797,46.833,7.33E+05,34.566,5.41E+05,306.78,4.80E+06,PRE
072518Abl_DS3,19.2,I,15650,149,334,21,63.178,,30.263,,375.786,,PRE
072518Abl_DS3,20,I,8070,160.92,224.9,17.641,75.118,6.06E+05,35.164,2.84E+05,304.01,2.45E+06,PRE
072518Abl_DS3,20.2,I,8070,182,174,20,77.608,,36.918,,342.419,,PRE
072518Abl_DS3,21,I,4213,176.31,388.73,16.662,72.196,3.04E+05,30.596,1.29E+05,380.7,1.60E+06,PRE
072518Abl_DS3,22,I,36669,449.36,426.55,17.704,14.805,5.43E+05,40.575,1.49E+06,366.07,1.34E+07,TE
072518Abl_DS3,23,I,18342,480.58,141.48,15.942,14.765,2.71E+05,34.809,6.38E+05,340.83,6.25E+06,TE
072518Abl_DS3,24,I,15439,218.92,413.74,19.506,16.535,2.55E+05,37.216,5.75E+05,340.09,5.25E+06,TE
072518Abl_DS3,26,I,22754,90.628,362.6,23.95,15.441,3.51E+05,46.134,1.05E+06,337.1,7.67E+06,TE
072518Abl_DS3,27,I,37356,382.93,57.137,22.59,14.844,5.55E+05,29.475,1.10E+06,354.97,1.33E+07,TE
072518Abl_DS3,29,I,13372,134.92,372.34,20.204,23.351,3.12E+05,38.117,5.10E+05,386.2,5.16E+06,DP
072518Abl_DS3,30,I,20665,83.463,302.45,19.662,15.727,3.25E+05,35.149,7.26E+05,367.55,7.60E+06,EPI
072518Abl_DS3,31,I,7590,506.93,366.96,16.312,14.904,1.13E+05,25.622,1.94E+05,361.27,2.74E+06,TE
072518Abl_DS3,32,I,26033,82.821,146.58,22.923,16.135,4.20E+05,70.892,1.85E+06,387.3,1.01E+07,TE
072518Abl_DS3,33,I,28289,48.765,247.85,25.285,15.064,4.26E+05,35.89,1.02E+06,363.45,1.03E+07,TE
072518Abl_DS3,34,I,26615,304.44,483.89,26.393,14.814,3.94E+05,35.543,9.46E+05,317.51,8.45E+06,TE
072518Abl_DS3,35,I,26168,143.13,105.42,30.909,18.426,4.82E+05,79.815,2.09E+06,354.48,9.28E+06,EPI
072518Abl_DS3,35.2,I,26168,191,112,23,88.566,,31.681,,318.043,,PRE
072518Abl_DS3,36,I,13526,106.89,216.99,30.131,58.72,7.94E+05,64.966,8.79E+05,310.45,4.20E+06,PRE
072518Abl_DS3,36.2,I,13526,122,177,28,19.515,,34.702,,339.901,,EPI
072518Abl_DS3,38,I,19435,159.94,391.28,28.301,22.654,4.40E+05,36.808,7.15E+05,353.67,6.87E+06,EPI
072518Abl_DS3,39,I,22325,194.63,441.81,29.108,14.79,3.30E+05,36.238,8.09E+05,347.31,7.75E+06,TE
072518Abl_DS3,40,I,23092,150,272,23,49.211,,36.502,,328.709,,PRE
072518Abl_DS3,40.2,I,23092,108,275,24,36.919,,38.875,,319.183,,PRE
072518Abl_DS3,40.3,I,23092,129,276,29,38.057,,55.752,,329.482,,PRE
072518Abl_DS3,41,I,12758,69.322,294.6,34.441,18.928,2.41E+05,41.198,5.26E+05,331,4.22E+06,DP
072518Abl_DS3,42,I,9237,58.153,214.51,34.359,24.04,2.22E+05,52.596,4.86E+05,358.4,3.31E+06,DP
072518Abl_DS3,42.2,I,9237,84,247,36,34.338,,35.895,,290.65,,PRE
072518Abl_DS3,43,I,34302,203.98,48.377,35.063,14.711,5.05E+05,29.802,1.02E+06,382.18,1.31E+07,TE
072518Abl_DS3,44,I,6293,106.14,322.25,32.955,27.523,1.73E+05,37.781,2.38E+05,307.96,1.94E+06,PRE
072518Abl_DS3,45,I,16414,142.39,419.22,36.428,21.618,3.55E+05,31.965,5.25E+05,375.74,6.17E+06,DP
072518Abl_DS3,46,I,40137,458.18,481.73,34.232,14.832,5.95E+05,32.859,1.32E+06,359.97,1.44E+07,TE
072518Abl_DS3,47,I,7531,58.635,173.83,35.521,17.511,1.32E+05,47.013,3.54E+05,321.94,2.42E+06,EPI
072518Abl_DS3,48,I,6722,82.146,133.56,38.473,27.911,1.88E+05,56.501,3.80E+05,326.73,2.20E+06,DP
072518Abl_DS3,49,I,19754,492.47,54.891,40.668,14.816,2.93E+05,28.693,5.67E+05,333.73,6.59E+06,TE
072518Abl_DS3,50,I,24541,100.74,194.56,41.507,26.932,6.61E+05,52.202,1.28E+06,337.12,8.27E+06,PRE
072518Abl_DS3,51,I,22065,33.947,320.38,42.077,14.671,3.24E+05,31.63,6.98E+05,339.79,7.50E+06,TE
072518Abl_DS3,52,I,14589,85.461,354.49,41.358,20.59,3.00E+05,34.505,5.03E+05,293.44,4.28E+06,PRE
072518Abl_DS3,53,I,2769,320.99,506.17,38.732,14.636,40527,26.715,73975,340.55,9.43E+05,TE
072518Abl_DS3,54,I,4070,130.61,116.83,43.495,24.655,1.00E+05,38.378,1.56E+05,337.65,1.37E+06,PRE
072518Abl_DS3,55,I,9547,80.428,151.47,47.355,25.619,2.45E+05,38.684,3.69E+05,297.44,2.84E+06,PRE
072518Abl_DS3,56,I,10101,49.06,215.71,46.074,16.281,1.64E+05,65.332,6.60E+05,349.95,3.53E+06,EPI
072518Abl_DS3,57,I,14327,36.407,267.23,47.545,15.15,2.17E+05,33.511,4.80E+05,342.82,4.91E+06,TE
072518Abl_DS3,58,I,19656,75.709,280.81,48.774,25.354,4.98E+05,35.802,7.04E+05,278.41,5.47E+06,PRE
072518Abl_DS3,59,I,23571,91.095,100.88,51.896,14.572,3.43E+05,31.352,7.39E+05,315.29,7.43E+06,TE
072518Abl_DS3,61,I,12973,442.11,505.67,56.075,14.342,1.86E+05,31.128,4.04E+05,336.23,4.36E+06,TE
072518Abl_DS3,62,I,23159,102.93,423.74,55.995,14.516,3.36E+05,53.144,1.23E+06,330.81,7.66E+06,TE
072518Abl_DS3,63,I,18153,198.83,502.77,57.707,14.489,2.63E+05,35.244,6.40E+05,331.35,6.01E+06,TE
072518Abl_DS3,64,I,14472,422.78,7.8634,56.516,14.823,2.15E+05,27.514,3.98E+05,307.57,4.45E+06,TE
072518Abl_DS3,65,I,30388,139.4,37.948,62.073,14.483,4.40E+05,36.82,1.12E+06,324.17,9.85E+06,TE
072518Abl_DS3,66,I,21439,61.065,151.03,63.138,14.835,3.18E+05,41.734,8.95E+05,253.03,5.42E+06,TE
072518Abl_DS3,67,I,15688,39.388,287.28,63.735,14.411,2.26E+05,51.586,8.09E+05,286.44,4.49E+06,TE
072518Abl_DS3,68,I,7872,307.26,7.017,68.522,14.075,1.11E+05,25.892,2.04E+05,308.9,2.43E+06,TE
072518Abl_DS3,69,I,19164,481.17,501.58,70.771,14.373,2.75E+05,31.736,6.08E+05,284.07,5.44E+06,TE
072518Abl_DS3,70,I,20205,71.993,355.53,73.568,14.026,2.83E+05,26.81,5.42E+05,229.55,4.64E+06,TE
072518Abl_DS3,71,I,23939,50.238,222.29,76.228,14.03,3.36E+05,31.033,7.43E+05,270.34,6.47E+06,TE
072518Abl_DS3,72,I,31762,96.905,102.43,78.889,14.167,4.50E+05,31.885,1.01E+06,232.56,7.39E+06,TE
072518Abl_DS3,74,I,27007,231.02,491.8,84.438,14.06,3.80E+05,32.523,8.78E+05,314.03,8.48E+06,TE
072518Abl_DS3,75,I,44759,446.4,28.184,90.741,14.098,6.31E+05,27.943,1.25E+06,311.83,1.40E+07,TE
072518Abl_DS3,76,I,12521,221.33,28.226,88.181,14.181,1.78E+05,26.133,3.27E+05,325.21,4.07E+06,TE
072518Abl_DS3,77,I,19493,447.23,499.72,84.894,14.162,2.76E+05,31.202,6.08E+05,274.69,5.35E+06,TE
072518Abl_DS3,78,I,35904,128.47,394.17,93.341,13.912,5.00E+05,35.128,1.26E+06,361.46,1.30E+07,TE
072518Abl_DS3,79,I,33108,116.8,149.49,94.468,13.92,4.61E+05,29.155,9.65E+05,283.09,9.37E+06,TE
072518Abl_DS3,80,I,18322,356.02,501.35,93.447,13.981,2.56E+05,27.645,5.07E+05,252.55,4.63E+06,TE
072518Abl_DS3,81,I,7711,324.35,49.969,99.416,13.921,1.07E+05,25.787,1.99E+05,382.77,2.95E+06,TE
072518Abl_DS3,82,I,23712,214.09,123.11,105.89,13.821,3.28E+05,29.288,6.94E+05,338.11,8.02E+06,TE
072518Abl_DS3,83,I,33444,445.63,442.8,107.66,13.822,4.62E+05,26.681,8.92E+05,388.39,1.30E+07,TE
072518Abl_DS3,84,I,36142,152.42,288.05,108.04,13.775,4.98E+05,29.661,1.07E+06,298.59,1.08E+07,TE
072518Abl_DS3,86,I,4198,506.44,366.43,113.53,13.854,58158,26.217,1.10E+05,385.39,1.62E+06,TE
072518Abl_DS3,87,I,19774,258.47,371.06,113.71,13.849,2.74E+05,31.602,6.25E+05,354.19,7.00E+06,TE
072518Abl_DS3,88,I,23918,251.37,183.26,114.55,13.842,3.31E+05,29.8,7.13E+05,366.5,8.77E+06,TE
072518Abl_DS3,89,M,33258,400.13,159.63,115.2,14.079,4.68E+05,39.344,1.31E+06,365.74,1.22E+07,TE
072518Abl_DS3,90,I,5661,505.51,245.34,116.9,14.098,79809,29.241,1.66E+05,373.58,2.11E+06,TE
072518Abl_DS3,91,I,17260,297.97,292.25,117.17,13.984,2.41E+05,45.682,7.88E+05,401.5,6.93E+06,TE
072518Abl_DS3,92,I,19668,324.38,363.57,117.35,13.932,2.74E+05,41.319,8.13E+05,388.91,7.65E+06,TE
