Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
032819Abl_EV5,1,I,8089,222.79,214.33,3.5214,17.988,1.46E+05,169.88,1.37E+06,330.34,2.67E+06,
032819Abl_EV5,2,I,14173,124.35,242.84,3.5792,18.362,2.60E+05,201.18,2.85E+06,345.14,4.89E+06,
032819Abl_EV5,3,I,12624,313.94,276.79,3.5825,18.138,2.29E+05,237.87,3.00E+06,336.21,4.24E+06,
032819Abl_EV5,4,I,8495,205.69,287.97,4.239,18.018,1.53E+05,191.5,1.63E+06,357.91,3.04E+06,
032819Abl_EV5,5,I,16057,243.69,147.02,7.3919,17.662,2.84E+05,134.6,2.16E+06,355.13,5.70E+06,
032819Abl_EV5,6,I,11441,150.25,232.74,8.6754,18.181,2.08E+05,165.66,1.90E+06,365.59,4.18E+06,
032819Abl_EV5,7,I,27687,299.7,382.17,9.0223,17.731,4.91E+05,138.45,3.83E+06,317.35,8.79E+06,
032819Abl_EV5,8,I,18592,361.18,177.27,10.509,17.884,3.33E+05,130.57,2.43E+06,330.55,6.15E+06,
032819Abl_EV5,9,I,9262,396.51,265.76,10.719,17.954,1.66E+05,188.04,1.74E+06,332.22,3.08E+06,
032819Abl_EV5,10,I,16208,107.59,212.78,11.904,18.527,3.00E+05,140.71,2.28E+06,367.98,5.96E+06,
032819Abl_EV5,11,I,10642,141.7,309.1,13.958,18.116,1.93E+05,169.93,1.81E+06,306.9,3.27E+06,
032819Abl_EV5,13,I,7297,145.43,187.61,16.525,18.072,1.32E+05,167.48,1.22E+06,407.93,2.98E+06,
032819Abl_EV5,14,I,12819,59.05,281.38,15.865,18.338,2.35E+05,140.17,1.80E+06,439.32,5.63E+06,
032819Abl_EV5,15,I,12977,139.63,256.39,17.709,17.973,2.33E+05,176.9,2.30E+06,409.18,5.31E+06,
032819Abl_EV5,16,I,15926,103.08,154.87,19.66,18.029,2.87E+05,177,2.82E+06,298.75,4.76E+06,
032819Abl_EV5,17,I,13365,158.19,376.65,18.988,18.049,2.41E+05,201.11,2.69E+06,290.89,3.89E+06,
032819Abl_EV5,18,I,10831,84.918,253.42,21.127,17.93,1.94E+05,121.4,1.31E+06,314.36,3.40E+06,
032819Abl_EV5,19,I,9631,86.002,304.95,21.39,17.866,1.72E+05,124.36,1.20E+06,371.36,3.58E+06,
032819Abl_EV5,20,I,10127,282.86,100.23,21.835,17.877,1.81E+05,192.48,1.95E+06,418.13,4.23E+06,
032819Abl_EV5,21,I,14908,113.19,336.64,23.712,18.584,2.77E+05,147.62,2.20E+06,367.75,5.48E+06,
032819Abl_EV5,22,I,9095,95.621,189.16,22.596,17.998,1.64E+05,161.9,1.47E+06,316.9,2.88E+06,
032819Abl_EV5,23,I,11571,64.821,340.61,25.755,18.282,2.12E+05,202.31,2.34E+06,325.97,3.77E+06,
032819Abl_EV5,24,I,10472,257.25,442.72,23.709,17.865,1.87E+05,150.92,1.58E+06,319.6,3.35E+06,
032819Abl_EV5,25,I,8748,424.58,337.29,24.584,18.338,1.60E+05,226.09,1.98E+06,347.46,3.04E+06,
032819Abl_EV5,26,I,6824,395.26,396.3,26.926,18.047,1.23E+05,183.46,1.25E+06,267.7,1.83E+06,
032819Abl_EV5,27,I,14483,118.84,287.4,29.867,17.47,2.53E+05,90.838,1.32E+06,281.52,4.08E+06,
032819Abl_EV5,28,I,15025,67.001,189.79,28.867,17.979,2.70E+05,126.55,1.90E+06,379.62,5.70E+06,
032819Abl_EV5,29,I,16141,114.41,216.41,30.653,17.571,2.84E+05,98.945,1.60E+06,304.71,4.92E+06,
032819Abl_EV5,30,I,8379,448.12,271.83,30.91,18.178,1.52E+05,178.34,1.49E+06,449.01,3.76E+06,
032819Abl_EV5,31,I,16619,40.079,237.9,34.049,17.956,2.98E+05,95.033,1.58E+06,326.19,5.42E+06,
032819Abl_EV5,32,I,13134,52.583,288.37,33.294,17.869,2.35E+05,147.03,1.93E+06,406.96,5.35E+06,
032819Abl_EV5,33,I,13304,157.52,424.52,34.727,17.865,2.38E+05,156.85,2.09E+06,373.62,4.97E+06,
032819Abl_EV5,34,I,9741,200.07,72.153,35.719,18.031,1.76E+05,177.34,1.73E+06,314.93,3.07E+06,
032819Abl_EV5,35,I,10730,93.633,324.66,35.667,17.591,1.89E+05,104.98,1.13E+06,404.41,4.34E+06,
032819Abl_EV5,36,I,7124,376.27,102.31,36.893,18.055,1.29E+05,154.64,1.10E+06,432.16,3.08E+06,
032819Abl_EV5,37,I,6772,358.67,447.01,36.739,17.994,1.22E+05,151.61,1.03E+06,319.66,2.16E+06,
032819Abl_EV5,38,I,11035,108.01,124.32,38.662,17.716,1.95E+05,121.96,1.35E+06,394.32,4.35E+06,
032819Abl_EV5,39,I,11539,81.558,233.72,39.551,17.569,2.03E+05,88.246,1.02E+06,367.53,4.24E+06,
032819Abl_EV5,40,I,10541,446.7,179.56,43.75,18.045,1.90E+05,171.01,1.80E+06,489.61,5.16E+06,
032819Abl_EV5,41,I,8291,446.24,369.05,42.074,17.876,1.48E+05,152,1.26E+06,341.4,2.83E+06,
032819Abl_EV5,42,I,8012,289.37,472.59,42.395,17.968,1.44E+05,145.94,1.17E+06,355.61,2.85E+06,
032819Abl_EV5,43,I,20218,63.496,189.54,43.328,17.836,3.61E+05,98.744,2.00E+06,363.98,7.36E+06,
032819Abl_EV5,44,I,14201,85.995,280.43,43.794,17.444,2.48E+05,91.353,1.30E+06,245.52,3.49E+06,
032819Abl_EV5,45,I,16332,32.893,286.42,48.324,17.67,2.89E+05,111.41,1.82E+06,332.37,5.43E+06,
032819Abl_EV5,46,I,14949,97.143,367.64,49.072,17.49,2.61E+05,77.942,1.17E+06,328.46,4.91E+06,
032819Abl_EV5,47,I,13077,76.09,322.56,49.494,17.563,2.30E+05,114.04,1.49E+06,350.14,4.58E+06,
