Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,targeted
100719Abl_FM4,3,M,12096,163.92,152.86,6.0962,22.03,2.66E+05,317.97,3.85E+06,349.02,4.22E+06,F
100719Abl_FM4,5,M,22450,270.11,245.25,8.6058,21.229,4.77E+05,123.9,2.78E+06,290.67,6.53E+06,F
100719Abl_FM4,7,I,19926,188.47,204.76,8.7266,22.448,4.47E+05,351.51,7.00E+06,309.51,6.17E+06,F
100719Abl_FM4,10,I,24184,123.02,259.14,10.411,22.177,5.36E+05,286.06,6.92E+06,356.21,8.61E+06,F
100719Abl_FM4,13,M,20894,201.69,341.12,12.212,21.347,4.46E+05,151.61,3.17E+06,272.61,5.70E+06,F
100719Abl_FM4,14,I,22675,70.195,213.4,12.58,22.971,5.21E+05,465.35,1.06E+07,384.53,8.72E+06,F
100719Abl_FM4,17,I,15099,116.95,186.87,16.783,22.104,3.34E+05,339.99,5.13E+06,322.35,4.87E+06,F
100719Abl_FM4,18,I,20495,220.28,264.95,16.83,21.799,4.47E+05,317.18,6.50E+06,330.52,6.77E+06,F
100719Abl_FM4,19,I,20281,312.87,146.65,19.371,22.391,4.54E+05,417.71,8.47E+06,294,5.96E+06,F
100719Abl_FM4,20,I,13783,265.87,373.25,22.196,22.026,3.04E+05,389.75,5.37E+06,220.84,3.04E+06,F
100719Abl_FM4,21,I,19993,129.49,298.22,23.429,21.413,4.28E+05,229.09,4.58E+06,319.41,6.39E+06,F
100719Abl_FM4,22,I,27782,438.43,331.01,24.208,22.409,6.23E+05,438.77,1.22E+07,330.64,9.19E+06,F
100719Abl_FM4,23,I,25175,241.33,180.44,23.778,21.653,5.45E+05,276.63,6.96E+06,329.37,8.29E+06,F
100719Abl_FM4,25,I,22382,180.26,208.49,25.379,21.742,4.87E+05,276.61,6.19E+06,342.91,7.68E+06,F
100719Abl_FM4,26,I,23863,69.143,241.09,25.435,22.018,5.25E+05,316.34,7.55E+06,334.26,7.98E+06,F
100719Abl_FM4,27,I,22251,202.19,315.9,26.093,21.745,4.84E+05,314.04,6.99E+06,299.52,6.66E+06,F
100719Abl_FM4,28,M,13217,154.98,361.02,27.199,21.178,2.80E+05,122.16,1.61E+06,426.28,5.63E+06,F
100719Abl_FM4,29,I,24579,255.99,99.99,30.433,22.302,5.48E+05,388.35,9.55E+06,392.59,9.65E+06,F
100719Abl_FM4,30,I,24410,120.89,152.44,31.49,21.545,5.26E+05,254.26,6.21E+06,329.13,8.03E+06,F
100719Abl_FM4,31,M,11838,142.26,99.671,33.81,21.725,2.57E+05,261.16,3.09E+06,357.08,4.23E+06,F
100719Abl_FM4,32,I,27442,197.43,151.69,37.262,21.088,5.79E+05,189.56,5.20E+06,305.3,8.38E+06,F
100719Abl_FM4,33,I,24233,180.39,300.6,36.654,21.503,5.21E+05,237.75,5.76E+06,336.96,8.17E+06,F
100719Abl_FM4,34,I,13336,451.63,145.47,37.82,22.287,2.97E+05,386.36,5.15E+06,325.27,4.34E+06,F
100719Abl_FM4,36,M,23563,246.35,393.44,38.517,20.845,4.91E+05,77.89,1.84E+06,363.76,8.57E+06,F
100719Abl_FM4,39,M,10597,127.29,260.53,36.944,20.83,2.21E+05,88.598,9.39E+05,315.12,3.34E+06,F
100719Abl_FM4,40,I,18730,125.09,334.36,38.837,21.249,3.98E+05,215.57,4.04E+06,309.3,5.79E+06,F
100719Abl_FM4,42,I,28611,72.411,279.59,43.415,21.384,6.12E+05,242.39,6.94E+06,279.85,8.01E+06,F
100719Abl_FM4,43,I,37941,133.95,200.27,49.956,20.827,7.90E+05,136.24,5.17E+06,279.44,1.06E+07,F
100719Abl_FM4,44,I,20537,160.44,357.14,48.808,20.87,4.29E+05,143.96,2.96E+06,300.24,6.17E+06,F
100719Abl_FM4,45,I,31932,156.93,279.67,51.219,20.755,6.63E+05,148.15,4.73E+06,337.67,1.08E+07,F
100719Abl_FM4,46,I,25193,180,138.11,56.379,20.704,5.22E+05,185.45,4.67E+06,272.02,6.85E+06,F
100719Abl_FM4,47,I,18209,408.19,424.84,56.026,21.189,3.86E+05,262.33,4.78E+06,245.4,4.47E+06,F
100719Abl_FM4,48,I,29590,300.94,88.473,59.487,20.682,6.12E+05,160.86,4.76E+06,255.27,7.55E+06,F
100719Abl_FM4,49,I,26249,264.36,421.86,63.108,20.376,5.35E+05,95.424,2.50E+06,346.76,9.10E+06,F
100719Abl_FM4,50,I,38399,157.95,250.73,66.009,20.4,7.83E+05,106.63,4.09E+06,307.35,1.18E+07,F
100719Abl_FM4,51,I,15423,475.83,265.35,66.832,20.901,3.22E+05,225.5,3.48E+06,380.41,5.87E+06,F
100719Abl_FM4,52,I,21658,399.22,150.88,70.717,20.657,4.47E+05,127.32,2.76E+06,414.02,8.97E+06,F
100719Abl_FM4,53,I,21968,331.13,308.36,81.867,20.506,4.50E+05,98.168,2.16E+06,452.74,9.95E+06,F
