Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity,targeted
100719Abl_FM7,1,I,15896,273.23,286.81,4.4045,22.063,3.51E+05,302.8,4.81E+06,301.75,4.80E+06,TE,F
100719Abl_FM7,2,I,17823,236.51,210.99,4.9036,22.16,3.95E+05,294.09,5.24E+06,431.73,7.69E+06,TE,F
100719Abl_FM7,3,I,21441,126.52,286.5,5.7625,22.181,4.76E+05,294.06,6.30E+06,378.1,8.11E+06,TE,F
100719Abl_FM7,4,I,18566,278.61,130.25,8.1505,21.585,4.01E+05,240.56,4.47E+06,353.27,6.56E+06,TE,F
100719Abl_FM7,5,I,19416,106.84,190.33,8.7268,22.767,4.42E+05,276.73,5.37E+06,355.36,6.90E+06,TE,F
100719Abl_FM7,6,I,27520,428.14,213.34,9.4981,21.279,5.86E+05,168.74,4.64E+06,371.59,1.02E+07,TE,F
100719Abl_FM7,7,I,15387,137.73,238.43,9.6366,24.063,3.70E+05,285.29,4.39E+06,330.14,5.08E+06,EPI,T
100719Abl_FM7,8,I,13787,189.11,246.78,12.749,25.383,3.50E+05,290.03,4.00E+06,252.21,3.48E+06,DP,F
100719Abl_FM7,9,I,16556,146.84,321.92,12.01,26.793,4.44E+05,284.1,4.70E+06,330.18,5.47E+06,DP,F
100719Abl_FM7,10,I,17104,78.305,271.16,13.67,34.259,5.86E+05,229.43,3.92E+06,347.12,5.94E+06,PRE,F
100719Abl_FM7,11,I,16643,167.41,186.16,16.595,24.45,4.07E+05,254.29,4.23E+06,367.75,6.12E+06,EPI,T
100719Abl_FM7,12,I,15825,238.39,365.29,14.626,22.683,3.59E+05,390.29,6.18E+06,223.99,3.54E+06,TE,F
100719Abl_FM7,13,I,14343,191.2,306.52,18.534,26.661,3.82E+05,322.71,4.63E+06,299.3,4.29E+06,DP,F
100719Abl_FM7,14,I,16588,409.4,365.7,20.053,22.492,3.73E+05,301.56,5.00E+06,360.61,5.98E+06,TE,F
100719Abl_FM7,15,I,12496,217.57,110.76,20.269,22.839,2.85E+05,416.92,5.21E+06,385.61,4.82E+06,TE,F
100719Abl_FM7,16,I,10223,144.03,375.81,20.262,22.43,2.29E+05,326.15,3.33E+06,405.31,4.14E+06,TE,F
100719Abl_FM7,17,I,13262,95.517,183.65,20.292,38.61,5.12E+05,283.1,3.75E+06,329.87,4.37E+06,PRE,F
100719Abl_FM7,18,I,16796,39.796,310.82,24.065,22.463,3.77E+05,239.98,4.03E+06,369.04,6.20E+06,TE,F
100719Abl_FM7,19,I,12963,107.38,231.81,23.684,24.616,3.19E+05,245.29,3.18E+06,342.51,4.44E+06,DP,F
100719Abl_FM7,20,I,13870,162.93,260.58,25.188,31.713,4.40E+05,244.6,3.39E+06,367.24,5.09E+06,PRE,F
100719Abl_FM7,21,I,17164,114.06,286.54,23.873,27.444,4.71E+05,262,4.50E+06,331.64,5.69E+06,DP,F
100719Abl_FM7,22,I,10575,190.22,356.9,24.686,31.298,3.31E+05,273.8,2.90E+06,278.9,2.95E+06,PRE,F
100719Abl_FM7,23,I,10912,38.545,219.71,25.33,22.62,2.47E+05,315.59,3.44E+06,360.17,3.93E+06,TE,F
100719Abl_FM7,24,I,10764,126.91,346.68,26.008,32.242,3.47E+05,244.26,2.63E+06,341.4,3.67E+06,PRE,F
100719Abl_FM7,25,I,11128,163.79,198.03,27.013,24.644,2.74E+05,221.28,2.46E+06,399.81,4.45E+06,DP,F
100719Abl_FM7,26,I,17745,256.66,422.78,30.397,21.974,3.90E+05,224.49,3.98E+06,340.1,6.04E+06,TE,F
100719Abl_FM7,27,I,11583,358.67,83.201,31.27,22.247,2.58E+05,334.26,3.87E+06,317.87,3.68E+06,TE,F
100719Abl_FM7,28,I,14276,69.001,312.67,30.278,23.272,3.32E+05,225.33,3.22E+06,361.46,5.16E+06,EPI,T
100719Abl_FM7,29,I,13276,63.004,256.85,30.638,32.007,4.25E+05,225.95,3.00E+06,337.94,4.49E+06,PRE,F
100719Abl_FM7,30,I,16148,170.24,119.98,32.979,21.839,3.53E+05,279.16,4.51E+06,356.08,5.75E+06,TE,F
100719Abl_FM7,31,I,11756,114.36,158.24,31.072,36.591,4.30E+05,265.24,3.12E+06,290.17,3.41E+06,PRE,F
100719Abl_FM7,32,I,12874,164.39,320.12,32.894,26.003,3.35E+05,182.23,2.35E+06,286.66,3.69E+06,DP,F
100719Abl_FM7,33,I,16349,140.33,208.84,34.801,31.989,5.23E+05,212.5,3.47E+06,329.33,5.38E+06,PRE,F
100719Abl_FM7,34,I,15507,71.075,198.78,35.4,26.721,4.14E+05,228.96,3.55E+06,333.07,5.16E+06,DP,F
100719Abl_FM7,35,I,14956,494.22,207.15,40.707,21.7,3.25E+05,251.21,3.76E+06,308.12,4.61E+06,TE,F
100719Abl_FM7,36,I,16010,100.37,358.67,37.893,28.181,4.51E+05,243.29,3.90E+06,362.06,5.80E+06,DP,F
100719Abl_FM7,37,I,15974,110.06,298.29,39.013,27.361,4.37E+05,197.59,3.16E+06,320.29,5.12E+06,DP,F
100719Abl_FM7,39,I,12558,185.65,399.14,41.719,21.06,2.64E+05,186.1,2.34E+06,377.61,4.74E+06,TE,F
100719Abl_FM7,40,I,11208,149.29,164.82,42.954,22.571,2.53E+05,134.54,1.51E+06,275.88,3.09E+06,EPI,T
