Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
121118G6NG_AP2,3,TE,I,6497,156.89,227.73,3.8384,2242,1.46E+07,399.73,2.60E+06,43.095,2.80E+05,1744.7,1.13E+07,148.3,9.64E+05,
121118G6NG_AP2,4,TE,I,5245,243.52,262.95,3.4023,1958.6,1.03E+07,290.93,1.53E+06,34.113,1.79E+05,1685.5,8.84E+06,133.32,6.99E+05,
121118G6NG_AP2,6,TE,I,6057,205.93,288.3,3.1222,2080.8,1.26E+07,422.79,2.56E+06,33.672,2.04E+05,1761.2,1.07E+07,91.422,5.54E+05,
121118G6NG_AP2,7,TE,I,5993,142.55,286.62,5.4033,2207.2,1.32E+07,378.39,2.27E+06,39.647,2.38E+05,1544.8,9.26E+06,132.28,7.93E+05,
121118G6NG_AP2,8,TE,I,4707,287.1,315.88,3.881,2138.9,1.01E+07,284.27,1.34E+06,33.137,1.56E+05,1577.9,7.43E+06,126.66,5.96E+05,
121118G6NG_AP2,9,TE,I,7755,247.33,333.02,4.2494,1651.8,1.28E+07,309.66,2.40E+06,31.949,2.48E+05,1740,1.35E+07,91.781,7.12E+05,
121118G6NG_AP2,10,TE,I,9838,138.59,193.51,5.865,2181.4,2.15E+07,248.42,2.44E+06,35.231,3.47E+05,1533.5,1.51E+07,109.14,1.07E+06,
121118G6NG_AP2,11,TE,I,10037,209.8,224.25,6.6543,1431.8,1.44E+07,197.39,1.98E+06,25.529,2.56E+05,1758.7,1.77E+07,61.901,6.21E+05,
121118G6NG_AP2,12,TE,I,10521,111.53,263.38,8.5613,1965.3,2.07E+07,344.64,3.63E+06,104.45,1.10E+06,1826,1.92E+07,86.17,9.07E+05,
121118G6NG_AP2,13,TE,I,10940,308.03,284.74,7.1139,1792.3,1.96E+07,104.63,1.14E+06,28.881,3.16E+05,1634.6,1.79E+07,82.86,9.06E+05,
121118G6NG_AP2,14,ICM,I,3659,171.22,280.63,6.5619,2156.5,7.89E+06,22.841,83577,68.018,2.49E+05,1611.2,5.90E+06,2259,8.27E+06,
121118G6NG_AP2,16,TE,I,9112,265.11,229.61,9.3796,1677.9,1.53E+07,93.719,8.54E+05,26.743,2.44E+05,1594.1,1.45E+07,82.936,7.56E+05,
121118G6NG_AP2,17,TE,I,5098,178.94,336.43,9.8356,2287.1,1.17E+07,350,1.78E+06,33.634,1.71E+05,1579.6,8.05E+06,90.027,4.59E+05,
121118G6NG_AP2,18,TE,I,8637,167.89,367.15,10.368,1778.9,1.54E+07,21.79,1.88E+05,15.284,1.32E+05,1858,1.60E+07,25.295,2.18E+05,
121118G6NG_AP2,19,TE,I,10354,315.96,196.93,12.431,1419.2,1.47E+07,158.48,1.64E+06,28.305,2.93E+05,1521.5,1.58E+07,102.48,1.06E+06,
121118G6NG_AP2,20,ICM,M,3204,121.81,202.65,12.705,2540.1,8.14E+06,24.665,79026,44.481,1.43E+05,1852.9,5.94E+06,984.49,3.15E+06,
121118G6NG_AP2,21,TE,I,7384,324.67,327.27,12.772,1862.1,1.38E+07,107.43,7.93E+05,26.264,1.94E+05,1694.6,1.25E+07,99.206,7.33E+05,
121118G6NG_AP2,22,TE,I,7593,224.57,178.94,13.91,2107,1.60E+07,175.86,1.34E+06,25.223,1.92E+05,1605,1.22E+07,88.618,6.73E+05,
121118G6NG_AP2,23,ICM,M,4009,144.77,222.45,12.845,2321,9.31E+06,25.256,1.01E+05,46.338,1.86E+05,1789.6,7.17E+06,1013.4,4.06E+06,
121118G6NG_AP2,24,ICM,I,7805,146.95,261.87,13.175,1809.3,1.41E+07,24.188,1.89E+05,50.436,3.94E+05,1635,1.28E+07,1307.1,1.02E+07,
121118G6NG_AP2,25,TE,I,7056,73.508,290.75,12.67,1757.9,1.24E+07,100.69,7.10E+05,24.77,1.75E+05,1708.1,1.21E+07,39.02,2.75E+05,
121118G6NG_AP2,26,TE,I,10459,119.46,329.35,15.843,1941,2.03E+07,319.74,3.34E+06,33.12,3.46E+05,1672.9,1.75E+07,66.107,6.91E+05,
121118G6NG_AP2,27,TE,I,10731,334.95,234.77,14.706,1864.8,2.00E+07,82.857,8.89E+05,27.126,2.91E+05,1605.6,1.72E+07,65.56,7.04E+05,
121118G6NG_AP2,28,ICM,I,9053,181.36,304.16,15.007,1773.6,1.61E+07,20.993,1.90E+05,50.584,4.58E+05,1684.6,1.53E+07,1529.1,1.38E+07,
121118G6NG_AP2,29,TE,I,5767,177.37,173.01,14.099,2079.9,1.20E+07,214.05,1.23E+06,33.301,1.92E+05,1621.9,9.35E+06,74.624,4.30E+05,
121118G6NG_AP2,30,TE,I,6799,234.81,361.11,15.18,1748.1,1.19E+07,220.19,1.50E+06,27.204,1.85E+05,1674,1.14E+07,62.346,4.24E+05,
121118G6NG_AP2,31,TE,I,16042,72.074,184.37,19.531,1840.9,2.95E+07,351.21,5.63E+06,35.112,5.63E+05,1710.2,2.74E+07,69.919,1.12E+06,
121118G6NG_AP2,31.2,TE,I,16042,62,196,23,1807.41,,379.843,,46.718,,1887.72,,71.611,,
121118G6NG_AP2,32,TE,I,6558,309.57,380.02,16.298,2076,1.36E+07,226.62,1.49E+06,23.049,1.51E+05,1673.6,1.10E+07,53.628,3.52E+05,
121118G6NG_AP2,33,TE,I,6695,373.12,279.21,17.515,1490.6,9.98E+06,82.199,5.50E+05,25.676,1.72E+05,1527.4,1.02E+07,73.712,4.94E+05,
121118G6NG_AP2,34,TE,I,10236,387.63,331.66,18.061,2402.4,2.46E+07,24.742,2.53E+05,17.881,1.83E+05,1576.4,1.61E+07,45.204,4.63E+05,
