Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
081414G6NG_AE9,1,TE,I,5943,216.71,227.45,7.232,2411.9,1.43E+07,572.92,3.40E+06,96.653,5.74E+05,1148.1,6.82E+06,361.71,2.15E+06,
081414G6NG_AE9,2,TE,I,4817,252.13,234.4,7.8192,2813,1.36E+07,510.87,2.46E+06,67.727,3.26E+05,1361.5,6.56E+06,372.01,1.79E+06,
081414G6NG_AE9,3,TE,I,7649,282.06,256.79,6.7188,2449.1,1.87E+07,239.75,1.83E+06,34.067,2.61E+05,1295,9.91E+06,138.01,1.06E+06,
081414G6NG_AE9,4,ICM,I,7161,194.76,266.21,8.4248,2464.9,1.77E+07,28.47,2.04E+05,1003.6,7.19E+06,1281.6,9.18E+06,128.26,9.18E+05,
081414G6NG_AE9,5,TE,I,8191,213.53,287.87,8.817,2952.1,2.42E+07,432.03,3.54E+06,120.2,9.85E+05,1215.4,9.95E+06,256.57,2.10E+06,
081414G6NG_AE9,6,TE,I,15251,170,290,9,3368.818,,660.777,,91.076,,1381.768,,257.044,,
081414G6NG_AE9,6.2,ICM,I,15251,178,230,12,2804.429,,35.694,,1058.096,,1471.261,,116.909,,
081414G6NG_AE9,7,ICM,I,5058,155.03,256.47,12.907,2071.5,1.05E+07,20.803,1.05E+05,107.3,5.43E+05,1294.1,6.55E+06,863.3,4.37E+06,
081414G6NG_AE9,8,TE,I,15741,322.68,264.04,11.521,2266.3,3.57E+07,104.63,1.65E+06,29.091,4.58E+05,1294.3,2.04E+07,63.113,9.93E+05,
081414G6NG_AE9,9,TE,I,4401,288.31,216.43,11.303,3014.5,1.33E+07,526.04,2.32E+06,73.125,3.22E+05,1247.3,5.49E+06,396.47,1.74E+06,
081414G6NG_AE9,10,TE,I,5985,249.05,300.29,11.005,2546.8,1.52E+07,400.32,2.40E+06,52.602,3.15E+05,1237.1,7.40E+06,313.35,1.88E+06,
081414G6NG_AE9,11,ICM,I,7556,175.02,293.05,14.691,2178.9,1.65E+07,24.172,1.83E+05,637.77,4.82E+06,1334.1,1.01E+07,150.78,1.14E+06,
081414G6NG_AE9,11.2,ICM,I,7556,178,278,23,1109.509,,18.05,,77.035,,1291.934,,481.832,,
081414G6NG_AE9,12,TE,I,6846,120.77,240.66,14.701,2129.4,1.46E+07,531.78,3.64E+06,139.19,9.53E+05,1330.9,9.11E+06,300.55,2.06E+06,
081414G6NG_AE9,13,TE,I,8730,242.67,178.14,17.249,2944,2.57E+07,401.12,3.50E+06,49.296,4.30E+05,1301,1.14E+07,234.5,2.05E+06,
081414G6NG_AE9,14,TE,I,5828,270.2,192.12,15.848,3410.6,1.99E+07,359.17,2.09E+06,51.628,3.01E+05,1298.1,7.57E+06,294.16,1.71E+06,
081414G6NG_AE9,15,TE,I,7680,136.2,293.89,19.946,1981.8,1.52E+07,288.8,2.22E+06,146.61,1.13E+06,1233,9.47E+06,196.81,1.51E+06,
081414G6NG_AE9,15.2,ICM,I,7680,150,287,23,1430.402,,25.897,,581.162,,1355.779,,82.63,,
081414G6NG_AE9,16,ICM,I,1618,136.44,202.55,16.734,1996.9,3.23E+06,26.452,42799,86.397,1.40E+05,1240.8,2.01E+06,909.56,1.47E+06,
081414G6NG_AE9,17,TE,I,5650,318.6,208.56,18.148,2412.6,1.36E+07,330.72,1.87E+06,73.852,4.17E+05,1235.2,6.98E+06,217.26,1.23E+06,
081414G6NG_AE9,18,ICM,I,9250,202,266,18,2173.057,,35.483,,96.386,,1293.11,,682.169,,
081414G6NG_AE9,19,TE,I,3884,282.87,311.58,17.575,2547,9.89E+06,384.45,1.49E+06,64.188,2.49E+05,1466.4,5.70E+06,270.51,1.05E+06,
081414G6NG_AE9,20,TE,I,5135,248.47,319.75,18.994,2451.3,1.26E+07,345.61,1.77E+06,51.38,2.64E+05,1423,7.31E+06,228.63,1.17E+06,
081414G6NG_AE9,21,TE,M,5918,176.43,171.34,19.162,3227.6,1.91E+07,265.08,1.57E+06,39.653,2.35E+05,1354.4,8.02E+06,143.6,8.50E+05,
081414G6NG_AE9,22,TE,I,8254,374.2,282.45,20.972,2467,2.04E+07,82.307,6.79E+05,31.731,2.62E+05,1158.6,9.56E+06,62.518,5.16E+05,
081414G6NG_AE9,23,TE,I,4148,309.75,313.57,19.629,2634.5,1.09E+07,376.02,1.56E+06,322.28,1.34E+06,1444.5,5.99E+06,238.27,9.88E+05,
081414G6NG_AE9,25,ICM,I,3762,154.16,230.34,17.688,2263.1,8.51E+06,23.115,86960,854.29,3.21E+06,1241.3,4.67E+06,97.902,3.68E+05,
081414G6NG_AE9,26,TE,I,5389,174.23,315.6,23.378,1654.6,8.92E+06,292.65,1.58E+06,86.394,4.66E+05,1179.9,6.36E+06,198.87,1.07E+06,
081414G6NG_AE9,27,TE,I,11441,375.69,229.18,24.445,1552.3,1.78E+07,78.875,9.02E+05,77.219,8.83E+05,1456.5,1.67E+07,61.16,7.00E+05,
081414G6NG_AE9,28,ICM,I,3051,224.15,284.79,20.747,1581.4,4.82E+06,48.594,1.48E+05,71.795,2.19E+05,1092.4,3.33E+06,658.93,2.01E+06,
081414G6NG_AE9,29,ICM,I,9669,136.51,190.94,24.977,1782.9,1.72E+07,29.041,2.81E+05,415.43,4.02E+06,1321.7,1.28E+07,143.99,1.39E+06,
081414G6NG_AE9,30,TE,I,6337,215.08,327.41,25.844,1925.5,1.22E+07,224.08,1.42E+06,62.691,3.97E+05,1378.7,8.74E+06,209.5,1.33E+06,
081414G6NG_AE9,31,ICM,I,6520,117.84,235.61,24.629,2073.2,1.35E+07,39.141,2.55E+05,801.61,5.23E+06,1274.7,8.31E+06,102.78,6.70E+05,
081414G6NG_AE9,31.1,ICM,I,6520,152,256,26,843.059,,18.924,,93.259,,1234.342,,402.951,,
081414G6NG_AE9,32,ICM,I,1381,204.71,306.07,22.07,1771.6,2.45E+06,23.686,32710,794.94,1.10E+06,1312,1.81E+06,97.611,1.35E+05,
081414G6NG_AE9,33,TE,I,5839,337.47,317.53,28.02,1701.4,9.93E+06,249.75,1.46E+06,48.255,2.82E+05,1416.3,8.27E+06,181.42,1.06E+06,
081414G6NG_AE9,34,TE,I,8005,338.87,193.72,30.671,2137.5,1.71E+07,169.3,1.36E+06,40.465,3.24E+05,1514.9,1.21E+07,111.92,8.96E+05,
081414G6NG_AE9,35,TE,I,10093,237.15,167.52,29.538,1644.2,1.66E+07,174.9,1.77E+06,33.505,3.38E+05,1345.2,1.36E+07,120.01,1.21E+06,
081414G6NG_AE9,36,TE,I,5985,302.14,171.53,30.214,1363,8.16E+06,170.53,1.02E+06,35.565,2.13E+05,1151.2,6.89E+06,119.51,7.15E+05,
081414G6NG_AE9,37,ICM,I,5387,187.08,185.83,31.314,1097.3,5.91E+06,33.853,1.82E+05,35.53,1.91E+05,1450.9,7.82E+06,366.81,1.98E+06,
081414G6NG_AE9,38,TE,I,8807,113.21,191.08,34.238,1773.1,1.56E+07,215.03,1.89E+06,128.45,1.13E+06,1177,1.04E+07,143.12,1.26E+06,
081414G6NG_AE9,39,ICM,I,4279,177.18,225.45,30.874,702.94,3.01E+06,19.906,85178,50.548,2.16E+05,1445.6,6.19E+06,254.24,1.09E+06,
081414G6NG_AE9,40,ICM,I,4388,200.58,243.1,28.871,570.46,2.50E+06,17.103,75047,38.653,1.70E+05,982.94,4.31E+06,228.65,1.00E+06,
081414G6NG_AE9,41,TE,I,6362,276.16,325.77,31.783,1206,7.67E+06,150.44,9.57E+05,42.809,2.72E+05,1285.7,8.18E+06,130.36,8.29E+05,
081414G6NG_AE9,42,TE,I,9652,109.83,259.96,35.555,1298.1,1.25E+07,138.33,1.34E+06,93.567,9.03E+05,1124.9,1.09E+07,130.3,1.26E+06,
081414G6NG_AE9,43,TE,I,13246,395.84,288.61,35.605,1876.3,2.49E+07,70.878,9.39E+05,115.4,1.53E+06,1334.5,1.77E+07,69.162,9.16E+05,
081414G6NG_AE9,44,TE,I,4566,368.8,212.31,34.92,1891.9,8.64E+06,170.8,7.80E+05,66.243,3.02E+05,1298.1,5.93E+06,159.48,7.28E+05,
081414G6NG_AE9,45,ICM,I,5279,140.72,186.15,35.423,1370.6,7.24E+06,19.193,1.01E+05,579.62,3.06E+06,1357.6,7.17E+06,62.796,3.32E+05,
081414G6NG_AE9,45.2,ICM,I,5279,168,201,34,661.905,,20.028,,42.103,,1138.593,,280.403,,
081414G6NG_AE9,47,ICM,I,2230,187.89,277.63,30.12,791.77,1.77E+06,16.2,36127,42.974,95833,1268.5,2.83E+06,362.98,8.09E+05,
081414G6NG_AE9,48,TE,I,7067,242.31,329.73,36.401,787.42,5.56E+06,133.27,9.42E+05,30.453,2.15E+05,1083.1,7.65E+06,142.61,1.01E+06,
081414G6NG_AE9,49,TE,I,10066,189.62,157.91,36.547,842.75,8.48E+06,144.23,1.45E+06,29.791,3.00E+05,1190.7,1.20E+07,109.67,1.10E+06,
081414G6NG_AE9,50,ICM,I,4409,172.18,303.19,35.853,906.61,4.00E+06,29.379,1.30E+05,41.542,1.83E+05,1166.1,5.14E+06,264.87,1.17E+06,
081414G6NG_AE9,51,ICM,I,1865,154.59,237.65,34.409,682.68,1.27E+06,16.316,30429,47.512,88609,1192.6,2.22E+06,221.01,4.12E+05,
081414G6NG_AE9,52,TE,I,8946,347.6,322.87,39.728,1568.1,1.40E+07,124.18,1.11E+06,32.67,2.92E+05,1216.8,1.09E+07,132.52,1.19E+06,
081414G6NG_AE9,53,ICM,I,2305,130.34,269.08,32.95,1108.8,2.56E+06,19.428,44781,372.87,8.59E+05,1160.8,2.68E+06,67.869,1.56E+05,
081414G6NG_AE9,53.2,ICM,I,2305,133,263,37,784.772,,19.303,,271.098,,1168.658,,60.828,,
081414G6NG_AE9,54,TE,I,7305,198.19,314.82,38.948,767.11,5.60E+06,115.06,8.41E+05,35.376,2.58E+05,1091.2,7.97E+06,133.61,9.76E+05,
081414G6NG_AE9,55,TE,I,8158,302.91,329.02,39.835,1035.2,8.45E+06,109.51,8.93E+05,33.052,2.70E+05,1128.5,9.21E+06,115.16,9.40E+05,
081414G6NG_AE9,56,ICM,I,1164,126.17,225.14,36.643,856.15,9.97E+05,16.209,18867,469.61,5.47E+05,1300,1.51E+06,60.185,70055,
081414G6NG_AE9,57,TE,I,10956,320.98,159.85,43.101,924.85,1.01E+07,113.37,1.24E+06,26.846,2.94E+05,1407.4,1.54E+07,85.322,9.35E+05,
081414G6NG_AE9,58,ICM,I,2563,167.78,267.57,37.611,585.65,1.50E+06,19.09,48927,39.151,1.00E+05,1236.6,3.17E+06,216.77,5.56E+05,
081414G6NG_AE9,59,ICM,I,4684,179.7,189.88,40.927,639.14,2.99E+06,18.073,84653,34.573,1.62E+05,1289.9,6.04E+06,235.49,1.10E+06,
081414G6NG_AE9,60,TE,I,7827,265.71,154.09,44.553,462.72,3.62E+06,52.556,4.11E+05,24.151,1.89E+05,1191.8,9.33E+06,54.875,4.30E+05,
081414G6NG_AE9,61,TE,I,8209,206.43,160.5,47.365,743.32,6.10E+06,74.473,6.11E+05,22.473,1.84E+05,1243.2,1.02E+07,82.736,6.79E+05,
081414G6NG_AE9,62,ICM,I,3736,150.69,172.34,45.326,714.6,2.67E+06,22.79,85143,402.7,1.50E+06,1021.9,3.82E+06,59.3,2.22E+05,
081414G6NG_AE9,63,ICM,I,3921,161.78,264.18,46.203,426.42,1.67E+06,16.764,65731,31.962,1.25E+05,1130.3,4.43E+06,157.05,6.16E+05,
081414G6NG_AE9,63.2,ICM,I,3921,177,225,46,310.315,,14.857,,28.212,,1135.207,,146.159,,
081414G6NG_AE9,64,TE,I,6649,164.37,290.93,46.826,478.89,3.18E+06,70.519,4.69E+05,28.378,1.89E+05,1334.1,8.87E+06,94.359,6.27E+05,
081414G6NG_AE9,65,ICM,I,4153,123.32,229.23,45.994,666.48,2.77E+06,17.364,72111,261.51,1.09E+06,1184.1,4.92E+06,57.938,2.41E+05,
081414G6NG_AE9,65.2,ICM,I,4153,140,227,52,387.84,,14.943,,232.656,,1184.882,,46.664,,
081414G6NG_AE9,66,TE,I,6401,248.78,314.7,47.908,498.52,3.19E+06,82.18,5.26E+05,23.645,1.51E+05,1186.8,7.60E+06,98.62,6.31E+05,
081414G6NG_AE9,67,TE,I,14393,398.9,262.39,49.168,1035.7,1.49E+07,66.762,9.61E+05,21.794,3.14E+05,1205.7,1.74E+07,60.3,8.68E+05,
081414G6NG_AE9,68,TE,I,6916,375.34,226.14,46.572,717.8,4.96E+06,77.786,5.38E+05,38.603,2.67E+05,1050.7,7.27E+06,92.579,6.40E+05,
081414G6NG_AE9,69,TE,I,11867,348.95,192.62,51.295,650.19,7.72E+06,54.983,6.52E+05,26.126,3.10E+05,1147.5,1.36E+07,63.229,7.50E+05,
081414G6NG_AE9,70,TE,I,7670,199.66,289.09,52.151,262.76,2.02E+06,59.265,4.55E+05,19.688,1.51E+05,1126.1,8.64E+06,59.028,4.53E+05,
081414G6NG_AE9,71,TE,I,5555,307.35,325.03,50.617,712.03,3.96E+06,90.048,5.00E+05,28.905,1.61E+05,951.91,5.29E+06,87.099,4.84E+05,
081414G6NG_AE9,72,TE,I,7830,159.65,175.66,54.279,476.43,3.73E+06,66.02,5.17E+05,91.304,7.15E+05,1022.8,8.01E+06,60.658,4.75E+05,
081414G6NG_AE9,73,TE,I,8340,348.25,297.23,56.205,551.94,4.60E+06,71.229,5.94E+05,25.147,2.10E+05,1279.6,1.07E+07,91.52,7.63E+05,
081414G6NG_AE9,74,TE,I,6706,244.52,159.52,56.291,362.95,2.43E+06,50.339,3.38E+05,20.596,1.38E+05,992.52,6.66E+06,57.659,3.87E+05,
081414G6NG_AE9,75,ICM,I,7180,191.79,195.17,56.196,301.47,2.16E+06,28.479,2.04E+05,24.567,1.76E+05,1182.9,8.49E+06,106,7.61E+05,
081414G6NG_AE9,75.2,ICM,I,7180,169,211,52,322.176,,16.264,,29.964,,1139.419,,150.035,,
081414G6NG_AE9,76,TE,I,11071,360.8,249.12,60.603,710.83,7.87E+06,52.432,5.80E+05,24.81,2.75E+05,1362.7,1.51E+07,55.625,6.16E+05,
081414G6NG_AE9,77,ICM,I,16091,171,247,53,246.761,,20.602,,24.966,,1078.51,,89.743,,
081414G6NG_AE9,77.2,TE,I,16091,173,255,60,251.059,,42.477,,23.455,,1026.303,,50.104,,
081414G6NG_AE9,78,TE,I,6922,303.13,309.47,59.687,504.13,3.49E+06,57.213,3.96E+05,33.679,2.33E+05,1344.2,9.30E+06,59.099,4.09E+05,
081414G6NG_AE9,79,TE,I,855,280.39,321.12,54.579,647.26,5.53E+05,86.885,74287,22.546,19277,842.46,7.20E+05,84.867,72561,
