Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
052317G6G4_E1,1,TE,,12504,204.14,183.14,9.35,2300.5,2.88E+07,735.3,9.19E+06,34.194,4.28E+05,428.99,5.36E+06,84.368,1.05E+06,
052317G6G4_E1,2,TE,,9944,241.38,214.27,7.7838,2478.4,2.46E+07,674.71,6.71E+06,36.385,3.62E+05,445.21,4.43E+06,109.53,1.09E+06,
052317G6G4_E1,4,TE,,13733,245.2,282.85,7.7837,2044.7,2.81E+07,530.19,7.28E+06,36.321,4.99E+05,415.97,5.71E+06,91.131,1.25E+06,
052317G6G4_E1,5,TE,,11222,307.43,266.57,10.678,2949.5,3.31E+07,525.05,5.89E+06,32.706,3.67E+05,514.8,5.78E+06,115.98,1.30E+06,
052317G6G4_E1,6,TE,,12928,173.16,209.45,12.253,1750.1,2.26E+07,411.26,5.32E+06,32.245,4.17E+05,471.9,6.10E+06,105.74,1.37E+06,
052317G6G4_E1,7,TE,,9281,195.15,288.68,11.317,2267.2,2.10E+07,538.68,5.00E+06,34.429,3.20E+05,533.36,4.95E+06,133.21,1.24E+06,
052317G6G4_E1,8,TE,,6664,293.64,183.05,11.44,2655,1.77E+07,189.36,1.26E+06,21.571,1.44E+05,378.93,2.53E+06,57.485,3.83E+05,
052317G6G4_E1,9,TE,,9524,245.85,165.86,16.323,1664.6,1.59E+07,175.75,1.67E+06,26.628,2.54E+05,436.77,4.16E+06,79.993,7.62E+05,
052317G6G4_E1,10,TE,,12315,126.87,184.86,14.614,1817.5,2.24E+07,435.79,5.37E+06,27.696,3.41E+05,430.79,5.31E+06,74.449,9.17E+05,
052317G6G4_E1,13,TE,,10825,155.79,274.31,18.306,1849.5,2.00E+07,545.49,5.91E+06,55.705,6.03E+05,495.08,5.36E+06,71.448,7.73E+05,
052317G6G4_E1,14,TE,,12405,318,197.1,19.153,2673.1,3.32E+07,119.06,1.48E+06,22.751,2.82E+05,452.07,5.61E+06,60.294,7.48E+05,
052317G6G4_E1,15,TE,,4592,119.42,253.74,19.451,2017.9,9.27E+06,208.28,9.56E+05,116.8,5.36E+05,464.43,2.13E+06,63.713,2.93E+05,
052317G6G4_E1,16,TE,,5105,263.85,326.37,19.787,2224.8,1.14E+07,342.21,1.75E+06,31.193,1.59E+05,403.69,2.06E+06,68.959,3.52E+05,
