Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
102918G6NG_AM4,1,TE,I,10479,221.09,244.24,4.9828,2714.6,2.84E+07,548.38,5.75E+06,271.93,2.85E+06,1170.1,1.23E+07,463.11,4.85E+06,
102918G6NG_AM4,3,TE,I,12940,163.27,288.66,5.8128,2654.4,3.43E+07,482.45,6.24E+06,296.78,3.84E+06,1097,1.42E+07,403.79,5.23E+06,
102918G6NG_AM4,4,ICM,I,18917,148.64,242.06,9.2688,2742.2,5.19E+07,24.354,4.61E+05,327.9,6.20E+06,1121.6,2.12E+07,528.52,1.00E+07,
102918G6NG_AM4,5,TE,I,16078,245.04,330.36,7.4552,1807.5,2.91E+07,252.64,4.06E+06,43.83,7.05E+05,1157.7,1.86E+07,371.92,5.98E+06,
102918G6NG_AM4,7,TE,I,19577,188,170.79,11.209,2754.4,5.39E+07,258.99,5.07E+06,212.81,4.17E+06,1112.6,2.18E+07,243.74,4.77E+06,
102918G6NG_AM4,8,TE,I,17304,242.99,187.36,10.469,2900.6,5.02E+07,486.02,8.41E+06,222.28,3.85E+06,1122.2,1.94E+07,382.49,6.62E+06,
102918G6NG_AM4,9,ICM,I,13728,180.54,267.26,12.754,2581.6,3.54E+07,31.714,4.35E+05,989.85,1.36E+07,1134.5,1.56E+07,281.26,3.86E+06,
102918G6NG_AM4,11,TE,I,16199,127.96,202.79,13.807,3137.7,5.08E+07,316.02,5.12E+06,235.57,3.82E+06,1196.9,1.94E+07,267.4,4.33E+06,
102918G6NG_AM4,12,ICM,I,11819,179.84,213.16,14.425,2866.4,3.39E+07,47.938,5.67E+05,109.81,1.30E+06,1098,1.30E+07,852.13,1.01E+07,
102918G6NG_AM4,14,TE,I,16193,152.61,334.21,18.99,2742.2,4.44E+07,406.07,6.58E+06,203.44,3.29E+06,1134.2,1.84E+07,248.8,4.03E+06,
102918G6NG_AM4,16,ICM,I,9150,117.67,262.31,17.985,2189,2.00E+07,19.496,1.78E+05,508.51,4.65E+06,1253.6,1.15E+07,174.48,1.60E+06,
102918G6NG_AM4,17,TE,I,15606,299.13,156.52,21.557,2602.9,4.06E+07,169.79,2.65E+06,74.525,1.16E+06,1081,1.69E+07,166.08,2.59E+06,
102918G6NG_AM4,19,ICM,I,10893,148.21,299.81,21.858,2357.9,2.57E+07,23.217,2.53E+05,762.55,8.31E+06,1062.6,1.16E+07,351.76,3.83E+06,
102918G6NG_AM4,20,ICM,I,11986,192.8,175.99,21.723,2640.5,3.16E+07,69.621,8.34E+05,389.84,4.67E+06,1070.4,1.28E+07,487.92,5.85E+06,
102918G6NG_AM4,21,ICM,I,7842,155.17,259.8,20.705,2163.4,1.70E+07,21.156,1.66E+05,328.58,2.58E+06,1010.2,7.92E+06,489.44,3.84E+06,
102918G6NG_AM4,22,ICM,I,14627,111,295.13,25.727,2248.6,3.29E+07,20.03,2.93E+05,427.53,6.25E+06,1179.9,1.73E+07,158.45,2.32E+06,
102918G6NG_AM4,23,TE,I,9230,90.975,227.04,24.55,2260.8,2.09E+07,309.4,2.86E+06,77.118,7.12E+05,1222,1.13E+07,189.03,1.74E+06,
