Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
080217G6G4_I5,1,TE,I,10700,205.76,237.6,8.5357,2556.7,2.74E+07,52.9,5.66E+05,28.514,3.05E+05,691.54,7.40E+06,73.942,7.91E+05,
080217G6G4_I5,2,TE,I,12854,262.24,264.15,8.675,1886.3,2.42E+07,80.33,1.03E+06,28.541,3.67E+05,726.33,9.34E+06,57.767,7.43E+05,
080217G6G4_I5,3,TE,I,6024,124.35,272.65,7.6834,2884.1,1.74E+07,232.85,1.40E+06,32.334,1.95E+05,718.2,4.33E+06,109.69,6.61E+05,
080217G6G4_I5,4,TE,I,6788,163.38,290.19,9.864,2388.6,1.62E+07,135.59,9.20E+05,27.556,1.87E+05,792.62,5.38E+06,93.818,6.37E+05,
080217G6G4_I5,5,TE,I,3399,178.05,258.89,10.67,2953.2,1.00E+07,222.86,7.57E+05,31.565,1.07E+05,711.97,2.42E+06,97.289,3.31E+05,
080217G6G4_I5,6,TE,I,9107,322.99,237.15,13.396,1881.8,1.71E+07,29.624,2.70E+05,24.054,2.19E+05,725.7,6.61E+06,40.001,3.64E+05,
080217G6G4_I5,7,TE,I,6944,112.15,309.11,13.127,3737.2,2.60E+07,333.58,2.32E+06,35.431,2.46E+05,756.58,5.25E+06,82.839,5.75E+05,
080217G6G4_I5,8,TE,I,9810,296.41,200.21,15.735,1678.1,1.65E+07,31.747,3.11E+05,23.983,2.35E+05,730.77,7.17E+06,31.142,3.06E+05,
080217G6G4_I5,9,TE,I,3340,223.27,210.08,13.126,2453.7,8.20E+06,32.018,1.07E+05,25.641,85640,739.08,2.47E+06,39.585,1.32E+05,
080217G6G4_I5,10,TE,I,6777,259.04,228.44,13.766,2364,1.60E+07,52.337,3.55E+05,23.113,1.57E+05,752.96,5.10E+06,54.972,3.73E+05,
080217G6G4_I5,11,TE,I,3451,134.26,240.48,12.525,2849.9,9.83E+06,279.19,9.64E+05,34.187,1.18E+05,750.35,2.59E+06,89.149,3.08E+05,
080217G6G4_I5,12,TE,I,9933,224.74,272.82,15.739,2232.9,2.22E+07,39.632,3.94E+05,25.755,2.56E+05,727.48,7.23E+06,75.854,7.53E+05,
080217G6G4_I5,13,TE,I,9719,351.66,189.76,15.278,1178.8,1.15E+07,85.401,8.30E+05,23.927,2.33E+05,666.49,6.48E+06,59.749,5.81E+05,
080217G6G4_I5,14,TE,I,8743,378.9,227.22,16.412,1530.3,1.34E+07,35.526,3.11E+05,23.178,2.03E+05,655.99,5.74E+06,46.232,4.04E+05,
080217G6G4_I5,15,TE,I,7619,101.46,238.07,16.301,2664.3,2.03E+07,207.7,1.58E+06,28.723,2.19E+05,818.83,6.24E+06,64.364,4.90E+05,
080217G6G4_I5,16,TE,I,5065,165.94,216.08,17.357,3143.2,1.59E+07,82.267,4.17E+05,24.564,1.24E+05,727,3.68E+06,58.865,2.98E+05,
080217G6G4_I5,17,TE,I,6897,366.64,273.37,17.332,1900.3,1.31E+07,29.489,2.03E+05,26.584,1.83E+05,702.14,4.84E+06,45.786,3.16E+05,
080217G6G4_I5,18,TE,I,3011,234.01,201.14,14.344,1904.2,5.73E+06,37.039,1.12E+05,24.014,72306,704.72,2.12E+06,41.965,1.26E+05,
080217G6G4_I5,19,TE,I,2516,138.76,219.95,17.641,3500.7,8.81E+06,271.86,6.84E+05,29.857,75120,875.28,2.20E+06,66.909,1.68E+05,
080217G6G4_I5,20,TE,I,3565,151.96,331.38,17.218,3336.8,1.19E+07,269.32,9.60E+05,28.364,1.01E+05,715.49,2.55E+06,80.052,2.85E+05,
080217G6G4_I5,21,ICM,I,7625,117.92,268.11,18.916,2605.8,1.99E+07,26.206,2.00E+05,37.276,2.84E+05,785.37,5.99E+06,94.088,7.17E+05,
080217G6G4_I5,22,TE,I,7471,268.27,174.59,22.117,1832.7,1.37E+07,26.989,2.02E+05,19.904,1.49E+05,706.47,5.28E+06,34.731,2.59E+05,
080217G6G4_I5,23,TE,I,6254,198.55,190.76,21.236,2314.6,1.45E+07,58.316,3.65E+05,22.797,1.43E+05,677.7,4.24E+06,60.351,3.77E+05,
