Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
050217G6G4_D8,1,TE,,8614,264.08,242.81,3.9921,1975.2,1.70E+07,926.58,7.98E+06,51.952,4.48E+05,1009.4,8.69E+06,226.12,1.95E+06,
050217G6G4_D8,2,TE,,14435,228.75,185.5,5.6502,1282,1.85E+07,594.11,8.58E+06,37.526,5.42E+05,997.92,1.44E+07,169.84,2.45E+06,
050217G6G4_D8,3,TE,,14089,201.83,255.72,5.4625,1908.9,2.69E+07,793.69,1.12E+07,47.084,6.63E+05,981.08,1.38E+07,131.68,1.86E+06,
050217G6G4_D8,4,TE,,10536,317.77,226.73,5.9084,2376.9,2.50E+07,291.41,3.07E+06,38.759,4.08E+05,1008.4,1.06E+07,104.45,1.10E+06,
050217G6G4_D8,5,TE,,10923,226.97,301.99,6.036,1630,1.78E+07,715.16,7.81E+06,41.577,4.54E+05,987.58,1.08E+07,129.25,1.41E+06,
050217G6G4_D8,6,TE,,6511,281.92,295.03,7.0359,2587.6,1.68E+07,322.99,2.10E+06,37.674,2.45E+05,980.63,6.38E+06,99.02,6.45E+05,
050217G6G4_D8,7,TE,,10378,327.11,284.26,8.4539,2057.9,2.14E+07,269.13,2.79E+06,37.122,3.85E+05,999.39,1.04E+07,89.959,9.34E+05,
050217G6G4_D8,8,TE,,12483,279.22,158.19,12.377,1976,2.47E+07,574.42,7.17E+06,40.049,5.00E+05,1002.4,1.25E+07,109.45,1.37E+06,
050217G6G4_D8,9,TE,,8306,362.82,240.45,10.97,1875.1,1.56E+07,223.95,1.86E+06,41.424,3.44E+05,962.33,7.99E+06,99.798,8.29E+05,
050217G6G4_D8,10,ICM,,9013,185.46,297.43,12.357,1663.5,1.50E+07,26.489,2.39E+05,852.72,7.69E+06,970.68,8.75E+06,68.108,6.14E+05,
050217G6G4_D8,11,TE,,9309,331.92,162.74,16.446,2434.8,2.27E+07,285.96,2.66E+06,39.072,3.64E+05,960.83,8.94E+06,100.88,9.39E+05,
050217G6G4_D8,12,TE,,8278,277.26,339.57,14.803,2325.9,1.93E+07,537.39,4.45E+06,53.868,4.46E+05,990.76,8.20E+06,180.18,1.49E+06,
050217G6G4_D8,13,ICM,,10335,131.26,267.11,16.326,1643.1,1.70E+07,529.89,5.48E+06,38.007,3.93E+05,1000.7,1.03E+07,157.26,1.63E+06,
050217G6G4_D8,14,TE,,11208,369.05,311.67,18.005,2856.9,3.20E+07,243.59,2.73E+06,37.57,4.21E+05,975.98,1.09E+07,131.52,1.47E+06,
050217G6G4_D8,15,ICM,,9411,154.88,252.98,18.264,1681.7,1.58E+07,32.601,3.07E+05,81.65,7.68E+05,922.52,8.68E+06,832.39,7.83E+06,
050217G6G4_D8,16,TE,,9173,162.97,142.15,21.317,1353.3,1.24E+07,517.22,4.74E+06,35.938,3.30E+05,906.1,8.31E+06,197.61,1.81E+06,
050217G6G4_D8,17,TE,,6020,326.8,347.04,20.483,2473.9,1.49E+07,249.71,1.50E+06,31.943,1.92E+05,1011,6.09E+06,104.64,6.30E+05,
050217G6G4_D8,18,TE,,11759,384.2,190.34,22.71,2202.2,2.59E+07,268.11,3.15E+06,33.538,3.94E+05,970.41,1.14E+07,89.316,1.05E+06,
050217G6G4_D8,19,ICM,,7708,130.93,200.78,22.331,1435.6,1.11E+07,23.611,1.82E+05,59.404,4.58E+05,1061.8,8.18E+06,802.34,6.18E+06,
050217G6G4_D8,20,TE,,11826,408.25,263.63,21.487,2495.8,2.95E+07,266.48,3.15E+06,34.429,4.07E+05,962.3,1.14E+07,84.126,9.95E+05,
050217G6G4_D8,21,ICM,,11545,103.64,193.48,24.319,1828,2.11E+07,604.49,6.98E+06,49.726,5.74E+05,1004.8,1.16E+07,139.29,1.61E+06,
050217G6G4_D8,22,ICM,,7240,141.79,313.76,24.26,2144.3,1.55E+07,21.662,1.57E+05,550.23,3.98E+06,1062.1,7.69E+06,146.09,1.06E+06,
050217G6G4_D8,23,ICM,,16380,90.097,241.91,28.346,1364.5,2.24E+07,42.31,6.93E+05,206.82,3.39E+06,978.09,1.60E+07,383.03,6.27E+06,
050217G6G4_D8,24,ICM,,6358,165.51,301.65,24.296,1653,1.05E+07,20.29,1.29E+05,70.941,4.51E+05,935.95,5.95E+06,773.48,4.92E+06,
050217G6G4_D8,25,TE,,10635,186.18,357.44,28.369,2272.8,2.42E+07,540.56,5.75E+06,31.803,3.38E+05,959.83,1.02E+07,71.494,7.60E+05,
050217G6G4_D8,26,TE,,11063,242.95,107.25,31.193,1195.2,1.32E+07,435.6,4.82E+06,32.284,3.57E+05,992.64,1.10E+07,123.65,1.37E+06,
050217G6G4_D8,27,TE,,11678,309.36,122.55,33.399,1189.6,1.39E+07,238.14,2.78E+06,30.134,3.52E+05,999.44,1.17E+07,109.62,1.28E+06,
050217G6G4_D8,28,ICM,,6548,129.36,279.61,27.713,1663.8,1.09E+07,46.713,3.06E+05,48.901,3.20E+05,928.44,6.08E+06,715.38,4.68E+06,
050217G6G4_D8,29,TE,,7625,427.38,213.23,31.022,1922.7,1.47E+07,244.3,1.86E+06,35.67,2.72E+05,939.93,7.17E+06,157.97,1.20E+06,
050217G6G4_D8,30,TE,,5153,405.36,319.15,30.465,2480.1,1.28E+07,218.26,1.12E+06,29.024,1.50E+05,983.14,5.07E+06,76.712,3.95E+05,
050217G6G4_D8,31,TE,,7829,372.48,145.27,33.534,1436.9,1.13E+07,236.97,1.86E+06,45.888,3.59E+05,1021.4,8.00E+06,88.445,6.92E+05,
050217G6G4_D8,32,TE,,6045,370.17,350.47,32.188,2048.3,1.24E+07,302.45,1.83E+06,31.57,1.91E+05,971.02,5.87E+06,97.58,5.90E+05,
050217G6G4_D8,33,ICM,,14633,97.436,305.14,36.393,1785.3,2.61E+07,20.243,2.96E+05,415.59,6.08E+06,972.17,1.42E+07,62.953,9.21E+05,
050217G6G4_D8,34,ICM,,8746,140.19,327.51,32.733,1484.9,1.30E+07,18.987,1.66E+05,103,9.01E+05,970.12,8.48E+06,594.64,5.20E+06,
050217G6G4_D8,35,TE,,6605,273.96,386.13,34.109,2034.2,1.34E+07,331.03,2.19E+06,123.45,8.15E+05,976.13,6.45E+06,173.84,1.15E+06,
050217G6G4_D8,36,TE,,6180,436.11,291.39,34.264,2044.2,1.26E+07,266.12,1.64E+06,31.473,1.95E+05,1029,6.36E+06,112.04,6.92E+05,
050217G6G4_D8,38,ICM,,12431,127.4,244.7,37.689,907.95,1.13E+07,17.738,2.21E+05,37.723,4.69E+05,971,1.21E+07,507.51,6.31E+06,
050217G6G4_D8,39,TE,,6820,319.55,386.86,36.642,1914.3,1.31E+07,274.78,1.87E+06,120.56,8.22E+05,1024.4,6.99E+06,159.24,1.09E+06,
