Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
103018G6NG_AN5,2,TE,I,23783,258.43,204.73,9.3577,1691.5,4.02E+07,235.01,5.59E+06,24.508,5.83E+05,1130.5,2.69E+07,63.751,1.52E+06,
103018G6NG_AN5,3,TE,I,6670,143.87,192.79,7.1604,2790.9,1.86E+07,280.03,1.87E+06,50.999,3.40E+05,1128.6,7.53E+06,60.037,4.00E+05,
103018G6NG_AN5,4,TE,I,11036,103.34,239.59,7.6866,2740.8,3.02E+07,424.81,4.69E+06,51.738,5.71E+05,1236.8,1.36E+07,71.737,7.92E+05,
103018G6NG_AN5,5,TE,M,15467,223.4,271.27,7.281,2662.1,4.12E+07,44.938,6.95E+05,21.466,3.32E+05,1172,1.81E+07,43.949,6.80E+05,
103018G6NG_AN5,6,TE,I,6206,172.43,172.57,9.6313,2939.6,1.82E+07,362.22,2.25E+06,34.511,2.14E+05,1275.2,7.91E+06,73.588,4.57E+05,
103018G6NG_AN5,7,TE,I,10179,158.92,269.75,8.2697,1905.2,1.94E+07,215.93,2.20E+06,29.896,3.04E+05,1110.5,1.13E+07,97.548,9.93E+05,
103018G6NG_AN5,8,ICM,I,11476,115.82,271.68,10.541,2406.7,2.76E+07,39.046,4.48E+05,590.13,6.77E+06,1256.5,1.44E+07,90.027,1.03E+06,
103018G6NG_AN5,9,ICM,I,10925,156.55,220.55,12.013,2082.7,2.28E+07,23.307,2.55E+05,509.33,5.56E+06,1093.6,1.19E+07,73.667,8.05E+05,
103018G6NG_AN5,10,TE,I,6551,124.67,303.03,11.735,2324,1.52E+07,456.81,2.99E+06,41.974,2.75E+05,1245.1,8.16E+06,85.602,5.61E+05,
103018G6NG_AN5,11,TE,I,7308,206.76,159.78,12.011,2486.1,1.82E+07,183.75,1.34E+06,25.681,1.88E+05,1131.9,8.27E+06,68.027,4.97E+05,
103018G6NG_AN5,12,TE,I,9993,159.21,324.45,13.585,2228.1,2.23E+07,354.92,3.55E+06,30.649,3.06E+05,1198.3,1.20E+07,74.895,7.48E+05,
103018G6NG_AN5,13,TE,I,10047,283.1,118.66,16.381,2676.8,2.69E+07,213.35,2.14E+06,37.435,3.76E+05,1082.8,1.09E+07,87.667,8.81E+05,
103018G6NG_AN5,14,TE,I,4755,251.2,136.04,14.747,2745.5,1.31E+07,273.35,1.30E+06,34.71,1.65E+05,998.03,4.75E+06,85.759,4.08E+05,
103018G6NG_AN5,15,TE,I,8465,326.72,148.36,16.767,2549,2.16E+07,91.458,7.74E+05,35.879,3.04E+05,1151,9.74E+06,76.887,6.51E+05,
103018G6NG_AN5,16,TE,I,10909,122.42,169.81,16.772,2475.2,2.70E+07,388.23,4.24E+06,33.589,3.66E+05,1188.3,1.30E+07,68.224,7.44E+05,
103018G6NG_AN5,17,TE,I,5935,160.47,132.02,16.842,2566.6,1.52E+07,229.95,1.36E+06,24.983,1.48E+05,1136.9,6.75E+06,65.752,3.90E+05,
103018G6NG_AN5,18,TE,I,5228,188.07,128.01,18.674,2872.1,1.50E+07,372.25,1.95E+06,28.386,1.48E+05,1204.7,6.30E+06,66.805,3.49E+05,
103018G6NG_AN5,19,ICM,I,5151,235.98,200.91,18.012,2318.1,1.19E+07,28.561,1.47E+05,43.875,2.26E+05,1188.8,6.12E+06,1499.8,7.73E+06,
103018G6NG_AN5,20,ICM,I,9753,152.98,257.82,18.122,1985.9,1.94E+07,27.463,2.68E+05,60.813,5.93E+05,1191.9,1.16E+07,1072.6,1.05E+07,
103018G6NG_AN5,21,TE,I,5385,221.26,141.17,18.854,2841.1,1.53E+07,379.94,2.05E+06,28.864,1.55E+05,1052.2,5.67E+06,69.445,3.74E+05,
103018G6NG_AN5,22,TE,I,8300,306.91,200.77,17.278,2394.7,1.99E+07,138.22,1.15E+06,31.266,2.60E+05,1172.8,9.73E+06,59.987,4.98E+05,
103018G6NG_AN5,23,TE,I,15247,328.71,251.12,21.536,2125.6,3.24E+07,46.224,7.05E+05,22.423,3.42E+05,1159.3,1.77E+07,55.72,8.50E+05,
103018G6NG_AN5,24,TE,I,6445,379.25,166.09,21.637,1951.7,1.26E+07,239.95,1.55E+06,37.005,2.39E+05,1179.4,7.60E+06,121.5,7.83E+05,
103018G6NG_AN5,25,TE,I,9341,383.67,132.22,23.561,1498.1,1.40E+07,49.814,4.65E+05,30.802,2.88E+05,1210.5,1.13E+07,48.148,4.50E+05,
103018G6NG_AN5,26,TE,I,6002,374.12,209.3,21.834,2412.2,1.45E+07,244.59,1.47E+06,37.548,2.25E+05,1194.2,7.17E+06,112.55,6.76E+05,
103018G6NG_AN5,27,TE,I,10230,270.49,276.73,22.015,2424,2.48E+07,135.2,1.38E+06,32.35,3.31E+05,1175.7,1.20E+07,81.787,8.37E+05,
103018G6NG_AN5,28,ICM,I,7112,111.08,201.02,23.139,1439,1.02E+07,25.174,1.79E+05,106.86,7.60E+05,1193.1,8.49E+06,1043,7.42E+06,
103018G6NG_AN5,29,TE,I,9749,321.31,115.98,26.427,1231.1,1.20E+07,49.825,4.86E+05,22.86,2.23E+05,1167.5,1.14E+07,50.318,4.91E+05,
103018G6NG_AN5,30,ICM,I,8631,166.51,199.73,23.446,1677.4,1.45E+07,19.906,1.72E+05,42.664,3.68E+05,1186.5,1.02E+07,149.52,1.29E+06,
103018G6NG_AN5,31,ICM,I,4395,209.16,194.19,25.407,1733.2,7.62E+06,17.372,76352,38.423,1.69E+05,1147.1,5.04E+06,1142.9,5.02E+06,
103018G6NG_AN5,32,ICM,I,15759,88.207,241.02,25.242,1176.8,1.85E+07,19.814,3.12E+05,90.191,1.42E+06,1157.2,1.82E+07,66.667,1.05E+06,
103018G6NG_AN5,33,ICM,I,12400,207.4,232.35,28.066,1448.6,1.80E+07,15.868,1.97E+05,27.598,3.42E+05,1148.8,1.42E+07,400.66,4.97E+06,
103018G6NG_AN5,34,ICM,I,14712,80,267,27,1731.569,,22.184,,353.276,,1044.504,,62.758,,
103018G6NG_AN5,34.2,TE,I,14712,95,302,30,1181.152,,127.09,,38.259,,1218.335,,48.759,,
103018G6NG_AN5,35,TE,I,10215,243.84,331.34,27.437,2543.4,2.60E+07,248.34,2.54E+06,29.526,3.02E+05,1127.1,1.15E+07,89.663,9.16E+05,
103018G6NG_AN5,36,TE,I,5787,350.49,90.207,26.483,1397.1,8.09E+06,49.288,2.85E+05,33.13,1.92E+05,1132.9,6.56E+06,31.851,1.84E+05,
103018G6NG_AN5,37,ICM,I,6243,132.97,237,26.933,1262.5,7.88E+06,16.111,1.01E+05,470.8,2.94E+06,1148.3,7.17E+06,66.404,4.15E+05,
103018G6NG_AN5,38,ICM,I,3928,216.28,260.73,25.974,2058.9,8.09E+06,16.98,66696,34.868,1.37E+05,1143.3,4.49E+06,579.09,2.27E+06,
103018G6NG_AN5,39,ICM,I,4264,188.5,278.95,26.326,1734,7.39E+06,17.87,76197,33.833,1.44E+05,1186.3,5.06E+06,581.33,2.48E+06,
103018G6NG_AN5,40,ICM,I,9537,151.49,299.11,28.474,1439,1.37E+07,19.234,1.83E+05,39.306,3.75E+05,1056.5,1.01E+07,1284.9,1.23E+07,
103018G6NG_AN5,41,TE,I,6831,315.24,299.35,28.106,2174.3,1.49E+07,106.64,7.28E+05,27.087,1.85E+05,1152.3,7.87E+06,59.522,4.07E+05,
103018G6NG_AN5,42,ICM,I,6929,225.35,169.57,28.22,1531,1.06E+07,20.539,1.42E+05,37.413,2.59E+05,1062.4,7.36E+06,1015.2,7.03E+06,
103018G6NG_AN5,43,ICM,I,8642,77.145,201.72,31.322,911.19,7.87E+06,17.056,1.47E+05,160.7,1.39E+06,1075.3,9.29E+06,57.297,4.95E+05,
103018G6NG_AN5,44,ICM,I,7362,135.79,205.53,30.326,1301.2,9.58E+06,19.562,1.44E+05,264.13,1.94E+06,1228.1,9.04E+06,71.934,5.30E+05,
103018G6NG_AN5,44.2,ICM,I,7362,144,212,37,711.016,,14.976,,234.09,,1160.872,,46.972,,
103018G6NG_AN5,45,ICM,I,4936,152.33,173.55,29.004,1911.7,9.44E+06,20.759,1.02E+05,36.14,1.78E+05,1251.8,6.18E+06,528.94,2.61E+06,
103018G6NG_AN5,46,TE,I,6729,179.35,352.44,30.68,2121.8,1.43E+07,228.13,1.54E+06,30.804,2.07E+05,1076.2,7.24E+06,84.18,5.66E+05,
103018G6NG_AN5,47,ICM,I,6143,160.14,256.81,32.124,1418.1,8.71E+06,16.304,1.00E+05,39.832,2.45E+05,1108.2,6.81E+06,755.52,4.64E+06,
103018G6NG_AN5,48,ICM,I,5238,222.01,293.94,29.723,1475.8,7.73E+06,15.674,82101,34.2,1.79E+05,1092.6,5.72E+06,887.62,4.65E+06,
103018G6NG_AN5,49,TE,I,2948,300.44,313.82,31.918,2774.6,8.18E+06,51.223,1.51E+05,24.754,72974,1199.5,3.54E+06,37.812,1.11E+05,
103018G6NG_AN5,50,TE,I,12122,423.7,214.41,34.273,1342,1.63E+07,46.832,5.68E+05,18.743,2.27E+05,1178.5,1.43E+07,37.458,4.54E+05,
103018G6NG_AN5,51,TE,I,7267,129.35,350.68,32.2,1517.5,1.10E+07,138.49,1.01E+06,26.152,1.90E+05,1143.5,8.31E+06,49.481,3.60E+05,
103018G6NG_AN5,52,ICM,I,6110,171.86,138.04,33.043,1652.4,1.01E+07,21.769,1.33E+05,33.722,2.06E+05,1146.1,7.00E+06,796.08,4.86E+06,
103018G6NG_AN5,53,TE,I,3754,202.77,352.9,33.057,1986.7,7.46E+06,201.42,7.56E+05,28.46,1.07E+05,1082.9,4.07E+06,92.628,3.48E+05,
103018G6NG_AN5,54,TE,I,9799,195.43,101.19,36.558,2046.8,2.01E+07,141.04,1.38E+06,26.472,2.59E+05,1187.2,1.16E+07,179.92,1.76E+06,
103018G6NG_AN5,55,TE,I,8082,234.21,122.72,36.584,1364,1.10E+07,123.92,1.00E+06,23.743,1.92E+05,1134.9,9.17E+06,65.505,5.29E+05,
