Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
111017G6G4_N6,3,TE,I,9667,205.62,225.7,5.9707,2823.4,2.73E+07,38.972,3.77E+05,79.898,7.72E+05,686.16,6.63E+06,90.485,8.75E+05,
111017G6G4_N6,4,TE,I,9104,254.16,187.63,6.677,3123.4,2.84E+07,34.935,3.18E+05,126.21,1.15E+06,727.11,6.62E+06,126.99,1.16E+06,
111017G6G4_N6,5,TE,I,13778,302.61,196.55,7.3583,2590.1,3.57E+07,31.788,4.38E+05,105.15,1.45E+06,744.76,1.03E+07,91.201,1.26E+06,
111017G6G4_N6,6,TE,I,5305,169.97,240.84,5.2221,2669.1,1.42E+07,38.623,2.05E+05,139.86,7.42E+05,747.89,3.97E+06,91.95,4.88E+05,
111017G6G4_N6,7,TE,I,6426,184.15,189.65,9.6766,2237.1,1.44E+07,37.679,2.42E+05,101.63,6.53E+05,702.56,4.51E+06,91.18,5.86E+05,
111017G6G4_N6,8,TE,I,11462,281.83,241.29,9.0592,2396.2,2.75E+07,28.371,3.25E+05,89.755,1.03E+06,724.39,8.30E+06,88.54,1.01E+06,
111017G6G4_N6,9,TE,I,9293,155.51,277.91,8.5394,2932.2,2.72E+07,31.058,2.89E+05,94.233,8.76E+05,720.34,6.69E+06,96.772,8.99E+05,
111017G6G4_N6,11,TE,I,10263,180.58,319.26,7.5152,1150.3,1.18E+07,40.325,4.14E+05,106.79,1.10E+06,688.89,7.07E+06,81.298,8.34E+05,
111017G6G4_N6,12,TE,I,8966,354.01,164.73,11.93,2851.1,2.56E+07,33.873,3.04E+05,87.19,7.82E+05,752.55,6.75E+06,88.665,7.95E+05,
111017G6G4_N6,13,TE,I,13365,323.26,259.68,12.892,1711.3,2.29E+07,31.237,4.17E+05,82.213,1.10E+06,700.21,9.36E+06,56.527,7.55E+05,
111017G6G4_N6,15,TE,I,9975,101.46,255.96,14.535,2579.3,2.57E+07,29.13,2.91E+05,102.84,1.03E+06,698.2,6.96E+06,70.556,7.04E+05,
111017G6G4_N6,16,TE,I,8969,431.78,140.52,16.869,2752.2,2.47E+07,35.285,3.16E+05,101.24,9.08E+05,733.99,6.58E+06,75.087,6.73E+05,
111017G6G4_N6,17,TE,I,8357,245.63,156.69,15.886,2758.1,2.31E+07,34.826,2.91E+05,131.14,1.10E+06,694.03,5.80E+06,89.022,7.44E+05,
111017G6G4_N6,18,TE,I,4934,238.49,280.61,15.399,1935.7,9.55E+06,30.285,1.49E+05,95.749,4.72E+05,772.81,3.81E+06,72.134,3.56E+05,
111017G6G4_N6,21,TE,I,7322,494.43,156.98,16.922,2683.6,1.96E+07,31.303,2.29E+05,54.421,3.98E+05,714.11,5.23E+06,42.1,3.08E+05,
111017G6G4_N6,22,TE,I,5577,427.11,178.03,16.308,3178.9,1.77E+07,31.514,1.76E+05,74.783,4.17E+05,737.84,4.12E+06,80.235,4.47E+05,
111017G6G4_N6,23,TE,I,8533,211.73,330.33,18.651,1057.6,9.02E+06,28.698,2.45E+05,73.921,6.31E+05,738.69,6.30E+06,59.498,5.08E+05,
111017G6G4_N6,24,TE,I,11496,175.75,377.14,18.995,1342.8,1.54E+07,27.005,3.10E+05,66.544,7.65E+05,683.12,7.85E+06,60.51,6.96E+05,
111017G6G4_N6,25,TE,I,8886,343.7,132.5,17.859,2606.5,2.32E+07,38.998,3.47E+05,132.42,1.18E+06,751.5,6.68E+06,81.688,7.26E+05,
111017G6G4_N6,26,ICM,I,8420,230.01,203.03,15.007,1681.6,1.42E+07,27.081,2.28E+05,420.03,3.54E+06,767.36,6.46E+06,730.6,6.15E+06,
111017G6G4_N6,27,TE,I,11919,376.78,224.03,19.075,2552,3.04E+07,32.232,3.84E+05,79.873,9.52E+05,769.74,9.17E+06,76.644,9.14E+05,
111017G6G4_N6,28,TE,I,6605,388.19,272.81,17.266,1985,1.31E+07,33.36,2.20E+05,69.876,4.62E+05,758.97,5.01E+06,82.674,5.46E+05,
111017G6G4_N6,29,TE,I,7419,357.43,311.77,17.322,2096.6,1.56E+07,37.848,2.81E+05,77.021,5.71E+05,728.46,5.40E+06,68.173,5.06E+05,
111017G6G4_N6,30,TE,I,10251,137.8,186.67,20.358,2211.9,2.27E+07,29.305,3.00E+05,97.182,9.96E+05,751.59,7.70E+06,77.161,7.91E+05,
111017G6G4_N6,31,ICM,I,9906,178.21,237.98,18.752,1560.1,1.55E+07,25.599,2.54E+05,297.7,2.95E+06,706.7,7.00E+06,428.89,4.25E+06,
111017G6G4_N6,32,TE,I,6243,316.88,349.7,19.829,1746.2,1.09E+07,31.924,1.99E+05,86.686,5.41E+05,722.29,4.51E+06,79.58,4.97E+05,
111017G6G4_N6,33,TE,I,17975,234.55,379.84,24.414,1257.9,2.26E+07,24.607,4.42E+05,66.013,1.19E+06,715.73,1.29E+07,52.037,9.35E+05,
111017G6G4_N6,34,TE,I,5853,283.52,127.62,22.857,2215.9,1.30E+07,31.999,1.87E+05,125.15,7.33E+05,774.86,4.54E+06,57.344,3.36E+05,
111017G6G4_N6,35,ICM,I,8723,193.59,179.53,20.878,2097.3,1.83E+07,28.349,2.47E+05,352.28,3.07E+06,742.01,6.47E+06,503.16,4.39E+06,
111017G6G4_N6,36,TE,I,6336,91.91,197.7,22.112,2256.1,1.43E+07,35.509,2.25E+05,113.47,7.19E+05,778.12,4.93E+06,74.06,4.69E+05,
111017G6G4_N6,37,TE,I,7206,77.175,272.72,22.706,2544.2,1.83E+07,31.553,2.27E+05,117.42,8.46E+05,720.45,5.19E+06,87.897,6.33E+05,
111017G6G4_N6,38,TE,I,7097,94.822,343.87,22.337,2349.6,1.67E+07,26.96,1.91E+05,82.876,5.88E+05,688.4,4.89E+06,72.568,5.15E+05,
111017G6G4_N6,39,TE,I,9132,125.81,366.22,23.896,1865.6,1.70E+07,26.226,2.39E+05,99.368,9.07E+05,699.43,6.39E+06,67.391,6.15E+05,
111017G6G4_N6,40,TE,I,5913,460.81,203.95,23.207,2302.4,1.36E+07,33.256,1.97E+05,76.109,4.50E+05,711.44,4.21E+06,69.256,4.10E+05,
111017G6G4_N6,41,ICM,I,6057,115.4,319.23,24.179,1666.5,1.01E+07,28.036,1.70E+05,330.68,2.00E+06,740.91,4.49E+06,508.82,3.08E+06,
111017G6G4_N6,42,TE,I,9495,424.41,261.64,26.314,1649.1,1.57E+07,25.925,2.46E+05,67.091,6.37E+05,694.82,6.60E+06,54.324,5.16E+05,
111017G6G4_N6,43,TE,I,10124,266.46,319.09,24.661,1118.9,1.13E+07,26.74,2.71E+05,44.921,4.55E+05,764.54,7.74E+06,44.075,4.46E+05,
111017G6G4_N6,44,TE,I,5998,78.894,240.49,25.724,1652.2,9.91E+06,36.072,2.16E+05,99.67,5.98E+05,678.99,4.07E+06,65.572,3.93E+05,
111017G6G4_N6,45,ICM,I,4334,187.57,305.37,23.444,1048.2,4.54E+06,23.815,1.03E+05,219.03,9.49E+05,686.16,2.97E+06,312.7,1.36E+06,
111017G6G4_N6,47,TE,I,7503,347.4,122.72,27.826,2149.3,1.61E+07,30.389,2.28E+05,112.76,8.46E+05,738.97,5.54E+06,68.26,5.12E+05,
