Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
091918G6NG_AI8,1,TE,I,11541,182.07,226.06,5.4105,2351.5,2.71E+07,576.51,6.65E+06,54.557,6.30E+05,1226.9,1.42E+07,137.33,1.59E+06,
091918G6NG_AI8,2,TE,I,7380,123.02,249.22,4.8153,2565.9,1.89E+07,460.69,3.40E+06,38.759,2.86E+05,1313.7,9.70E+06,139.56,1.03E+06,
091918G6NG_AI8,4,TE,I,5361,214.27,286.86,8.1599,2012.3,1.08E+07,499.21,2.68E+06,43.069,2.31E+05,1351.2,7.24E+06,144.4,7.74E+05,
091918G6NG_AI8,5,ICM,I,11142,142.85,216.93,12.026,1334.1,1.49E+07,21.991,2.45E+05,220.46,2.46E+06,1230.3,1.37E+07,81.469,9.08E+05,
091918G6NG_AI8,6,TE,I,5935,220.26,243.21,9.6881,2137.7,1.27E+07,524.91,3.12E+06,39.003,2.31E+05,1263.8,7.50E+06,128.26,7.61E+05,
091918G6NG_AI8,7,TE,I,5562,325.77,334.92,9.9995,1889.8,1.05E+07,298.3,1.66E+06,27.335,1.52E+05,1203.3,6.69E+06,37.628,2.09E+05,
091918G6NG_AI8,8,ICM,I,6716,179.64,280.66,10.872,1361.1,9.14E+06,21.415,1.44E+05,392.19,2.63E+06,1276.3,8.57E+06,111.54,7.49E+05,
091918G6NG_AI8,9,TE,I,5222,166.24,323.35,10.569,2745,1.43E+07,561.73,2.93E+06,37.582,1.96E+05,1270,6.63E+06,112.19,5.86E+05,
091918G6NG_AI8,11,ICM,I,4232,159.17,260.33,13.335,1869.5,7.91E+06,27.336,1.16E+05,210.62,8.91E+05,1235.2,5.23E+06,79.266,3.35E+05,
091918G6NG_AI8,12,TE,I,8487,298.93,323.15,14.022,1845.6,1.57E+07,150.86,1.28E+06,24.316,2.06E+05,1361.7,1.16E+07,70.358,5.97E+05,
091918G6NG_AI8,13,TE,I,11034,216.42,185.94,16.201,2514.6,2.77E+07,465.71,5.14E+06,32.285,3.56E+05,1338.1,1.48E+07,103.71,1.14E+06,
091918G6NG_AI8,14,ICM,I,4262,112.86,289.26,13.513,1489.4,6.35E+06,23.112,98505,93.973,4.01E+05,1229.8,5.24E+06,66.041,2.81E+05,
091918G6NG_AI8,15,TE,I,8618,239.98,323.25,16.108,1994.4,1.72E+07,329.3,2.84E+06,32.878,2.83E+05,1253.4,1.08E+07,237.26,2.04E+06,
091918G6NG_AI8,16,TE,I,8330,99.687,202.87,16.967,1648.2,1.37E+07,366.67,3.05E+06,68.96,5.74E+05,1360.8,1.13E+07,89.123,7.42E+05,
091918G6NG_AI8,17,ICM,I,11601,200.74,233.63,16.724,1719.8,2.00E+07,33.702,3.91E+05,57.617,6.68E+05,1270.6,1.47E+07,336.91,3.91E+06,
091918G6NG_AI8,18,TE,I,5412,253.71,265.1,17.437,2256.3,1.22E+07,476.68,2.58E+06,28.892,1.56E+05,1340.2,7.25E+06,81.014,4.38E+05,
091918G6NG_AI8,19,TE,I,9883,332.68,293.76,18.288,1836,1.81E+07,88.475,8.74E+05,21.877,2.16E+05,1324.1,1.31E+07,51.859,5.13E+05,
091918G6NG_AI8,20,ICM,I,5269,148.75,303.53,16.573,1626,8.57E+06,27.47,1.45E+05,42.264,2.23E+05,1281.8,6.75E+06,575.62,3.03E+06,
091918G6NG_AI8,21,TE,I,5078,151.56,168.4,18.836,2335.5,1.19E+07,377.05,1.91E+06,37.519,1.91E+05,1349.2,6.85E+06,98.825,5.02E+05,
