Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
092917G6G4_M3,1,TE,I,9943,183.11,226.24,4.7203,3796.6,3.78E+07,607.5,6.04E+06,41.82,4.16E+05,796.18,7.92E+06,166.11,1.65E+06,
092917G6G4_M3,2,TE,I,11034,195.29,320.43,4.5123,3638.9,4.02E+07,731.37,8.07E+06,43.485,4.80E+05,797.42,8.80E+06,157.09,1.73E+06,
092917G6G4_M3,3,TE,I,8049,205.7,179.18,7.3812,3576.8,2.88E+07,476.27,3.83E+06,38.361,3.09E+05,755.04,6.08E+06,143.57,1.16E+06,
092917G6G4_M3,4,TE,M,8918,131.36,271.35,8.6961,2909.5,2.59E+07,107.48,9.58E+05,26.424,2.36E+05,830.08,7.40E+06,59.981,5.35E+05,
092917G6G4_M3,5,TE,I,8285,379.71,278.61,8.8023,3139.4,2.60E+07,140.66,1.17E+06,35.294,2.92E+05,792.82,6.57E+06,102.1,8.46E+05,
092917G6G4_M3,6,TE,I,6481,393.49,233.95,11.506,2562.5,1.66E+07,25.211,1.63E+05,19.682,1.28E+05,822.75,5.33E+06,38.02,2.46E+05,
092917G6G4_M3,7,TE,I,16940,346.02,258.88,12.937,1871,3.17E+07,154.41,2.62E+06,27.232,4.61E+05,786.4,1.33E+07,72.708,1.23E+06,
092917G6G4_M3,8,TE,I,8200,222.05,271.33,11.117,3558.9,2.92E+07,384.98,3.16E+06,35.017,2.87E+05,814.06,6.68E+06,136.99,1.12E+06,
092917G6G4_M3,9,TE,I,8094,416.44,273.29,10.485,3228.7,2.61E+07,120.13,9.72E+05,29.411,2.38E+05,807.97,6.54E+06,102.12,8.27E+05,
092917G6G4_M3,10,ICM,I,7747,173.05,279.8,12.279,2313.2,1.79E+07,19.384,1.50E+05,46.497,3.60E+05,800.36,6.20E+06,1353.8,1.05E+07,
092917G6G4_M3,11,TE,I,7919,96.879,305.87,13.043,2504.3,1.98E+07,199.85,1.58E+06,25.895,2.05E+05,888.93,7.04E+06,71.28,5.64E+05,
092917G6G4_M3,12,TE,I,5349,227.05,305.47,13.469,3499.1,1.87E+07,267.17,1.43E+06,26.714,1.43E+05,854.74,4.57E+06,108.45,5.80E+05,
092917G6G4_M3,13,TE,I,9136,398.44,194.9,17.136,1891.7,1.73E+07,24.891,2.27E+05,17.425,1.59E+05,814.75,7.44E+06,34.592,3.16E+05,
092917G6G4_M3,15,TE,I,4947,136.02,201.91,14.857,3326.5,1.65E+07,310.92,1.54E+06,29.835,1.48E+05,781.75,3.87E+06,77.425,3.83E+05,
092917G6G4_M3,16,TE,I,9696,343.69,157.09,17.202,2999.3,2.91E+07,156.73,1.52E+06,28.837,2.80E+05,805.55,7.81E+06,102.82,9.97E+05,
092917G6G4_M3,17,TE,I,6464,361.19,197.12,16.955,1449.2,9.37E+06,39.304,2.54E+05,19.407,1.25E+05,781.38,5.05E+06,43.504,2.81E+05,
092917G6G4_M3,18,TE,I,5624,427.96,248.89,15.15,2214.8,1.25E+07,209.89,1.18E+06,26.24,1.48E+05,746.7,4.20E+06,67.422,3.79E+05,
092917G6G4_M3,19,TE,I,13719,212.86,350.6,18.425,2684.7,3.68E+07,189.12,2.59E+06,24.644,3.38E+05,859.55,1.18E+07,86.787,1.19E+06,
092917G6G4_M3,20,TE,I,16616,307.14,113.05,18.763,2542,4.22E+07,179.4,2.98E+06,25.17,4.18E+05,780.18,1.30E+07,76.442,1.27E+06,
092917G6G4_M3,21,TE,I,13794,232.59,159.38,19.787,2827.5,3.90E+07,292.19,4.03E+06,23.798,3.28E+05,781.58,1.08E+07,76.741,1.06E+06,
092917G6G4_M3,22,TE,I,8846,98.092,241.41,17.756,2833.3,2.51E+07,226.19,2.00E+06,26.269,2.32E+05,819.52,7.25E+06,76.793,6.79E+05,
092917G6G4_M3,24,ICM,I,10966,177.36,248.12,18.867,2198.2,2.41E+07,19.241,2.11E+05,36.094,3.96E+05,816.04,8.95E+06,710.92,7.80E+06,
092917G6G4_M3,25,TE,I,15249,294.05,312.58,20.726,2551,3.89E+07,165.52,2.52E+06,23.491,3.58E+05,834.05,1.27E+07,65.807,1.00E+06,
092917G6G4_M3,26,TE,I,7975,393.71,328.7,19.739,2194.2,1.75E+07,34.844,2.78E+05,16.541,1.32E+05,892.88,7.12E+06,36.053,2.88E+05,
092917G6G4_M3,27,TE,I,5433,157.02,365.98,18.773,3074.1,1.67E+07,255.95,1.39E+06,28.053,1.52E+05,821.4,4.46E+06,87.549,4.76E+05,
092917G6G4_M3,28,ICM,I,12527,182.02,199.47,20.851,2347.4,2.94E+07,21.361,2.68E+05,45.525,5.70E+05,836.17,1.05E+07,1355.7,1.70E+07,
092917G6G4_M3,29,TE,I,10822,254.58,217.33,22.26,3243.8,3.51E+07,241.67,2.62E+06,28.468,3.08E+05,868.27,9.40E+06,102.15,1.11E+06,
092917G6G4_M3,30,ICM,I,12851,136.48,248.35,21.365,1977.1,2.54E+07,17.408,2.24E+05,179.49,2.31E+06,808.38,1.04E+07,99.769,1.28E+06,
092917G6G4_M3,31,ICM,I,9946,180.6,318.29,20.609,2221.9,2.21E+07,16.733,1.66E+05,35.842,3.56E+05,788.07,7.84E+06,973.64,9.68E+06,
