 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
011017Xim_WT_AB9,2,7457,TE,281.33,148.75,5.155,1933.1,1.44E+07,3165,2.36E+07,164.23,1.22E+06,575.59,4.29E+06,670.18,5.00E+06,
011017Xim_WT_AB9,3,16197,TE,191.65,228.9,6.5211,1706.9,2.76E+07,2591.9,4.20E+07,108.5,1.76E+06,531.09,8.60E+06,328.06,5.31E+06,
011017Xim_WT_AB9,4,11171,TE,157.36,285.59,6.7062,1465.7,1.64E+07,2855.7,3.19E+07,142.11,1.59E+06,555.47,6.21E+06,265.42,2.97E+06,
011017Xim_WT_AB9,5,1724,TE,358.5,333.15,6.0238,1997.7,3.44E+06,37.475,64607,26.725,46074,567.22,9.78E+05,176.58,3.04E+05,
011017Xim_WT_AB9,6,22118,TE,353.14,183.28,7.4057,1469.5,3.25E+07,2635.5,5.83E+07,123.08,2.72E+06,564.55,1.25E+07,298.11,6.59E+06,
011017Xim_WT_AB9,7,7977,TE,255.03,179.61,8.3157,1718,1.37E+07,3185,2.54E+07,151.74,1.21E+06,556.02,4.44E+06,242.71,1.94E+06,
011017Xim_WT_AB9,8,12580,TE,139.69,240.4,8.6171,1577.4,1.98E+07,2672.4,3.36E+07,125.66,1.58E+06,542.59,6.83E+06,331.57,4.17E+06,
011017Xim_WT_AB9,9,7593,TE,330.46,320.32,8.759,2230.8,1.69E+07,48.12,3.65E+05,29.436,2.24E+05,571.87,4.34E+06,245.27,1.86E+06,
011017Xim_WT_AB9,10,7241,TE,254.64,349.3,7.2759,1518,1.10E+07,85.579,6.20E+05,59.607,4.32E+05,570.87,4.13E+06,787.6,5.70E+06,
011017Xim_WT_AB9,11,6988,TE,206.62,127.09,11.27,2166.7,1.51E+07,3575.5,2.50E+07,168.84,1.18E+06,572.82,4.00E+06,727.9,5.09E+06,
011017Xim_WT_AB9,12,11946,TE,376.82,273.41,7.9305,1191.7,1.42E+07,1331.6,1.59E+07,62.417,7.46E+05,553.14,6.61E+06,272.48,3.26E+06,
011017Xim_WT_AB9,13,6560,TE,355.7,367.98,10.477,1403,9.20E+06,82.057,5.38E+05,52.305,3.43E+05,520.18,3.41E+06,533.54,3.50E+06,
011017Xim_WT_AB9,14,12243,TE,153.97,160.1,13.845,2238.4,2.74E+07,3367.7,4.12E+07,142.31,1.74E+06,563.54,6.90E+06,403.38,4.94E+06,
011017Xim_WT_AB9,15,11961,TE,412.21,223.86,13.107,2105.1,2.52E+07,3536.4,4.23E+07,145.84,1.74E+06,578.91,6.92E+06,290.25,3.47E+06,
011017Xim_WT_AB9,16,13997,TE,199.96,331.49,10.593,1153.3,1.61E+07,1140.7,1.60E+07,57.765,8.09E+05,551.95,7.73E+06,221.93,3.11E+06,
011017Xim_WT_AB9,17,9057,TE,145.75,341.12,9.7102,1361.6,1.23E+07,2943.9,2.67E+07,143.29,1.30E+06,554.41,5.02E+06,167.45,1.52E+06,
011017Xim_WT_AB9,18,11578,TE,228.41,284.47,11.62,1399.5,1.62E+07,1121.7,1.30E+07,60.833,7.04E+05,569.54,6.59E+06,264.45,3.06E+06,
011017Xim_WT_AB9,19,8608,TE,313.94,401.39,15.63,998.8,8.60E+06,73.409,6.32E+05,43.755,3.77E+05,605.12,5.21E+06,578.59,4.98E+06,
011017Xim_WT_AB9,20,8947,TE,337.81,154.25,14.433,1627.3,1.46E+07,2337.8,2.09E+07,115.52,1.03E+06,571.7,5.12E+06,513.32,4.59E+06,
011017Xim_WT_AB9,21,8984,TE,218.58,381.05,16.764,1330.8,1.20E+07,3628.8,3.26E+07,156.84,1.41E+06,529.85,4.76E+06,213.02,1.91E+06,
011017Xim_WT_AB9,22.2,19201,ICM,109,292,22,1597.749,,2676.389,,724.779,,563.896,,166.918,,
011017Xim_WT_AB9,22,19201,TE,101,263,13,1639.244,,2712.21,,129.372,,609.442,,174.403,,
011017Xim_WT_AB9,23,10517,TE,249.56,139.01,18.541,1615.8,1.70E+07,2068.1,2.18E+07,89.199,9.38E+05,590.62,6.21E+06,651.51,6.85E+06,
011017Xim_WT_AB9,24,8288,TE,306.92,229.44,17.016,1677.4,1.39E+07,1519.7,1.26E+07,67.234,5.57E+05,605.1,5.02E+06,266.45,2.21E+06,
011017Xim_WT_AB9,25,6929,TE,259.5,240.93,17.194,1707.4,1.18E+07,3422.6,2.37E+07,131.32,9.10E+05,570.54,3.95E+06,211.01,1.46E+06,
011017Xim_WT_AB9,26,6404,TE,408.83,327.3,18.176,1519.2,9.73E+06,78.486,5.03E+05,41.287,2.64E+05,569.43,3.65E+06,389.75,2.50E+06,
011017Xim_WT_AB9,27,7126,TE,103.96,321.99,21.336,1627.6,1.16E+07,3486.9,2.48E+07,172.99,1.23E+06,564.96,4.03E+06,199.16,1.42E+06,
011017Xim_WT_AB9,28,4655,TE,139.35,283.03,19.036,1309,6.09E+06,137.17,6.39E+05,63.764,2.97E+05,568.22,2.65E+06,1605.2,7.47E+06,
011017Xim_WT_AB9,30,6062,TE,116.23,175.13,22.935,1719.3,1.04E+07,3595,2.18E+07,131.79,7.99E+05,498.72,3.02E+06,184.21,1.12E+06,
011017Xim_WT_AB9,31,14627,ICM,127.84,226.08,23.085,1303.9,1.91E+07,2240.3,3.28E+07,111.01,1.62E+06,531.43,7.77E+06,1519.6,2.22E+07,
011017Xim_WT_AB9,32,5821,ICM,143.84,313.83,23.193,1226.9,7.14E+06,119.85,6.98E+05,59.837,3.48E+05,581.08,3.38E+06,1667.4,9.71E+06,
011017Xim_WT_AB9,33,11630,TE,370.86,189.39,27.693,1665.1,1.94E+07,3130.7,3.64E+07,106.95,1.24E+06,536.21,6.24E+06,264.91,3.08E+06,
011017Xim_WT_AB9,34,12265,TE,293.43,204.22,28.092,1465.3,1.80E+07,3149.8,3.86E+07,107.78,1.32E+06,581.82,7.14E+06,330.8,4.06E+06,
011017Xim_WT_AB9,35,15999,ICM,148,177,29,1217.363,,122.486,,46.286,,556.494,,1290.375,,
011017Xim_WT_AB9,35.2,15999,ICM,135,188,35,998.789,,99.073,,39.926,,590.994,,868.35,,
011017Xim_WT_AB9,36,8749,TE,80.588,228.07,31.899,1357.8,1.19E+07,2687.8,2.35E+07,191.24,1.67E+06,559.77,4.90E+06,159.19,1.39E+06,
011017Xim_WT_AB9,37,10138,ICM,159.19,231.88,32.681,1027.2,1.04E+07,77.675,7.87E+05,37.221,3.77E+05,545.45,5.53E+06,900.09,9.13E+06,
011017Xim_WT_AB9,38,9912,ICM,159.1,273.08,32.805,942.12,9.34E+06,58.587,5.81E+05,41.24,4.09E+05,533.35,5.29E+06,1061.3,1.05E+07,
011017Xim_WT_AB9,39,17855,TE,120.24,361.53,34.091,1106.9,1.98E+07,1409.8,2.52E+07,71.868,1.28E+06,553.09,9.88E+06,244.95,4.37E+06,
011017Xim_WT_AB9,40,8507,ICM,86.605,276.8,31.628,1392.7,1.18E+07,1221,1.04E+07,118.83,1.01E+06,553.06,4.70E+06,1583.3,1.35E+07,
011017Xim_WT_AB9,41,7498,TE,431.3,264.52,33.663,1034.7,7.76E+06,2989.8,2.24E+07,126.15,9.46E+05,470.44,3.53E+06,516.1,3.87E+06,
011017Xim_WT_AB9,43,12472,TE,205.05,142.7,37.589,1133,1.41E+07,2322.5,2.90E+07,84.503,1.05E+06,543.01,6.77E+06,256.11,3.19E+06,
011017Xim_WT_AB9,45,9156,TE,315.89,407.04,35.313,743.06,6.80E+06,53.307,4.88E+05,43.061,3.94E+05,466.1,4.27E+06,371.99,3.41E+06,
011017Xim_WT_AB9,46,8559,TE,253.73,397.17,36.679,671.49,5.75E+06,52.451,4.49E+05,32.451,2.78E+05,557.28,4.77E+06,323.1,2.77E+06,
011017Xim_WT_AB9,48,2990,ICM,126.26,333.84,36.03,939.53,2.81E+06,2101.9,6.28E+06,423.25,1.27E+06,566.58,1.69E+06,167.63,5.01E+05,
011017Xim_WT_AB9,51,5708,ICM,95.985,229.25,40.085,933.3,5.33E+06,1065.9,6.08E+06,476.93,2.72E+06,535.68,3.06E+06,108.14,6.17E+05,
011017Xim_WT_AB9,53,6526,TE,74.545,308.05,40.359,892.35,5.82E+06,1234.5,8.06E+06,65.523,4.28E+05,582.25,3.80E+06,307.34,2.01E+06,
011017Xim_WT_AB9,54,1221,ICM,139.76,184.35,39.983,887.61,1.08E+06,65.815,80360,36.59,44677,554.73,6.77E+05,700.08,8.55E+05,
011017Xim_WT_AB9,55,13280,TE,382.15,372.6,41.601,633.53,8.41E+06,51.946,6.90E+05,56.76,7.54E+05,472.66,6.28E+06,270.72,3.60E+06,
011017Xim_WT_AB9,57,5635,ICM,145.95,299.14,40.967,786.8,4.43E+06,64.517,3.64E+05,43.585,2.46E+05,502.2,2.83E+06,904.56,5.10E+06,
011017Xim_WT_AB9,58,8530,TE,146.63,155.19,41.279,747.34,6.37E+06,69.103,5.89E+05,26.391,2.25E+05,442.83,3.78E+06,124.19,1.06E+06,
011017Xim_WT_AB9,59,7960,TE,412.18,218.21,44.106,811.44,6.46E+06,2269.7,1.81E+07,83.69,6.66E+05,508.07,4.04E+06,292.93,2.33E+06,
011017Xim_WT_AB9,60,11715,TE,418.61,312.84,43.509,568.37,6.66E+06,56.597,6.63E+05,37.872,4.44E+05,433.62,5.08E+06,260.72,3.05E+06,
011017Xim_WT_AB9,61,12035,ICM,157.33,209.2,44.335,691.34,8.32E+06,54.095,6.51E+05,40.961,4.93E+05,586.94,7.06E+06,325.51,3.92E+06,
011017Xim_WT_AB9,62,6752,TE,356.18,214.84,44.693,788.37,5.32E+06,1920.3,1.30E+07,98.272,6.64E+05,502.7,3.39E+06,220.76,1.49E+06,
011017Xim_WT_AB9,63,13087,ICM,93.932,285.15,44.071,953.99,1.25E+07,1625.6,2.13E+07,297.63,3.90E+06,522.21,6.83E+06,249.55,3.27E+06,
011017Xim_WT_AB9,64,14614,TE,180.63,372.67,49.775,475.33,6.95E+06,47.932,7.00E+05,22.985,3.36E+05,506.67,7.40E+06,106.04,1.55E+06,
011017Xim_WT_AB9,65,8755,TE,306.49,230.65,43.793,693.03,6.07E+06,1802,1.58E+07,110.62,9.68E+05,506.7,4.44E+06,311.4,2.73E+06,
011017Xim_WT_AB9,66,9501,ICM,167.92,340.99,47.03,527.56,5.01E+06,122.08,1.16E+06,47.249,4.49E+05,588.05,5.59E+06,446.9,4.25E+06,
011017Xim_WT_AB9,68,14555,TE,263.71,224.25,50.149,780.73,1.14E+07,1928.6,2.81E+07,73.291,1.07E+06,512.5,7.46E+06,209.16,3.04E+06,
011017Xim_WT_AB9,69,5615,ICM,137.58,325.47,48.423,564.16,3.17E+06,216.6,1.22E+06,84.876,4.77E+05,487.86,2.74E+06,941.79,5.29E+06,
011017Xim_WT_AB9,70,2603,ICM,113.64,245.26,45.261,614.23,1.60E+06,1367.3,3.56E+06,396.45,1.03E+06,539.27,1.40E+06,275.04,7.16E+05,
