Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
061218Xim_G6_BH26,1,TE,I,5537,247.29,254.99,3.5546,2746.7,1.52E+07,3315.8,1.84E+07,144.47,8.00E+05,513.4,2.84E+06,337.06,1.87E+06,
061218Xim_G6_BH26,2,TE,I,6395,300.75,244.22,5.2333,2604.8,1.67E+07,3187.3,2.04E+07,131.22,8.39E+05,497.01,3.18E+06,230.81,1.48E+06,
061218Xim_G6_BH26,3,TE,I,7530,251.64,188.62,6.0874,2111,1.59E+07,2566.5,1.93E+07,111.42,8.39E+05,511.66,3.85E+06,390.72,2.94E+06,
061218Xim_G6_BH26,4,TE,I,8010,197.24,230.21,5.4074,1842.7,1.48E+07,2626.3,2.10E+07,113.59,9.10E+05,489.06,3.92E+06,380.06,3.04E+06,
061218Xim_G6_BH26,5,TE,I,5452,289.29,186.14,7.7148,2826.1,1.54E+07,3142.9,1.71E+07,126.35,6.89E+05,503.55,2.75E+06,387.97,2.12E+06,
061218Xim_G6_BH26,6,TE,I,4977,313.68,211.16,7.2727,3076.9,1.53E+07,3304,1.64E+07,130.36,6.49E+05,514.74,2.56E+06,194.6,9.69E+05,
061218Xim_G6_BH26,7,TE,I,13469,157.47,226.57,8.6445,2048.6,2.76E+07,2313.3,3.12E+07,93.317,1.26E+06,521.89,7.03E+06,143.04,1.93E+06,
061218Xim_G6_BH26,8,TE,I,12238,262.44,309.41,7.9672,1283.8,1.57E+07,2436,2.98E+07,97.854,1.20E+06,496.83,6.08E+06,173.86,2.13E+06,
061218Xim_G6_BH26,9,TE,I,10614,159.19,279.27,9.1084,2031.1,2.16E+07,2816.5,2.99E+07,113.84,1.21E+06,459.52,4.88E+06,215.92,2.29E+06,
061218Xim_G6_BH26,10,TE,I,11769,116,261,13,2753.542,,3081.345,,112.972,,507.351,,153.255,,
061218Xim_G6_BH26,10.2,ICM,I,11769,125,263,19,2076.814,,2494.283,,289.177,,483.734,,76.554,,
061218Xim_G6_BH26,11,TE,I,9723,231.34,152.73,13.606,2646.8,2.57E+07,2129.1,2.07E+07,79.863,7.77E+05,513.73,5.00E+06,124.28,1.21E+06,
061218Xim_G6_BH26,12,TE,I,9931,169.5,179.15,14.603,2664.6,2.65E+07,3180.6,3.16E+07,112.98,1.12E+06,514.44,5.11E+06,164.78,1.64E+06,
061218Xim_G6_BH26,13,TE,I,10358,192.3,316.33,14.018,2075.9,2.15E+07,3117.5,3.23E+07,115.23,1.19E+06,478.93,4.96E+06,141.67,1.47E+06,
061218Xim_G6_BH26,14,TE,I,4888,327.23,172.39,15.178,2881.2,1.41E+07,3086.5,1.51E+07,110.95,5.42E+05,467.54,2.29E+06,295.84,1.45E+06,
061218Xim_G6_BH26,15,TE,I,5554,359.63,231.75,17.866,2394.2,1.33E+07,2329.9,1.29E+07,85.087,4.73E+05,485.05,2.69E+06,147.21,8.18E+05,
061218Xim_G6_BH26,16,TE,I,5244,291.07,153.09,18.043,2332.2,1.22E+07,2394.2,1.26E+07,110.36,5.79E+05,497.17,2.61E+06,273.31,1.43E+06,
061218Xim_G6_BH26,17,ICM,I,5603,165.92,248.15,17.636,2318.6,1.30E+07,1106.5,6.20E+06,68.353,3.83E+05,414.85,2.32E+06,639.74,3.58E+06,
061218Xim_G6_BH26,18,TE,I,5648,348.76,294.55,19.192,2390.7,1.35E+07,2549.4,1.44E+07,87.223,4.93E+05,488.1,2.76E+06,115.15,6.50E+05,
061218Xim_G6_BH26,19,TE,I,8036,118.01,185.8,19.251,2187.1,1.76E+07,2323.3,1.87E+07,91.184,7.33E+05,489,3.93E+06,106.45,8.55E+05,
061218Xim_G6_BH26,20,TE,I,6016,306.82,336.56,19.866,2172.7,1.31E+07,2578.2,1.55E+07,89.937,5.41E+05,483.35,2.91E+06,145.89,8.78E+05,
061218Xim_G6_BH26,21,TE,I,12937,78,225,22,2530.379,,1515.811,,71.106,,425.584,,116.764,,
061218Xim_G6_BH26,21.2,ICM,I,12937,90,230,30,1343.591,,1017.997,,66.698,,396.336,,513.38,,
061218Xim_G6_BH26,22,ICM,I,4122,140.88,230.98,18.887,2107.4,8.69E+06,863.11,3.56E+06,64.206,2.65E+05,468.19,1.93E+06,621.61,2.56E+06,
061218Xim_G6_BH26,23,TE,I,7974,134,320.8,23.054,1647.2,1.31E+07,2743.1,2.19E+07,98.983,7.89E+05,479.04,3.82E+06,145.57,1.16E+06,
