Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041818Xim_G6_AY11,1,TE,I,6466,356.64,263.75,4.893,3485.6,2.25E+07,3920.9,2.54E+07,236.7,1.53E+06,427.27,2.76E+06,388.57,2.51E+06,
041818Xim_G6_AY11,2,TE,I,6612,276.35,285.05,5.8447,3048.1,2.02E+07,3793.4,2.51E+07,214.76,1.42E+06,436.08,2.88E+06,1050.3,6.94E+06,
041818Xim_G6_AY11,3,TE,I,9487,377.03,210.14,8.9867,2742.8,2.60E+07,3444.2,3.27E+07,195.25,1.85E+06,460.43,4.37E+06,251.81,2.39E+06,
041818Xim_G6_AY11,4,TE,M,26811,304.46,225.4,10.014,2590,6.94E+07,77.317,2.07E+06,31.048,8.32E+05,441.45,1.18E+07,289.98,7.77E+06,
041818Xim_G6_AY11,5,TE,I,16386,201.55,255.5,8.0772,2484.2,4.07E+07,109.44,1.79E+06,51.204,8.39E+05,420.43,6.89E+06,769.73,1.26E+07,
041818Xim_G6_AY11,6,TE,I,7692,250.08,261.58,7.9086,2623.9,2.02E+07,3594.4,2.76E+07,171.6,1.32E+06,419.71,3.23E+06,890.5,6.85E+06,
041818Xim_G6_AY11,7,TE,I,9750,250.04,329.42,8.1681,1921.3,1.87E+07,2924.4,2.85E+07,112.44,1.10E+06,429.62,4.19E+06,942.29,9.19E+06,
041818Xim_G6_AY11,8,TE,I,12936,245.47,193.99,10.589,2750,3.56E+07,94.105,1.22E+06,83.132,1.08E+06,441.24,5.71E+06,531.94,6.88E+06,
041818Xim_G6_AY11,9,TE,M,5813,203.19,309.83,9.6384,2611.5,1.52E+07,65.622,3.81E+05,29.651,1.72E+05,421.98,2.45E+06,316,1.84E+06,
041818Xim_G6_AY11,10,TE,I,8238,309.89,309.67,11.464,2201.8,1.81E+07,2985.9,2.46E+07,168.87,1.39E+06,422.34,3.48E+06,784.67,6.46E+06,
041818Xim_G6_AY11,11,TE,I,7480,203.52,189.35,12.793,2387.8,1.79E+07,87.009,6.51E+05,67.024,5.01E+05,425.38,3.18E+06,651.98,4.88E+06,
041818Xim_G6_AY11,12,TE,I,8773,292.91,358.5,15.899,1915.6,1.68E+07,3487.3,3.06E+07,160.14,1.40E+06,406.96,3.57E+06,644.38,5.65E+06,
041818Xim_G6_AY11,13,ICM,I,7334,174.49,281.83,16.696,1915,1.40E+07,93.976,6.89E+05,460.44,3.38E+06,433.47,3.18E+06,181.75,1.33E+06,
041818Xim_G6_AY11,14,TE,I,12474,295.76,149.7,17.1,2914.7,3.64E+07,82.639,1.03E+06,297.79,3.71E+06,403.41,5.03E+06,492.11,6.14E+06,
041818Xim_G6_AY11,15,TE,I,7008,333.88,171.37,16.737,2759.2,1.93E+07,3716.1,2.60E+07,352.36,2.47E+06,411.24,2.88E+06,500.6,3.51E+06,
041818Xim_G6_AY11,16,ICM,I,8311,152.11,242.76,17.99,2078.9,1.73E+07,83.744,6.96E+05,381.34,3.17E+06,456.38,3.79E+06,137.38,1.14E+06,
041818Xim_G6_AY11,16.2,ICM,I,8311,140,247,22,1713.048,,75.494,,693.456,,431.541,,99.211,,
041818Xim_G6_AY11,18,ICM,I,15122,130.39,298.75,18.582,1937.4,2.93E+07,108.45,1.64E+06,222.94,3.37E+06,432.47,6.54E+06,483.86,7.32E+06,
041818Xim_G6_AY11,19,TE,I,14700,120.01,212.81,20.793,2657.8,3.91E+07,71.064,1.04E+06,60.272,8.86E+05,417.76,6.14E+06,419.94,6.17E+06,
041818Xim_G6_AY11,21,TE,I,12946,242.79,156.02,22.287,2471.1,3.20E+07,71.663,9.28E+05,308.06,3.99E+06,417.46,5.40E+06,429.37,5.56E+06,
041818Xim_G6_AY11,22,TE,I,7631,345.92,319.58,21.027,2097.1,1.60E+07,3704.7,2.83E+07,149.26,1.14E+06,402.15,3.07E+06,499.07,3.81E+06,
041818Xim_G6_AY11,23,TE,I,6827,172.13,186.15,21.828,2329.8,1.59E+07,77.102,5.26E+05,32.804,2.24E+05,456.46,3.12E+06,601.12,4.10E+06,
041818Xim_G6_AY11,24,TE,I,6211,394.85,319.14,21.475,3040.7,1.89E+07,3628.5,2.25E+07,135.2,8.40E+05,440.72,2.74E+06,107.91,6.70E+05,
041818Xim_G6_AY11,25,TE,I,10162,157.41,330.08,22.55,2133.4,2.17E+07,108.53,1.10E+06,104.27,1.06E+06,387.24,3.94E+06,282.64,2.87E+06,
