Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041818Xim_G6_AY7,2,TE,I,17890,158,243,12,1969.698,,101.415,,143.166,,426.109,,507.254,,
041818Xim_G6_AY7,2.2,ICM,I,8914,180,256,38,698.754,,35.018,,473.546,,426.855,,387.353,,
041818Xim_G6_AY7,4,TE,I,10370,271.96,267.74,9.4272,1870.9,1.94E+07,58.406,6.06E+05,490.09,5.08E+06,445.38,4.62E+06,717.38,7.44E+06,
041818Xim_G6_AY7,5,TE,I,17890,179.61,294.24,11.389,2292.8,4.10E+07,89.266,1.60E+06,150.06,2.68E+06,428.32,7.66E+06,387.84,6.94E+06,
041818Xim_G6_AY7,7,TE,I,15838,340.03,254.14,8.885,1188.6,1.88E+07,40.776,6.46E+05,62.306,9.87E+05,480.52,7.61E+06,1011.7,1.60E+07,
041818Xim_G6_AY7,8,TE,I,11695,227.35,267.01,13.266,1869.6,2.19E+07,76.108,8.90E+05,69.949,8.18E+05,405.45,4.74E+06,444.34,5.20E+06,
041818Xim_G6_AY7,9,TE,I,14140,274.12,304.87,11.841,1862.7,2.63E+07,72.727,1.03E+06,259.46,3.67E+06,450.43,6.37E+06,594.9,8.41E+06,
041818Xim_G6_AY7,10,TE,I,8687,241.8,220.66,13.82,1876.2,1.63E+07,90.135,7.83E+05,45.183,3.93E+05,431.9,3.75E+06,297.88,2.59E+06,
041818Xim_G6_AY7,11,TE,I,9004,221.31,325.37,15.415,2388.6,2.15E+07,77.506,6.98E+05,81.984,7.38E+05,446.02,4.02E+06,517.24,4.66E+06,
041818Xim_G6_AY7,12,TE,I,13997,330.47,323.89,16.562,2187,3.06E+07,64.7,9.06E+05,57.162,8.00E+05,462.39,6.47E+06,748.91,1.05E+07,
041818Xim_G6_AY7,14,TE,I,8680,193.05,200.1,18.351,1679.7,1.46E+07,81.652,7.09E+05,37.103,3.22E+05,470.79,4.09E+06,458.91,3.98E+06,
041818Xim_G6_AY7,16,TE,I,10127,271.61,338.43,19.66,1733.7,1.76E+07,58.58,5.93E+05,730.33,7.40E+06,459.89,4.66E+06,661.37,6.70E+06,
041818Xim_G6_AY7,18,ICM,I,16382,139,276,23,1725.003,,67.633,,685.329,,444.513,,444.123,,
041818Xim_G6_AY7,18.2,ICM,I,16382,141,264,39,858.791,,39.601,,135.516,,395.353,,405.887,,
041818Xim_G6_AY7,19,TE,I,13427,362.33,188.28,25.24,1167.8,1.57E+07,47.501,6.38E+05,183.11,2.46E+06,462.83,6.21E+06,747.7,1.00E+07,
041818Xim_G6_AY7,20,TE,I,12591,158.42,332.92,24.782,2586.5,3.26E+07,71.049,8.95E+05,31.95,4.02E+05,459.64,5.79E+06,162.22,2.04E+06,
041818Xim_G6_AY7,21,TE,I,7607,133.08,209.44,24.831,1366.4,1.04E+07,57.806,4.40E+05,31.539,2.40E+05,503.37,3.83E+06,305.28,2.32E+06,
041818Xim_G6_AY7,23,TE,I,9131,272.25,175.32,27.38,1008.5,9.21E+06,46.356,4.23E+05,101.01,9.22E+05,479.49,4.38E+06,624.28,5.70E+06,
041818Xim_G6_AY7,27,ICM,I,8485,221.75,315.3,26.89,1438.3,1.22E+07,59.007,5.01E+05,315,2.67E+06,451.96,3.83E+06,575.04,4.88E+06,
041818Xim_G6_AY7,29,TE,I,14064,169.17,170.97,29.601,1482.2,2.08E+07,65.211,9.17E+05,35.485,4.99E+05,453.73,6.38E+06,175.88,2.47E+06,
041818Xim_G6_AY7,32,ICM,I,7530,207.2,258.19,23.866,773.92,5.83E+06,41.672,3.14E+05,172.92,1.30E+06,424.3,3.20E+06,585.66,4.41E+06,
041818Xim_G6_AY7,32.2,ICM,I,7530,178,255,24,885.362,,33.7,,324.582,,444.99,,448.232,,
041818Xim_G6_AY7,33,TE,I,14105,106.46,275.07,31.873,1730,2.44E+07,69.378,9.79E+05,35.991,5.08E+05,460.6,6.50E+06,187.35,2.64E+06,
041818Xim_G6_AY7,34,TE,I,17453,413.43,291.56,34.843,1773.2,3.09E+07,49.827,8.70E+05,115.72,2.02E+06,465.74,8.13E+06,523.41,9.14E+06,
041818Xim_G6_AY7,37,ICM,I,8216,206.19,197.36,32.225,991.92,8.15E+06,52.014,4.27E+05,29.685,2.44E+05,476.73,3.92E+06,189.54,1.56E+06,
041818Xim_G6_AY7,37.2,ICM,I,8216,167,225,30,628.894,,35.567,,255.889,,371.57,,460.339,,
041818Xim_G6_AY7,38,TE,I,9276,236.69,352.83,35.751,1253.9,1.16E+07,46.076,4.27E+05,83.176,7.72E+05,449.08,4.17E+06,260.96,2.42E+06,
041818Xim_G6_AY7,39,ICM,I,6816,213.92,231.74,34.353,622.06,4.24E+06,40.989,2.79E+05,33.668,2.29E+05,469.23,3.20E+06,109.18,7.44E+05,
041818Xim_G6_AY7,41,ICM,I,3464,173.69,294.34,24,1479.721,,55.648,,138.089,,435.824,,606.996,,
041818Xim_G6_AY7,43,TE,I,8727,195.35,338.15,35.999,1050.7,9.17E+06,46.791,4.08E+05,50.556,4.41E+05,493.67,4.31E+06,261.63,2.28E+06,
041818Xim_G6_AY7,44,TE,I,17079,240.26,161.19,36.374,802.38,1.37E+07,42.328,7.23E+05,40.861,6.98E+05,375.73,6.42E+06,346.99,5.93E+06,
041818Xim_G6_AY7,45,TE,I,14183,122.14,197.05,40.533,1101.1,1.56E+07,47.023,6.67E+05,26.043,3.69E+05,457.7,6.49E+06,106.04,1.50E+06,
041818Xim_G6_AY7,46,TE,I,6508,178.81,155.43,39.483,1417.7,9.23E+06,52.233,3.40E+05,27.02,1.76E+05,428.84,2.79E+06,164.87,1.07E+06,
041818Xim_G6_AY7,47,TE,I,10683,123.37,319.24,41.532,1377.9,1.47E+07,45.597,4.87E+05,28.362,3.03E+05,466.57,4.98E+06,121.36,1.30E+06,
041818Xim_G6_AY7,48,ICM,I,8914,161.96,308.59,38.84,941.01,8.39E+06,38.274,3.41E+05,406.94,3.63E+06,432.26,3.85E+06,461.76,4.12E+06,
041818Xim_G6_AY7,48.2,ICM,I,8914,194,291,43,419.795,,29.753,,104.64,,412.877,,185.148,,
041818Xim_G6_AY7,49,ICM,I,900,161.63,207.34,37.886,596.72,5.37E+05,33.856,30470,259.25,2.33E+05,347.79,3.13E+05,356.37,3.21E+05,
041818Xim_G6_AY7,50,TE,M,6102,301.94,363.62,41.193,1830.5,1.12E+07,35.226,2.15E+05,52.595,3.21E+05,442.91,2.70E+06,203.04,1.24E+06,
041818Xim_G6_AY7,51,TE,I,9040,115.72,244.08,46.814,639.25,5.78E+06,42.143,3.81E+05,29.004,2.62E+05,415.83,3.76E+06,188.47,1.70E+06,
041818Xim_G6_AY7,53,ICM,I,12813,202.88,205.24,48.574,547.41,7.01E+06,30.315,3.88E+05,88.31,1.13E+06,438.87,5.62E+06,212.32,2.72E+06,
041818Xim_G6_AY7,54,TE,I,14661,182.13,339.34,48.7,667.7,9.79E+06,36.989,5.42E+05,54.191,7.95E+05,438.04,6.42E+06,135.74,1.99E+06,
041818Xim_G6_AY7,56,TE,I,14746,216.67,161.97,53.143,539.91,7.96E+06,30.975,4.57E+05,28.927,4.27E+05,455.12,6.71E+06,331.23,4.88E+06,
041818Xim_G6_AY7,57,ICM,I,9173,199.43,260.23,49.856,374.96,3.44E+06,26.502,2.43E+05,118.51,1.09E+06,413.4,3.79E+06,233.99,2.15E+06,
041818Xim_G6_AY7,57.2,ICM,I,9173,166,269,54,324.703,,26.38,,74.383,,405.423,,292.439,,
041818Xim_G6_AY7,59,TE,I,10243,245.07,336.86,51.641,618.62,6.34E+06,30.262,3.10E+05,60.165,6.16E+05,441.53,4.52E+06,208.91,2.14E+06,
041818Xim_G6_AY7,60,TE,I,9796,309.91,135.95,54.192,941.84,9.23E+06,33.803,3.31E+05,81.445,7.98E+05,442.56,4.34E+06,453.53,4.44E+06,
041818Xim_G6_AY7,61,TE,I,13037,124.24,279.01,52.207,724.04,9.44E+06,33.966,4.43E+05,26.59,3.47E+05,450.96,5.88E+06,82.025,1.07E+06,
041818Xim_G6_AY7,62,ICM,I,2932,169.96,228.63,48.525,474.23,1.39E+06,28.17,82595,315.6,9.25E+05,375.45,1.10E+06,407.3,1.19E+06,
041818Xim_G6_AY7,63,TE,I,12578,394.73,189.54,56.91,934.66,1.18E+07,29.356,3.69E+05,92.176,1.16E+06,436.81,5.49E+06,264.24,3.32E+06,
041818Xim_G6_AY7,64,ICM,I,11035,208.91,315.64,57.342,416.31,4.59E+06,30.054,3.32E+05,25.778,2.84E+05,425.87,4.70E+06,79.387,8.76E+05,
041818Xim_G6_AY7,65,TE,I,16641,353.57,337.67,61.222,839.27,1.40E+07,35.866,5.97E+05,24.93,4.15E+05,473.76,7.88E+06,194.12,3.23E+06,
041818Xim_G6_AY7,66,TE,I,10314,130.74,201.88,57.184,515.1,5.31E+06,31.126,3.21E+05,23.63,2.44E+05,404.69,4.17E+06,148.17,1.53E+06,
041818Xim_G6_AY7,67,TE,I,15326,146.94,235.49,66.53,326.95,5.01E+06,25.144,3.85E+05,25.875,3.97E+05,380.97,5.84E+06,67.872,1.04E+06,
041818Xim_G6_AY7,68,TE,I,11127,250.54,313.08,65.029,414.25,4.61E+06,26.512,2.95E+05,21.374,2.38E+05,492.69,5.48E+06,150.72,1.68E+06,
041818Xim_G6_AY7,69,TE,I,6779,170.3,186.35,58.315,315.29,2.14E+06,27.266,1.85E+05,23.686,1.61E+05,339.94,2.30E+06,84.449,5.72E+05,
041818Xim_G6_AY7,70,TE,I,23481,179.02,293.72,69.617,233.33,5.48E+06,21.068,4.95E+05,21.346,5.01E+05,385.35,9.05E+06,53.457,1.26E+06,
041818Xim_G6_AY7,71,ICM,I,24234,188.36,233.75,71.821,216.34,5.24E+06,21.611,5.24E+05,47.468,1.15E+06,406.04,9.84E+06,112.05,2.72E+06,
041818Xim_G6_AY7,71.2,ICM,I,24234,197,211,62,293.481,,23.33,,100.816,,404.571,,179.86,,
041818Xim_G6_AY7,73,TE,I,23675,225.97,220.91,76.031,221.8,5.25E+06,21.223,5.02E+05,26.205,6.20E+05,454.54,1.08E+07,109.78,2.60E+06,
041818Xim_G6_AY7,74,TE,I,14874,268.9,183.06,76.564,284.95,4.24E+06,18.518,2.75E+05,34.924,5.19E+05,470.93,7.00E+06,114.91,1.71E+06,
041818Xim_G6_AY7,75,TE,I,12267,225.13,276.82,74.547,156.88,1.92E+06,19.595,2.40E+05,22.063,2.71E+05,409.07,5.02E+06,83.466,1.02E+06,
041818Xim_G6_AY7,76,TE,I,25974,344.69,266.47,79.158,534.16,1.39E+07,23.385,6.07E+05,17.468,4.54E+05,488.04,1.27E+07,158.93,4.13E+06,
041818Xim_G6_AY7,77,TE,I,9050,275.36,237.04,80.318,353.76,3.20E+06,18.929,1.71E+05,21.294,1.93E+05,500.14,4.53E+06,88.887,8.04E+05,
