 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
031818Xim_WT_AN10,1,6655,TE,300.97,253.06,3.4681,2867.3,1.91E+07,123.27,8.20E+05,92.944,6.19E+05,1175.1,7.82E+06,409.39,2.72E+06,
031818Xim_WT_AN10,2,8914,TE,260.01,304.15,3.7358,2792.9,2.49E+07,130.33,1.16E+06,98.877,8.81E+05,1187.3,1.06E+07,394.95,3.52E+06,
031818Xim_WT_AN10,3,15298,TE,196.93,224.67,5.8144,2457.1,3.76E+07,3133.6,4.79E+07,162.21,2.48E+06,1209.4,1.85E+07,353.46,5.41E+06,
031818Xim_WT_AN10,4,11577,TE,291.84,195.71,6.3872,2077.2,2.40E+07,2671.3,3.09E+07,112.54,1.30E+06,1195.1,1.38E+07,268.67,3.11E+06,
031818Xim_WT_AN10,5,12796,TE,352.44,303.93,7.8294,2180.6,2.79E+07,3133.9,4.01E+07,229.96,2.94E+06,1206,1.54E+07,284.91,3.65E+06,
031818Xim_WT_AN10,6,10246,TE,224.44,173.8,9.1709,2622.5,2.69E+07,82.093,8.41E+05,97.294,9.97E+05,1167,1.20E+07,271.41,2.78E+06,
031818Xim_WT_AN10,7,9534,TE,290.23,369.89,8.8988,2255.7,2.15E+07,2056,1.96E+07,95.365,9.09E+05,1238.4,1.18E+07,220.63,2.10E+06,
031818Xim_WT_AN10,8,11154,TE,361.24,210.73,13.134,2324.1,2.59E+07,3072.6,3.43E+07,130.92,1.46E+06,1187.1,1.32E+07,127.28,1.42E+06,
031818Xim_WT_AN10,9,17290,TE,129.43,283.22,14.679,2279,3.94E+07,3046.7,5.27E+07,155.36,2.69E+06,1084.1,1.87E+07,397.63,6.88E+06,
031818Xim_WT_AN10,10,9768,TE,211.16,373.48,14.48,2605.8,2.55E+07,2414.1,2.36E+07,95.105,9.29E+05,1231.9,1.20E+07,253.47,2.48E+06,
031818Xim_WT_AN10,11,6790,TE,338.69,384.63,18.069,1789.3,1.21E+07,2951.8,2.00E+07,125.68,8.53E+05,1196.1,8.12E+06,214.37,1.46E+06,
031818Xim_WT_AN10,12,9568,TE,236.93,130.06,19.662,2679.3,2.56E+07,78.83,7.54E+05,45.816,4.38E+05,1155.6,1.11E+07,214.32,2.05E+06,
031818Xim_WT_AN10,13,8741,TE,304.13,135.89,19.766,2052.1,1.79E+07,3093.8,2.70E+07,145.8,1.27E+06,1168.8,1.02E+07,214.56,1.88E+06,
031818Xim_WT_AN10,14,8754,TE,186.55,137.03,24.187,2429.6,2.13E+07,85.42,7.48E+05,68.439,5.99E+05,1215.9,1.06E+07,206.99,1.81E+06,
031818Xim_WT_AN10,15,8488,TE,120.95,212.1,24.246,1993.3,1.69E+07,96.859,8.22E+05,40.983,3.48E+05,1165.3,9.89E+06,282.71,2.40E+06,
031818Xim_WT_AN10,16,9133,TE,397.89,356.2,23.512,1174.5,1.07E+07,2530.6,2.31E+07,99.037,9.05E+05,1176.6,1.07E+07,185.96,1.70E+06,
031818Xim_WT_AN10,17,11242,TE,125.19,347.46,26.557,2833.2,3.19E+07,3259.1,3.66E+07,114.81,1.29E+06,1165.7,1.31E+07,287.29,3.23E+06,
031818Xim_WT_AN10,18,19873,TE,446.18,273.42,28.79,1469.3,2.92E+07,1187.8,2.36E+07,64.615,1.28E+06,1153.4,2.29E+07,152.38,3.03E+06,
031818Xim_WT_AN10,18.2,19873,TE,446.18,273.42,28.79,1748.665,2.92E+07,1562.075,2.36E+07,80.994,1.28E+06,1128.884,2.29E+07,192.135,3.03E+06,
031818Xim_WT_AN10,19,14206,TE,250.94,431.53,29.534,1862.7,2.65E+07,93.103,1.32E+06,40.543,5.76E+05,1211,1.72E+07,205.78,2.92E+06,
031818Xim_WT_AN10,20,8913,TE,360.97,129.88,29.24,2522.5,2.25E+07,3372.6,3.01E+07,156.28,1.39E+06,1147.5,1.02E+07,125.39,1.12E+06,
