 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
031818Xim_WT_AO15,1,5166,TE,256.2,219.14,4.0474,2596.1,1.34E+07,132.94,6.87E+05,71.995,3.72E+05,1052.2,5.44E+06,436.02,2.25E+06,
031818Xim_WT_AO15,2,6641,TE,318.43,233.47,6.0267,2480.8,1.65E+07,120.81,8.02E+05,51.163,3.40E+05,1036.8,6.89E+06,203.08,1.35E+06,
031818Xim_WT_AO15,3,9914,TE,286.3,268.01,6.1118,3034.7,3.01E+07,2843.8,2.82E+07,157.52,1.56E+06,1121.6,1.11E+07,507.55,5.03E+06,
031818Xim_WT_AO15,4,8784,TE,304.2,186.09,6.5606,3072.2,2.70E+07,82.126,7.21E+05,56.403,4.95E+05,1080.1,9.49E+06,207.37,1.82E+06,
031818Xim_WT_AO15,5,11436,TE,356.7,254.62,9.6936,2887.1,3.30E+07,2439.1,2.79E+07,309.67,3.54E+06,1032.6,1.18E+07,315.71,3.61E+06,
031818Xim_WT_AO15,6,8011,TE,214.97,294.72,7.4738,2352.4,1.88E+07,3129,2.51E+07,125.41,1.00E+06,1086.2,8.70E+06,368.87,2.96E+06,
031818Xim_WT_AO15,7,8404,TE,239.77,324.95,7.8019,2413.2,2.03E+07,3041.4,2.56E+07,129.76,1.09E+06,1128,9.48E+06,382.24,3.21E+06,
031818Xim_WT_AO15,8,5546,TE,222.41,196.85,9.5317,2420.6,1.34E+07,102.96,5.71E+05,47.803,2.65E+05,1026.6,5.69E+06,348.14,1.93E+06,
031818Xim_WT_AO15,9,9772,TE,260.51,148.8,11.638,2870.5,2.81E+07,99.748,9.75E+05,64.608,6.31E+05,1082.1,1.06E+07,527.9,5.16E+06,
031818Xim_WT_AO15,10,8470,TE,289.07,330.5,11.043,2769.1,2.35E+07,94.298,7.99E+05,45.086,3.82E+05,1095.6,9.28E+06,194.11,1.64E+06,
031818Xim_WT_AO15,11,6692,TE,207.13,228.16,13.207,2394.1,1.60E+07,108.94,7.29E+05,41.973,2.81E+05,1066.2,7.13E+06,243.51,1.63E+06,
031818Xim_WT_AO15,12,7089,TE,169.5,247.15,13.45,2180.8,1.55E+07,106.38,7.54E+05,42.263,3.00E+05,1050.2,7.45E+06,266.45,1.89E+06,
031818Xim_WT_AO15,13,9399,TE,339.67,179.85,18.06,2421,2.28E+07,108.76,1.02E+06,41.674,3.92E+05,1041.8,9.79E+06,115.47,1.09E+06,
