 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
030117Xim_WT_AL6,46,2433,ICM,50.894,300.22,58.398,969.22,2.36E+06,1790.2,4.36E+06,344.91,8.39E+05,186.38,4.53E+05,96.685,2.35E+05,
030117Xim_WT_AL6,38,3829,ICM,54.011,282.69,52.553,905.34,3.47E+06,1599.7,6.13E+06,328.5,1.26E+06,197.56,7.56E+05,82.033,3.14E+05,
030117Xim_WT_AL6,29,4041,TE,449.47,299.84,45.252,2679.3,1.08E+07,2283.9,9.23E+06,79.937,3.23E+05,179.81,7.27E+05,225.71,9.12E+05,
030117Xim_WT_AL6,34,4091,TE,51,306.5,50.149,1266.1,5.18E+06,3271.4,1.34E+07,218.61,8.94E+05,211.85,8.67E+05,254.17,1.04E+06,
030117Xim_WT_AL6,48,4127,TE,127.28,403.23,58.754,1253.7,5.17E+06,93.795,3.87E+05,28.819,1.19E+05,237.42,9.80E+05,245.31,1.01E+06,
030117Xim_WT_AL6,89,4616,ICM,94.729,252.35,102.72,246.43,1.14E+06,581.01,2.68E+06,42.487,1.96E+05,211.29,9.75E+05,168.14,7.76E+05,
030117Xim_WT_AL6,37,4661,ICM,84.217,280.01,52.323,725.49,3.38E+06,1873,8.73E+06,113.12,5.27E+05,249.8,1.16E+06,371.59,1.73E+06,
030117Xim_WT_AL6,27,4955,TE,446.94,187.88,44.755,2883.8,1.43E+07,2820,1.40E+07,92.738,4.60E+05,211.48,1.05E+06,233.55,1.16E+06,
030117Xim_WT_AL6,39,4957,TE,183.15,417.52,55.172,1171.2,5.81E+06,91.198,4.52E+05,31.543,1.56E+05,191.04,9.47E+05,251.63,1.25E+06,
030117Xim_WT_AL6,36,5060,TE,456.82,185.03,53.042,2255.1,1.14E+07,2522.4,1.28E+07,85.818,4.34E+05,214.85,1.09E+06,216.06,1.09E+06,
030117Xim_WT_AL6,20,5551,TE,152.92,104.57,31.62,2422.1,1.34E+07,2523.9,1.40E+07,92.757,5.15E+05,216.81,1.20E+06,383.92,2.13E+06,
030117Xim_WT_AL6,30,5688,TE,461.85,248.8,47.732,2197.2,1.25E+07,2416.9,1.37E+07,82.78,4.71E+05,215.18,1.22E+06,270.16,1.54E+06,
