 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
012017Xim_G6_AF16,1,5871,TE,242.32,257.51,3.1066,2481.6,1.46E+07,866.24,5.09E+06,287.15,1.69E+06,600.45,3.53E+06,1128.8,6.63E+06,
012017Xim_G6_AF16,2,7389,TE,266.82,328.28,3.2167,1902.9,1.41E+07,628.44,4.64E+06,266.49,1.97E+06,618.08,4.57E+06,1009,7.46E+06,
012017Xim_G6_AF16,3,10288,TE,318.84,223.15,7.5607,1544.2,1.59E+07,489.5,5.04E+06,92.526,9.52E+05,615.76,6.33E+06,337.84,3.48E+06,
012017Xim_G6_AF16,4,16434,TE,185.45,240.1,7.1599,2134.4,3.51E+07,610.67,1.00E+07,308.87,5.08E+06,608.84,1.00E+07,926.46,1.52E+07,
012017Xim_G6_AF16,5,14828,TE,337.7,290.15,7.654,1053.2,1.56E+07,330.88,4.91E+06,101.35,1.50E+06,600.64,8.91E+06,382.63,5.67E+06,
012017Xim_G6_AF16,6,18180,TE,180.12,321.33,8.2886,1778.5,3.23E+07,456.86,8.31E+06,175.02,3.18E+06,589.3,1.07E+07,669.95,1.22E+07,
012017Xim_G6_AF16,7,12773,ICM,146.48,289.76,11.193,2152.6,2.75E+07,24.787,3.17E+05,742.51,9.48E+06,591.67,7.56E+06,330.87,4.23E+06,
012017Xim_G6_AF16,8,14913,ICM,144.75,238.95,14.695,2384,3.56E+07,31.436,4.69E+05,695.93,1.04E+07,552.62,8.24E+06,703.27,1.05E+07,
012017Xim_G6_AF16,9,10825,TE,232.88,168.13,13.222,1623.1,1.76E+07,453.47,4.91E+06,131.31,1.42E+06,595.37,6.44E+06,437.27,4.73E+06,
012017Xim_G6_AF16,10,7534,TE,304.51,174.17,13.918,2011.2,1.52E+07,512.07,3.86E+06,167.77,1.26E+06,576.12,4.34E+06,632.41,4.76E+06,
012017Xim_G6_AF16,11,19459,TE,227.67,393.91,17.685,1525.5,2.97E+07,511.13,9.95E+06,166.64,3.24E+06,603.84,1.18E+07,563.38,1.10E+07,
012017Xim_G6_AF16,11.2,19459,TE,227.67,393.91,17.685,1801.628,2.97E+07,800.828,9.95E+06,258.367,3.24E+06,613.107,1.18E+07,848.766,1.10E+07,
012017Xim_G6_AF16,12,9826,ICM,120.22,307.63,17.132,2367.5,2.33E+07,27.793,2.73E+05,1009.5,9.92E+06,566.29,5.56E+06,155.83,1.53E+06,
012017Xim_G6_AF16,13,7515,ICM,159.65,308.63,17.867,2922.9,2.20E+07,68.585,5.15E+05,399.23,3.00E+06,584.36,4.39E+06,1534.8,1.15E+07,
012017Xim_G6_AF16,14,12833,TE,98.827,259.96,24.977,1813.3,2.33E+07,308.29,3.96E+06,326.42,4.19E+06,633.36,8.13E+06,308.25,3.96E+06,
012017Xim_G6_AF16,15,711,ICM,146.95,269.95,18.011,2211.3,1.57E+06,23.662,16824,391.17,2.78E+05,541.23,3.85E+05,1646,1.17E+06,
012017Xim_G6_AF16,16,7495,TE,394.99,286.8,23.33,1393.9,1.04E+07,450.82,3.38E+06,94.756,7.10E+05,599.07,4.49E+06,353.16,2.65E+06,
012017Xim_G6_AF16,17,7224,TE,341.54,143.95,26.837,1884.2,1.36E+07,355.93,2.57E+06,90.399,6.53E+05,628.29,4.54E+06,310.23,2.24E+06,
012017Xim_G6_AF16,18,7320,TE,146.31,184.99,28.607,1804.5,1.32E+07,448.67,3.28E+06,107.59,7.88E+05,623.27,4.56E+06,375.33,2.75E+06,
012017Xim_G6_AF16,19,6026,ICM,110.61,291.1,26.001,1903.4,1.15E+07,25.181,1.52E+05,716.67,4.32E+06,523.43,3.15E+06,139.07,8.38E+05,
012017Xim_G6_AF16,20,6773,TE,355.45,379.43,29.421,1227.4,8.31E+06,366.26,2.48E+06,153.91,1.04E+06,597.37,4.05E+06,393.94,2.67E+06,
012017Xim_G6_AF16,21,15771,TE,408.69,197.06,37.114,1486.3,2.34E+07,318.48,5.02E+06,66.701,1.05E+06,577.22,9.10E+06,248.16,3.91E+06,
012017Xim_G6_AF16,21.2,15771,TE,408,186,41,1569.648,,345.975,,65.784,,576.782,,241.313,,
012017Xim_G6_AF16,22,7038,TE,391.08,352.36,33.021,1018.8,7.17E+06,277.08,1.95E+06,95.494,6.72E+05,560.47,3.94E+06,335.53,2.36E+06,
012017Xim_G6_AF16,23,7106,ICM,127.2,343.67,32.622,1805,1.28E+07,36.705,2.61E+05,251.21,1.79E+06,530.21,3.77E+06,977.84,6.95E+06,
