 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
022417Xim_WT_AK10,1,12752,TE,210.53,212.56,5.5711,2392.4,3.05E+07,411.34,5.25E+06,59.653,7.61E+05,1153.6,1.47E+07,253.85,3.24E+06,
022417Xim_WT_AK10,2,10239,TE,232.59,268.2,5.8621,2121.2,2.17E+07,514.95,5.27E+06,59.252,6.07E+05,1184.2,1.21E+07,182.77,1.87E+06,
022417Xim_WT_AK10,3,13533,TE,127.58,268.99,8.1884,1853,2.51E+07,508.95,6.89E+06,186.7,2.53E+06,1056.7,1.43E+07,181.73,2.46E+06,
022417Xim_WT_AK10,4,10291,TE,174.44,291.84,6.7014,2372.3,2.44E+07,501.38,5.16E+06,112.91,1.16E+06,1061.2,1.09E+07,183.86,1.89E+06,
022417Xim_WT_AK10,6,13975,TE,270.1,198.83,7.9015,2611.4,3.65E+07,232.82,3.25E+06,36.583,5.11E+05,1216.5,1.70E+07,120.24,1.68E+06,
022417Xim_WT_AK10,7,13446,TE,123.23,215.87,9.1249,1488.8,2.00E+07,331.72,4.46E+06,68.339,9.19E+05,1116.9,1.50E+07,140.2,1.89E+06,
022417Xim_WT_AK10,8,12458,ICM,186.42,235.81,7.704,2064,2.57E+07,36.495,4.55E+05,238.06,2.97E+06,1130.4,1.41E+07,91.706,1.14E+06,
022417Xim_WT_AK10,9,19179,TE,320.19,283.61,7.9476,2292.4,4.40E+07,363.95,6.98E+06,87.9,1.69E+06,1206.1,2.31E+07,141.92,2.72E+06,
022417Xim_WT_AK10,10,14938,TE,176.28,176.85,10.487,1602.4,2.39E+07,299.96,4.48E+06,55.835,8.34E+05,1192.8,1.78E+07,123.37,1.84E+06,
022417Xim_WT_AK10,11,10025,TE,223.05,158.5,13.863,2208.3,2.21E+07,229.44,2.30E+06,104.73,1.05E+06,1152.7,1.16E+07,219.77,2.20E+06,
022417Xim_WT_AK10,12,16357,TE,346.33,199.12,13.668,2427.3,3.97E+07,331.64,5.42E+06,46.363,7.58E+05,1211.3,1.98E+07,170.68,2.79E+06,
022417Xim_WT_AK10,13,19485,TE,248.43,345.58,15.539,1832.3,3.57E+07,266.28,5.19E+06,53.945,1.05E+06,1165.4,2.27E+07,137.08,2.67E+06,
022417Xim_WT_AK10,14,13743,TE,187.45,344.99,19.648,2163.8,2.97E+07,327.19,4.50E+06,116.54,1.60E+06,1110.5,1.53E+07,151.99,2.09E+06,
022417Xim_WT_AK10,15,12130,ICM,125.58,222.52,18.633,1193.8,1.45E+07,29.556,3.59E+05,144.76,1.76E+06,1131.1,1.37E+07,70.993,8.61E+05,
022417Xim_WT_AK10,16,4105,ICM,130.83,280.3,16.742,1572.4,6.45E+06,35.004,1.44E+05,319.2,1.31E+06,1018.1,4.18E+06,69.242,2.84E+05,
022417Xim_WT_AK10,17,16402,ICM,170.24,300.87,19.402,1523.7,2.50E+07,33.599,5.51E+05,616.11,1.01E+07,1025.4,1.68E+07,73.976,1.21E+06,
022417Xim_WT_AK10,19,6914,TE,73.203,250.33,23.21,1303.3,9.01E+06,423.52,2.93E+06,70.337,4.86E+05,1142.7,7.90E+06,136.09,9.41E+05,
022417Xim_WT_AK10,20,6379,TE,327.61,138.72,22.369,2563.7,1.64E+07,200.87,1.28E+06,31.904,2.04E+05,1183.3,7.55E+06,130.51,8.32E+05,
022417Xim_WT_AK10,21,9977,ICM,135.83,183.93,26.464,809.47,8.08E+06,21.091,2.10E+05,350.38,3.50E+06,1127.5,1.12E+07,56.436,5.63E+05,
022417Xim_WT_AK10,22,13230,TE,99.046,303.88,24.486,1751.9,2.32E+07,299.63,3.96E+06,43.994,5.82E+05,1123.4,1.49E+07,178.56,2.36E+06,
022417Xim_WT_AK10,23,8525,ICM,177.75,181.31,22.793,1018.2,8.68E+06,28.138,2.40E+05,114.61,9.77E+05,1175.8,1.00E+07,55.189,4.70E+05,
022417Xim_WT_AK10,24,12690,TE,246.86,114.56,26.442,1529.5,1.94E+07,224.55,2.85E+06,476.59,6.05E+06,1220.4,1.55E+07,105.06,1.33E+06,
022417Xim_WT_AK10,25,13436,ICM,159.07,221.65,25.653,662.16,8.90E+06,18.166,2.44E+05,34.622,4.65E+05,1083.5,1.46E+07,72.245,9.71E+05,
022417Xim_WT_AK10,26,15035,ICM,159.14,266.97,24.733,994.02,1.49E+07,25.556,3.84E+05,501.55,7.54E+06,1096.7,1.65E+07,60.745,9.13E+05,
022417Xim_WT_AK10,27,16287,TE,187.45,130.82,29.616,1155.6,1.88E+07,179.96,2.93E+06,71.133,1.16E+06,1177.2,1.92E+07,96.78,1.58E+06,
022417Xim_WT_AK10,28,11055,TE,136.55,146.17,28.157,1139,1.26E+07,198.18,2.19E+06,51.916,5.74E+05,1169.4,1.29E+07,111.1,1.23E+06,
022417Xim_WT_AK10,29,12429,TE,353.66,351.4,28.163,2022,2.51E+07,220.92,2.75E+06,30.551,3.80E+05,1205,1.50E+07,99.848,1.24E+06,
022417Xim_WT_AK10,30,22257,TE,83.008,185.39,34.374,749.87,1.67E+07,148.55,3.31E+06,141.79,3.16E+06,1162.6,2.59E+07,78.859,1.76E+06,
