 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
022417Xim_WT_AK1,1,3652,TE,263.36,167.14,3.963,3164.8,1.16E+07,116.64,4.26E+05,45.455,1.66E+05,1277.2,4.66E+06,233.33,8.52E+05,
022417Xim_WT_AK1,2,3444,TE,228.39,197.9,2.8728,2530.4,8.71E+06,137.18,4.72E+05,56.158,1.93E+05,1352.7,4.66E+06,497.4,1.71E+06,
022417Xim_WT_AK1,3,4001,TE,294.46,210.62,3.0857,2330.3,9.32E+06,132.14,5.29E+05,61.008,2.44E+05,1240.8,4.96E+06,151.12,6.05E+05,
022417Xim_WT_AK1,4,1474,TE,259.84,206.28,2.2585,2501.4,3.69E+06,148.88,2.19E+05,50.661,74674,1247.3,1.84E+06,246.03,3.63E+05,
022417Xim_WT_AK1,5,7173,TE,178.21,219.43,3.6209,2694.6,1.93E+07,137.02,9.83E+05,57.141,4.10E+05,1173.9,8.42E+06,364.29,2.61E+06,
022417Xim_WT_AK1,6,2076,TE,255.28,246.79,2.5655,1599.9,3.32E+06,142.57,2.96E+05,56.486,1.17E+05,1324.5,2.75E+06,375.84,7.80E+05,
022417Xim_WT_AK1,7,5394,TE,171.31,263.87,3.4674,2509,1.35E+07,151.72,8.18E+05,58.27,3.14E+05,1145.1,6.18E+06,570.98,3.08E+06,
022417Xim_WT_AK1,8,1408,TE,220.65,268.98,2.5966,913.18,1.29E+06,149.68,2.11E+05,43.47,61206,1245.6,1.75E+06,200.27,2.82E+05,
022417Xim_WT_AK1,9,10252,TE,328.69,266.87,5.3402,3066.8,3.14E+07,135.15,1.39E+06,52.098,5.34E+05,1305.3,1.34E+07,150.35,1.54E+06,
022417Xim_WT_AK1,10,1861,TE,279.96,279.7,2.5314,1889.7,3.52E+06,155.16,2.89E+05,63.671,1.18E+05,1281.1,2.38E+06,200.3,3.73E+05,
022417Xim_WT_AK1,11,4102,TE,210.35,317.55,2.793,2635.7,1.08E+07,153.76,6.31E+05,58.764,2.41E+05,1253.6,5.14E+06,380.63,1.56E+06,
022417Xim_WT_AK1,12,8466,TE,275.8,327.88,3.9578,3021.3,2.56E+07,144.42,1.22E+06,55.369,4.69E+05,1290.6,1.09E+07,322.09,2.73E+06,
022417Xim_WT_AK1,12.2,8466,TE,275.8,327.88,3.9578,3812.856,2.56E+07,140.082,1.22E+06,61.605,4.69E+05,1278.164,1.09E+07,370.593,2.73E+06,
022417Xim_WT_AK1,13,5924,TE,239.61,354.79,4.3587,3368.9,2.00E+07,156.17,9.25E+05,62.193,3.68E+05,1238.3,7.34E+06,136.37,8.08E+05,
022417Xim_WT_AK1,14,5347,TE,154.24,295.18,4.7655,3154.3,1.69E+07,166.06,8.88E+05,48.022,2.57E+05,1222,6.53E+06,209.86,1.12E+06,
022417Xim_WT_AK1,15,4640,TE,175.3,324.77,6.1224,3104.5,1.44E+07,118.58,5.50E+05,43.669,2.03E+05,1240.3,5.75E+06,314.14,1.46E+06,
022417Xim_WT_AK1,16,6473,TE,195.6,171.2,5.9628,2168.2,1.40E+07,99.899,6.47E+05,40.743,2.64E+05,1290.2,8.35E+06,313.68,2.03E+06,
022417Xim_WT_AK1,17,7952,TE,326.47,189.54,6.2549,1981.8,1.58E+07,112.37,8.94E+05,44.041,3.50E+05,1274.4,1.01E+07,89.647,7.13E+05,
022417Xim_WT_AK1,18,8534,TE,280.07,139.57,8.6191,2333.4,1.99E+07,97.135,8.29E+05,45.212,3.86E+05,1274.6,1.09E+07,73.549,6.28E+05,
022417Xim_WT_AK1,19,9926,TE,147.74,338.75,9.7957,3234.6,3.21E+07,128.73,1.28E+06,48.719,4.84E+05,1341,1.33E+07,274.05,2.72E+06,
022417Xim_WT_AK1,20,5601,TE,235.25,141.68,8.7754,2151.9,1.21E+07,98.648,5.53E+05,41.349,2.32E+05,1306.9,7.32E+06,259.65,1.45E+06,
