 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
030217Xim_WT_AM2,2,6114,TE,227.51,215.98,4.6196,2352.3,1.44E+07,163.17,9.98E+05,56.52,3.46E+05,249.84,1.53E+06,416.47,2.55E+06,
030217Xim_WT_AM2,3,5308,TE,303.99,258.18,3.4101,2797.6,1.49E+07,150.07,7.97E+05,138.64,7.36E+05,256.84,1.36E+06,454.79,2.41E+06,
030217Xim_WT_AM2,4,13701,TE,220.96,282.98,4.7473,2351.9,3.22E+07,135.45,1.86E+06,69.571,9.53E+05,254.05,3.48E+06,402.35,5.51E+06,
030217Xim_WT_AM2,6,8540,TE,343.14,324.3,8.4534,2225.3,1.90E+07,115.17,9.84E+05,71.095,6.07E+05,260.16,2.22E+06,373.2,3.19E+06,
030217Xim_WT_AM2,7,4542,TE,185.86,217.2,9.8833,2555,1.16E+07,107.82,4.90E+05,201.28,9.14E+05,266.59,1.21E+06,435.65,1.98E+06,
030217Xim_WT_AM2,8,8210,TE,287.97,161.65,10.605,1626.6,1.34E+07,107.62,8.84E+05,66.548,5.46E+05,258.1,2.12E+06,284.37,2.33E+06,
030217Xim_WT_AM2,9,8386,TE,234.82,161.78,10.766,1460.7,1.23E+07,119.76,1.00E+06,39.885,3.34E+05,257.04,2.16E+06,265.49,2.23E+06,
030217Xim_WT_AM2,10,5830,TE,371.26,258.97,11.297,2713.7,1.58E+07,106.81,6.23E+05,74.842,4.36E+05,263.52,1.54E+06,323.35,1.89E+06,
030217Xim_WT_AM2,11,13269,TE,231.47,360.26,12.277,2519.5,3.34E+07,127.76,1.70E+06,108.58,1.44E+06,261.44,3.47E+06,410.3,5.44E+06,
030217Xim_WT_AM2,12,6443,TE,349.37,189.88,13.855,2187.6,1.41E+07,103.08,6.64E+05,45.444,2.93E+05,263.01,1.69E+06,409.16,2.64E+06,
