 Embryo Id, Cell ID, Size,Identity , X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
053118Xim_G6_BG3,1,13565,TE,245.95,265.05,5.9628,2845.7,3.86E+07,135.21,1.83E+06,75.164,1.02E+06,481.4,6.53E+06,488.46,6.63E+06,
053118Xim_G6_BG3,3,7803,TE,193.21,207.43,8.5416,2486.9,1.94E+07,137.61,1.07E+06,71.203,5.56E+05,462.88,3.61E+06,530.5,4.14E+06,
053118Xim_G6_BG3,4,13778,TE,339.16,267.44,8.2847,2930.7,4.04E+07,141.58,1.95E+06,687.98,9.48E+06,506.33,6.98E+06,372.92,5.14E+06,
053118Xim_G6_BG3,5,8090,TE,201.94,276.53,8.0716,2536.8,2.05E+07,155.48,1.26E+06,80.638,6.52E+05,507.76,4.11E+06,493.03,3.99E+06,
053118Xim_G6_BG3,6,18552,TE,233.49,188.87,10.278,2742,5.09E+07,130.68,2.42E+06,48.88,9.07E+05,515.8,9.57E+06,394.49,7.32E+06,
053118Xim_G6_BG3,7,14902,TE,153.4,221.82,10.111,2628.7,3.92E+07,159.63,2.38E+06,46.276,6.90E+05,488.36,7.28E+06,286.68,4.27E+06,
053118Xim_G6_BG3,8,12480,TE,296.45,318.34,9.6664,2998.7,3.74E+07,150.81,1.88E+06,51.202,6.39E+05,487.34,6.08E+06,422.27,5.27E+06,
053118Xim_G6_BG3,9,8003,ICM,194.2,236.61,13.743,2997.8,2.40E+07,163.96,1.31E+06,55.695,4.46E+05,469.87,3.76E+06,615.31,4.92E+06,
053118Xim_G6_BG3,10,9056,TE,365.69,209.35,13.171,3119.8,2.83E+07,141.39,1.28E+06,50.537,4.58E+05,498.13,4.51E+06,244.22,2.21E+06,
053118Xim_G6_BG3,11,9839,ICM,147.23,309.52,14.485,2205.6,2.17E+07,162.69,1.60E+06,206.12,2.03E+06,484.16,4.76E+06,117.61,1.16E+06,
053118Xim_G6_BG3,12,5879,TE,212.56,316.13,13.022,2718,1.60E+07,139.23,8.19E+05,179.88,1.06E+06,476.68,2.80E+06,707.16,4.16E+06,
053118Xim_G6_BG3,13,11030,TE,179.2,328.51,15.495,3022.4,3.33E+07,138.77,1.53E+06,68.295,7.53E+05,435.62,4.80E+06,388.13,4.28E+06,
053118Xim_G6_BG3,14,9353,ICM,182.22,265.8,15.205,2776.4,2.60E+07,148.02,1.38E+06,55.431,5.18E+05,465.4,4.35E+06,825.14,7.72E+06,
053118Xim_G6_BG3,15,11557,ICM,139.97,279.3,17.136,2028.1,2.34E+07,149.55,1.73E+06,238.46,2.76E+06,436.82,5.05E+06,122.85,1.42E+06,
053118Xim_G6_BG3,16,9161,TE,366.99,322.15,16.811,2497.5,2.29E+07,107.87,9.88E+05,165.17,1.51E+06,494.69,4.53E+06,348.53,3.19E+06,
053118Xim_G6_BG3,17,10680,TE,95.373,263.45,19.23,2227.2,2.38E+07,107.7,1.15E+06,34.348,3.67E+05,450.62,4.81E+06,121.26,1.30E+06,
053118Xim_G6_BG3,19,11025,TE,183.48,158.37,23.541,2607.3,2.87E+07,115.16,1.27E+06,40.942,4.51E+05,474.03,5.23E+06,360.38,3.97E+06,
053118Xim_G6_BG3,20,7997,ICM,168.01,223.55,22.627,2532.6,2.03E+07,132.13,1.06E+06,46.744,3.74E+05,507.02,4.05E+06,533.1,4.26E+06,
053118Xim_G6_BG3,21,7105,TE,399.39,264.32,22.14,2637,1.87E+07,117.58,8.35E+05,100.39,7.13E+05,515.33,3.66E+06,289.97,2.06E+06,
053118Xim_G6_BG3,22,9607,TE,326.12,363.15,22.818,3149.8,3.03E+07,118.43,1.14E+06,42.499,4.08E+05,501.13,4.81E+06,292.53,2.81E+06,
053118Xim_G6_BG3,23,11725,TE,353.07,145.23,24.228,2985.3,3.50E+07,123.36,1.45E+06,46.313,5.43E+05,450.87,5.29E+06,241.27,2.83E+06,
053118Xim_G6_BG3,24,13050,ICM,116.19,231.12,26.062,1360.7,1.78E+07,105.01,1.37E+06,46.479,6.07E+05,472.42,6.17E+06,83.776,1.09E+06,
053118Xim_G6_BG3,25,4528,ICM,176.55,296.39,22.516,1909.6,8.65E+06,101.62,4.60E+05,41.671,1.89E+05,423.05,1.92E+06,349.16,1.58E+06,
