Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
050718Xim_WT_BB2,2,TE,I,6508,322.9,279.37,3.7111,2904.3,1.89E+07,96.135,6.26E+05,41.787,2.72E+05,466.4,3.04E+06,439.32,2.86E+06,
050718Xim_WT_BB2,3,TE,I,5415,362.06,245.11,4.8364,3329,1.80E+07,77.608,4.20E+05,49.514,2.68E+05,452.88,2.45E+06,648.05,3.51E+06,
050718Xim_WT_BB2,4,TE,I,9646,337.32,351.32,5.2843,1896.3,1.83E+07,79.673,7.69E+05,35.619,3.44E+05,459.31,4.43E+06,174.3,1.68E+06,
050718Xim_WT_BB2,5,TE,I,7545,274.77,326.08,5.6582,2469.8,1.86E+07,73.483,5.54E+05,34.767,2.62E+05,473.01,3.57E+06,464.65,3.51E+06,
050718Xim_WT_BB2,6,TE,I,11473,227.73,331.24,6.3215,2224.2,2.55E+07,76.113,8.73E+05,31.221,3.58E+05,479.89,5.51E+06,371.91,4.27E+06,
050718Xim_WT_BB2,8,TE,I,9856,285.61,217.31,7.2983,2098.4,2.07E+07,56.581,5.58E+05,41.117,4.05E+05,473.81,4.67E+06,448.43,4.42E+06,
050718Xim_WT_BB2,9,TE,I,8747,265.98,395.25,8.9794,1916.5,1.68E+07,84.237,7.37E+05,41.676,3.65E+05,472.02,4.13E+06,515.21,4.51E+06,
050718Xim_WT_BB2,10,TE,I,9540,407.7,295.57,11.294,1886.4,1.80E+07,71.982,6.87E+05,33.538,3.20E+05,446.8,4.26E+06,188.33,1.80E+06,
050718Xim_WT_BB2,11,TE,I,9639,185.97,345.78,13.569,2854.8,2.75E+07,83.352,8.03E+05,39.939,3.85E+05,468.02,4.51E+06,770.18,7.42E+06,
050718Xim_WT_BB2,12,TE,I,12722,122.18,242.81,17.336,1873.5,2.38E+07,79.497,1.01E+06,30.493,3.88E+05,453.14,5.76E+06,544.99,6.93E+06,
050718Xim_WT_BB2,13,TE,I,11370,225.36,236.59,16.03,2964.6,3.37E+07,66.895,7.61E+05,29.537,3.36E+05,473.4,5.38E+06,455.49,5.18E+06,
050718Xim_WT_BB2,14,TE,I,6388,396.11,191.51,16.591,2944.1,1.88E+07,65.167,4.16E+05,34.892,2.23E+05,442.52,2.83E+06,568.77,3.63E+06,
050718Xim_WT_BB2,15,TE,I,8289,339.62,411.29,17.18,1665.9,1.38E+07,72.714,6.03E+05,36.682,3.04E+05,448.91,3.72E+06,320.55,2.66E+06,
050718Xim_WT_BB2,16,TE,I,11686,175.94,241.04,18.077,2944.2,3.44E+07,69.259,8.09E+05,26.731,3.12E+05,487.56,5.70E+06,231.39,2.70E+06,
050718Xim_WT_BB2,17,TE,I,9202,318.19,143.79,18.163,2132.8,1.96E+07,58.942,5.42E+05,29.683,2.73E+05,471.85,4.34E+06,231.97,2.13E+06,
050718Xim_WT_BB2,18,TE,M,3844,435.55,244.89,21.068,3425.9,1.32E+07,55.759,2.14E+05,29.499,1.13E+05,446.28,1.72E+06,407.75,1.57E+06,
050718Xim_WT_BB2,19,TE,I,11812,400.83,382.43,19.339,1045.7,1.24E+07,56.497,6.67E+05,37.752,4.46E+05,405.21,4.79E+06,234.81,2.77E+06,
050718Xim_WT_BB2,20,TE,I,9118,114.54,316.66,24.828,2359.9,2.15E+07,71.358,6.51E+05,30.598,2.79E+05,477.31,4.35E+06,292.45,2.67E+06,
050718Xim_WT_BB2,21,TE,I,5857,384.95,135.05,25.227,3004,1.76E+07,61.058,3.58E+05,73.756,4.32E+05,450.96,2.64E+06,422.61,2.48E+06,
050718Xim_WT_BB2,22,TE,I,8834,221.94,153.27,28.44,2950.8,2.61E+07,58.536,5.17E+05,27.381,2.42E+05,467.5,4.13E+06,284.26,2.51E+06,
050718Xim_WT_BB2,24,TE,I,5609,452.06,318.31,27.698,2437.5,1.37E+07,60.854,3.41E+05,33.401,1.87E+05,461.05,2.59E+06,417.48,2.34E+06,
050718Xim_WT_BB2,25,TE,I,7759,300.24,440.69,28.072,1391.4,1.08E+07,60.962,4.73E+05,28.197,2.19E+05,470.34,3.65E+06,202.41,1.57E+06,
050718Xim_WT_BB2,26,TE,I,9921,59.205,246.03,29.452,2396.5,2.38E+07,72.138,7.16E+05,32.536,3.23E+05,523.17,5.19E+06,577.46,5.73E+06,
050718Xim_WT_BB2,27,TE,I,9025,177.41,409.28,29.596,1831.3,1.65E+07,52.616,4.75E+05,24.546,2.22E+05,476.98,4.30E+06,281.79,2.54E+06,
050718Xim_WT_BB2,28,TE,I,7278,281.43,95.082,29.902,2510.2,1.83E+07,51.602,3.76E+05,27.03,1.97E+05,475.8,3.46E+06,320.17,2.33E+06,
050718Xim_WT_BB2,29,ICM,I,7793,89.704,218.68,28.873,2296.8,1.79E+07,72.975,5.69E+05,34.352,2.68E+05,421.88,3.29E+06,916.64,7.14E+06,
050718Xim_WT_BB2,30,TE,I,9996,64.856,172.08,31.831,3043.1,3.04E+07,62.78,6.28E+05,37.269,3.73E+05,486.96,4.87E+06,586.93,5.87E+06,
050718Xim_WT_BB2,31,ICM,I,10050,113.92,243.52,31.509,2140.7,2.15E+07,63.658,6.40E+05,33.388,3.36E+05,403.14,4.05E+06,912.02,9.17E+06,
050718Xim_WT_BB2,32,TE,M,3883,436.85,172.62,31.639,3192.2,1.24E+07,52.703,2.05E+05,28.341,1.10E+05,440.73,1.71E+06,326.87,1.27E+06,
050718Xim_WT_BB2,33,ICM,I,8230,92.566,282.85,32.94,1855.9,1.53E+07,60.913,5.01E+05,30.615,2.52E+05,441.88,3.64E+06,768.42,6.32E+06,
050718Xim_WT_BB2,34,TE,I,8007,383.77,424.16,33.549,1159.7,9.29E+06,42.259,3.38E+05,27.509,2.20E+05,452.51,3.62E+06,146.92,1.18E+06,
050718Xim_WT_BB2,35,TE,I,7126,222.5,449.69,33.402,1350.9,9.63E+06,49.15,3.50E+05,24.532,1.75E+05,461.68,3.29E+06,289.68,2.06E+06,
050718Xim_WT_BB2,37,TE,M,4306,460.41,206.28,32.674,3086.8,1.33E+07,64.903,2.79E+05,28.5,1.23E+05,430.8,1.86E+06,315.72,1.36E+06,
050718Xim_WT_BB2,38,TE,I,10024,184.49,137.5,36.902,1646.9,1.65E+07,38.343,3.84E+05,23.014,2.31E+05,466.27,4.67E+06,214.12,2.15E+06,
050718Xim_WT_BB2,39,TE,I,9730,114.48,114.16,38.791,2787.2,2.71E+07,53.737,5.23E+05,26.343,2.56E+05,473.49,4.61E+06,546.81,5.32E+06,
050718Xim_WT_BB2,40,TE,M,3700,417.52,129.9,36.1,3245,1.20E+07,54.021,2.00E+05,27.334,1.01E+05,445.73,1.65E+06,252.36,9.34E+05,
050718Xim_WT_BB2,41,ICM,I,6926,110.36,200.27,35.583,1597.1,1.11E+07,49.789,3.45E+05,29.796,2.06E+05,432.67,3.00E+06,861.36,5.97E+06,
050718Xim_WT_BB2,42,TE,I,8712,69.83,323.73,40.386,1997.9,1.74E+07,58.734,5.12E+05,30.288,2.64E+05,473.18,4.12E+06,188.36,1.64E+06,
