 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
020817Xim_WT_AI12,1,7384,TE,242.71,209.5,4.454,2640.2,1.95E+07,144.97,1.07E+06,77.403,5.72E+05,335.23,2.48E+06,996.67,7.36E+06,
020817Xim_WT_AI12,2,6762,TE,312.58,236.53,3.761,2742.8,1.85E+07,151.98,1.03E+06,146.61,9.91E+05,343.09,2.32E+06,672.42,4.55E+06,
020817Xim_WT_AI12,3,11959,TE,269.14,290.67,5.0652,2117.6,2.53E+07,143.52,1.72E+06,57.469,6.87E+05,335.78,4.02E+06,506.53,6.06E+06,
020817Xim_WT_AI12,4,11189,TE,314.11,181.49,6.1649,2577.9,2.88E+07,95.654,1.07E+06,48.738,5.45E+05,333.74,3.73E+06,286.83,3.21E+06,
020817Xim_WT_AI12,5,7167,TE,315.96,277.86,5.2813,2725.6,1.95E+07,123.79,8.87E+05,72.417,5.19E+05,336.08,2.41E+06,620.77,4.45E+06,
020817Xim_WT_AI12,6,8213,TE,355.79,211.93,6.5637,3091.4,2.54E+07,107.4,8.82E+05,34.946,2.87E+05,337.88,2.78E+06,237.87,1.95E+06,
020817Xim_WT_AI12,7,8176,TE,220.97,239.42,6.4532,2137.7,1.75E+07,138.09,1.13E+06,126.53,1.03E+06,325.04,2.66E+06,528.05,4.32E+06,
020817Xim_WT_AI12,8,9420,TE,292.28,160.59,8.4786,2243.2,2.11E+07,106.14,1.00E+06,50.192,4.73E+05,333.9,3.15E+06,305.19,2.87E+06,
020817Xim_WT_AI12,9,7039,TE,358.37,251.18,9.3718,2925.9,2.06E+07,112.95,7.95E+05,69.629,4.90E+05,337.87,2.38E+06,580.25,4.08E+06,
020817Xim_WT_AI12,10,7909,TE,191.86,199.56,13.937,2050.3,1.62E+07,125.9,9.96E+05,59.04,4.67E+05,337.41,2.67E+06,668.16,5.28E+06,
020817Xim_WT_AI12,11,11401,TE,186.36,297.61,16.158,1987.8,2.27E+07,94.189,1.07E+06,62.537,7.13E+05,320.61,3.66E+06,710.2,8.10E+06,
020817Xim_WT_AI12,12,12524,TE,356,312.71,17.02,2334,2.92E+07,107.76,1.35E+06,47.008,5.89E+05,331.54,4.15E+06,456.43,5.72E+06,
020817Xim_WT_AI12,14,11873,TE,398.89,267.65,20.798,2714.4,3.22E+07,99.451,1.18E+06,60.901,7.23E+05,330.4,3.92E+06,440.21,5.23E+06,
020817Xim_WT_AI12,15,22737,TE,125.37,264.47,24.383,1644.4,3.74E+07,115.17,2.62E+06,152.02,3.46E+06,329.92,7.50E+06,618.14,1.41E+07,
020817Xim_WT_AI12,16,8929,TE,256.17,356.35,19.56,1674.1,1.49E+07,105.87,9.45E+05,51.005,4.55E+05,328.88,2.94E+06,440.17,3.93E+06,
020817Xim_WT_AI12,17,8628,TE,374.37,169.94,22.205,2683.1,2.31E+07,116.19,1.00E+06,33.562,2.90E+05,322.6,2.78E+06,206.66,1.78E+06,
020817Xim_WT_AI12,18,10115,TE,313.41,354.76,20.782,2342.8,2.37E+07,116.68,1.18E+06,67.348,6.81E+05,314.16,3.18E+06,707.59,7.16E+06,
020817Xim_WT_AI12,19,12831,TE,220.82,131.47,22.55,2134.9,2.74E+07,114.76,1.47E+06,46.135,5.92E+05,328.85,4.22E+06,558.2,7.16E+06,
020817Xim_WT_AI12,20,10979,TE,153.65,187.06,24.729,1772.4,1.95E+07,130.99,1.44E+06,42.884,4.71E+05,327.21,3.59E+06,405.32,4.45E+06,
020817Xim_WT_AI12,21,8939,TE,180.4,327.88,24.692,1594.8,1.43E+07,87.056,7.78E+05,46.239,4.13E+05,318.42,2.85E+06,719.07,6.43E+06,
