Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
061218Xim_G6_BH27,1,TE,I,6151,254.95,232.18,3.3373,2490.9,1.53E+07,3627,2.23E+07,185.27,1.14E+06,523.97,3.22E+06,611.02,3.76E+06,
061218Xim_G6_BH27,2,TE,I,7265,332.69,242.33,4.3265,2340.2,1.70E+07,3089.7,2.24E+07,133.84,9.72E+05,526.25,3.82E+06,630.28,4.58E+06,
061218Xim_G6_BH27,3,TE,I,14163,211.46,295.45,6.6493,2100.6,2.98E+07,2752.9,3.90E+07,113.87,1.61E+06,526.32,7.45E+06,389.27,5.51E+06,
061218Xim_G6_BH27,4,TE,I,6179,286.19,323.01,6.9294,2435.6,1.51E+07,3024.4,1.87E+07,128.74,7.95E+05,514.08,3.18E+06,398.72,2.46E+06,
061218Xim_G6_BH27,5,TE,I,8163,271.28,155.68,8.0011,1925.1,1.57E+07,2525,2.06E+07,105.99,8.65E+05,529.16,4.32E+06,353.63,2.89E+06,
061218Xim_G6_BH27,6,TE,I,16487,156.31,227.96,8.6642,1421,2.34E+07,1866.4,3.08E+07,73.811,1.22E+06,466.46,7.69E+06,233.64,3.85E+06,
061218Xim_G6_BH27,7,TE,I,10224,350.05,149.32,13.787,2619.1,2.68E+07,3039.2,3.11E+07,118.67,1.21E+06,530.16,5.42E+06,382.11,3.91E+06,
061218Xim_G6_BH27,8,ICM,I,5073,117.19,220.24,16.558,1337.9,6.79E+06,90.254,4.58E+05,40.483,2.05E+05,489.49,2.48E+06,65.767,3.34E+05,
061218Xim_G6_BH27,9,TE,I,9485,114.96,259.86,17.867,1352.8,1.28E+07,83.472,7.92E+05,35.792,3.39E+05,487.44,4.62E+06,62.62,5.94E+05,
061218Xim_G6_BH27,10,TE,I,7981,380.45,303.76,17.076,1898.5,1.52E+07,2987.8,2.38E+07,110.69,8.83E+05,517.72,4.13E+06,317.62,2.54E+06,
061218Xim_G6_BH27,11,TE,I,12105,227.98,109.19,19.056,2254.4,2.73E+07,3172.8,3.84E+07,120.84,1.46E+06,518.52,6.28E+06,348.91,4.22E+06,
061218Xim_G6_BH27,12,TE,I,14145,125.72,308.98,19.357,1865.4,2.64E+07,2948.9,4.17E+07,113.57,1.61E+06,442.52,6.26E+06,316.71,4.48E+06,
061218Xim_G6_BH27,13,TE,I,14950,137.71,164.72,20.817,1858,2.78E+07,1677.4,2.51E+07,73.465,1.10E+06,475.4,7.11E+06,289.28,4.32E+06,
061218Xim_G6_BH27,14,TE,I,7347,322.7,368.59,19.715,1945.3,1.43E+07,3279.3,2.41E+07,120.96,8.89E+05,501.81,3.69E+06,290.77,2.14E+06,
061218Xim_G6_BH27,16,ICM,I,7358,105.52,197.34,22.463,1479.6,1.09E+07,81.521,6.00E+05,41.275,3.04E+05,461.44,3.40E+06,60.131,4.42E+05,
