Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041318Xim_G6_AW18,1,TE,I,13657,178.27,262.35,5.2431,2856.8,3.90E+07,1185.7,1.62E+07,127.73,1.74E+06,443.77,6.06E+06,654.68,8.94E+06,
041318Xim_G6_AW18,2,TE,I,7162,288.43,275.99,6.0147,2827.2,2.02E+07,3140.3,2.25E+07,138.04,9.89E+05,464.7,3.33E+06,714.9,5.12E+06,
041318Xim_G6_AW18,3,TE,I,7239,271.26,201.52,7.0615,2851.7,2.06E+07,3387.8,2.45E+07,193.9,1.40E+06,449.65,3.26E+06,412.74,2.99E+06,
041318Xim_G6_AW18,4,TE,I,8051,225.73,218,8.2328,2756.8,2.22E+07,3082.1,2.48E+07,130.67,1.05E+06,480.33,3.87E+06,399.93,3.22E+06,
041318Xim_G6_AW18,5,ICM,I,7551,249.26,249.78,8.9015,2560.3,1.93E+07,3418.9,2.58E+07,235.95,1.78E+06,439.72,3.32E+06,922.47,6.97E+06,
041318Xim_G6_AW18,6,TE,I,15440,338.61,207.28,9.3444,2057.1,3.18E+07,2878.9,4.45E+07,140.55,2.17E+06,473.15,7.31E+06,421.55,6.51E+06,
041318Xim_G6_AW18,7,TE,I,8412,315.18,312.07,8.8207,2426,2.04E+07,2683.7,2.26E+07,119.88,1.01E+06,462.97,3.89E+06,615.83,5.18E+06,
041318Xim_G6_AW18,8,TE,I,10789,371.41,278.08,10.169,1893,2.04E+07,2919.5,3.15E+07,173.93,1.88E+06,468.39,5.05E+06,358.52,3.87E+06,
041318Xim_G6_AW18,9,TE,I,16394,233.8,308.49,12.42,2500.5,4.10E+07,2860.1,4.69E+07,115.38,1.89E+06,440.69,7.22E+06,708.51,1.16E+07,
041318Xim_G6_AW18,10,TE,I,4978,242.24,188.78,13.438,3344.1,1.66E+07,3451.1,1.72E+07,114.13,5.68E+05,431.95,2.15E+06,107.06,5.33E+05,
041318Xim_G6_AW18,11,ICM,I,10106,181.81,237.28,12.723,1912.9,1.93E+07,72.681,7.35E+05,600.79,6.07E+06,430.37,4.35E+06,94.69,9.57E+05,
041318Xim_G6_AW18,12,ICM,I,13846,140.19,274.58,15.248,2413.1,3.34E+07,72.844,1.01E+06,339.06,4.69E+06,437.52,6.06E+06,98.175,1.36E+06,
041318Xim_G6_AW18,13,TE,I,8519,200.5,191.29,15.688,2208.7,1.88E+07,2569.3,2.19E+07,114.48,9.75E+05,454.29,3.87E+06,469.24,4.00E+06,
041318Xim_G6_AW18,14,TE,I,4848,236.06,167.9,18.093,3233,1.57E+07,3474,1.68E+07,113.91,5.52E+05,447.36,2.17E+06,83.916,4.07E+05,
041318Xim_G6_AW18,15,TE,I,12280,363.92,339.93,18.053,2928.3,3.60E+07,2856.1,3.51E+07,113.28,1.39E+06,445.96,5.48E+06,502.36,6.17E+06,
041318Xim_G6_AW18,16,TE,I,8406,413.52,231.36,18.445,2048.1,1.72E+07,3129.4,2.63E+07,145.44,1.22E+06,464.4,3.90E+06,378.44,3.18E+06,
041318Xim_G6_AW18,17,TE,I,8601,104.98,242.9,18.996,2571.8,2.21E+07,3328.1,2.86E+07,168.16,1.45E+06,467.96,4.02E+06,413.97,3.56E+06,
041318Xim_G6_AW18,18,ICM,I,6475,226.56,245.19,17.846,2197.8,1.42E+07,1308.9,8.48E+06,68.307,4.42E+05,478.68,3.10E+06,1363.1,8.83E+06,
041318Xim_G6_AW18,19,ICM,I,7455,188.9,300.24,19.449,1979.6,1.48E+07,62.264,4.64E+05,238.26,1.78E+06,472.45,3.52E+06,75.999,5.67E+05,
041318Xim_G6_AW18,20,TE,I,8848,298.35,151.22,21.737,1717,1.52E+07,2985.2,2.64E+07,123.27,1.09E+06,468.16,4.14E+06,493.35,4.37E+06,
041318Xim_G6_AW18,21,TE,I,8823,130.01,310.14,22.951,2249.4,1.98E+07,2867.6,2.53E+07,144.35,1.27E+06,493.92,4.36E+06,519.98,4.59E+06,
041318Xim_G6_AW18,22,ICM,I,10501,183.35,206.19,23.606,1601.5,1.68E+07,114.49,1.20E+06,326.96,3.43E+06,461.74,4.85E+06,81.421,8.55E+05,
041318Xim_G6_AW18,23,ICM,I,7889,225.57,212.3,23.748,1758.3,1.39E+07,1400.7,1.11E+07,70.573,5.57E+05,443.87,3.50E+06,1375.7,1.09E+07,
041318Xim_G6_AW18,24,TE,I,6959,396.78,166.39,25.105,2023.6,1.41E+07,3062.9,2.13E+07,150.53,1.05E+06,435.31,3.03E+06,380.86,2.65E+06,
041318Xim_G6_AW18,25,TE,I,9936,301.75,355.11,25.092,2294.6,2.28E+07,1521.2,1.51E+07,69.127,6.87E+05,463.02,4.60E+06,394.37,3.92E+06,
041318Xim_G6_AW18,26,ICM,I,13253,185.53,255.24,26.329,1400.9,1.86E+07,48.407,6.42E+05,415.04,5.50E+06,414.36,5.49E+06,67.07,8.89E+05,
041318Xim_G6_AW18,27,TE,I,10262,353.64,143.4,28.256,1848.5,1.90E+07,2651.8,2.72E+07,101.45,1.04E+06,453.6,4.65E+06,272.27,2.79E+06,
041318Xim_G6_AW18,28,TE,I,17480,232.84,339.56,29.786,1680.2,2.94E+07,71.382,1.25E+06,150.62,2.63E+06,462.51,8.08E+06,374.72,6.55E+06,
041318Xim_G6_AW18,29,TE,I,8912,140.98,178.49,29.084,1926.8,1.72E+07,1321.6,1.18E+07,64.081,5.71E+05,445.73,3.97E+06,343.19,3.06E+06,
041318Xim_G6_AW18,30,TE,I,13440,434.55,292.49,30.177,2387.8,3.21E+07,2304.2,3.10E+07,128.81,1.73E+06,460.38,6.19E+06,443.68,5.96E+06,
041318Xim_G6_AW18,31,TE,I,7015,404.02,341.31,29.564,2368.2,1.66E+07,2659.2,1.87E+07,207.08,1.45E+06,487.88,3.42E+06,316.5,2.22E+06,
041318Xim_G6_AW18,32,ICM,I,15663,144.03,213.22,30.924,1389.1,2.18E+07,51.538,8.07E+05,234.33,3.67E+06,460.59,7.21E+06,67.428,1.06E+06,
041318Xim_G6_AW18,33,ICM,I,8125,226.6,290.7,27.893,1075.5,8.74E+06,589.36,4.79E+06,41.321,3.36E+05,393.03,3.19E+06,618.93,5.03E+06,
041318Xim_G6_AW18,34,TE,I,7770,218.66,156.79,31.879,1439.4,1.12E+07,1315.1,1.02E+07,58.532,4.55E+05,478.97,3.72E+06,388.24,3.02E+06,
041318Xim_G6_AW18,35,ICM,I,15018,125.25,265.17,30.949,1350.3,2.03E+07,70.182,1.05E+06,292.94,4.40E+06,439.98,6.61E+06,68.258,1.03E+06,
041318Xim_G6_AW18,36,ICM,I,7156,138.56,306.45,33.215,1845.2,1.32E+07,190.6,1.36E+06,173.27,1.24E+06,454.63,3.25E+06,95.977,6.87E+05,
041318Xim_G6_AW18,37,TE,I,9288,429.44,190.42,37.355,1482.8,1.38E+07,2230.1,2.07E+07,78.911,7.33E+05,514.56,4.78E+06,300.58,2.79E+06,
041318Xim_G6_AW18,38,ICM,I,7950,220.72,256.74,35.84,908.17,7.22E+06,648,5.15E+06,43.395,3.45E+05,445.37,3.54E+06,562.55,4.47E+06,
041318Xim_G6_AW18,39,TE,I,17433,177.07,329.38,36.323,1374.8,2.40E+07,622.84,1.09E+07,44.699,7.79E+05,444.68,7.75E+06,319.49,5.57E+06,
041318Xim_G6_AW18,40,ICM,I,7680,214.99,218.34,35.686,1147.5,8.81E+06,823.95,6.33E+06,52.172,4.01E+05,418.57,3.21E+06,850.24,6.53E+06,
041318Xim_G6_AW18,41,ICM,I,11311,169.4,266.2,36.157,1147.2,1.30E+07,40.96,4.63E+05,292.16,3.30E+06,444.59,5.03E+06,57.831,6.54E+05,
041318Xim_G6_AW18,42,ICM,I,18920,185.35,182.69,37.928,997.75,1.89E+07,55.639,1.05E+06,44.753,8.47E+05,449.26,8.50E+06,103.76,1.96E+06,
041318Xim_G6_AW18,43,TE,I,18902,97.281,251.9,42.006,1144.3,2.16E+07,48.681,9.20E+05,126.68,2.39E+06,426.85,8.07E+06,119.85,2.27E+06,
