Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041818Xim_G6_AY16,1,TE,I,11751,261.34,210.81,4.5343,1857.9,2.18E+07,82.532,9.70E+05,78.016,9.17E+05,483.69,5.68E+06,343.18,4.03E+06,
041818Xim_G6_AY16,2,TE,I,12637,210.13,241.09,5.4109,2016.6,2.55E+07,83.017,1.05E+06,127.75,1.61E+06,472.51,5.97E+06,273.57,3.46E+06,
041818Xim_G6_AY16,3,TE,I,25786,169,237,4,2319.742,,113.165,,88.463,,471.375,,347.73,,
041818Xim_G6_AY16,3.2,ICM,I,25786,160,262,8,2405.544,,106.955,,534.75,,468.253,,168.672,,
041818Xim_G6_AY16,4,TE,I,11235,289.54,272.79,6.2806,2231.8,2.51E+07,95.287,1.07E+06,1017.1,1.14E+07,460.17,5.17E+06,359.22,4.04E+06,
041818Xim_G6_AY16,5,TE,I,8513,251.89,306.14,5.3347,2084.8,1.77E+07,87.698,7.47E+05,48.514,4.13E+05,470.24,4.00E+06,319.26,2.72E+06,
041818Xim_G6_AY16,6,TE,I,11913,120.09,213.13,8.6469,1752.9,2.09E+07,2957.5,3.52E+07,167.55,2.00E+06,458.87,5.47E+06,617.17,7.35E+06,
041818Xim_G6_AY16,7,TE,I,16033,343,217.78,10.734,2015.9,3.23E+07,69.778,1.12E+06,32.213,5.16E+05,468.17,7.51E+06,174.13,2.79E+06,
041818Xim_G6_AY16,8,TE,I,14312,304.89,157.54,12.589,2223.1,3.18E+07,80.412,1.15E+06,59.495,8.52E+05,486.25,6.96E+06,261.91,3.75E+06,
041818Xim_G6_AY16,9,ICM,I,19203,99.155,252.35,14.126,1567.6,3.01E+07,118.51,2.28E+06,268.92,5.16E+06,472.37,9.07E+06,120.39,2.31E+06,
041818Xim_G6_AY16,10,TE,I,21778,179,170,12,1739.182,,90.123,,48.68,,477.718,,356.509,,
041818Xim_G6_AY16,10.2,ICM,I,21778,158,189,20,2380.093,,1530.008,,80.667,,465.874,,1459.998,,
041818Xim_G6_AY16,11,TE,I,10604,294.9,328.14,13.863,2145.5,2.28E+07,84.175,8.93E+05,855.15,9.07E+06,459.14,4.87E+06,363.87,3.86E+06,
041818Xim_G6_AY16,12,TE,I,10954,359.57,280.85,15.493,2157.7,2.36E+07,77.405,8.48E+05,32.013,3.51E+05,473.06,5.18E+06,221.73,2.43E+06,
041818Xim_G6_AY16,13,ICM,I,4270,130.64,270.4,17.631,1506.1,6.43E+06,89.616,3.83E+05,248.59,1.06E+06,478.74,2.04E+06,110.19,4.71E+05,
041818Xim_G6_AY16,14,ICM,I,12204,110.75,296.8,21.575,1617.8,1.97E+07,90.992,1.11E+06,170.78,2.08E+06,443.23,5.41E+06,132.19,1.61E+06,
041818Xim_G6_AY16,15,TE,I,12677,354.51,336.87,22.687,1654.7,2.10E+07,71.948,9.12E+05,34.227,4.34E+05,443.52,5.62E+06,219.8,2.79E+06,
041818Xim_G6_AY16,16,ICM,I,9568,121.07,204.28,20.137,1618.5,1.55E+07,212.42,2.03E+06,202.42,1.94E+06,422.24,4.04E+06,115.47,1.10E+06,
041818Xim_G6_AY16,17,ICM,I,9805,173.12,224,21.546,2082.6,2.04E+07,1271.8,1.25E+07,76.684,7.52E+05,470.57,4.61E+06,1816.7,1.78E+07,
041818Xim_G6_AY16,19,ICM,I,8588,145.23,308.19,24.442,1554.3,1.33E+07,1223.7,1.05E+07,65.677,5.64E+05,453.08,3.89E+06,962.65,8.27E+06,
041818Xim_G6_AY16,20,TE,I,12487,133.52,342.15,23.66,1905.6,2.38E+07,89.413,1.12E+06,34.682,4.33E+05,443.95,5.54E+06,255.95,3.20E+06,
041818Xim_G6_AY16,21,TE,I,8857,294.95,372.42,21.698,1736.7,1.54E+07,67.511,5.98E+05,344.31,3.05E+06,445.8,3.95E+06,228.86,2.03E+06,
041818Xim_G6_AY16,22,TE,I,7616,205.02,380.02,23.152,1805.7,1.38E+07,66.504,5.07E+05,31.868,2.43E+05,440.39,3.35E+06,231.07,1.76E+06,
041818Xim_G6_AY16,23,ICM,I,7251,134.68,151.44,24.389,1847.1,1.34E+07,3301.2,2.39E+07,137.76,9.99E+05,455.66,3.30E+06,826.51,5.99E+06,
041818Xim_G6_AY16,25,TE,I,8933,71.917,209.24,24.762,1462.1,1.31E+07,2979.3,2.66E+07,110.07,9.83E+05,525.17,4.69E+06,546.55,4.88E+06,
041818Xim_G6_AY16,26,TE,I,18516,279.28,94.666,27.644,1886,3.49E+07,65.482,1.21E+06,28.687,5.31E+05,476.63,8.83E+06,219.22,4.06E+06,
041818Xim_G6_AY16,27,ICM,I,6761,129.43,226.84,25.754,1276,8.63E+06,81.396,5.50E+05,168.79,1.14E+06,448.17,3.03E+06,87.514,5.92E+05,
041818Xim_G6_AY16,28,TE,I,12145,364.67,132.53,29.92,1493.2,1.81E+07,60.199,7.31E+05,176.08,2.14E+06,466.9,5.67E+06,211.6,2.57E+06,
041818Xim_G6_AY16,30,ICM,I,9975,149.32,265.9,27.999,1348.5,1.35E+07,63.067,6.29E+05,47.381,4.73E+05,442.42,4.41E+06,153.35,1.53E+06,
041818Xim_G6_AY16,31,ICM,I,8804,89.782,272.66,28.542,1096,9.65E+06,77.847,6.85E+05,540.03,4.75E+06,478.11,4.21E+06,98.21,8.65E+05,
041818Xim_G6_AY16,32,TE,I,11710,406.11,201.71,30.116,1789.8,2.10E+07,57.848,6.77E+05,23.833,2.79E+05,474.16,5.55E+06,178.59,2.09E+06,
041818Xim_G6_AY16,33,ICM,I,9563,86.253,240.94,30.05,1137.8,1.09E+07,80.703,7.72E+05,120.57,1.15E+06,456.45,4.37E+06,94.51,9.04E+05,
041818Xim_G6_AY16,34,TE,I,7261,413.3,264.26,33.205,2170.2,1.58E+07,57,4.14E+05,23.052,1.67E+05,465.91,3.38E+06,171.28,1.24E+06,
041818Xim_G6_AY16,35,TE,I,6760,348.9,373.18,32.513,1941.5,1.31E+07,56.494,3.82E+05,395.83,2.68E+06,453.42,3.07E+06,194.63,1.32E+06,
041818Xim_G6_AY16,36,TE,I,10558,179.34,92.075,35.128,1743.4,1.84E+07,64.162,6.77E+05,26.807,2.83E+05,468.71,4.95E+06,224.63,2.37E+06,
041818Xim_G6_AY16,37,ICM,I,10246,80.557,285.34,35.612,1047.2,1.07E+07,70.308,7.20E+05,266.63,2.73E+06,527.17,5.40E+06,87.742,8.99E+05,
041818Xim_G6_AY16,38,ICM,I,11400,86.352,330.17,37.99,1075.5,1.23E+07,2910.3,3.32E+07,103.51,1.18E+06,473.39,5.40E+06,440.44,5.02E+06,
041818Xim_G6_AY16,39,TE,I,8680,227.49,421.12,40.179,1311,1.14E+07,47.74,4.14E+05,38.009,3.30E+05,470.57,4.08E+06,131.68,1.14E+06,
041818Xim_G6_AY16,40,ICM,I,9879,122.47,324.56,38.351,1189.4,1.18E+07,724.1,7.15E+06,49.715,4.91E+05,438.6,4.33E+06,796.91,7.87E+06,
041818Xim_G6_AY16,41,TE,I,14632,293.81,419.09,41.738,1690.3,2.47E+07,54.092,7.91E+05,385.13,5.64E+06,441.97,6.47E+06,155.73,2.28E+06,
041818Xim_G6_AY16,42,ICM,M,4974,61.874,201.09,38.965,1310.9,6.52E+06,124.64,6.20E+05,68.855,3.42E+05,499.85,2.49E+06,66.94,3.33E+05,
041818Xim_G6_AY16,44,ICM,I,12294,103.12,241.95,41.335,865.07,1.06E+07,57.292,7.04E+05,68.392,8.41E+05,477.17,5.87E+06,111.33,1.37E+06,
041818Xim_G6_AY16,45,TE,I,11193,98.968,138.77,45.473,1022.2,1.14E+07,55.411,6.20E+05,23.212,2.60E+05,499.52,5.59E+06,151.36,1.69E+06,
041818Xim_G6_AY16,46,ICM,I,12024,96.458,175.11,44.457,862,1.04E+07,457.21,5.50E+06,37.255,4.48E+05,491.76,5.91E+06,305.13,3.67E+06,
041818Xim_G6_AY16,47,ICM,I,7926,68.926,261.91,44.83,848.57,6.73E+06,61.405,4.87E+05,261.51,2.07E+06,481.32,3.82E+06,81.044,6.42E+05,
041818Xim_G6_AY16,48,TE,I,17830,409.8,328.4,50.125,1257.7,2.24E+07,46.577,8.30E+05,56.734,1.01E+06,492.57,8.78E+06,128.05,2.28E+06,
041818Xim_G6_AY16,51,TE,I,17039,359.88,393.18,52.884,767.24,1.31E+07,40.527,6.91E+05,31.495,5.37E+05,468.1,7.98E+06,127.99,2.18E+06,
041818Xim_G6_AY16,52,TE,I,17535,148.86,406.85,53.587,1081,1.90E+07,49.584,8.69E+05,31.617,5.54E+05,414.27,7.26E+06,136.49,2.39E+06,
041818Xim_G6_AY16,53,TE,I,7202,375.53,105.11,52.058,1398.2,1.01E+07,37.156,2.68E+05,214.74,1.55E+06,498.26,3.59E+06,121.13,8.72E+05,
041818Xim_G6_AY16,54,TE,I,14046,431.35,175.75,54.377,946.15,1.33E+07,1789.6,2.51E+07,65.528,9.20E+05,504.69,7.09E+06,247.55,3.48E+06,
041818Xim_G6_AY16,55,TE,I,10213,440.55,252.56,53.384,1187.4,1.21E+07,1872.1,1.91E+07,71.335,7.29E+05,503.04,5.14E+06,347.87,3.55E+06,
041818Xim_G6_AY16,56,TE,I,12943,219.29,59.042,55.098,1142.4,1.48E+07,41.297,5.35E+05,21.807,2.82E+05,515.56,6.67E+06,111.14,1.44E+06,
041818Xim_G6_AY16,57,ICM,I,9142,52.611,226.11,51.396,720.28,6.58E+06,51.675,4.72E+05,231.39,2.12E+06,403.13,3.69E+06,71.834,6.57E+05,
041818Xim_G6_AY16,58,TE,I,16887,43.958,250.79,56.987,741.55,1.25E+07,46.236,7.81E+05,58.546,9.89E+05,447.29,7.55E+06,124.04,2.09E+06,
041818Xim_G6_AY16,59,TE,I,16367,304.97,64.323,59.099,1214.2,1.99E+07,39.182,6.41E+05,22.605,3.70E+05,458.83,7.51E+06,130.1,2.13E+06,
041818Xim_G6_AY16,60,TE,I,17271,131.69,92.245,62.145,972.2,1.68E+07,40.02,6.91E+05,20.278,3.50E+05,439.81,7.60E+06,131.19,2.27E+06,
041818Xim_G6_AY16,61,ICM,I,14116,79.847,198.96,61.584,761.62,1.08E+07,394.84,5.57E+06,43.418,6.13E+05,449.25,6.34E+06,281.55,3.97E+06,
041818Xim_G6_AY16,62,ICM,I,14716,79.11,290.12,63.597,386.76,5.69E+06,262.07,3.86E+06,31.528,4.64E+05,415.8,6.12E+06,382.55,5.63E+06,
041818Xim_G6_AY16,63,TE,I,16177,302.39,428.23,64.651,505.52,8.18E+06,37.458,6.06E+05,58.686,9.49E+05,357.22,5.78E+06,87.281,1.41E+06,
041818Xim_G6_AY16,64,TE,I,17332,93.496,348.36,69.52,523.95,9.08E+06,35.918,6.23E+05,19.334,3.35E+05,411.32,7.13E+06,80.526,1.40E+06,
041818Xim_G6_AY16,65,ICM,I,15183,108.06,162.18,70.869,600.77,9.12E+06,316.15,4.80E+06,42.978,6.53E+05,391.33,5.94E+06,536.89,8.15E+06,
041818Xim_G6_AY16,66,TE,I,10160,349,78.272,71.42,811.68,8.25E+06,36.003,3.66E+05,107.34,1.09E+06,442.07,4.49E+06,74.96,7.62E+05,
041818Xim_G6_AY16,67,TE,I,14886,441.8,198.29,73.608,714.08,1.06E+07,892.72,1.33E+07,41.956,6.25E+05,392.88,5.85E+06,165.25,2.46E+06,
041818Xim_G6_AY16,68,ICM,I,10941,85.998,166.2,76.826,467.24,5.11E+06,60.569,6.63E+05,184.54,2.02E+06,395.71,4.33E+06,106.45,1.16E+06,
041818Xim_G6_AY16,69,TE,I,14375,66.987,207.79,76.09,419.95,6.04E+06,79.041,1.14E+06,30.526,4.39E+05,413.82,5.95E+06,90.967,1.31E+06,
041818Xim_G6_AY16,70,TE,I,20124,224.77,425.74,77.639,617.1,1.24E+07,37.617,7.57E+05,20.121,4.05E+05,400.36,8.06E+06,108.8,2.19E+06,
041818Xim_G6_AY16,71,TE,I,14111,393.1,117.17,79.463,536.05,7.56E+06,1026.7,1.45E+07,49.094,6.93E+05,407.93,5.76E+06,171.68,2.42E+06,
041818Xim_G6_AY16,72,TE,I,16145,361.9,381.68,80.295,512.19,8.27E+06,33.015,5.33E+05,20.367,3.29E+05,386.51,6.24E+06,87.4,1.41E+06,
041818Xim_G6_AY16,73,TE,I,15270,68.328,283.27,79.149,274.83,4.20E+06,57.525,8.78E+05,28.036,4.28E+05,379.75,5.80E+06,83,1.27E+06,
041818Xim_G6_AY16,74,TE,I,11187,413.95,334.44,81.067,635.54,7.11E+06,31.152,3.48E+05,19.514,2.18E+05,335.54,3.75E+06,72.173,8.07E+05,
041818Xim_G6_AY16,75,TE,I,14161,437.8,266.75,81.427,440.79,6.24E+06,654.84,9.27E+06,35.107,4.97E+05,389.95,5.52E+06,161.66,2.29E+06,
