 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
031818Xim_WT_AO3,1,7934,TE,236.2,224.54,3.6941,1895.1,1.50E+07,2155.6,1.71E+07,97.354,7.72E+05,1209.5,9.60E+06,481.79,3.82E+06,
031818Xim_WT_AO3,2,7425,TE,303.39,233.78,3.9358,2116.1,1.57E+07,2686.2,1.99E+07,119.01,8.84E+05,1194,8.87E+06,381.01,2.83E+06,
031818Xim_WT_AO3,3,7135,TE,281.53,310.06,6.0142,2633,1.88E+07,2776,1.98E+07,122.24,8.72E+05,1209.9,8.63E+06,461.54,3.29E+06,
031818Xim_WT_AO3,4,9895,TE,209.06,159.79,12.013,1725.7,1.71E+07,91.462,9.05E+05,42.365,4.19E+05,1208.9,1.20E+07,252.36,2.50E+06,
031818Xim_WT_AO3,5,7338,TE,354.57,290.56,12.252,2364.4,1.74E+07,1723,1.26E+07,89.505,6.57E+05,1191.1,8.74E+06,241.8,1.77E+06,
031818Xim_WT_AO3,6,7229,TE,282.08,142.54,12.125,1590.4,1.15E+07,1784.9,1.29E+07,77.837,5.63E+05,1189.2,8.60E+06,317.37,2.29E+06,
031818Xim_WT_AO3,7,9828,TE,334.48,164.39,12.778,1958,1.92E+07,3190.3,3.14E+07,588.75,5.79E+06,1178.1,1.16E+07,210.27,2.07E+06,
031818Xim_WT_AO3,8,11629,TE,152.88,224.05,11.575,1770.1,2.06E+07,90.744,1.06E+06,41.232,4.79E+05,1038.7,1.21E+07,305.02,3.55E+06,
031818Xim_WT_AO3,10,22078,TE,143.39,296.49,18.221,2258,4.99E+07,103.1,2.28E+06,44.656,9.86E+05,1124.6,2.48E+07,328.75,7.26E+06,
031818Xim_WT_AO3,11,7123,TE,208.57,338.86,13.908,2314.5,1.65E+07,2082.9,1.48E+07,85.41,6.08E+05,1228.9,8.75E+06,332.59,2.37E+06,
031818Xim_WT_AO3,12,8959,TE,377.05,216.99,15.684,2330.7,2.09E+07,3363.7,3.01E+07,196.73,1.76E+06,1178.8,1.06E+07,180.95,1.62E+06,
031818Xim_WT_AO3,14,6011,TE,279.29,374.57,19.001,3447,2.07E+07,3284.9,1.97E+07,103.44,6.22E+05,1196.9,7.19E+06,70.652,4.25E+05,
031818Xim_WT_AO3,15,9108,TE,235.94,109.49,23.95,1575.1,1.43E+07,79.251,7.22E+05,60.609,5.52E+05,1157,1.05E+07,270.64,2.47E+06,
031818Xim_WT_AO3,16,8948,TE,138.47,171.75,23.038,1918.7,1.72E+07,98.394,8.80E+05,42.44,3.80E+05,1099.8,9.84E+06,355.22,3.18E+06,
031818Xim_WT_AO3,17,12494,TE,103.53,238.68,23.219,1758.7,2.20E+07,110.22,1.38E+06,47.946,5.99E+05,1068.2,1.33E+07,275.57,3.44E+06,
