Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041918Xim_G6_AZ4,1,TE,I,10564,278.44,210.91,4.1799,1846.2,1.95E+07,61.571,6.50E+05,41.598,4.39E+05,462.51,4.89E+06,649.89,6.87E+06,
041918Xim_G6_AZ4,2,TE,I,15987,312.32,304.16,5.1128,2407.4,3.85E+07,73.762,1.18E+06,37.048,5.92E+05,454.67,7.27E+06,641.57,1.03E+07,
041918Xim_G6_AZ4,3,TE,I,7207,194.65,253.38,5.0824,2673.3,1.93E+07,87.627,6.32E+05,46.354,3.34E+05,446.8,3.22E+06,1158,8.35E+06,
041918Xim_G6_AZ4,4,TE,I,6377,138.86,265.72,6.8518,2951.8,1.88E+07,83.166,5.30E+05,128.7,8.21E+05,457.76,2.92E+06,857.17,5.47E+06,
041918Xim_G6_AZ4,5,TE,I,16051,191.55,312.83,7.2738,1497,2.40E+07,54.823,8.80E+05,32.404,5.20E+05,449.72,7.22E+06,584.11,9.38E+06,
041918Xim_G6_AZ4,6,TE,I,14258,196.09,174.53,8.2944,1126.9,1.61E+07,37.151,5.30E+05,27.045,3.86E+05,460.62,6.57E+06,302.74,4.32E+06,
041918Xim_G6_AZ4,7,TE,I,9969,339.02,231.28,8.2486,2075.3,2.07E+07,63.73,6.35E+05,42.078,4.19E+05,465.39,4.64E+06,908.34,9.06E+06,
041918Xim_G6_AZ4,8,TE,I,8240,152.62,208.84,11.435,2425.8,2.00E+07,74.202,6.11E+05,53.303,4.39E+05,429.05,3.54E+06,866.28,7.14E+06,
041918Xim_G6_AZ4,9,TE,I,8677,303.48,161.35,12.99,1997.4,1.73E+07,70,6.07E+05,63.944,5.55E+05,459.59,3.99E+06,749.08,6.50E+06,
041918Xim_G6_AZ4,10,ICM,I,5127,144.69,238.78,13.805,2221.9,1.14E+07,95.613,4.90E+05,1086.1,5.57E+06,442.84,2.27E+06,154.74,7.93E+05,
041918Xim_G6_AZ4,11,ICM,I,6609,154.01,281.06,13.083,2418.7,1.60E+07,77.303,5.11E+05,967.04,6.39E+06,439.22,2.90E+06,177.31,1.17E+06,
041918Xim_G6_AZ4,12,TE,I,6186,74.945,255.91,15.48,2707.2,1.67E+07,76.395,4.73E+05,108.48,6.71E+05,442.24,2.74E+06,660.46,4.09E+06,
041918Xim_G6_AZ4,13,TE,I,5795,89.272,220.58,15.962,2852.2,1.65E+07,72.342,4.19E+05,240.19,1.39E+06,420.66,2.44E+06,571.14,3.31E+06,
041918Xim_G6_AZ4,14,TE,I,9199,326.21,379.48,17.711,2690.9,2.48E+07,63.697,5.86E+05,33.763,3.11E+05,447.86,4.12E+06,528.74,4.86E+06,
041918Xim_G6_AZ4,15,ICM,I,6186,167.97,319.54,18.243,2419.1,1.50E+07,58.654,3.63E+05,43.496,2.69E+05,429.68,2.66E+06,1677.8,1.04E+07,
041918Xim_G6_AZ4,16,TE,I,9398,202.77,386.67,19.184,2121.4,1.99E+07,60.822,5.72E+05,31.046,2.92E+05,427.84,4.02E+06,903.44,8.49E+06,
041918Xim_G6_AZ4,17,TE,I,8927,391.87,237.8,20.011,2095.8,1.87E+07,52.485,4.69E+05,26.861,2.40E+05,465.83,4.16E+06,416.04,3.71E+06,
041918Xim_G6_AZ4,18,ICM,I,5077,123.4,242.13,18.589,2251.3,1.14E+07,67.926,3.45E+05,828.75,4.21E+06,399.56,2.03E+06,118.94,6.04E+05,
041918Xim_G6_AZ4,19,ICM,I,9492,130.34,293.87,19.241,1859.8,1.77E+07,76.19,7.23E+05,856.6,8.13E+06,451.97,4.29E+06,114.07,1.08E+06,
041918Xim_G6_AZ4,20,TE,I,7987,383.16,329.61,20.301,2352.3,1.88E+07,52.3,4.18E+05,35.607,2.84E+05,468.55,3.74E+06,465.41,3.72E+06,
041918Xim_G6_AZ4,22,TE,I,8511,289.86,114.65,21.824,1814.7,1.54E+07,57.974,4.93E+05,37.353,3.18E+05,460.01,3.92E+06,467.61,3.98E+06,
041918Xim_G6_AZ4,23,TE,I,12020,270.4,422.64,24.48,1899.7,2.28E+07,57.429,6.90E+05,28.08,3.38E+05,452.54,5.44E+06,572.63,6.88E+06,
041918Xim_G6_AZ4,24,TE,I,13188,128.14,166.85,26.952,2061.1,2.72E+07,58.166,7.67E+05,48.966,6.46E+05,439.41,5.80E+06,742.28,9.79E+06,
041918Xim_G6_AZ4,25,ICM,I,4513,140.57,198.78,20.559,2411.2,1.09E+07,85.117,3.84E+05,55.944,2.52E+05,408.45,1.84E+06,1577.2,7.12E+06,
