 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
020117Xim_WT_AH2,1,11422,TE,255.14,220.12,4.0765,2295.5,2.62E+07,3885,4.44E+07,265.67,3.03E+06,724.8,8.28E+06,427.42,4.88E+06,
020117Xim_WT_AH2,2,5541,TE,175.34,230.68,9.1758,2198.7,1.22E+07,3009.5,1.67E+07,144.96,8.03E+05,685.32,3.80E+06,360.5,2.00E+06,
020117Xim_WT_AH2,3,13420,TE,169.65,263.22,8.538,1993.6,2.68E+07,2560.7,3.44E+07,119.12,1.60E+06,675.29,9.06E+06,274.58,3.68E+06,
020117Xim_WT_AH2,4,18566,TE,303.93,280.85,8.2948,1712.6,3.18E+07,3088.9,5.73E+07,183.58,3.41E+06,709.69,1.32E+07,179.14,3.33E+06,
020117Xim_WT_AH2,5,8462,TE,251.4,163.94,8.7101,1892.8,1.60E+07,2786.1,2.36E+07,123.23,1.04E+06,734.17,6.21E+06,474.17,4.01E+06,
020117Xim_WT_AH2,6,5384,ICM,211.48,188.98,10.57,2415.9,1.30E+07,3339.9,1.80E+07,136.82,7.37E+05,683.95,3.68E+06,319.77,1.72E+06,
020117Xim_WT_AH2,7,9799,TE,317.18,201.6,9.2732,1837.7,1.80E+07,3248.2,3.18E+07,217.21,2.13E+06,728.64,7.14E+06,223.07,2.19E+06,
020117Xim_WT_AH2,8,13028,TE,217.91,295.06,11.161,1896.1,2.47E+07,3531.6,4.60E+07,197.05,2.57E+06,711.62,9.27E+06,370.95,4.83E+06,
020117Xim_WT_AH2,9,5477,TE,186.75,177.85,15.602,2134.2,1.17E+07,3816.3,2.09E+07,199.87,1.09E+06,695.65,3.81E+06,326.58,1.79E+06,
020117Xim_WT_AH2,10,12178,TE,284.44,325.65,17.33,1307.4,1.59E+07,3423.3,4.17E+07,173.31,2.11E+06,685.82,8.35E+06,259.79,3.16E+06,
020117Xim_WT_AH2,12,5472,ICM,148.13,198.02,16.303,2278.7,1.25E+07,2383.3,1.30E+07,91.499,5.01E+05,731.56,4.00E+06,294.74,1.61E+06,
020117Xim_WT_AH2,13,8126,TE,337.03,179.83,19.181,2039.1,1.66E+07,3671.3,2.98E+07,206.91,1.68E+06,746.64,6.07E+06,219.64,1.78E+06,
020117Xim_WT_AH2,15,3970,ICM,159.24,227.33,18.987,1551.1,6.16E+06,1801.6,7.15E+06,561.29,2.23E+06,625.82,2.48E+06,115.53,4.59E+05,
020117Xim_WT_AH2,16,5666,TE,235.47,122.93,22.519,2425,1.37E+07,3880.1,2.20E+07,196.92,1.12E+06,625.03,3.54E+06,256.89,1.46E+06,
020117Xim_WT_AH2,17,6130,TE,196.41,143.06,22.513,2122.5,1.30E+07,3268.5,2.00E+07,125.04,7.67E+05,724.73,4.44E+06,441.32,2.71E+06,
020117Xim_WT_AH2,18,17286,ICM,141.96,257.23,23.732,1356.6,2.35E+07,1307,2.26E+07,319.83,5.53E+06,654.41,1.13E+07,80.819,1.40E+06,
020117Xim_WT_AH2,19,14785,ICM,199.4,229.39,25.043,1000.8,1.48E+07,2107.2,3.12E+07,88.338,1.31E+06,718.96,1.06E+07,543.43,8.03E+06,
