Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
050118Xim_G6_BA1,1,TE,I,10411,292.2,210.55,4.2334,2987,3.11E+07,155.86,1.62E+06,56.313,5.86E+05,433.67,4.51E+06,660.16,6.87E+06,
050118Xim_G6_BA1,2,TE,I,8645,297.77,308.98,4.6068,3265.6,2.82E+07,162.92,1.41E+06,63.582,5.50E+05,439.24,3.80E+06,711,6.15E+06,
050118Xim_G6_BA1,3,TE,I,7548,340.92,249.89,5.2118,3345.6,2.53E+07,148.69,1.12E+06,52.631,3.97E+05,455.02,3.43E+06,664.3,5.01E+06,
050118Xim_G6_BA1,4,TE,I,13215,244.39,335.91,6.3345,3045,4.02E+07,140.44,1.86E+06,89.64,1.18E+06,436.89,5.77E+06,541.11,7.15E+06,
050118Xim_G6_BA1,5,TE,I,19488,202.51,267.04,7.171,2241.3,4.37E+07,160.56,3.13E+06,74.358,1.45E+06,449.77,8.77E+06,982.73,1.92E+07,
050118Xim_G6_BA1,6,TE,I,10867,328.82,187.38,8.6803,2771.6,3.01E+07,133.47,1.45E+06,47.358,5.15E+05,456.17,4.96E+06,541.77,5.89E+06,
050118Xim_G6_BA1,7,TE,I,9351,366.71,314.12,9.4762,3023.7,2.83E+07,133.34,1.25E+06,50.587,4.73E+05,456.35,4.27E+06,576.02,5.39E+06,
050118Xim_G6_BA1,8,TE,I,18953,78.83,267.58,10.661,2472.7,4.69E+07,125.16,2.37E+06,98.29,1.86E+06,408.22,7.74E+06,763.27,1.45E+07,
050118Xim_G6_BA1,9,TE,I,15539,202.22,200.34,12.314,2265.2,3.52E+07,128.79,2.00E+06,50.65,7.87E+05,443.07,6.88E+06,528.09,8.21E+06,
050118Xim_G6_BA1,10,TE,I,14830,137.98,226.38,15.053,2308.8,3.42E+07,145.44,2.16E+06,70.519,1.05E+06,454.13,6.73E+06,813.78,1.21E+07,
050118Xim_G6_BA1,11,TE,I,17238,156.07,308.38,14.803,2861.7,4.93E+07,137.12,2.36E+06,76.689,1.32E+06,420.86,7.25E+06,705.1,1.22E+07,
050118Xim_G6_BA1,12,TE,I,9882,312.7,376.67,14.436,3278.8,3.24E+07,114.99,1.14E+06,37.712,3.73E+05,453.46,4.48E+06,307.18,3.04E+06,
050118Xim_G6_BA1,13,ICM,I,15363,126.15,268.44,17.456,2789.9,4.29E+07,129.62,1.99E+06,800.88,1.23E+07,411.52,6.32E+06,1054.7,1.62E+07,
050118Xim_G6_BA1,15,TE,I,11603,285.45,133.25,18.452,2430.8,2.82E+07,108.42,1.26E+06,43.087,5.00E+05,447.15,5.19E+06,543.7,6.31E+06,
050118Xim_G6_BA1,16,TE,I,16784,418.65,219.78,21.596,2997.5,5.03E+07,98.814,1.66E+06,45.466,7.63E+05,462.99,7.77E+06,827.78,1.39E+07,
050118Xim_G6_BA1,17,ICM,I,7410,116.54,316.93,22.036,2125.3,1.57E+07,109.61,8.12E+05,786.45,5.83E+06,442.37,3.28E+06,931.98,6.91E+06,
050118Xim_G6_BA1,18,TE,I,8837,155.88,163.7,22.47,2383,2.11E+07,106.76,9.43E+05,38.958,3.44E+05,432.57,3.82E+06,507.73,4.49E+06,
050118Xim_G6_BA1,19,TE,I,8693,427.75,314.98,22.14,3481.7,3.03E+07,88.572,7.70E+05,36.316,3.16E+05,458.6,3.99E+06,255.19,2.22E+06,
050118Xim_G6_BA1,21,ICM,I,8763,86.447,243.16,22.508,2264.6,1.98E+07,100.49,8.81E+05,686.18,6.01E+06,432.71,3.79E+06,622.07,5.45E+06,
050118Xim_G6_BA1,22,ICM,I,12469,142.63,199.08,24.221,2231.2,2.78E+07,107.26,1.34E+06,685.56,8.55E+06,453.03,5.65E+06,344.05,4.29E+06,
050118Xim_G6_BA1,23,TE,I,14442,194.18,405.68,27.752,2715.8,3.92E+07,98.974,1.43E+06,51.515,7.44E+05,433.36,6.26E+06,500.83,7.23E+06,
050118Xim_G6_BA1,24,TE,I,13803,54.014,209.63,28.323,2400.4,3.31E+07,107.94,1.49E+06,49.425,6.82E+05,437.54,6.04E+06,798.96,1.10E+07,
050118Xim_G6_BA1,25,ICM,I,8791,142.39,302.57,26.913,1858.3,1.63E+07,86.232,7.58E+05,705.02,6.20E+06,429.19,3.77E+06,846.78,7.44E+06,
050118Xim_G6_BA1,26,TE,I,10285,191.71,129.8,29.829,1898.2,1.95E+07,98.029,1.01E+06,36.956,3.80E+05,442.07,4.55E+06,415.97,4.28E+06,
050118Xim_G6_BA1,27,ICM,I,8660,104.34,197.57,29.415,1867.1,1.62E+07,96.094,8.32E+05,524.46,4.54E+06,415.87,3.60E+06,436.52,3.78E+06,
050118Xim_G6_BA1,28,TE,I,8073,261.24,426.03,28.757,3001.8,2.42E+07,101.99,8.23E+05,38.58,3.11E+05,428.88,3.46E+06,559.73,4.52E+06,
050118Xim_G6_BA1,29,ICM,I,7959,85.913,298.46,27.949,1429.5,1.14E+07,77.486,6.17E+05,539.04,4.29E+06,423.48,3.37E+06,743.67,5.92E+06,
050118Xim_G6_BA1,30,TE,I,11971,84.913,340.04,33.111,2746.2,3.29E+07,93.785,1.12E+06,42.237,5.06E+05,423.53,5.07E+06,461.75,5.53E+06,
050118Xim_G6_BA1,31,TE,I,8995,334.61,418.67,30.811,3183.5,2.86E+07,77.231,6.95E+05,29.279,2.63E+05,442.92,3.98E+06,330.86,2.98E+06,
050118Xim_G6_BA1,32,TE,I,11355,351.56,106.18,33.291,1899.5,2.16E+07,96.744,1.10E+06,138.16,1.57E+06,450.16,5.11E+06,344.69,3.91E+06,
050118Xim_G6_BA1,33,ICM,I,6377,120.93,264.41,29.429,2291.8,1.46E+07,77.182,4.92E+05,214.5,1.37E+06,414.89,2.65E+06,855.11,5.45E+06,
050118Xim_G6_BA1,34,ICM,I,12994,61.729,269.25,31.458,1419.5,1.84E+07,73.536,9.56E+05,381.76,4.96E+06,372.4,4.84E+06,498.62,6.48E+06,
050118Xim_G6_BA1,35,TE,I,7902,413.78,363.03,32.126,3382.5,2.67E+07,74.805,5.91E+05,27.268,2.15E+05,457.77,3.62E+06,232.03,1.83E+06,
050118Xim_G6_BA1,36,ICM,I,8015,137.11,224.01,31.789,1853.4,1.49E+07,79.504,6.37E+05,252.14,2.02E+06,394.96,3.17E+06,716.01,5.74E+06,
050118Xim_G6_BA1,37,TE,I,7632,399.93,141.88,34.904,2677.3,2.04E+07,91.055,6.95E+05,93.932,7.17E+05,440.86,3.36E+06,396.41,3.03E+06,
050118Xim_G6_BA1,38,TE,I,13126,141.49,152.46,34.687,1600.3,2.10E+07,79.148,1.04E+06,35.352,4.64E+05,387.43,5.09E+06,398.98,5.24E+06,
050118Xim_G6_BA1,39,ICM,I,14827,123.2,305.33,36.884,1612,2.39E+07,65.023,9.64E+05,307.89,4.57E+06,368.88,5.47E+06,473.81,7.03E+06,
050118Xim_G6_BA1,40,TE,I,10838,280.59,83.325,38.532,1738,1.88E+07,73.062,7.92E+05,164.57,1.78E+06,428.82,4.65E+06,341.59,3.70E+06,
050118Xim_G6_BA1,41,ICM,I,37620,94,250,35,1566.597,,56.837,,86.843,,395.395,,886.61,,
050118Xim_G6_BA1,41.2,ICM,I,37620,82,222,37,1756.841,,73.129,,447.848,,446.026,,690.556,,
050118Xim_G6_BA1,41.3,ICM,I,37620,111,236,47,1235.221,,44.224,,243.681,,430.366,,302.059,,
050118Xim_G6_BA1,42,TE,I,12353,104.57,160.12,44.657,1269.6,1.57E+07,51.661,6.38E+05,27.865,3.44E+05,461.02,5.69E+06,233.87,2.89E+06,
050118Xim_G6_BA1,43,TE,I,9425,462.13,266.74,40.267,2455.9,2.31E+07,77.825,7.34E+05,32.113,3.03E+05,415.87,3.92E+06,273.65,2.58E+06,
050118Xim_G6_BA1,44,TE,I,14203,118.85,364.8,43.553,1605.4,2.28E+07,68.802,9.77E+05,50.95,7.24E+05,433.98,6.16E+06,391.6,5.56E+06,
050118Xim_G6_BA1,45,TE,I,16750,206.01,86.974,47.456,1488.7,2.49E+07,63.62,1.07E+06,30.626,5.13E+05,484.49,8.12E+06,182.46,3.06E+06,
050118Xim_G6_BA1,46,ICM,I,11787,143.95,223.76,43.496,1041.9,1.23E+07,50.086,5.90E+05,70.289,8.29E+05,371.65,4.38E+06,767.2,9.04E+06,
050118Xim_G6_BA1,47,TE,I,7132,448.42,353.11,46.066,2644.4,1.89E+07,72.791,5.19E+05,37.855,2.70E+05,457.92,3.27E+06,341.89,2.44E+06,
050118Xim_G6_BA1,48,TE,I,10058,168.54,432.72,47.749,1908.4,1.92E+07,72.29,7.27E+05,30.333,3.05E+05,417.75,4.20E+06,294,2.96E+06,
050118Xim_G6_BA1,49,ICM,I,9683,92.114,203.33,46.939,1102.8,1.07E+07,51.421,4.98E+05,248.88,2.41E+06,403.73,3.91E+06,336.59,3.26E+06,
050118Xim_G6_BA1,50,TE,I,16348,46.309,291.41,49.162,1055.5,1.73E+07,59.458,9.72E+05,39.604,6.47E+05,367.42,6.01E+06,290.78,4.75E+06,
050118Xim_G6_BA1,51,ICM,I,10695,77,299,42,886.08,,52.544,,155.453,,395.57,,418.157,,
050118Xim_G6_BA1,51.2,ICM,I,10695,93,314,48,892.87,,48.549,,271.869,,425.815,,306.335,,
050118Xim_G6_BA1,52,TE,I,9443,346.39,457.71,51.192,2122.2,2.00E+07,61.886,5.84E+05,31.115,2.94E+05,432.11,4.08E+06,244.98,2.31E+06,
050118Xim_G6_BA1,53,TE,I,9129,408.8,409.15,52.026,2459.5,2.25E+07,56.283,5.14E+05,22.831,2.08E+05,448.36,4.09E+06,163.05,1.49E+06,
050118Xim_G6_BA1,54,TE,I,9085,272.68,468.36,54.218,1860.5,1.69E+07,59.29,5.39E+05,33.232,3.02E+05,429.62,3.90E+06,261.15,2.37E+06,
050118Xim_G6_BA1,55,TE,I,9566,146.34,121.15,54.285,1129.5,1.08E+07,53.452,5.11E+05,24.895,2.38E+05,489.06,4.68E+06,228.35,2.18E+06,
050118Xim_G6_BA1,56,TE,I,7747,431.05,147.99,53.752,1752.8,1.36E+07,55.743,4.32E+05,24.921,1.93E+05,445.13,3.45E+06,209.35,1.62E+06,
050118Xim_G6_BA1,57,TE,I,15077,379.78,104.26,55.044,925.37,1.40E+07,50.894,7.67E+05,48.486,7.31E+05,469.2,7.07E+06,267.39,4.03E+06,
050118Xim_G6_BA1,58,TE,I,10192,57.714,215.14,57.043,761.08,7.76E+06,48.457,4.94E+05,34.414,3.51E+05,400.06,4.08E+06,206.76,2.11E+06,
050118Xim_G6_BA1,59,TE,I,15059,322.62,70.073,61.169,977.55,1.47E+07,50.663,7.63E+05,70.476,1.06E+06,425.84,6.41E+06,214.99,3.24E+06,
050118Xim_G6_BA1,60,TE,I,15603,79.946,317.94,59.661,766.72,1.20E+07,44.85,7.00E+05,48.228,7.53E+05,411.58,6.42E+06,239.06,3.73E+06,
050118Xim_G6_BA1,61,TE,I,12358,108.88,149.1,60.645,664.26,8.21E+06,42.792,5.29E+05,23.385,2.89E+05,386.64,4.78E+06,226.35,2.80E+06,
050118Xim_G6_BA1,62,ICM,I,13952,79.829,263.86,59.202,456.16,6.36E+06,43.217,6.03E+05,125.65,1.75E+06,387.44,5.41E+06,215.07,3.00E+06,
050118Xim_G6_BA1,62.2,ICM,I,13952,116,261,56,533.133,,34.138,,48.852,,375.785,,388.254,,
050118Xim_G6_BA1,63,TE,I,10686,225.99,453.29,62.194,1258.5,1.34E+07,58.019,6.20E+05,28.654,3.06E+05,386.57,4.13E+06,199.86,2.14E+06,
050118Xim_G6_BA1,64,TE,I,14420,250.85,64.281,64.916,815.57,1.18E+07,46.412,6.69E+05,26.037,3.75E+05,411.47,5.93E+06,226.93,3.27E+06,
050118Xim_G6_BA1,65,TE,I,11473,471.88,321.05,66.433,1253.6,1.44E+07,50.573,5.80E+05,26.863,3.08E+05,441.04,5.06E+06,161.93,1.86E+06,
050118Xim_G6_BA1,66,TE,I,18134,473.44,227.37,67.659,1461.8,2.65E+07,54.659,9.91E+05,30.97,5.62E+05,412.1,7.47E+06,314.93,5.71E+06,
050118Xim_G6_BA1,67,TE,I,15134,171.31,407.68,67.296,747.96,1.13E+07,44.07,6.67E+05,115.43,1.75E+06,412.37,6.24E+06,141.76,2.15E+06,
050118Xim_G6_BA1,68,TE,I,9286,451.5,375.52,68.198,1381.7,1.28E+07,50.513,4.69E+05,30.909,2.87E+05,432.32,4.01E+06,199.73,1.85E+06,
050118Xim_G6_BA1,69,TE,I,14147,69.678,241.34,73.701,399.66,5.65E+06,37.144,5.25E+05,28.334,4.01E+05,401.53,5.68E+06,160.42,2.27E+06,
050118Xim_G6_BA1,70,TE,I,11789,297.15,473.1,72.738,960.1,1.13E+07,42.551,5.02E+05,28.697,3.38E+05,418.2,4.93E+06,175.66,2.07E+06,
050118Xim_G6_BA1,71,TE,I,10164,73.874,193.18,74.697,489.47,4.98E+06,32.817,3.34E+05,21.015,2.14E+05,383.56,3.90E+06,130.95,1.33E+06,
050118Xim_G6_BA1,72,TE,I,13703,368.8,459.12,75.008,974.1,1.33E+07,48.779,6.68E+05,61.103,8.37E+05,454.3,6.23E+06,181.96,2.49E+06,
050118Xim_G6_BA1,73,TE,I,16491,208.65,88.39,80.375,531.02,8.76E+06,37.07,6.11E+05,22.289,3.68E+05,392.49,6.47E+06,165.52,2.73E+06,
050118Xim_G6_BA1,74,TE,I,10935,451.58,177.82,80.859,768.43,8.40E+06,36.803,4.02E+05,19.47,2.13E+05,378.03,4.13E+06,142.35,1.56E+06,
050118Xim_G6_BA1,75,TE,I,15453,140.64,119.14,79.706,463.92,7.17E+06,32.632,5.04E+05,19.501,3.01E+05,364.17,5.63E+06,121.01,1.87E+06,
050118Xim_G6_BA1,76,TE,I,18283,138.1,348.19,83.359,527.47,9.64E+06,27.605,5.05E+05,24.059,4.40E+05,432.42,7.91E+06,152.33,2.79E+06,
050118Xim_G6_BA1,77,TE,I,11410,426.81,406.55,80.782,1051.2,1.20E+07,45.912,5.24E+05,60.154,6.86E+05,405.55,4.63E+06,195,2.23E+06,
050118Xim_G6_BA1,79,TE,I,17178,353.76,91.026,84.416,597.32,1.03E+07,36.083,6.20E+05,25.161,4.32E+05,379.67,6.52E+06,148.9,2.56E+06,
050118Xim_G6_BA1,80,TE,M,22053,227.34,420.44,85.522,731.41,1.61E+07,36.446,8.04E+05,20.117,4.44E+05,452.23,9.97E+06,103.69,2.29E+06,
050118Xim_G6_BA1,81,TE,I,8698,457.04,325.86,86.807,1011.9,8.80E+06,36.394,3.17E+05,18.828,1.64E+05,397.48,3.46E+06,123.81,1.08E+06,
050118Xim_G6_BA1,82,TE,I,12967,393.69,120.18,90.312,514.77,6.68E+06,32.28,4.19E+05,39.987,5.19E+05,380.2,4.93E+06,149.77,1.94E+06,
050118Xim_G6_BA1,83,TE,I,12474,296.96,445.05,91.497,619.67,7.73E+06,34.851,4.35E+05,24.845,3.10E+05,459.49,5.73E+06,133.26,1.66E+06,
050118Xim_G6_BA1,84,TE,I,10675,373.23,452.33,91.538,887.32,9.47E+06,46.456,4.96E+05,45.773,4.89E+05,363.27,3.88E+06,169.62,1.81E+06,
050118Xim_G6_BA1,85,TE,I,13790,81.394,197.74,93.858,339.22,4.68E+06,30.143,4.16E+05,17.805,2.46E+05,358.47,4.94E+06,103.71,1.43E+06,
050118Xim_G6_BA1,86,TE,I,13852,283.74,86.196,98.076,479.84,6.65E+06,28.716,3.98E+05,31.897,4.42E+05,462.12,6.40E+06,111.46,1.54E+06,
050118Xim_G6_BA1,87,TE,I,9051,432.08,364.84,98.147,830.12,7.51E+06,38.634,3.50E+05,42.324,3.83E+05,430.62,3.90E+06,196.51,1.78E+06,
050118Xim_G6_BA1,88,TE,I,11362,445.08,240.03,99.127,641.61,7.29E+06,32.757,3.72E+05,17.488,1.99E+05,471.46,5.36E+06,106.1,1.21E+06,
050118Xim_G6_BA1,89,TE,I,11551,183.76,123.57,102.35,391.22,4.52E+06,25.502,2.95E+05,35.441,4.09E+05,486.11,5.62E+06,105.85,1.22E+06,
050118Xim_G6_BA1,90,TE,I,9477,205.27,376.76,102.21,546.26,5.18E+06,25.727,2.44E+05,16.948,1.61E+05,484.05,4.59E+06,108.28,1.03E+06,
050118Xim_G6_BA1,91,TE,I,12753,420.11,179.82,104.59,545.71,6.96E+06,28.663,3.66E+05,52.612,6.71E+05,495.07,6.31E+06,87.091,1.11E+06,
050118Xim_G6_BA1,92,TE,I,12230,133.98,167.06,106.32,292.77,3.58E+06,23.574,2.88E+05,34.124,4.17E+05,422.3,5.16E+06,84.941,1.04E+06,
050118Xim_G6_BA1,93,TE,I,9570,385.16,417.82,105.89,677.04,6.48E+06,34.34,3.29E+05,32.142,3.08E+05,474.26,4.54E+06,169.68,1.62E+06,
050118Xim_G6_BA1,94,TE,I,19276,305.36,399.88,109.68,684.87,1.32E+07,27.634,5.33E+05,20.316,3.92E+05,463.6,8.94E+06,110.5,2.13E+06,
050118Xim_G6_BA1,95,TE,I,26916,178.02,299.75,111.06,324.28,8.73E+06,20.357,5.48E+05,18.44,4.96E+05,473.06,1.27E+07,103.73,2.79E+06,
050118Xim_G6_BA1,96,TE,I,11647,357.42,150.19,111.89,559.63,6.52E+06,25.456,2.96E+05,37.334,4.35E+05,472.94,5.51E+06,110.91,1.29E+06,
050118Xim_G6_BA1,97,TE,I,23166,305.89,127.25,114.54,488.13,1.13E+07,24.302,5.63E+05,72.214,1.67E+06,484.34,1.12E+07,112.09,2.60E+06,
050118Xim_G6_BA1,98,TE,I,14075,412.14,331.81,114.11,496.43,6.99E+06,26.862,3.78E+05,23.025,3.24E+05,483.28,6.80E+06,122.92,1.73E+06,
050118Xim_G6_BA1,99,TE,I,8797,251.81,358.5,113.58,718.77,6.32E+06,26.064,2.29E+05,17.642,1.55E+05,462.52,4.07E+06,132.9,1.17E+06,
050118Xim_G6_BA1,100,TE,I,15063,146.79,212.4,117.34,213.94,3.22E+06,21.04,3.17E+05,15.179,2.29E+05,413.18,6.22E+06,48.615,7.32E+05,
050118Xim_G6_BA1,101,TE,I,11477,403.36,266.7,116.6,656.31,7.53E+06,28.347,3.25E+05,32.265,3.70E+05,473.79,5.44E+06,105.59,1.21E+06,
050118Xim_G6_BA1,102,TE,I,27121,214.96,153.15,119.76,324.41,8.80E+06,21.696,5.88E+05,36.318,9.85E+05,475.99,1.29E+07,75.796,2.06E+06,
050118Xim_G6_BA1,103,TE,I,14472,372.21,201.81,122.76,498.03,7.21E+06,25.854,3.74E+05,17.169,2.48E+05,480.16,6.95E+06,94.188,1.36E+06,
050118Xim_G6_BA1,104,TE,I,10184,360.77,359.33,122.72,761.13,7.75E+06,26.976,2.75E+05,17.559,1.79E+05,477.42,4.86E+06,154.41,1.57E+06,
050118Xim_G6_BA1,105,TE,I,20103,233.59,272.97,126.53,286.02,5.75E+06,20.709,4.16E+05,15.305,3.08E+05,473.29,9.51E+06,63.388,1.27E+06,
050118Xim_G6_BA1,106,TE,M,8106,206.89,194.77,129.21,457.79,3.71E+06,23.409,1.90E+05,24.078,1.95E+05,467.98,3.79E+06,65.619,5.32E+05,
050118Xim_G6_BA1,107,TE,I,16319,295.92,196.71,130.71,400.07,6.53E+06,24.664,4.03E+05,16.409,2.68E+05,475.78,7.76E+06,77.935,1.27E+06,
050118Xim_G6_BA1,108,TE,I,24895,327.83,284.31,132.59,586.08,1.46E+07,25.193,6.27E+05,20.893,5.20E+05,482.65,1.20E+07,91.003,2.27E+06,
050118Xim_G6_BA1,109,TE,M,5937,250.48,221.91,133.74,705.37,4.19E+06,22.443,1.33E+05,26.58,1.58E+05,478.13,2.84E+06,89.378,5.31E+05,
