Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
050118Xim_G6_BA9,1,TE,I,21918,240.14,224.89,8.0517,3031.2,6.64E+07,2528.9,5.54E+07,110.38,2.42E+06,446.13,9.78E+06,353.83,7.76E+06,
050118Xim_G6_BA9,2,TE,I,13115,319.11,237.61,7.9548,3099.2,4.06E+07,3215.6,4.22E+07,156.13,2.05E+06,442.92,5.81E+06,844.7,1.11E+07,
050118Xim_G6_BA9,3,TE,I,24001,113.01,271.34,9.8887,2920.1,7.01E+07,2607.2,6.26E+07,198.39,4.76E+06,431.8,1.04E+07,799.38,1.92E+07,
050118Xim_G6_BA9,4,TE,I,8300,206.16,300.46,9.9367,3242.4,2.69E+07,2879.8,2.39E+07,150.15,1.25E+06,425.15,3.53E+06,1002.4,8.32E+06,
050118Xim_G6_BA9,5,TE,I,14912,183.23,268.89,11.703,3293.7,4.91E+07,2123.3,3.17E+07,183.85,2.74E+06,474.86,7.08E+06,943.99,1.41E+07,
050118Xim_G6_BA9,6,TE,I,18418,311.24,317.91,12.057,2698.3,4.97E+07,2238.6,4.12E+07,178.47,3.29E+06,453.37,8.35E+06,781.74,1.44E+07,
050118Xim_G6_BA9,7,TE,I,8686,369.1,260.13,13.598,2872.4,2.50E+07,2954.4,2.57E+07,182.32,1.58E+06,453.06,3.94E+06,1051.4,9.13E+06,
050118Xim_G6_BA9,8,TE,I,17308,184.23,343.2,13.715,3060.6,5.30E+07,2690.1,4.66E+07,227.67,3.94E+06,449.83,7.79E+06,1207.3,2.09E+07,
050118Xim_G6_BA9,9,TE,I,17763,308.9,175.86,14.95,3240.2,5.76E+07,2997.4,5.32E+07,140.1,2.49E+06,444.29,7.89E+06,825.51,1.47E+07,
050118Xim_G6_BA9,10,ICM,I,8385,172.82,222.74,15.223,3222,2.70E+07,2773,2.33E+07,176.22,1.48E+06,416.38,3.49E+06,1218.4,1.02E+07,
050118Xim_G6_BA9,11,TE,I,9103,114.91,359.71,15.574,3044.1,2.77E+07,2872.2,2.61E+07,130.48,1.19E+06,464.61,4.23E+06,962.6,8.76E+06,
050118Xim_G6_BA9,12,ICM,I,10766,162.31,263.95,16.294,3366.1,3.62E+07,163.42,1.76E+06,376.71,4.06E+06,433.13,4.66E+06,137.22,1.48E+06,
050118Xim_G6_BA9,13,ICM,I,9607,137.45,333.81,16.954,2797.3,2.69E+07,110.39,1.06E+06,66.115,6.35E+05,414.76,3.98E+06,111.83,1.07E+06,
050118Xim_G6_BA9,14,TE,M,14608,189.79,155.23,20.398,2773.7,4.05E+07,2226.5,3.25E+07,92.075,1.35E+06,450.15,6.58E+06,341.02,4.98E+06,
050118Xim_G6_BA9,15,ICM,I,10122,124.3,221.55,18.602,3054.2,3.09E+07,99.752,1.01E+06,2519.6,2.55E+07,407.69,4.13E+06,263.82,2.67E+06,
050118Xim_G6_BA9,16,ICM,I,16333,168.2,312.37,19.814,2932.2,4.79E+07,136.66,2.23E+06,210.43,3.44E+06,465.67,7.61E+06,139.49,2.28E+06,
050118Xim_G6_BA9,18,ICM,I,20697,87.288,324.77,22.069,2818.2,5.83E+07,105.42,2.18E+06,70.657,1.46E+06,446.66,9.24E+06,101.07,2.09E+06,
050118Xim_G6_BA9,19,ICM,I,8182,134,188.19,22.411,3074.1,2.52E+07,2365.6,1.94E+07,136.54,1.12E+06,351.81,2.88E+06,893.33,7.31E+06,
050118Xim_G6_BA9,20,TE,I,16111,53.752,297.28,25.455,3228.5,5.20E+07,2816.2,4.54E+07,109.25,1.76E+06,417.62,6.73E+06,766.31,1.23E+07,
050118Xim_G6_BA9,21,TE,I,9592,271.57,372.99,21.993,2383.5,2.29E+07,2123.3,2.04E+07,142.28,1.36E+06,460.4,4.42E+06,881.32,8.45E+06,
050118Xim_G6_BA9,22,TE,I,12018,361.46,170.53,23.087,3333.4,4.01E+07,2945,3.54E+07,107.49,1.29E+06,432.53,5.20E+06,463.4,5.57E+06,
050118Xim_G6_BA9,23,TE,I,20567,75.115,186.86,25.679,2824.6,5.81E+07,2856.5,5.87E+07,106.13,2.18E+06,405.91,8.35E+06,562.12,1.16E+07,
050118Xim_G6_BA9,24,ICM,I,12996,85.698,273.98,22.196,2744,3.57E+07,126.71,1.65E+06,64.88,8.43E+05,452.62,5.88E+06,103.32,1.34E+06,
