 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
012017Xim_G6_AF9,1,7275,TE,266.54,225.63,2.9742,2571.4,1.87E+07,167.57,1.22E+06,93.796,6.82E+05,656.96,4.78E+06,354.25,2.58E+06,
012017Xim_G6_AF9,2,4193,TE,255.04,284.54,2.6816,2650,1.11E+07,188.4,7.90E+05,84.15,3.53E+05,655.62,2.75E+06,576.52,2.42E+06,
012017Xim_G6_AF9,3,5204,TE,315.07,288.15,3.1141,2405,1.25E+07,187.45,9.75E+05,146.85,7.64E+05,658.66,3.43E+06,577.93,3.01E+06,
012017Xim_G6_AF9,4,9379,TE,289.92,333.25,5.9836,2023.8,1.90E+07,103.96,9.75E+05,104.97,9.85E+05,658.77,6.18E+06,351.21,3.29E+06,
012017Xim_G6_AF9,5,7620,TE,224.89,304.18,6.1202,2187.5,1.67E+07,108.53,8.27E+05,230.78,1.76E+06,675.43,5.15E+06,331.55,2.53E+06,
012017Xim_G6_AF9,6,10763,TE,214.78,226.44,6.8602,2473.2,2.66E+07,153.12,1.65E+06,237.28,2.55E+06,652.7,7.03E+06,344.67,3.71E+06,
012017Xim_G6_AF9,7,12862,TE,351.47,239.65,7.1717,1623.4,2.09E+07,114.68,1.48E+06,89.727,1.15E+06,644.53,8.29E+06,364.5,4.69E+06,
012017Xim_G6_AF9,8,10588,TE,232.33,173.82,11.431,2033.4,2.15E+07,128.44,1.36E+06,164.25,1.74E+06,624.17,6.61E+06,367.59,3.89E+06,
012017Xim_G6_AF9,9,10716,TE,282.66,150.2,14.624,1900.3,2.04E+07,138.46,1.48E+06,162.26,1.74E+06,639.69,6.85E+06,267.49,2.87E+06,
012017Xim_G6_AF9,10,7224,ICM,178.54,229.89,12.635,2459.1,1.78E+07,127.49,9.21E+05,570.06,4.12E+06,560.91,4.05E+06,386.29,2.79E+06,
012017Xim_G6_AF9,11,7871,TE,182.99,311.41,13.93,2776,2.19E+07,231.79,1.82E+06,107.57,8.47E+05,620.03,4.88E+06,294.2,2.32E+06,
012017Xim_G6_AF9,12,9903,TE,352.18,177.32,14.51,1845,1.83E+07,98.322,9.74E+05,65.614,6.50E+05,623.14,6.17E+06,218.59,2.16E+06,
012017Xim_G6_AF9,13,6364,TE,343.99,345.69,13.934,2068.9,1.32E+07,136.06,8.66E+05,76.604,4.88E+05,654.55,4.17E+06,333.99,2.13E+06,
012017Xim_G6_AF9,14,6643,TE,380.04,314.31,14.603,1829.8,1.22E+07,130.83,8.69E+05,81.458,5.41E+05,669.13,4.45E+06,262,1.74E+06,
