 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
022417Xim_WT_AK5,1,9047,TE,217.43,222.87,4.1748,2591.9,2.34E+07,490.45,4.44E+06,102.17,9.24E+05,1278.3,1.16E+07,429.76,3.89E+06,
022417Xim_WT_AK5,2,7635,TE,275.57,248.43,4.2968,2078.3,1.59E+07,387.35,2.96E+06,93.77,7.16E+05,1260.6,9.63E+06,381.51,2.91E+06,
022417Xim_WT_AK5,3,7611,TE,318.31,272.83,4.9447,2102.1,1.60E+07,319.94,2.44E+06,100.09,7.62E+05,1267.5,9.65E+06,392.36,2.99E+06,
022417Xim_WT_AK5,4,9522,TE,186.97,268.11,5.9504,2490.1,2.37E+07,539.36,5.14E+06,64.132,6.11E+05,1258.7,1.20E+07,195.92,1.87E+06,
022417Xim_WT_AK5,5,9820,TE,260.22,338.59,6.1341,1779.8,1.75E+07,410.95,4.04E+06,76.434,7.51E+05,1247.9,1.23E+07,269.89,2.65E+06,
022417Xim_WT_AK5,6,16831,TE,122.17,252.21,7.5139,1655,2.79E+07,413.41,6.96E+06,121.63,2.05E+06,1221.7,2.06E+07,147.63,2.48E+06,
022417Xim_WT_AK5,7,11429,TE,260.84,172.13,8.6259,2258.8,2.58E+07,389.72,4.45E+06,68.785,7.86E+05,1299.3,1.49E+07,260.57,2.98E+06,
022417Xim_WT_AK5,8,9305,TE,316.33,182.04,8.0747,1823.2,1.70E+07,241.76,2.25E+06,58.873,5.48E+05,1239.2,1.15E+07,212.58,1.98E+06,
022417Xim_WT_AK5,9,10722,TE,183.89,187.63,10.345,2317.4,2.48E+07,437.25,4.69E+06,57.685,6.19E+05,1213.5,1.30E+07,185.44,1.99E+06,
022417Xim_WT_AK5,10,5943,TE,349.76,293.85,12.09,2413.1,1.43E+07,298.24,1.77E+06,75.896,4.51E+05,1179.9,7.01E+06,250.33,1.49E+06,
022417Xim_WT_AK5,11,6290,ICM,154.9,251.64,13.497,1673.6,1.05E+07,31.741,2.00E+05,120.16,7.56E+05,1158.2,7.29E+06,627.81,3.95E+06,
022417Xim_WT_AK5,12,9393,TE,187.08,318.66,10.934,1237.2,1.16E+07,354.72,3.33E+06,67.931,6.38E+05,1259.9,1.18E+07,262.21,2.46E+06,
022417Xim_WT_AK5,13,4831,TE,352.37,196.4,14.082,2958.3,1.43E+07,279.16,1.35E+06,106.5,5.14E+05,1196.6,5.78E+06,300.68,1.45E+06,
022417Xim_WT_AK5,14,4492,ICM,129.27,201.68,14.749,1681.9,7.56E+06,24.033,1.08E+05,699.82,3.14E+06,1148.2,5.16E+06,89.97,4.04E+05,
022417Xim_WT_AK5,15,4075,ICM,127.19,287.44,13.866,1505.4,6.13E+06,26.258,1.07E+05,709.55,2.89E+06,1080,4.40E+06,87.964,3.58E+05,
022417Xim_WT_AK5,16,6511,ICM,161.01,221.62,17.896,1615.2,1.05E+07,23.691,1.54E+05,127.22,8.28E+05,1270.7,8.27E+06,640.61,4.17E+06,
